코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11320521,90325,923,1265,2711,2487,3060,3873,3870,2663,984,4316,2704,1758,1180,3342.228,17969.7,22,48,8,397,8,4,11,31,3,0
11320522,101683,1718,1804,3502,3793,3940,4615,4872,2825,1117,4134,3130,2502,1813,3540.311,19249.55,14,33,4,209,2,0,3,9,3,2
11320660,70214,1259,1703,3212,2710,3357,3746,3262,2054,795,3239,2383,1886,1429,2537.922,17587.66,18,28,0,153,5,1,3,2,2,0
11320670,94134,1115,1479,2668,2743,2884,3372,3007,1655,721,3133,2225,1698,1225,3018.443,18910.68,13,22,5,234,5,6,7,20,5,0
11320680,121258,872,1050,2626,2463,2511,2884,2431,1618,579,3265,1928,1397,1018,2135.216,15768.35,14,30,2,183,1,3,4,7,0,0
11320681,114171,1296,2095,2624,2419,3096,3500,2713,1178,548,1567,1656,1724,1794,1148.471,14364.81,11,18,0,54,0,3,0,1,7,0
11320690,103418,1631,2307,4122,3529,4362,5550,4546,2585,890,4727,3024,2363,1992,3465.283,24935.98,25,40,3,530,13,11,27,53,2,1
11320700,85839,1031,1523,2817,2377,3083,3900,3311,1933,731,3874,2386,1745,1182,876.973,12503.98,16,29,2,182,2,1,4,12,2,0
11320710,85367,2061,2827,3514,3317,4358,4973,4273,1883,956,1828,2493,2523,2499,2624.677,23558.96,11,22,0,112,0,0,9,5,2,0
11350560,138209,1315,1830,4294,2962,3554,3681,3136,1980,712,4557,2239,1758,1574,2660.817,26754.94,33,31,6,372,3,13,20,38,5,2
11350570,88552,1867,2263,3326,3481,4453,4659,4378,2459,977,4153,3155,2366,1867,2143.544,20980.24,18,27,0,103,0,0,0,3,1,0
11350580,190722,2400,2248,3694,4872,4777,4911,4514,2597,1059,3955,3556,2834,2076,1683.986,26700.96,10,25,0,87,1,2,0,0,0,1
11350595,111611,2256,2877,7148,5649,5615,5942,5362,2699,1014,8430,3719,2930,2434,10667.73,45500.57,45,63,7,580,9,8,19,27,6,2
11350600,120824,3015,4655,7023,5407,6794,6130,4318,2237,916,5708,3177,3270,3384,6121.341,43669.78,38,35,2,426,3,11,18,31,6,1
11350611,100393,1257,3382,5235,2850,4404,5012,3456,1821,905,4345,2398,2140,2304,8096.626,26816.78,20,27,0,197,3,3,2,4,7,0
11350612,174586,1601,2895,3205,2635,4178,4002,2431,1344,674,1719,1802,1983,2262,647.1061,16987.85,5,8,0,43,0,2,0,0,3,1
11350619,128484,1653,4519,3377,2002,5236,4632,2275,1118,539,1993,1415,1930,2665,2342.972,24012.35,15,26,0,223,1,5,6,6,16,0
11350621,228056,2033,5833,3039,2088,6756,4479,1998,983,482,1423,1370,2397,3274,1562.622,26095.86,13,23,0,170,0,4,0,4,17,0
11350624,152226,1228,2419,2654,2056,3638,3651,2613,1881,744,2610,1999,1665,1706,2399.048,20283.05,12,27,0,254,0,7,11,26,4,0
11350625,176838,2237,3341,4441,4474,6101,5743,4794,3296,1495,5053,4088,3053,2604,2800.978,36735.42,10,41,0,184,1,1,2,2,1,1
11350630,124155,2512,3448,5496,5084,5883,7158,5817,2889,1218,4477,3766,3343,3081,6777.946,40889.18,25,46,2,399,3,9,19,37,5,1
11350640,151049,1052,1963,3381,2437,3259,4013,2798,1439,556,3219,1750,1634,1689,4511.057,31649.75,31,52,1,711,3,15,21,59,10,1
11350665,90160,1493,2186,3300,3070,4119,4922,4256,2781,1164,4679,3025,2207,1726,3413.984,21874.78,17,56,3,235,1,6,11,20,3,1
11350670,102078,1185,2150,3491,2765,3829,4588,3622,2303,924,4001,2665,2103,1663,2086.638,22830.18,17,35,5,242,0,8,12,16,6,1
11350695,198330,2681,3163,4759,5060,5783,5663,3889,1983,985,4272,3351,3000,2703,6852.535,43213.97,28,38,14,324,4,4,10,23,7,0
11350700,163237,2599,2191,2731,4910,4020,3062,2214,1167,529,2437,2285,2279,1915,1147.821,18887.27,5,13,0,63,0,1,1,4,4,1
11350710,204162,1524,2248,2753,2927,3680,3644,2731,1360,647,2118,2202,2027,1739,1269.257,18508.05,9,11,0,67,0,1,1,3,4,0
11350720,188675,1033,1435,2418,2532,2593,2919,2050,885,461,1796,1768,1487,1316,1000.695,17093.03,5,13,0,35,1,0,2,4,2,0
11380510,104302,2624,2451,5150,6305,5923,6058,5028,3186,1219,6858,4228,3196,2289,6651.87,34507.88,31,55,8,322,5,9,10,16,2,2
11380520,128478,2532,2778,5505,5660,6288,6853,5511,3535,1533,6772,4422,3463,2563,2793.943,37104.56,14,25,4,246,0,3,4,10,6,1
11380530,144442,1250,1920,4388,4041,4167,5076,4304,2755,1026,6145,3341,2323,1567,2812.485,22688.36,29,58,10,334,5,6,10,7,1,1
11380551,109995,1064,1731,3844,3269,3552,4101,3436,2144,691,4815,2693,1933,1388,2379.507,26165.08,20,42,7,431,1,7,18,37,4,0
11380552,111055,1734,2625,4468,4154,4855,4926,3664,2269,881,4410,3070,2554,1992,3136.811,25164.71,33,53,0,399,1,10,14,28,6,0
11380560,103211,1974,2924,4520,4310,5306,5750,4584,2771,1108,4341,3205,2769,2259,4423.94,27111.35,23,38,1,167,0,0,3,3,6,1
11380570,123595,1272,1764,4821,4370,4261,4263,3535,2368,954,7179,3052,2041,1401,3504.551,36190.97,36,59,41,533,0,5,12,24,3,1
11380580,114290,2053,2552,3782,4582,4917,4267,3318,2087,820,5234,2921,2240,1845,4138.783,24870.19,25,27,5,293,1,4,13,15,9,0
11380590,94917,3253,2309,2796,5200,5184,3594,2823,1690,660,3013,2602,2548,2075,1376.771,17966.75,6,7,0,80,0,0,4,6,0,0
