코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11230720,8013,54,24,1377,138,-57,-178.667,-139.333,-101,-41,-163,-72.3333,-32.6667,-38,0,-3796.63,18,-1,-1,0,0,0,0,0,0,1
11230730,-9612,-16.3333,11,537.6667,84.33333,26.33333,64.33333,47,19.66667,23.66667,200.6667,48.33333,-5,3.666667,0,5396.492,17,0,0,0,0,0,0,0,0,0
11230740,14619,8.333333,59.66667,2241,270,49.33333,56.33333,26.66667,8.666667,16.33333,187.6667,17.66667,-43,-13.3333,0,-3107.27,31,0,-1,0,0,0,0,-1,0,1
11230750,-6464,-8,-5,284.6667,72.33333,3.333333,85.66667,36,27.66667,17.33333,117.6667,8,31.66667,-18.3333,0,-7987.29,13,0,0,0,0,0,0,0,0,1
11260520,13247,-33.6667,-34.3333,38,20,-22,49,52.66667,71.66667,16,138.6667,36.66667,-47.6667,-27.3333,0,-1757.34,22,1,0,0,0,0,-1,1,-1,0
11260540,2200,-15,-59.3333,-37,-6.66667,-48.3333,37,37.66667,14.66667,12.33333,-20,3.333333,-15.6667,-54.3333,0,-7111.7,14,-1,0,0,0,-1,0,0,0,1
11260550,880,6,-9,-4.33333,30.66667,6,14.33333,15.66667,12.33333,-3.66667,4.333333,14,5,-15,0,-9907.36,7,0,0,0,0,0,1,0,0,0
11260565,-2114,4.666667,-16.3333,210.6667,98.33333,78.66667,77,148,33.66667,28.66667,155,73,-60.3333,-15.6667,0,12241.61,30,4,0,0,0,0,0,0,0,1
11260570,-23019,3,-1.66667,114.3333,129.6667,49.33333,82.33333,86.66667,53.66667,9.333333,105,91.33333,6,6,0,1593.387,18,0,0,0,0,0,0,0,0,0
11260575,8870,5,-5.66667,136,78.33333,13.66667,26.33333,79.66667,34.66667,42.33333,238,67.33333,1,-29.3333,0,14222.54,20,1,1,0,0,0,0,0,3,1
11260580,-12680,-13.3333,-59.3333,-28.6667,52.66667,-35.3333,5.333333,104,23,16.33333,68.66667,58,10.33333,-30.6667,0,-8394.51,14,-1,0,0,0,1,0,0,0,0
11260590,10822,-6.33333,-8.66667,173,101,-8.33333,80.66667,48,3,6.333333,192,-1.66667,19,-16,0,3861.101,36,2,-1,0,0,0,0,-1,0,2
11260600,-5727,-23.3333,-43.6667,-7.33333,32.66667,1.666667,-29.3333,60.66667,36,6,92.66667,14.33333,-4.33333,-9.66667,0,10087.36,18,-2,0,0,0,0,0,0,0,1
11260610,202,1,-39.3333,107.6667,25.66667,26,14.33333,89,9.666667,22.66667,75.66667,14,-26,-53,0,13185.82,20,0,0,0,1,-1,0,0,0,1
