CD,총생활인구수
11215830.0,21702.204860833335
11215840.0,25047.87765375
11215847.0,27657.964614861114
11215850.0,24379.70284763889
11215860.0,25101.019825833337
11215870.0,33635.65039027778
11230536.0,42561.31453486111
11230545.0,30908.370198194443
11230560.0,33723.478822916666
11230570.0,16457.533241666668
11230600.0,25129.255944027776
11230610.0,25932.450297222225
11230650.0,36802.597494166665
11230660.0,27968.67384819444
11230705.0,20071.94280375
11230710.0,20525.37517097222
11230720.0,17361.15200222222
11230730.0,21462.593007777778
11230740.0,23000.64007652778
11230750.0,16620.734941666666
11260520.0,23712.567387222218
11260540.0,19405.658663333335
11260550.0,10140.253644444445
11260565.0,30322.02183083333
11260570.0,21132.671613055554
11260575.0,21500.930066388886
11260580.0,20049.72771625
11260590.0,24284.036629444443
11260600.0,17489.185843194446
11260610.0,28535.970658055558
11260620.0,26937.21237416667
11260630.0,18976.127832916667
11260655.0,32569.873449444443
11260660.0,13567.521903194445
11260680.0,35505.286605
11260690.0,19247.472636805556
11290525.0,21497.90480569444
11290555.0,26043.08520555555
11290575.0,24536.891713472218
11290580.0,14925.747179722222
11290590.0,16095.246243611111
11290600.0,24876.37214180556
11290610.0,17539.93427013889
11290620.0,16064.711434305558
11290630.0,21462.320420833334
11290640.0,15785.169268472224
11290650.0,19714.18149444444
11290660.0,36088.20780736111
11290685.0,18613.045390555555
11290705.0,39384.096004583334
11290715.0,22697.413761249998
11290725.0,26549.89719152778
11290760.0,17419.945058194444
11290770.0,15140.908389166667
11290780.0,9655.080911666668
11290810.0,29199.097569444446
11305534.0,24781.357302638888
11305535.0,24145.320375138894
11305545.0,35493.275425
11305555.0,29098.585660555556
11305575.0,24666.40664944445
11305590.0,20349.162938888887
11305600.0,13198.461595277779
11305606.0,16991.135240555555
11305610.0,18623.87530708333
11305620.0,22130.105600416664
11305630.0,29037.990364305555
11305645.0,19636.81595958333
11305660.0,30943.647768472223
11320511.0,24251.52711875
11320512.0,27231.21649486111
11320513.0,14151.48439722222
11320514.0,28646.613754861108
11320515.0,23123.42684375
11320521.0,18153.16925166667
11320522.0,19417.415459722222
11320660.0,17859.877215277775
11320670.0,18977.70098361111
11320680.0,15948.851389722224
11320681.0,14636.416350138888
11320690.0,24830.20266291667
11320700.0,12785.727504444445
11320710.0,23968.861150833334
11350560.0,26904.138905694443
11350570.0,21243.785415277776
11350580.0,27186.51601638889
11350595.0,45888.31766666666
11350600.0,43363.28531388889
11350611.0,26680.711237222225
11350612.0,17151.094994305557
11350619.0,24401.38878486111
11350621.0,26313.858510694445
11350624.0,20575.643466111113
11350625.0,37335.53580791667
11350630.0,40851.901205
11350640.0,31640.23382319445
11350665.0,22208.05844513889
11350670.0,23201.895826944445
11350695.0,43494.67402513889
11350700.0,19997.100179583333
11350710.0,18406.81024986111
11350720.0,18021.557836527776
11380510.0,33919.92762819445
11380520.0,38120.473246388894
11380530.0,22080.568094722224
11380551.0,26680.398758750005
11380552.0,24838.561969722217
11380560.0,26489.44389763889
11380570.0,37593.35102194444
