CD,남자 인구수,여자 인구수
11560690,"8,597","8,589"
11560700,"6,830","6,715"
11560710,"6,300","6,585"
11560720,"12,587","12,265"
11170,"111,078","118,599"
11170510,"8,928","9,402"
11170520,"5,206","5,648"
11170530,"4,871","3,016"
11170555,"9,751","10,544"
11170560,"7,367","7,786"
11170570,"7,046","7,949"
11170580,"4,291","4,711"
11170590,"6,118","6,585"
11170625,"8,478","8,939"
11170630,"13,043","14,948"
11170640,"4,316","4,828"
11170650,"3,352","3,704"
11170660,"4,398","5,084"
11170685,"9,916","10,659"
11170690,"6,563","7,067"
11170700,"7,434","7,729"
11380,"234,905","249,737"
11380510,"15,792","16,972"
11380520,"19,932","21,753"
11380530,"14,544","15,296"
11380551,"12,246","12,773"
11380552,"14,625","15,915"
11380560,"16,886","16,797"
11380570,"15,422","17,182"
11380580,"12,495","13,453"
11380590,"10,486","10,853"
11380600,"12,922","13,316"
11380625,"23,918","26,159"
11380631,"13,549","14,332"
11380632,"11,088","11,045"
11380640,"8,167","8,355"
11380650,"6,150","6,098"
11380690,"26,683","29,438"
11110,"75,247","78,533"
11110515,"6,173","6,993"
11110530,"4,277","5,186"
11110540,"1,352","1,500"
11110550,"4,893","5,253"
11110560,"8,946","10,049"
11110570,"3,840","4,389"
11110580,"4,933","5,638"
11110600,"2,079","2,400"
11110615,"4,448","3,072"
11110630,"2,903","2,389"
11110640,"3,859","4,300"
11110650,"8,294","8,814"
11110670,"2,938","2,472"
11110680,"4,600","4,413"
11110690,"3,586","3,714"
11110700,"3,209","3,271"
11110710,"4,917","4,680"
11140,"62,260","63,772"
11140520,"1,010","1,030"
11140540,"2,914","2,409"
11140550,"1,197","1,653"
11140570,"2,075","1,937"
11140580,"2,438","2,357"
11140590,"2,661","2,338"
11140605,"1,040",599
11140615,"3,937","3,902"
11140625,"7,172","7,571"
11140635,"8,504","9,420"
11140645,"7,021","7,722"
11140650,"4,654","4,684"
11140665,"5,358","5,740"
11140670,"6,069","6,245"
11140680,"6,210","6,165"
11260,"201,803","203,748"
11260520,"13,211","13,108"
11260540,"10,291","10,441"
