이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,폐업률
문정1동,11710641,7794,-7,-25.667,68.667,98.667,8.333,60.667,33,30.333,4.6667,-165.333,-117.333,39.667,117.667,20,1,5
문정2동,11710642,32526,38,-3,588.667,692,219,98.667,23.667,62.667,5.3333,-621,-47.333,7.333,72.333,69,0,5.8
장지동,11710646,-20825,-45,-121.333,76,73.333,-41.667,20.333,85.667,12.667,23,-16.333,13.667,167.333,377.333,24,1,8.3
위례동,11710647,77745,43.333,61.667,11.333,7.333,27.667,36,49,18,7.3333,11.667,-86.333,18.333,51,16,1,12.5
잠실본동,11710650,-35970,-0.333,-66.667,105.333,109.333,37,190.333,111.667,22,5,-998.667,-137.333,91,223.667,62,0,4.8
잠실2동,11710670,-110256,-105.667,2.50E+01,24.333,-46,12.333,92.333,14.667,37,8.6667,76,-74,-2.333,83.333,24,0,0
잠실3동,11710680,48447,-69.333,-31.333,31,-17.333,32.667,23.667,16.667,79.667,24,156.667,-69.667,-21,148.667,18,1,0
잠실4동,11710690,-43869,-14.667,-2.333,-22.667,-71.333,21.667,-21.667,63,21,1.3333,556.667,690,818.667,723.333,8,1,0
잠실6동,11710710,76074,52.667,-40.333,-23.667,61.667,-36.667,13,50.333,-2.3333,14,-7.3333,-40.333,-52,85.667,30,2,0
잠실7동,11710720,705,-25,-1.63E+01,5.333,-39.333,-2.667,-19.333,24.333,33,4.3333,-34.3333,-24.6667,-15.3333,77,2,1,0
강일동,11740515,49905,-129.333,-23.667,17,-61,-51,20.333,46,24.333,11.3333,-167,-193,-18.333,226,23,0,8.7
상일동,11740520,-2402,58.6667,0.667,69,105.333,47,99.667,66,41.3333,-3.3333,-388.667,-677.333,-908.667,-1002.33,11,1,9.1
명일1동,11740530,-6589,-25.667,-54.667,-0.667,22.667,-19.667,10.667,59.667,36,-4.3333,-299,-762.667,-437.667,-231.333,18,2,0
명일2동,11740540,-22525,-21.667,-29.333,-15.333,11.333,-52.333,1.667,31.667,23.6667,10.6667,-187.667,-66,-47.333,170.333,17,0,0
고덕1동,11740550,-71115,-68,23,2,-44.333,64.667,0.667,40.667,17,5.6667,-83,82.667,-78.333,103.667,9,1,0
고덕2동,11740560,-59275,-3,-33,55.333,35,-42.667,-3.667,-6,7.3333,0.3333,-564,-1041.67,-1224.67,-1329.33,6,0,0
암사1동,11740570,11315,-5.333,-120.667,59.667,-27.667,18.333,74.667,120,13.667,27.6667,-149,-124.333,63.333,297.667,34,1,0
암사2동,11740580,-12395,-25,-36,7.667,-8,-19.333,-4,7,9,5.3333,-138.333,-197,-63.333,65,10,0,10
암사3동,11740590,-26632,-25.333,6.67E+00,-24.333,30,-18.667,-17.333,25.333,22.3333,9.6667,-84.667,-141.667,17,157.333,7,0,0
천호1동,11740600,4183,-1.333,-75.333,-6,53.333,28.667,57.333,66,47.333,-6.3333,-209.333,-72.333,112,206,24,0,0
천호2동,11740610,-17519,15,-64.333,144,230.667,18,259.333,88,51.333,23.6667,-402,-142,179.333,237,51,0,7.8
천호3동,11740620,-7784,32.333,-2.667,90.667,144.333,83.667,126,90.333,40.333,15.3333,-573.333,-75.667,57.667,187.333,30,0,3.3
성내1동,11740640,-22912,4.333,-22,12.667,-30.333,16.667,23.667,26.333,22.333,5.3333,-140.667,-67.667,16,136,26,1,11.5
성내2동,11740650,10156,12,-30,93,149,104.333,211,74.333,47.333,12.3333,-591.667,-1.667,54,241,25,2,12
성내3동,11740660,-26294,-20.333,-51.667,59.667,3.333,-15,-5.333,63,26.667,16.3333,-325.333,-166,125.333,156.667,35,1,2.9
길동,11740685,9328,-52.333,-105.333,-95.333,-125.667,-6.667,8,67.333,62,23.3333,-749,7,370.333,503,65,1,0
둔촌1동,11740690,-7970,-6.66667,-18.6667,-22.3333,-30,-24.6667,-46.3333,-25.6667,-4.66667,-2.33333,25.6667,4,2.66667,2,3,0,0
둔촌2동,11740700,-3450,-30.333,-74.667,-12,-7.333,-72.667,28,29.667,31.667,5.3333,-288.667,-210.333,47.333,264,23,0,0
