이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,폐업률
월계2동,11350570,16237,-33,-39.333,29,-73.667,-24,22,33,42.667,1.3333,-446,-199.333,-107.333,55,18,0,0
월계3동,11350580,-26478,-67,-34.333,0.333,-32.333,-40,13,50,42.333,17.3333,-392.667,-111.667,152.333,312,9,1,0
공릉1동,11350595,-7497,-75.333,20.333,344,42,-10,-4.667,122,28.333,18.6667,-547,-10.333,110,225.667,48,2,2.1
공릉2동,11350600,-37220,-69.667,3,357.667,4.667,-37.667,8,36.333,28,21,-418.667,-158.333,-50,358.667,41,1,7.3
하계1동,11350611,-17147,-7.667,155.667,461,52.667,-62.667,-11.333,68.333,38.333,7.3333,96,-92,62.667,229.667,21,0,0
하계2동,11350612,-61025,-49.667,-73.333,-9,14,-62.667,-5.333,25,19,15.3333,-131.333,-44.667,54,116,4,1,0
중계본동,11350619,52575,-26.667,-130,31.667,31,-112.667,-21.667,53.667,10.333,7,117,-39.333,33.333,206.333,14,0,0
중계1동,11350621,-10870,-28.333,-89,37,75.667,-88.333,1,22.333,1.6667,14.3333,-30,-77,-100.667,146,14,0,0
중계4동,11350624,13372,-44.667,-44.667,-35,8.667,-53.333,1.667,21,32.667,16.3333,-236.667,-30,44.667,181.333,11,0,9.1
중계2.3동,11350625,-36492,-52.333,-1.12E+02,17,-70.667,-45,-2,76,44.667,12.333,-306.333,-149.667,175.667,308,9,1,0
상계1동,11350630,-18899,-60.333,-71.667,55,-30.667,-44,28.333,71,34,45.333,-146.333,-164.333,13,300.667,27,1,14.8
상계2동,11350640,-11843,2.667,-8.20E+01,79.333,7.667,-49.667,9.333,66,9,9.3333,-221,-40.667,20.667,184.667,25,1,4
상계3.4동,11350665,-4013,-35.667,-68.333,-15.333,-64.667,-81,21.333,11.333,-14.333,31.6667,-71.333,-127,-28.667,112.667,15,1,6.7
