NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
도화동,11440585,dong,마포구,도화동,10846,11851.33333,3612,2049.333333,1805.666667,1614,387,1725.333333,1858.333333,3092.666667,3913,3654.666667,3559.666667,2429.666667,1582.333333,757.6666667,16410.48921,10489.90407,22,0,0,156659
용강동,11440590,dong,마포구,용강동,10510.33333,11466.66667,3210,1961.333333,1881,1652.333333,364,2406.666667,1978.666667,2517.666667,3902,4359.333333,3010.333333,1933.333333,1249.666667,542.6666667,18363.24732,15891.37818,29,6.9,1,175327
대흥동,11440600,dong,마포구,대흥동,5870.666667,6132,4893.333333,1186,676.3333333,563.6666667,112.3333333,470,760.6666667,2786.333333,1900.333333,1826.666667,1732.666667,1213,884,343.6666667,12349.71308,8421.008263,42,2.4,3,147738
염리동,11440610,dong,마포구,염리동,5080.666667,5375.333333,2443,1192.333333,979,836,183,645.6666667,946.3333333,1608.666667,1516.666667,1864,1592.666667,1094.333333,829,310,9607.69722,6155.811216,9,11.1,1,145494
신수동,11440630,dong,마포구,신수동,10487,10919,3887,2148.333333,1982,1700.666667,362,1705,1955.333333,3076.666667,3562,3843,3126.666667,2057.666667,1420.666667,562.6666667,18137.72949,3670.883307,17,17.6,0,91125
서강동,11440655,dong,마포구,서강동,12111.66667,13173.66667,5218.333333,2220,1966.333333,1748.333333,388.6666667,2074.333333,1967.666667,4532.333333,4686.666667,4324,3610.666667,2128.333333,1311.333333,563,19548.88829,7580.572476,41,7.3,2,147395
서교동,11440660,dong,마포구,서교동,11602.33333,13282.66667,8856,2379.333333,1460.333333,1056,269.6666667,1142,1482,5159.333333,5514.666667,3992.333333,3061,2214,1549.666667,669,25202.21143,48651.36539,134,3,2,156598
합정동,11440680,dong,마포구,합정동,9075,10360,5059.333333,2111,1269.666667,893.6666667,205,1494,1175,3594,4240.333333,2807,2538.333333,1861.333333,1201.666667,458.6666667,18975.81251,10392.22457,29,6.9,1,159000
망원1동,11440690,dong,마포구,망원1동,10222,11164.33333,5107.666667,2438.333333,1487,1244.666667,298.3333333,1301.333333,1584.333333,3357,4128,3519.666667,3110.666667,2259.333333,1526.666667,536.6666667,21745.66674,3076.315453,24,4.2,0,138108
망원2동,11440700,dong,마포구,망원2동,9491.666667,10270.66667,3190,1997.333333,1455,1395,305,1513.333333,1907,2690.333333,3362.666667,3587.333333,2773.333333,2077.666667,1328,446.6666667,11109.40067,1458.468885,17,11.8,0,123015
연남동,11440710,dong,마포구,연남동,7893.666667,8822,4944,1683.666667,1045.666667,719.6666667,207.6666667,850.6666667,1002.666667,3262.666667,3508.333333,2546,2211,1676.333333,1109.333333,464,16881.39851,4533.291358,25,4,0,129145
성산1동,11440720,dong,마포구,성산1동,9575.666667,10578,4299.666667,2058,1487.333333,1149.666667,320,1265.666667,1696.333333,3072.333333,3729.666667,3689,2812,2042.666667,1338,432.6666667,18794.57196,8935.951922,31,6.5,0,102437
성산2동,11440730,dong,마포구,성산2동,19134.66667,21430.33333,8211.666667,3925.333333,3186.666667,2809,643,3202,4087.333333,5878.666667,6752.666667,7344,5569,3913.333333,2763.666667,894.6666667,41731.19201,9870.050223,30,0,2,121125
상암동,11440740,dong,마포구,상암동,15844.33333,17010.66667,4313.333333,2521.333333,2431.333333,2628,718.3333333,3594,4418.666667,3890.666667,4694.666667,6887.333333,4190,2732.333333,1671,657.3333333,36409.65373,38846.33866,52,3.8,1,194594
양천구,11470,gu,양천구,계,231884,238181,50934,37895.33333,38238,39295.33333,8636.333333,36539,56840,62855,64671,85433.66667,78256,50113.66667,24583,9246.333333,459242.3374,67736.1138,315,4.4,7,117767
목1동,11470510,dong,양천구,목1동,15603.66667,16912.33333,1575.666667,1756.333333,2946.333333,3414,651,3150.666667,5443.333333,3736,3783.666667,7400,4830.666667,2516.666667,1146,427.6666667,28548.98282,12515.67896,37,2.7,2,164926
목2동,11470520,dong,양천구,목2동,15517.33333,16168.33333,4724.666667,2896,2579.333333,2284.666667,539.3333333,2172,3035.333333,5108,5835.333333,4955.333333,5172.333333,3244,1483.333333,581,31710.69016,2464.33676,25,8,1,112120
목3동,11470530,dong,양천구,목3동,10690.66667,11373,3629.666667,2420.333333,1958.666667,1528.333333,328.6666667,1503,1818.666667,3539.333333,3969,3335.666667,3713.666667,2436,1159,508.3333333,21757.80473,2362.298668,17,0,1,121981
목4동,11470540,dong,양천구,목4동,13548,13828.66667,2980.666667,1895,2097,2473,533.6666667,1799,4027,4115,3290.666667,5325.333333,4663,2348.666667,1252.666667,488.3333333,27614.19652,2022.017746,22,9.1,0,111534
목5동,11470550,dong,양천구,목5동,21621,22034.66667,1648.333333,2082.333333,3709,5053.333333,852,3782,7959.666667,5124,4452,9775.333333,6754.666667,3526.333333,1396,733.6666667,38641.7349,5523.896553,20,0,0,206114
신월1동,11470560,dong,양천구,신월1동,11583,10911.66667,4367.666667,2367.666667,1743.333333,1241,297,1380,1695.666667,2936.666667,3264.333333,3671.666667,4253.666667,3165,1591,455,23492.49944,2712.630235,16,6.3,0,98129
신월2동,11470570,dong,양천구,신월2동,11327.33333,11653.33333,2403,2039,1879.666667,1621.666667,455.3333333,1826,2010,2953.666667,3687.333333,3596.666667,3751.666667,3163.333333,1435.333333,486,23327.12862,2176.636959,9,0,0,88723
신월3동,11470580,dong,양천구,신월3동,9097.666667,8231.333333,3903.666667,1790.666667,1209.333333,859.6666667,258.3333333,1174,1471.333333,2410.333333,2385,2747.333333,3267,2235.333333,1187,396,16201.16251,2420.187486,11,0,0,66646
신월4동,11470590,dong,양천구,신월4동,9621,9894.333333,1524,1618.666667,1635,1577.333333,407,1933,1879.666667,2291.333333,3083.666667,3148.666667,3105.333333,2468.666667,1157.666667,389.6666667,21861.66593,2166.371772,16,6.3,0,85973
신월5동,11470600,dong,양천구,신월5동,7867,8000.666667,2167.666667,1496.666667,1303,1071.666667,278.3333333,1287.333333,1480.666667,2294.333333,2463,2566,2655.666667,1833,944,299.3333333,20809.57194,3510.890147,14,0,0,81476
신월6동,11470610,dong,양천구,신월6동,3503.333333,3476.333333,643,587.6666667,540,554,137.6666667,460.6666667,767.3333333,879.6666667,928.6666667,1157.333333,1232,937.6666667,451.3333333,133,6611.193359,1140.799081,6,16.7,0,91783
신월7동,11470611,dong,양천구,신월7동,11295,11600.33333,3054.333333,2592.666667,1855.333333,1383,289,1537,1938.666667,2976.333333,3391.333333,3539.666667,3986,3139.333333,1649.666667,662.6666667,22192.02339,3049.686813,13,0,1,94838
신정1동,11470620,dong,양천구,신정1동,10636.33333,11038.33333,1398.333333,1246.333333,1683.333333,2336.666667,478,1924,3319.666667,2695,2419,4354,3487.333333,1972.666667,1011,404.3333333,22946.53235,2597.830298,9,0,0,112028
신정2동,11470630,dong,양천구,신정2동,10384.33333,10742,1568.666667,1279.333333,1547,2207.333333,465,1440,3276.666667,2924,2070.333333,4213.666667,3759.333333,1953,1013.666667,412,18592.43461,1613.313636,12,16.7,0,107798
신정3동,11470640,dong,양천구,신정3동,24598.33333,25406.66667,4550.333333,4169,3871.333333,4021,1090.333333,4650.333333,6053.333333,6048.333333,6975,9281.666667,7973,5152.333333,2720,1007.666667,48744.30606,6070.336063,19,0,1,136244
신정4동,11470650,dong,양천구,신정4동,17581.33333,18147,6809.666667,3600.333333,2802.333333,2106.666667,543.3333333,2352,2777,5331.666667,6239.333333,5684.666667,5820.666667,4419.333333,2340.333333,648.6666667,35948.85017,7695.577907,46,6.5,1,101246
신정6동,11470670,dong,양천구,신정6동,12542.66667,13138.66667,1009.666667,1474.333333,2262.666667,2772.333333,516.6666667,2148.333333,4095.666667,3435.666667,2933,5221.333333,4312.666667,2201.333333,836.6666667,415.6666667,24039.5823,5582.979283,12,0,0,186619
신정7동,11470680,dong,양천구,신정7동,14866,15623.33333,2975,2583,2615.333333,2789.666667,515.6666667,2019.666667,3790.333333,4055.666667,3500.333333,5459.333333,5517.333333,3401,1808.333333,797.3333333,31794.29112,2040.088733,11,9.1,0,166928
강서구,11500,gu,강서구,계,292931.6667,308834.6667,104800,58853.33333,47245.66667,40233.66667,9554.333333,48714.33333,51455.33333,87637.66667,108210.3333,96465.33333,92186.66667,68276.66667,34299.33333,12375.33333,577466.2065,174869.051,540,5.4,17,129030
염창동,11500510,dong,강서구,염창동,20060.66667,20780.33333,3907.333333,3126,3805,3972.666667,767,4407,4824.666667,5237.333333,6856,7868,5961,3515.333333,1553.333333,529.6666667,36504.05582,10780.76495,26,0,1,105542
등촌1동,11500520,dong,강서구,등촌1동,11060,12279,6551,2321.666667,1653,1358,270,1552.666667,1670,4501.333333,5377.333333,3401.333333,3175.333333,1923,1038,586,20471.76464,27398.04199,31,3.2,1,139494
등촌2동,11500530,dong,강서구,등촌2동,11016.66667,11091.66667,2688,2017.666667,1848.666667,1634.666667,390.6666667,1580.333333,1969.333333,3484.666667,3888.666667,3272.333333,3743.666667,2619.333333,1103.666667,386.6666667,21357.91833,2334.298292,11,0,0,90672
등촌3동,11500535,dong,강서구,등촌3동,16222.66667,17664,5738.333333,3922.333333,2625.666667,1981,402.6666667,1945.333333,2963.666667,4962.333333,4966.333333,4740.333333,6155.666667,4365,2274.333333,1276.666667,25322.63859,14167.03276,27,14.8,0,151720
화곡1동,11500540,dong,강서구,화곡1동,26511,27243.33333,12451.66667,6135.333333,4306.333333,2747,667.3333333,3554.666667,3148,8615,11776.33333,7689,8129.666667,6510,3304.666667,881.3333333,50800.26582,4443.335917,57,3.5,1,96331
화곡2동,11500550,dong,강서구,화곡2동,9752.666667,10264,2854,2057,1646.666667,1190,354.6666667,1674.666667,1759.666667,2652,3698.333333,3524.666667,2908.666667,2292.666667,1165.333333,289.3333333,20988.46426,1579.854449,12,8.3,0,81370
화곡3동,11500560,dong,강서구,화곡3동,10919.33333,11748.33333,3300.666667,2160,1877,1578,396,1517.333333,1877.333333,3408.666667,3484.666667,3372.333333,3760.666667,3161.666667,1518.333333,477.3333333,22403.18001,2470.88806,13,7.7,0,133359
화곡4동,11500570,dong,강서구,화곡4동,11230.66667,11533.33333,3590.666667,2460,1864,1327,318.3333333,1568,1689,3131.666667,4100,3626.666667,3715.666667,2945.666667,1438,483.3333333,22199.16575,1848.569353,16,0,0,110102
화곡본동,11500590,dong,강서구,화곡본동,17645.33333,18397.33333,7115,3779.666667,2812,2161,541,3045.666667,2922.666667,5218.666667,7226,6123,5076.666667,3862.333333,1866.333333,598.3333333,40179.56407,2625.510153,25,4,0,113843
화곡6동,11500591,dong,강서구,화곡6동,12309.66667,12587.33333,5371.333333,2493.333333,1897,1576.666667,365.3333333,1685,1943.333333,3833.666667,4306,3853.333333,4195.666667,3144.666667,1385.666667,476,27111.68502,10712.60671,34,11.8,0,109570
화곡8동,11500593,dong,강서구,화곡8동,12954.33333,13700.33333,4390.333333,3106.666667,2125,1585.666667,373,1902.333333,1987.666667,3718.333333,5094,4281.666667,3996,3357,1776.333333,471.6666667,24824.24437,1555.77848,15,0,1,130688
가양1동,11500603,dong,강서구,가양1동,15627,17121.66667,12202.33333,2615,2103,1804.333333,438,2162.666667,2240,7561,7616.333333,4662,4343.333333,2559.333333,1101.333333,419.6666667,29004.11118,11750.55483,88,8,2,223449
가양2동,11500604,dong,강서구,가양2동,7720.666667,8431,4049.666667,2149.666667,1093.666667,582,126.3333333,631.6666667,673.6666667,2342,2783.333333,1674.666667,2995.666667,2850.333333,1399.333333,673,16025.98505,2269.077252,5,20,1,163956
가양3동,11500605,dong,강서구,가양3동,7883,8722,3240,2419,1377.333333,669,176,978.6666667,893.3333333,2180.333333,3248.666667,2106.666667,2749,2408.666667,1403,551.6666667,23996.72839,8105.822509,3,0,0,193679
발산1동,11500611,dong,강서구,발산1동,18710.66667,20453.33333,2803.666667,2987.666667,3091.666667,3596,909,4364.666667,5369,4681,5401,7782.333333,5589,3361,1835,669.3333333,39107.43106,7077.075486,22,4.5,0,120116
우장산동,11500615,dong,강서구,우장산동,22353.33333,24114.66667,3816.333333,3140,3701.333333,4304.666667,883.3333333,4623.666667,5781.333333,5647.666667,6927.333333,9131.333333,6699.333333,4702,2190.666667,630.3333333,50503.3588,4644.627852,31,0,1,129003
공항동,11500620,dong,강서구,공항동,13985,13713.33333,5607.333333,2686.666667,2103.333333,1767.333333,458.6666667,2940.666667,1881,3930.333333,5629.666667,4197.666667,4001.666667,2868,1593.666667,554.3333333,27322.1747,40485.04484,42,0,4,92974
방화1동,11500630,dong,강서구,방화1동,22670.66667,23610.66667,4962,3850.333333,3629,3737,1002.333333,5308.666667,4313.333333,5738,7665,7834.666667,6836,5069.333333,2490,868,33965.22794,7403.305593,36,5.6,2,113398
방화2동,11500640,dong,강서구,방화2동,12139.33333,12347.33333,5538,2552.666667,1732,1302,359.6666667,1492.666667,1739,3664,3898.666667,3541.666667,4016,3325,1967.333333,732.6666667,27854.89939,5517.06494,28,3.6,2,76013
방화3동,11500641,dong,강서구,방화3동,12159,13031.66667,4622.333333,2872.666667,1954,1359.666667,355,1778,1809.333333,3129.666667,4266.666667,3781.666667,4138,3436.333333,1895,820,30883.89593,3967.272542,18,16.7,1,151230
구로구,11530,gu,구로구,계,203073,205870.3333,66751,40504,32714,28182.66667,6869.333333,33238,33651,55368.66667,67785.33333,66702,64561.66667,49867.66667,27730,8755.666667,412857.9655,173341.4854,354,4.5,10,119986
신도림동,11530510,dong,구로구,신도림동,18343,19080.33333,2978,2901,3282,3319,685,4118.666667,3671.666667,4687,6813.666667,6650.666667,5317.333333,3779.666667,1728,561,41757.19454,10062.05557,32,3.1,2,135559
구로1동,11530520,dong,구로구,구로1동,10738.66667,10993.66667,2190.333333,1840.666667,1856,1904.333333,383.3333333,2309,2180.333333,2704.666667,4156,3780.333333,3169,2174,873,323.6666667,22250.8223,2405.274683,12,0,0,153878
구로2동,11530530,dong,구로구,구로2동,13568,13256,6180.666667,2971.666667,1833.666667,1260,338.6666667,1312.333333,1849,3514.333333,3455,4457,5020.666667,3760,2586.333333,757,26652.41456,26401.18797,25,0,1,111513
구로3동,11530540,dong,구로구,구로3동,12956.66667,12670,7655.666667,2243,1609.666667,1263,309,1815,1589.666667,4693.666667,5978.666667,4157.333333,3083,2406,1382.666667,464.3333333,25194.96031,78662.18075,69,1.4,2,155814
구로4동,11530550,dong,구로구,구로4동,11053.33333,11227.33333,5075,2519.666667,1580.333333,1064.333333,232.3333333,1261.666667,1451.666667,3047,3696,3531.666667,3707.333333,2944.666667,1935,620.6666667,19326.81178,2323.012179,18,0,0,152001
구로5동,11530560,dong,구로구,구로5동,14909,15802.66667,7022,2921.666667,2209.666667,1815,418.6666667,2318.333333,2010.666667,5070,6053.666667,4578.333333,4783.333333,3321.333333,1916.333333,584.3333333,29342.3284,21083.57383,31,6.5,1,96066
가리봉동,11530595,dong,구로구,가리봉동,5509,4572,3972.666667,976,497.6666667,301,84,353,478.3333333,1230.666667,1235,1696,2261.666667,1550.333333,884.6666667,331,10051.20854,1422.004998,18,0,0,117551
고척1동,11530720,dong,구로구,고척1동,12211.33333,12137.66667,2973,2228.666667,1910.666667,1913,417,1747.666667,2346,3334.666667,3382.666667,3997.333333,4094,3171,1676.666667,527.6666667,26490.16663,6453.043817,13,15.4,0,142898
고척2동,11530730,dong,구로구,고척2동,14676.33333,14778,3765.666667,2766.666667,2333,2132.333333,489.3333333,2381.666667,2744.333333,3934,4054.666667,5000,5014.333333,3564,2013.333333,670.6666667,29389.26954,1938.561046,22,4.5,0,84911
개봉1동,11530740,dong,구로구,개봉1동,16963.66667,16937.33333,4862,3433,2641.333333,2206,568.3333333,2515.333333,2895.333333,4355.666667,4905.666667,5460.666667,5783.666667,4568.333333,2550,761,38023.08769,3376.615261,21,4.8,1,85716
개봉2동,11530750,dong,구로구,개봉2동,16580.33333,17123,3157.666667,3221.333333,2919,2430.333333,593,2942.333333,2705.333333,4094.666667,5619.333333,5111.666667,5264.333333,4725.333333,2431,692.3333333,32161.16932,1453.896928,11,9.1,0,122771
개봉3동,11530760,dong,구로구,개봉3동,10711.66667,11093.66667,2628,2368.333333,1893.333333,1498,359,1648.333333,1819.666667,2777.333333,3519,3480.666667,3502.666667,2956.333333,1541.333333,492.6666667,22434.58123,4608.858138,11,0,0,95081
오류1동,11530770,dong,구로구,오류1동,10460.66667,10707,5671.333333,2456,1647,1217.333333,318,1388.333333,1382,3327,4016.666667,3108,3151,2698.333333,1547.666667,484,17487.32199,2312.007693,26,7.7,0,168058
오류2동,11530780,dong,구로구,오류2동,21711,22798,4392.333333,3905,3078.333333,3022,929.6666667,5044.666667,4192,5328.333333,6985.333333,7436,6390.333333,5020.666667,2963.333333,994.3333333,48053.44159,4552.352752,23,13,2,102656
수궁동,11530790,dong,구로구,수궁동,12680.33333,12693.66667,2870.333333,2563.333333,2124,1690.333333,484.6666667,2081.666667,2335,3269.666667,3914,4256.333333,4019,3227.666667,1700.666667,491,25338.75206,4164.933651,22,9.1,1,81349
금천구,11545,gu,금천구,계,119243.6667,115397.6667,50854.66667,24205.33333,17518.33333,14110.33333,3509,15205.33333,17990.66667,34932,36367.33333,37035,42103.33333,29016,16199.33333,4970.666667,242365.8729,188420.9572,256,2.7,3,110345
가산동,11545510,dong,금천구,가산동,11022,8977.666667,10141.66667,1832.666667,1091.333333,735.6666667,167,916,848.3333333,4638.333333,4452.333333,2692,3099.333333,2014.333333,1002,280.6666667,21715.79792,152015.0747,101,3,1,139572
독산1동,11545610,dong,금천구,독산1동,19348.66667,17757.33333,10117.33333,3996.666667,3061.666667,2589.666667,621,2964.333333,2367,6197.333333,7284.666667,5632,5771.333333,3849.666667,2258.666667,694.3333333,39085.34185,18073.00395,33,0,1,94595
독산2동,11545620,dong,금천구,독산2동,10563.33333,10207.33333,4055,2189.666667,1576.666667,1111.333333,263,1183.333333,1638.666667,3031.666667,2862,3320.666667,4249.333333,2675.666667,1345.333333,386.3333333,21171.96376,1612.757272,15,0,0,84092
독산3동,11545630,dong,금천구,독산3동,13055,12815.33333,5871.333333,2831,1875.666667,1413.333333,335.3333333,1378.666667,1832.333333,3751.666667,3782,4100.333333,5141.666667,3464.666667,1799.333333,519,24399.00946,4514.383036,17,5.9,0,84324
독산4동,11545640,dong,금천구,독산4동,8551.666667,8433.333333,3397,1791,1207.333333,906.3333333,248.3333333,917.6666667,1347,2413.666667,2277,2802.333333,3446.333333,2264.333333,1159.666667,303.6666667,16478.25146,1778.6916,15,6.7,0,99794
시흥1동,11545670,dong,금천구,시흥1동,17582,17551.33333,6734,3628.333333,2639.333333,2163.666667,532,2487.666667,2837.666667,4729,5447.666667,5642.666667,6153.666667,4344.333333,2556,800,42997.5619,11210.91128,40,2.5,1,114362
시흥2동,11545680,dong,금천구,시흥2동,11504.66667,12024.33333,2071,2019.333333,1834.666667,1824,460.6666667,1965.333333,2476.666667,2836.666667,2930,4085,4018,2866.333333,1673,560,25660.60309,1404.054482,3,0,0,167667
시흥3동,11545690,dong,금천구,시흥3동,5958.666667,5883,1454.666667,1299.666667,934.6666667,758,217,744.6666667,892.6666667,1585.666667,1706.666667,1744.666667,2169.666667,1714.666667,958.6666667,283,9609.765608,7090.333304,9,0,0,93004
시흥4동,11545700,dong,금천구,시흥4동,11076.66667,11213.33333,3164,2254.666667,1754,1440.333333,355.6666667,1452,1912.666667,3042.666667,2999,3563.333333,4191.333333,2970,1592.666667,495.3333333,24171.09136,921.8843691,11,9.1,0,125396
시흥5동,11545710,dong,금천구,시흥5동,10581,10534.66667,3848.666667,2362.333333,1543,1168,309,1195.666667,1837.666667,2705.333333,2626,3452,3862.666667,2852,1854,648.3333333,19465.71601,1892.13341,12,0,0,112292
영등포구,11560,gu,영등포구,계,184149.6667,184862.6667,82307.66667,35405.33333,28169.33333,23571,5424.333333,27169,27393.66667,54676.33333,65809.33333,58441,57435.33333,42451.33333,24964,9152.666667,419576.0867,530275.2259,511,4.9,15,117531
영등포본동,11560515,dong,영등포구,영등포본동,11539,11149,4612.666667,2048.666667,1673.333333,1471,342.6666667,1735.333333,1603.333333,3072.666667,3632,3606.333333,3845.666667,2906,1616,573,29807.32255,3152.186025,25,8,1,100764
영등포동,11560535,dong,영등포구,영등포동,13331.33333,10640,12701.33333,2257.333333,1330.333333,1009.333333,224.6666667,1229.666667,1033,4744.666667,5360,3319.333333,3589.666667,2728.333333,1385.333333,487.3333333,18450.33593,20977.61783,72,2.8,1,125932
여의동,11560540,dong,영등포구,여의동,15754.66667,17544,4092.666667,2994.333333,2969.333333,2742.666667,591,3067.666667,2965.333333,3977.333333,5109.333333,5434.666667,5029.666667,3766.333333,2600.666667,1148.666667,42328.86319,338618.3748,95,3.2,4,198252
당산1동,11560550,dong,영등포구,당산1동,10318.33333,10496.33333,5468.666667,2171,1530.666667,1148,271.3333333,1358.333333,1238.333333,3273.333333,4247.666667,3143,3095.333333,2496,1368.666667,504,20778.43437,16553.41906,35,5.7,1,92233
당산2동,11560560,dong,영등포구,당산2동,16727,18606.33333,8858.666667,2956,2675,2369.333333,523,2869,2361.666667,6962.666667,7623.666667,5001.666667,4627,3279.333333,1757.666667,724.6666667,35214.81218,30695.69301,40,5,1,142867
도림동,11560585,dong,영등포구,도림동,9768.666667,9567.666667,4555.666667,2037.666667,1400.666667,1002.333333,249,1266.333333,1194,2795.666667,3619.666667,3164.666667,3132,2154,1417,512.3333333,32291.82077,3557.181973,13,15.4,0,93745
문래동,11560605,dong,영등포구,문래동,15680.33333,15950.66667,3654.333333,2702.666667,2754.666667,2631.333333,569.6666667,3488,2904,3506.666667,6137.333333,5565.666667,4020.333333,3326,1844.666667,699.3333333,27129.78904,38306.02108,41,4.9,1,99035
양평1동,11560610,dong,영등포구,양평1동,8593,8588.666667,4478.333333,1955,1361.333333,969.6666667,199,1456.333333,1140.666667,2428.333333,4056.333333,2729.666667,2131.333333,1710.333333,1054.333333,403.6666667,17046.98743,19266.28357,20,10,1,92632
양평2동,11560620,dong,영등포구,양평2동,11349.66667,11306.33333,4138.333333,2132,1811,1619,317,1910.666667,1959,3650,4831.666667,3722.333333,3152.666667,1927,1038.666667,401,26395.43017,34759.85078,42,2.4,1,106151
신길1동,11560630,dong,영등포구,신길1동,9066,8835,6308.333333,1800.666667,1106,768.6666667,203,806.3333333,1158.666667,3000.333333,2941.333333,2792.333333,2870,2206,1478.333333,553.6666667,16280.12573,3574.74118,18,0,1,119431
신길3동,11560650,dong,영등포구,신길3동,8123,8131,2988.333333,1675.666667,1467,1169,302.6666667,1128.333333,1295.333333,2115.333333,2255.333333,2684.666667,2897.333333,2162.666667,1225.333333,429.6666667,16558.77022,1646.604681,11,9.1,0,91988
신길4동,11560660,dong,영등포구,신길4동,4857,4759,1965,955,723,500.6666667,136,441.6666667,748.3333333,1380.666667,1150.666667,1524.666667,1863.333333,1356.333333,799.3333333,301.6666667,11684.3187,1320.387765,7,0,0,73989
신길5동,11560670,dong,영등포구,신길5동,5277.333333,5553.333333,1821,975.3333333,729.6666667,589.3333333,145,562,895,1382.333333,1388.666667,1725.666667,2052.666667,1599,879,289.3333333,11111.86688,1108.074649,5,20,0,85181
신길6동,11560680,dong,영등포구,신길6동,9217.333333,9404.666667,3782.333333,1838.666667,1401.666667,1117,264.3333333,1260,1410.333333,2800.666667,3050,2857.333333,3056,2333.666667,1308.666667,463.3333333,18383.00013,2708.914875,12,16.7,1,104042
신길7동,11560690,dong,영등포구,신길7동,8611,8571.666667,2081.666667,1488.666667,1549.333333,1636.666667,381,1630.333333,1716.333333,2480.333333,2932,3026.333333,2578.666667,1600,845.3333333,320.6666667,16486.04697,3198.147935,12,8.3,1,122067
대림1동,11560700,dong,영등포구,대림1동,6837.333333,6754,3064.333333,1425.333333,933.6666667,756.6666667,152.6666667,645.6666667,1038.666667,1979,1689,2132.666667,2508.333333,1905.333333,1240.666667,386.3333333,13575.94584,2564.66526,17,0,0,103900
대림2동,11560710,dong,영등포구,대림2동,6406.333333,6664.666667,3717.333333,1539,839,546.6666667,158,681,824.6666667,1672,1868.333333,2066.333333,2363.666667,1836,1329.666667,384,12613.25164,2260.332988,18,0,0,166807
대림3동,11560720,dong,영등포구,대림3동,12692.33333,12340.33333,4018.666667,2452.333333,1913.666667,1523.666667,394.3333333,1632.333333,1907,3454.333333,3916.333333,3943.666667,4621.666667,3159,1774.666667,570,26179.90089,8144.089466,28,7.1,1,106735
동작구,11590,gu,동작구,계,192515.6667,202408.3333,78223.33333,37665.66667,30764.33333,26538.33333,6216.666667,28773.66667,31489,63708.66667,66561.33333,62381,59101.66667,44486,27235.66667,9556.333333,372122.6433,78022.88221,347,4,11,132622
노량진1동,11590510,dong,동작구,노량진1동,16113.66667,16301,6944.333333,3143.666667,2457,2021.666667,500,2285.333333,2334,5433,5365.333333,4693,4996,3813.333333,2388,938.3333333,27437.85166,3489.50341,41,4.9,2,192574
노량진2동,11590520,dong,동작구,노량진2동,6926.666667,6580,4198,1434.666667,852.6666667,545,132.6666667,461.3333333,787.3333333,2380.333333,2025,1877.666667,2421.333333,1874.666667,1187,430.3333333,15302.07881,6808.609484,23,4.3,0,122706
상도1동,11590530,dong,동작구,상도1동,22800.33333,23756.33333,9797.333333,3916.333333,3588.666667,3103.333333,692.6666667,3753,3659.666667,9150.333333,7570.666667,7090.666667,6360,4809.666667,2884.666667,1091.333333,47119.55273,4868.679816,46,2.2,2,119218
상도2동,11590540,dong,동작구,상도2동,13140.66667,13941.33333,5214.333333,2699.333333,2277,2043,454.3333333,2339.666667,2031.666667,4076,4885.333333,4408.333333,3874,2897.333333,1782.333333,653,32786.80158,3535.495504,23,0,1,138636
상도3동,11590550,dong,동작구,상도3동,12449,13450,5247.666667,2645,2031,1532,365.3333333,1694.333333,1946.333333,4095.333333,4660.666667,4011.333333,3946.333333,2891.333333,1920.333333,627,23461.85026,1223.726342,12,8.3,0,182526
상도4동,11590560,dong,동작구,상도4동,14767,15104,5568.333333,3080.333333,2391,1899,440,2153.333333,2269,4397.666667,5297,4737.666667,4687,3432.333333,2036,778.6666667,23793.7249,1367.49186,14,7.1,0,97402
흑석동,11590605,dong,동작구,흑석동,14855.33333,15444.66667,5504,3026.666667,2735.333333,2345,546,2184,2281.333333,4793.666667,4532.333333,4651.333333,4810,3539.333333,2345.333333,967,26518.28512,4720.046202,27,3.7,1,128533
사당1동,11590620,dong,동작구,사당1동,11086.66667,12118,7658.666667,2602,1545,1061.666667,231,1125.666667,1096,4861,4926.666667,3044,3371.666667,2791,1532.666667,394.6666667,28866.04742,6545.995383,30,0,0,118625
사당2동,11590630,dong,동작구,사당2동,13699,14630,4171.666667,2883,2401.333333,1863.666667,458.3333333,2191.666667,1839.666667,3950.666667,5026.666667,4344.666667,4347.666667,3633.666667,2161,694.6666667,25710.22718,3337.393888,23,8.7,2,144351
사당3동,11590640,dong,동작구,사당3동,12019,12577.66667,3480.333333,2423,2175,1878.666667,451.3333333,2035.666667,1765,3447.666667,4168.666667,3761.333333,3814,3164.333333,1813.333333,531.3333333,25426.21675,2829.574546,14,0,0,129235
사당4동,11590650,dong,동작구,사당4동,7164,7598.333333,3172.333333,1608.333333,1121,899.3333333,190,918,906.3333333,2453.333333,2740.333333,2196.333333,2279.333333,1775.333333,1121.333333,297.3333333,12542.44363,917.3528996,10,10,1,115594
사당5동,11590651,dong,동작구,사당5동,6409.666667,6693.666667,2312,1231.333333,1072.333333,912.6666667,188.6666667,1024,990,1973.333333,2382.666667,2108.666667,1961,1465.666667,852.3333333,297.6666667,11407.26798,843.6048453,5,0,0,90373
