NM,CD,GUBUN,,자치구,행정동,,,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
이촌1동,11170630,dong,용산구이촌1동,용산구,이촌1동,13212.33333,15096,2190.333333,2283.333333,2641.333333,2427.666667,569.3333333,2919,3064.666667,2969.333333,3872.666667,5269.333333,4265.333333,2715.333333,1876.333333,1118.333333,36982.96565,2841.764676,13,0,0,300984
이촌2동,11170640,dong,용산구이촌2동,용산구,이촌2동,4220.333333,4738,1289.666667,1061.333333,772.3333333,524.6666667,138,622.3333333,571.3333333,1014,1569.333333,1285.666667,1434.666667,1263,768.6666667,352.6666667,9165.030938,520.3213809,4,0,0, 
이태원1동,11170650,dong,용산구이태원1동,용산구,이태원1동,3327,3707.666667,2167.333333,708,446,311.3333333,81.33333333,296,327,1055.666667,1150.666667,965.3333333,1159,1006.666667,640,357.6666667,6780.549184,5764.253869,26,0,1,230505
이태원2동,11170660,dong,용산구이태원2동,용산구,이태원2동,4355,5063,2615.333333,1026.666667,659.6666667,432,113.6666667,493.6666667,560,1381,1661,1472,1350.333333,1134.666667,886.6666667,396,9293.48432,2594.622636,15,0,0,191382
한남동,11170685,dong,용산구한남동,용산구,한남동,9962.666667,10633,6154.333333,2316.333333,1430,973.6666667,271,1133.666667,1160.333333,2781.666667,4070.666667,3364.666667,3170,2533.333333,1606.666667,623,19398.69636,15424.10898,23,0,2,122788
서빙고동,11170690,dong,용산구서빙고동,용산구,서빙고동,6499.666667,6971.333333,1700.666667,1124.666667,957,1070.333333,347,909.6666667,1585.333333,1786.666667,1591.666667,2566.666667,2207.666667,1298.666667,856.3333333,588,17030.94057,5873.572699,9,0,1,131155
보광동,11170700,dong,용산구보광동,용산구,보광동,7287.666667,7571.333333,4054.333333,1680.666667,997,691.3333333,170,540.6666667,942,2321,2335,2299,2593,1954.333333,1244.333333,517.6666667,12046.53362,806.8761679,10,0,0,95243
성동구,11200,gu,성동구계,성동구,계,150680,156383.6667,55673,29725,24661,19737.33333,4472.666667,22749.33333,22885.33333,46736.33333,52814,48897.66667,49342,34541,20161.66667,7659.333333,314338.9503,195342.2016,314,5.7,16,122685
왕십리2동,11200520,dong,성동구왕십리2동,성동구,왕십리2동,8649.666667,9101,2925,1723.666667,1422,1161.666667,267.3333333,1291.333333,1402.333333,2626.333333,3159,2841.666667,2828.666667,1991.333333,1122,407,19125.3303,1399.466326,8,12.5,1,109410
왕십리도선동,11200535,dong,성동구왕십리도선동,성동구,왕십리도선동,13092.66667,14314.33333,4430.333333,2532,2317.666667,1959,426.6666667,2607,1706,4484.333333,4966.333333,4167.666667,4444.333333,2715.333333,1569,633,26923.27383,8370.765258,33,0,0,146234
