NM,CD,GUBUN,종로구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
남가좌1동,11410690,dong,서대문구,남가좌1동,7941.666667,8471,1433,1204.666667,1474.333333,1470,334,2253,1459.666667,1644,2658.333333,3129.666667,2214.333333,1587.333333,977.6666667,421,18099.57402,4207.172548,10,0,1,152798
남가좌2동,11410700,dong,서대문구,남가좌2동,13248,14240.33333,4768.333333,2660.666667,2237.333333,1938.333333,417.3333333,2327.333333,2295,3969.666667,4143.666667,4472.666667,4110,3065.333333,2066.333333,870.3333333,24269.24567,1787.251072,22,0,0,109731
북가좌1동,11410710,dong,서대문구,북가좌1동,9153.666667,9743,1606.666667,1660.666667,1636.666667,1592,384.6666667,1549.666667,2003,2215.666667,2587.333333,3402.333333,3018.333333,2109.666667,1368,554,17122.01822,1695.684778,11,0,0,98085
북가좌2동,11410720,dong,서대문구,북가좌2동,16194,17133,5587.333333,3533.333333,2744,2170.333333,548.3333333,1830.333333,2635.333333,4885.333333,4514,5266,5579.333333,4461.333333,2925.333333,1087.333333,35731.27723,3148.809044,33,18.2,0,93057
마포구,11440,gu,마포구,계,176871.3333,197407.3333,79296,36115.33333,28584,24419.66667,5628.666667,26266.66667,29535.33333,60922.66667,65421.33333,62497,54341.33333,38366.33333,24407.33333,10638.66667,302764.9501,138540.4944,552,3,15,143138
아현동,11440555,dong,마포구,아현동,11666.66667,13211.33333,3221.333333,2257.666667,2383,1909.666667,341.3333333,2662,1606,3117,5201.666667,3996.333333,3762.666667,2528.666667,1226.666667,626.3333333,22871.2736,18972.83049,26,3.6,1,153369
공덕동,11440565,dong,마포구,공덕동,18847.33333,20936.33333,8829.333333,3986,3087.666667,2499.333333,523.3333333,2398,2601.333333,6711.333333,6695,5972.666667,6767,4451.333333,2745.333333,1239.333333,36676.72791,5113.413352,28,3.8,1,95283
도화동,11440585,dong,마포구,도화동,10643.33333,11646,3612,2049.333333,1805.666667,1614,387,1591.333333,1705.666667,3105.333333,3766.666667,3375,3547.666667,2640,1569.333333,818.6666667,13170.17866,9435.169702,24,0,0,156659
용강동,11440590,dong,마포구,용강동,10365,11554,3210,1961.333333,1881,1652.333333,364,2330,1995.333333,2363.333333,3800.333333,4385,2969.333333,2079.333333,1288.666667,620.6666667,16121.12638,12138.82433,29,0,1,175327
대흥동,11440600,dong,마포구,대흥동,6008.666667,6351,4893.333333,1186,676.3333333,563.6666667,112.3333333,510,797.3333333,2945.666667,1941.333333,1829.333333,1687,1291.333333,860,403.6666667,8987.697917,5798.780681,40,3.4,3,147738
염리동,11440610,dong,마포구,염리동,5998,6364,2443,1192.333333,979,836,183,965.3333333,1145.666667,1816.666667,1930,2232.333333,1835,1144.333333,865,371,11637.98829,3618.534173,9,0,1,145494
신수동,11440630,dong,마포구,신수동,11438.66667,11998,3887,2148.333333,1982,1700.666667,362,1752.333333,2005.666667,3534.666667,3853.333333,4047.333333,3543.666667,2384,1534.666667,664.6666667,13360.37729,4735.550369,18,11.1,0,91125
서강동,11440655,dong,마포구,서강동,11955.66667,13159.33333,5218.333333,2220,1966.333333,1748.333333,388.6666667,1992.333333,1808.666667,4658.333333,4271.666667,4175.333333,3693,2364.333333,1390.666667,649.3333333,14964.80475,4818.771435,36,0,2,147395
서교동,11440660,dong,마포구,서교동,11115.33333,13002.33333,8856,2379.333333,1460.333333,1056,269.6666667,940,1311.666667,5285.333333,5060.333333,3768.333333,3100.333333,2213.666667,1562.333333,730.3333333,18972.02211,27068.85575,127,8.3,2,156598
합정동,11440680,dong,마포구,합정동,8649,9980.333333,5059.333333,2111,1269.666667,893.6666667,205,1254.333333,1033.333333,3615,3852.333333,2686,2447.666667,1910.333333,1223.333333,510.6666667,17955.87578,5505.547464,28,4.7,1,159000
망원1동,11440690,dong,마포구,망원1동,10087.33333,11332.66667,5107.666667,2438.333333,1487,1244.666667,298.3333333,1175.333333,1423.333333,3554.333333,4064.333333,3409,3093.666667,2386.333333,1619.666667,613.6666667,16778.42374,3204.410545,26,0,0,138108
망원2동,11440700,dong,마포구,망원2동,9113,10061,3190,1997.333333,1455,1395,305,1295.666667,1675,2806.333333,3099.666667,3334,2784.333333,2147.666667,1432,516,8014.10096,2881.48695,18,3.8,0,123015
연남동,11440710,dong,마포구,연남동,7401.333333,8353,4944,1683.666667,1045.666667,719.6666667,207.6666667,712.3333333,863,3088.333333,3224.333333,2419,2053.333333,1678.666667,1117,499.3333333,12562.55328,3208.712497,26,11.1,0,129145
성산1동,11440720,dong,마포구,성산1동,9315.333333,10445.33333,4299.666667,2058,1487.333333,1149.666667,320,1073,1533.666667,3190.666667,3526.666667,3481.666667,2895,2108.666667,1364.333333,511,14493.46151,5474.31054,29,0,0,102437
성산2동,11440730,dong,마포구,성산2동,18924.33333,22279,8211.666667,3925.333333,3186.666667,2809,643,2804,3683.666667,6779.666667,6983.666667,6915.666667,5742,4129.333333,2885.666667,1087.666667,35749.68997,2866.504631,36,0,2,121125
상암동,11440740,dong,마포구,상암동,15342.33333,16733.66667,4313.333333,2521.333333,2431.333333,2628,718.3333333,2810.666667,4346,4350.666667,4150,6470,4419.666667,2908.333333,1722.666667,776.3333333,30634.33692,16830.48383,52,2.8,1,194594
양천구,11470,gu,양천구,계,224646,232540,50934,37895.33333,38238,39295.33333,8636.333333,33087,52149.66667,60553,59313.33333,80646.66667,77026.66667,54972,27363.66667,10292.66667,446324.031,135994.3762,318,7.7,7,117767
목1동,11470510,dong,양천구,목1동,15359.33333,16627,1575.666667,1756.333333,2946.333333,3414,651,3101,5196.666667,3503,3533.333333,7079.666667,4973,2775,1289,448.3333333,28605.47285,15626.21702,36,3.1,2,164926
목2동,11470520,dong,양천구,목2동,15202.66667,15975.66667,4724.666667,2896,2579.333333,2284.666667,539.3333333,1913.333333,2712.333333,5108.333333,5537,4771,5033,3690,1647.333333,653.6666667,31410.21047,5576.015663,27,8.3,1,112120
목3동,11470530,dong,양천구,목3동,11023,11874.66667,3629.666667,2420.333333,1958.666667,1528.333333,328.6666667,1450,1620.666667,3696.333333,4124,3342.333333,3808.666667,2883.666667,1327.333333,555.6666667,22758.00358,2489.560549,17,0,1,121981
목4동,11470540,dong,양천구,목4동,13047,13556,2980.666667,1895,2097,2473,533.6666667,1545.333333,3593.666667,4189.666667,2992.666667,4847.333333,4855,2569,1414.666667,526.3333333,26366.0861,2838.31745,19,0,0,111534
목5동,11470550,dong,양천구,목5동,21214,21652.33333,1648.333333,2082.333333,3709,5053.333333,852,3617,7737.666667,4679.333333,4228,9500,6703,3903,1617.333333,713,37740.75496,27437.17304,20,0,0,206114
신월1동,11470560,dong,양천구,신월1동,10930,10359.33333,4367.666667,2367.666667,1743.333333,1241,297,1117,1410,2728,2842.333333,3285.666667,4033,3460.666667,1772.666667,547.6666667,22331.42724,2333.5682,14,0,0,98129
신월2동,11470570,dong,양천구,신월2동,10696.33333,11137.66667,2403,2039,1879.666667,1621.666667,455.3333333,1596.666667,1858.666667,2694,3218.333333,3439.666667,3463.666667,3306,1638,535,22061.26879,3005.163285,10,7.1,0,88723
신월3동,11470580,dong,양천구,신월3동,8628,7728,3903.666667,1790.666667,1209.333333,859.6666667,258.3333333,997.3333333,1243.666667,2136.333333,2159,2414.333333,3095.333333,2487,1315.333333,439.6666667,15401.27794,1567.101731,12,0,0,66646
신월4동,11470590,dong,양천구,신월4동,9263,9599,1524,1618.666667,1635,1577.333333,407,1674.333333,1724.333333,2200,2666.333333,3106.333333,2990.333333,2622.666667,1350,465.3333333,20967.02848,2004.916806,15,0,0,85973
신월5동,11470600,dong,양천구,신월5동,7639,7721,2167.666667,1496.666667,1303,1071.666667,278.3333333,1070.333333,1387.666667,2163.666667,2251.666667,2399.666667,2628,2010.666667,1048.666667,350.6666667,19988.21086,2887.288555,19,0,0,81476
신월6동,11470610,dong,양천구,신월6동,3269,3312.333333,643,587.6666667,540,554,137.6666667,397,711,815.3333333,763,1065.666667,1139.666667,988,501,163.6666667,6181.517389,1046.04521,10,0,0,91783
신월7동,11470611,dong,양천구,신월7동,10521,10864.66667,3054.333333,2592.666667,1855.333333,1383,289,1248,1513,2780.666667,2848.666667,3143.333333,3766.333333,3402.666667,1824.666667,758.6666667,20891.7956,3694.715069,15,0,1,94838
신정1동,11470620,dong,양천구,신정1동,10432.33333,10923.66667,1398.333333,1246.333333,1683.333333,2336.666667,478,1922.666667,3150.333333,2537.333333,2216.666667,4246.666667,3555,2094.333333,1085.333333,442.6666667,20678.03177,11167.18326,10,0,0,112028
신정2동,11470630,dong,양천구,신정2동,10038.66667,10470,1568.666667,1279.333333,1547,2207.333333,465,1407,3006.666667,2727.333333,1949.666667,3930.666667,3698,2167.666667,1067,473,17939.59318,12222.20542,12,10,0,107798
신정3동,11470640,dong,양천구,신정3동,23277.33333,24424.33333,4550.333333,4169,3871.333333,4021,1090.333333,3814,5489,6075,6110.333333,8443.666667,7941,5560,2978.666667,1100,45894.85994,7246.232805,19,8.3,1,136244
신정4동,11470650,dong,양천구,신정4동,16979,17616,6809.666667,3600.333333,2802.333333,2106.666667,543.3333333,1956.666667,2471.666667,5359.333333,5575.666667,5413.666667,5574.666667,4719.333333,2603,792,35227.13633,7324.584557,40,0,1,101246
신정6동,11470670,dong,양천구,신정6동,12297,12974,1009.666667,1474.333333,2262.666667,2772.333333,516.6666667,2171,3750.666667,3275.666667,2888,4818,4396,2495.333333,942.6666667,439.3333333,24938.821,17920.61331,12,5,0,186619
신정7동,11470680,dong,양천구,신정7동,14829.33333,15724.33333,2975,2583,2615.333333,2789.666667,515.6666667,2088.333333,3572,3883.666667,3408.666667,5399,5373,3837,1941,888,32412.98055,6084.30818,11,8.3,0,166928
강서구,11500,gu,강서구,계,285671,304769,104800,58853.33333,47245.66667,40233.66667,9554.333333,43285,46846,87375,102262,93210.66667,88688.33333,74229.66667,37884.33333,14089,569779.7712,144229.2766,569,9.1,17,129030
염창동,11500510,dong,강서구,염창동,20653.33333,21726.33333,3907.333333,3126,3805,3972.666667,767,4347.666667,4591.666667,5673.333333,7440,7795,6058,4018,1698.333333,662.3333333,37273.66611,17470.86458,29,3,1,105542
등촌1동,11500520,dong,강서구,등촌1동,11105.66667,12400,6551,2321.666667,1653,1358,270,1397.666667,1475.666667,4581.333333,5631,3324.333333,3101.333333,2121.666667,1092.666667,647.3333333,21228.53131,7821.133479,37,3.4,1,139494
등촌2동,11500530,dong,강서구,등촌2동,10664.33333,10975,2688,2017.666667,1848.666667,1634.666667,390.6666667,1502,1723.333333,3359.333333,3686,3154.666667,3567,2826,1293,442.3333333,22018.93168,5053.25979,10,2.7,0,90672
등촌3동,11500535,dong,강서구,등촌3동,15267.33333,16827,5738.333333,3922.333333,2625.666667,1981,402.6666667,1820.666667,2311.666667,4331.666667,4682.666667,4157.333333,5672.666667,4961,2473,1382,23469.28565,11116.49639,28,10,0,151720
화곡1동,11500540,dong,강서구,화곡1동,26037.33333,27328.66667,12451.66667,6135.333333,4306.333333,2747,667.3333333,3123.333333,2715.333333,9036.333333,11094.33333,7777.333333,7733.333333,6899,3694.333333,1125.666667,50102.83082,4716.122995,59,0,1,96331
화곡2동,11500550,dong,강서구,화곡2동,9233.666667,9769.333333,2854,2057,1646.666667,1190,354.6666667,1391.666667,1574.666667,2563.333333,3179.666667,3248.333333,2907.333333,2408.666667,1308.333333,359.3333333,19833.20214,1578.823885,12,3.4,0,81370
화곡3동,11500560,dong,강서구,화곡3동,10787,11650.33333,3300.666667,2160,1877,1578,396,1428.333333,1688.666667,3297.333333,3413.333333,3294.666667,3498.666667,3409.666667,1749.333333,546.3333333,22220.1879,5275.118504,14,0,0,133359
화곡4동,11500570,dong,강서구,화곡4동,10600.66667,11007.66667,3590.666667,2460,1864,1327,318.3333333,1303,1454,2989.333333,3615.333333,3341,3559.666667,3073.333333,1629.666667,558.6666667,20806.01317,2603.75413,17,14.3,0,110102
화곡본동,11500590,dong,강서구,화곡본동,17288.33333,18143.66667,7115,3779.666667,2812,2161,541,2563.666667,2636.333333,5771.333333,6655,5831.333333,4989,4116,2073.666667,658,39006.79212,3287.949953,29,11.8,0,113843
화곡6동,11500591,dong,강서구,화곡6동,12309,12696.66667,5371.333333,2493.333333,1897,1576.666667,365.3333333,1404,1764,4072.333333,4159,3766.666667,4075,3531.333333,1605,532.6666667,26700.32785,11641.40789,31,0,0,109570
화곡8동,11500593,dong,강서구,화곡8동,12440,13433.33333,4390.333333,3106.666667,2125,1585.666667,373,1578,1731,3870.333333,4587,4088.333333,3933.333333,3449,2009,550.3333333,24329.01158,1903.375834,15,6.5,1,130688
가양1동,11500603,dong,강서구,가양1동,15744,18104.33333,12202.33333,2615,2103,1804.333333,438,1896.333333,2037.666667,8255.666667,8053.666667,4578.666667,4281,3012,1178.666667,470.3333333,31477.20047,4260.490908,84,0,2,223449
가양2동,11500604,dong,강서구,가양2동,7114.333333,7868.333333,4049.666667,2149.666667,1093.666667,582,126.3333333,571.3333333,503.3333333,1847,2603.333333,1488.333333,2470.333333,3140.333333,1505,725.3333333,15126.17855,2857.913833,6,1.2,1,163956
가양3동,11500605,dong,강서구,가양3동,7536.666667,8488.333333,3240,2419,1377.333333,669,176,830.6666667,684,1965,3240.666667,2021,2406.333333,2642,1504.333333,616.3333333,23043.10221,4604.897578,7,0,0,193679
발산1동,11500611,dong,강서구,발산1동,18258,20080.66667,2803.666667,2987.666667,3091.666667,3596,909,3806.666667,5144.666667,4738.333333,4692.666667,7510.333333,5703.333333,3794.333333,2058.333333,752,37436.2651,3152.959148,43,0,0,120116
우장산동,11500615,dong,강서구,우장산동,21315.33333,23154.33333,3816.333333,3140,3701.333333,4304.666667,883.3333333,4098.333333,5580,5341,5925,8791,6587.666667,4856.666667,2440,701,47830.44623,6729.99285,25,2.3,1,129003
공항동,11500620,dong,강서구,공항동,13828,13500.33333,5607.333333,2686.666667,2103.333333,1767.333333,458.6666667,2735.666667,1762.666667,3931,5251.333333,4200,3885,3142.333333,1676.333333,625.6666667,29757.37255,32402.74833,46,4,4,92974
방화1동,11500630,dong,강서구,방화1동,22074.66667,23164,4962,3850.333333,3629,3737,1002.333333,4659.333333,4297.333333,5514.666667,6897.666667,7898.666667,6644,5448.666667,2714.333333,995.6666667,33349.05564,6936.788332,31,0,2,113398
방화2동,11500640,dong,강서구,방화2동,11691.66667,11953,5538,2552.666667,1732,1302,359.6666667,1271.333333,1551,3476.333333,3605.666667,3318.333333,3800.666667,3560.333333,2091.666667,837,27401.00013,3876.576221,27,6.5,2,76013
방화3동,11500641,dong,강서구,방화3동,11721.66667,12497.66667,4622.333333,2872.666667,1954,1359.666667,355,1555.333333,1619,2760,3848.666667,3625.333333,3814.666667,3819.333333,2089.333333,900.6666667,29518.25263,6072.083906,19,3.7,1,151230
구로구,11530,gu,구로구,계,200825.6667,205452,66751,40504,32714,28182.66667,6869.333333,30126.66667,31190.33333,55593.66667,64380.33333,64325.33333,63792,53840,30768.66667,10676.33333,397702.7436,140201.3449,363,0,10,119986
신도림동,11530510,dong,구로구,신도림동,17940,18758.33333,2978,2901,3282,3319,685,3761.333333,3593.333333,4457.666667,6420.333333,6590.333333,5225,3966.333333,1910.333333,669.6666667,41361.74746,14544.16249,34,2.2,2,135559
구로1동,11530520,dong,구로구,구로1동,10575,10944.66667,2190.333333,1840.666667,1856,1904.333333,383.3333333,2026.333333,2040,2902.666667,3957.666667,3701,3062.666667,2471.333333,953,342,21485.96933,4844.068819,12,0,0,153878
구로2동,11530530,dong,구로구,구로2동,12687.33333,12456.66667,6180.666667,2971.666667,1833.666667,1260,338.6666667,1026.333333,1503,3316,3035.666667,3747.666667,4845.666667,3919,2672,933.3333333,24728.29154,13623.68683,26,0,1,111513
구로3동,11530540,dong,구로구,구로3동,12291.33333,11910.33333,7655.666667,2243,1609.666667,1263,309,1504,1486.666667,4249.666667,5165.333333,4097,3014.333333,2536.333333,1509,560,23955.94483,51726.67518,70,7.7,2,155814
구로4동,11530550,dong,구로구,구로4동,10146.66667,10648.33333,5075,2519.666667,1580.333333,1064.333333,232.3333333,941.6666667,1230.333333,2892.666667,3081.666667,3129,3585.666667,3035.333333,2046.666667,750.3333333,17933.68821,1845.247717,20,1.4,0,152001
구로5동,11530560,dong,구로구,구로5동,14405.66667,15399,7022,2921.666667,2209.666667,1815,418.6666667,2006.333333,1736.666667,5110.333333,5608,4273,4626.333333,3588.333333,2058,705.3333333,28659.52553,13782.46705,31,5,1,96066
가리봉동,11530595,dong,구로구,가리봉동,5072.333333,4256.333333,3972.666667,976,497.6666667,301,84,278.6666667,326.6666667,1348.666667,1192,1293,1992,1595.333333,860.3333333,367,9007.314474,935.1751409,14,0,0,117551
고척1동,11530720,dong,구로구,고척1동,11840.33333,11815.66667,2973,2228.666667,1910.666667,1913,417,1448,2089.333333,3325.666667,2996.666667,3681.333333,4061.666667,3453.666667,1900,603.6666667,25326.08814,8189.671785,15,0,0,142898
고척2동,11530730,dong,구로구,고척2동,13955.33333,14194,3765.666667,2766.666667,2333,2132.333333,489.3333333,1986.666667,2421.666667,3727,3525,4556,4926.333333,3821.666667,2248,830.6666667,28573.40394,3163.868443,23,0,0,84911
개봉1동,11530740,dong,구로구,개봉1동,16263.66667,16187.66667,4862,3433,2641.333333,2206,568.3333333,2154.666667,2458.333333,4242,4528.666667,4894.333333,5589,4786.666667,2757.333333,917.6666667,36408.2335,5429.947224,20,0,1,85716
개봉2동,11530750,dong,구로구,개봉2동,15842.33333,16499.33333,3157.666667,3221.333333,2919,2430.333333,593,2496.666667,2477.666667,3860.666667,4917.666667,5010.666667,4954.333333,4906.666667,2754.333333,825.6666667,30732.47327,7563.171822,13,5,0,122771
개봉3동,11530760,dong,구로구,개봉3동,10478.66667,10952.33333,2628,2368.333333,1893.333333,1498,359,1398,1546,2723.666667,3125,3300,3543,3352.666667,1716,642,21820.00188,2003.470243,9,0,0,95081
오류1동,11530770,dong,구로구,오류1동,11077.33333,11512.33333,5671.333333,2456,1647,1217.333333,318,1315.666667,1288.666667,3936.333333,4386.666667,3183.666667,3077.333333,2890.666667,1782,643,18813.11781,3584.404565,22,0,0,168058
오류2동,11530780,dong,구로구,오류2동,26142.66667,27597,4392.333333,3905,3078.333333,3022,929.6666667,6158.333333,4858.666667,6359.333333,8975,8894.333333,7254,6069,3680.333333,1293.333333,45533.12264,4860.462809,32,0,2,102656
수궁동,11530790,dong,구로구,수궁동,12107,12320,2870.333333,2563.333333,2124,1690.333333,484.6666667,1624,2133.333333,3141.333333,3465,3974,4034.666667,3447,1921.333333,592.6666667,24230.62307,3671.547673,22,9.4,1,81349
금천구,11545,gu,금천구,계,118162.6667,114662.6667,50854.66667,24205.33333,17518.33333,14110.33333,3509,13543.33333,15564,36423.33333,35623,34074.33333,41190.66667,31789.66667,17595.66667,6064.666667,239697.158,130205.6856,296,0,3,110345
가산동,11545510,dong,금천구,가산동,11738.66667,9499.666667,10141.66667,1832.666667,1091.333333,735.6666667,167,775.6666667,740.6666667,5448.333333,4860.666667,2687,2981.666667,2234.333333,1110.333333,346.6666667,23551.91583,94781.16958,121,3,1,139572
독산1동,11545610,dong,금천구,독산1동,21726.66667,20304,10117.33333,3996.666667,3061.666667,2589.666667,621,3323,2364.666667,7371.666667,8491.666667,6177.666667,6201.666667,4601.666667,2503,873.3333333,43999.19022,13729.71332,43,4.1,1,94595
독산2동,11545620,dong,금천구,독산2동,9849,9510.666667,4055,2189.666667,1576.666667,1111.333333,263,984.6666667,1324,2825.333333,2542.333333,2790.666667,3960.333333,2880.666667,1508,460,19534.07,1798.767306,15,0,0,84092
독산3동,11545630,dong,금천구,독산3동,12651,12435.33333,5871.333333,2831,1875.666667,1413.333333,335.3333333,1141,1500,3906.666667,3513.333333,3547,4995.666667,3744.666667,1959,658.6666667,23673.60061,3920.01579,23,6.7,0,84324
독산4동,11545640,dong,금천구,독산4동,7997.333333,7915.333333,3397,1791,1207.333333,906.3333333,248.3333333,699.6666667,1072.333333,2338,2039,2309.666667,3342.666667,2398.666667,1268.333333,380.6666667,15630.83753,1721.157168,15,0,0,99794
시흥1동,11545670,dong,금천구,시흥1동,17092.33333,17058,6734,3628.333333,2639.333333,2163.666667,532,2064.666667,2429,4971.666667,4919.333333,5182.333333,6063,4645.666667,2772.666667,942.3333333,40888.60214,7854.180072,42,6.7,1,114362
시흥2동,11545680,dong,금천구,시흥2동,10881.66667,11508,2071,2019.333333,1834.666667,1824,460.6666667,1704,2237,2608,2617.333333,3672.666667,3869.333333,3113.333333,1774.333333,662.6666667,24323.3058,3698.563763,3,2.4,0,167667
시흥3동,11545690,dong,금천구,시흥3동,5671,5650.333333,1454.666667,1299.666667,934.6666667,758,217,610.3333333,757.3333333,1482.666667,1503.333333,1613.666667,2077.666667,1861.666667,1017,349,9132.942103,6487.054916,9,0,0,93004
시흥4동,11545700,dong,금천구,시흥4동,10551.33333,10693,3164,2254.666667,1754,1440.333333,355.6666667,1222.333333,1620.333333,2834.333333,2732,3101.333333,4019,3272.666667,1757,605.6666667,22910.71813,1603.839869,11,11.1,0,125396
시흥5동,11545710,dong,금천구,시흥5동,10003.66667,10088.33333,3848.666667,2362.333333,1543,1168,309,1018,1518.666667,2636.666667,2404,2992.333333,3679.666667,3036.333333,1926,785.6666667,18775.08224,1694.084019,14,0,0,112292
영등포구,11560,gu,영등포구,계,183429.3333,186546.3333,82307.66667,35405.33333,28169.33333,23571,5424.333333,25462,24725.66667,57238.66667,66410,55834.33333,56359,44946.66667,26494.33333,10741,415344.9581,453467.3013,520,0,15,117531
영등포본동,11560515,dong,영등포구,영등포본동,11169.66667,10688.66667,4612.666667,2048.666667,1673.333333,1471,342.6666667,1557.666667,1398.666667,2823.666667,3395.333333,3274.666667,3731.666667,3123.666667,1780,650.6666667,26528.17851,6901.67926,21,3.5,1,100764
영등포동,11560535,dong,영등포구,영등포동,14559.33333,12213,12701.33333,2257.333333,1330.333333,1009.333333,224.6666667,1247.666667,906.6666667,6022,6400.333333,3459.333333,3623.666667,2921.666667,1521.666667,555,23733.25221,13069.5543,66,0,1,125932
여의동,11560540,dong,영등포구,여의동,16134.33333,18208.33333,4092.666667,2994.333333,2969.333333,2742.666667,591,3083,2899.333333,4004.333333,5428.333333,5526.333333,5109.333333,4035.333333,2667,1369.333333,42917.80829,272940.9708,105,4.5,4,198252
당산1동,11560550,dong,영등포구,당산1동,10304.33333,10686,5468.666667,2171,1530.666667,1148,271.3333333,1243.666667,1082.333333,3568.333333,4251,3012.333333,3118,2578,1439.333333,605.6666667,20920.10551,9121.210213,36,3.8,1,92233
당산2동,11560560,dong,영등포구,당산2동,16883.66667,19098.33333,8858.666667,2956,2675,2369.333333,523,2673.333333,2275.333333,7233,7773.333333,5009.333333,4607.666667,3531.333333,1871,844.6666667,36013.85661,14114.75951,41,2.8,1,142867
도림동,11560585,dong,영등포구,도림동,9371.333333,9192.666667,4555.666667,2037.666667,1400.666667,1002.333333,249,1092.333333,1006,2695,3364.333333,2888,3034,2252.333333,1512.666667,631.6666667,30768.9641,2671.186277,13,2.4,0,93745
문래동,11560605,dong,영등포구,문래동,15673.66667,16088,3654.333333,2702.666667,2754.666667,2631.333333,569.6666667,3243.666667,2957.666667,3580.333333,5770,5765.333333,4064,3449,1991,794,27188.07,69977.44,43,7.7,1,99035
양평1동,11560610,dong,영등포구,양평1동,8872,8974,4478.333333,1955,1361.333333,969.6666667,199,1348,1051,2733.333333,4351.666667,2875.333333,2123.333333,1746,1098.666667,437,17852.53222,12974.73588,22,0,1,92632
양평2동,11560620,dong,영등포구,양평2동,11215.66667,11302,4138.333333,2132,1811,1619,317,1774.666667,1704.333333,3653.666667,5044.333333,3466,3115.333333,2133.333333,1083,474.6666667,25867.33504,17223.12893,38,9.1,1,106151
신길1동,11560630,dong,영등포구,신길1동,8951.666667,8715.666667,6308.333333,1800.666667,1106,768.6666667,203,682,955.6666667,3358.333333,2997.666667,2505,2658.333333,2242,1532,632.6666667,14963.38903,3058.2551,17,5.3,1,119431
신길3동,11560650,dong,영등포구,신길3동,8553.333333,8748.666667,2988.333333,1675.666667,1467,1169,302.6666667,1257.666667,1218,2226,2569.666667,2628.666667,3015,2419.333333,1378,511.6666667,15625.42252,1357.226136,11,5.9,0,91988
신길4동,11560660,dong,영등포구,신길4동,4472.666667,4447.666667,1965,955,723,500.6666667,136,316.3333333,628.3333333,1291,1073.666667,1247,1683.333333,1430,845.6666667,340,10462.34493,1462.150781,5,0,0,73989
신길5동,11560670,dong,영등포구,신길5동,4613.666667,4907.333333,1821,975.3333333,729.6666667,589.3333333,145,555.3333333,679.6666667,1237.666667,1197.666667,1429.333333,1743.666667,1479.333333,836,307,8940.040571,1324.031325,9,0,0,85181
신길6동,11560680,dong,영등포구,신길6동,8891,9234.333333,3782.333333,1838.666667,1401.666667,1117,264.3333333,1065.333333,1178.333333,3016.666667,2941.333333,2566.333333,2838,2503.333333,1374.333333,551,19555.89086,2649.566201,14,11.1,1,104042
신길7동,11560690,dong,영등포구,신길7동,9349,9424,2081.666667,1488.666667,1549.333333,1636.666667,381,1958,1691,2631.666667,3192,3122.666667,2855.666667,1894.666667,971.3333333,392.6666667,16671.7872,2874.703735,15,0,1,122067
대림1동,11560700,dong,영등포구,대림1동,6439.666667,6431.333333,3064.333333,1425.333333,933.6666667,756.6666667,152.6666667,515.3333333,836,2025.666667,1495.666667,1841.333333,2355.666667,1949.333333,1323.666667,455,12787.58184,2407.786781,14,0,0,103900
대림2동,11560710,dong,영등포구,대림2동,6144,6472.333333,3717.333333,1539,839,546.6666667,158,523.6666667,646.3333333,1921.666667,1722,1766.333333,2289,1842,1368,480.6666667,12107.76421,4409.61192,20,7.1,0,166807
대림3동,11560720,dong,영등포구,대림3동,11830.33333,11714,4018.666667,2452.333333,1913.666667,1523.666667,394.3333333,1324.333333,1611,3216.333333,3441.666667,3451,4393.333333,3416,1901,707.6666667,24197.28405,6161.472633,30,0,1,106735
동작구,11590,gu,동작구,계,191492.3333,203791.3333,78223.33333,37665.66667,30764.33333,26538.33333,6216.666667,26218,29181.66667,66453,63637.33333,60343.33333,59123.66667,47786.33333,29261,11276.66667,370695.8228,72611.80317,341,3.3,11,132622
노량진1동,11590510,dong,동작구,노량진1동,15978.66667,16249.66667,6944.333333,3143.666667,2457,2021.666667,500,2079.333333,2079.666667,5574.666667,5372.333333,4458.666667,4789.666667,4101.666667,2482.666667,1089.333333,26989.98295,4945.076726,41,2.9,2,192574
노량진2동,11590520,dong,동작구,노량진2동,6557.666667,6183.666667,4198,1434.666667,852.6666667,545,132.6666667,384.6666667,625,2231.666667,1872.333333,1599,2289.666667,1955.333333,1211,480.6666667,14491.65297,4843.972055,19,2.4,0,122706
상도1동,11590530,dong,동작구,상도1동,22218.33333,23462.33333,9797.333333,3916.333333,3588.666667,3103.333333,692.6666667,3188.333333,3431.333333,9701,6604,6691.333333,6416,5059.666667,3077,1273,46306.08253,6261.89929,48,5.3,2,119218
상도2동,11590540,dong,동작구,상도2동,13825.66667,14912.33333,5214.333333,2699.333333,2277,2043,454.3333333,2400.333333,2000,4479.666667,4972,4524,4172.666667,3270.666667,1946.666667,825.3333333,35346.0687,2193.657534,16,2.1,1,138636
상도3동,11590550,dong,동작구,상도3동,12262.66667,13303.66667,5247.666667,2645,2031,1532,365.3333333,1408.333333,1780.666667,4259,4364,3852,3919.666667,3075.666667,2053.333333,734.3333333,23205.51084,1241.842202,12,6.3,0,182526
