NM,CD,GUBUN,종로구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
이촌2동,11170640,dong,용산구,이촌2동,4167.666667,4694,1289.666667,1061.333333,772.3333333,524.6666667,138,574,532.3333333,1028.333333,1530.333333,1251.666667,1417.333333,1305.666667,775,372,9128.157769,2976.48412,5,0,0,73394
이태원1동,11170650,dong,용산구,이태원1동,3230,3603.333333,2167.333333,708,446,311.3333333,81.33333333,260.6666667,308.3333333,978,1096.666667,915.6666667,1132,1043.333333,640.6666667,366.3333333,6641.8293,12821.25899,26,0,1,200018
이태원2동,11170660,dong,용산구,이태원2동,4289.333333,4993.333333,2615.333333,1026.666667,659.6666667,432,113.6666667,461.3333333,507.3333333,1346.333333,1708.333333,1394.333333,1297,1188.333333,873,415.3333333,9084.114318,1228.825803,13,3.8,0,137777
한남동,11170685,dong,용산구,한남동,10133,10889.33333,6154.333333,2316.333333,1430,973.6666667,271,1191.666667,1179,2793.666667,4049.333333,3384.666667,3252.333333,2665.333333,1639.666667,681.3333333,19474.91359,39459.82394,25,0,2,145118
서빙고동,11170690,dong,용산구,서빙고동,6445.333333,6937,1700.666667,1124.666667,957,1070.333333,347,831,1546.333333,1819.666667,1549.333333,2536.333333,2235.666667,1361.666667,807.6666667,605,16936.67807,18801.54696,9,4,1,73081
보광동,11170700,dong,용산구,보광동,7040.333333,7283.333333,4054.333333,1680.666667,997,691.3333333,170,492,843.6666667,2237,2181,2141.666667,2531.666667,1965,1261.333333,552,11346.49678,844.3496658,10,0,0,98935
성동구,11200,gu,성동구,계,146669.3333,153080.3333,55673,29725,24661,19737.33333,4472.666667,21573.33333,21222.33333,45779.33333,50494.33333,46886.33333,48368.33333,35452.66667,20473.33333,8143.666667,306548.8057,82139.69109,318,0,16,117770
왕십리2동,11200520,dong,성동구,왕십리2동,8449.333333,8887.666667,2925,1723.666667,1422,1161.666667,267.3333333,1239.666667,1282.333333,2558.666667,3019.666667,2744.333333,2786.333333,2032.333333,1157.666667,432,18768.81226,1352.640076,11,4.1,1,109989
왕십리도선동,11200535,dong,성동구,왕십리도선동,13017,14264.33333,4430.333333,2532,2317.666667,1959,426.6666667,2474.666667,1670,4453,4875.666667,4097.666667,4436.666667,2883.666667,1594,671.3333333,27241.79762,5958.798914,28,9.1,0,132878
마장동,11200540,dong,성동구,마장동,11453.66667,11772,4862,2286.333333,1753.666667,1461.333333,363.6666667,1288.333333,1784,4456,3294.666667,3168,3855.666667,2888.333333,1711.666667,677.3333333,22636.586,7448.898845,19,7.1,1,117459
사근동,11200550,dong,성동구,사근동,5981.666667,5682.333333,5235.333333,968,567,473.3333333,131.3333333,453.6666667,826.6666667,4291.333333,1633.666667,1169.666667,1284.666667,938,759.3333333,264.6666667,10861.02904,2464.188952,34,5.3,2,139450
행당1동,11200560,dong,성동구,행당1동,7631.666667,8116,3007,1515.333333,1315.333333,1044.666667,219.3333333,1051,1109,2575.666667,2534.666667,2430,2583.666667,1868,1107.333333,415,16863.00024,2476.115846,17,2.9,1,139883
행당2동,11200570,dong,성동구,행당2동,11505.33333,12948.33333,2374,2369.666667,2187.333333,1965.333333,412.6666667,1967.666667,2236.666667,3071.666667,3812.666667,4282.333333,3923.666667,2672.333333,1700.333333,668.3333333,22582.03794,246.1958412,7,5.9,1,167266
응봉동,11200580,dong,성동구,응봉동,7590.666667,8432.333333,1627,1401,1437.666667,1310,298.3333333,1251.666667,1762,1780,2296.666667,3076,2438.666667,1684.333333,1176.333333,486.3333333,16818.94197,1756.612675,4,0,1,92137
금호1가동,11200590,dong,성동구,금호1가동,7589.666667,8244.666667,2137.666667,1638.333333,1431.666667,1104,248.6666667,1352.333333,1152,1879,2866.666667,2613,2406.666667,1966.666667,1073.666667,464.6666667,16527.22073,2401.533588,10,0,1,117966
금호2.3가동,11200615,dong,성동구,금호2.3가동,11353.33333,12488,3627.666667,2551.666667,2137.333333,1555,336.6666667,1816,1586.666667,3005.333333,4337.666667,3856.666667,3726,2896.666667,1773.666667,713,24077.42287,698.8990397,14,0,0,136080
금호4가동,11200620,dong,성동구,금호4가동,7160.666667,7803.666667,2166,1585.666667,1445.666667,968,206,1445,985.6666667,1602,2850.666667,2644.333333,2163.666667,1733.333333,1064,413.6666667,13303.29544,1190.039593,7,0,1,123297
옥수동,11200645,dong,성동구,옥수동,12569.33333,14340.66667,3246.333333,2824.666667,2577.333333,1808,432.3333333,2682,1726.333333,3084.666667,5318,4468.333333,3976,3070,1699.333333,729.3333333,42762.55052,7548.831782,13,14.3,1,157397
성수1가1동,11200650,dong,성동구,성수1가1동,8391.666667,8393.333333,3107.333333,1682.333333,1297.666667,1191.666667,235.3333333,1092.333333,1201.666667,2594.333333,2943,2531.333333,3038,2028.666667,927.3333333,371.6666667,14837.25549,3168.404372,22,0,0,114907
성수1가2동,11200660,dong,성동구,성수1가2동,7028.666667,7116.666667,3057,1400.333333,1115.666667,873.3333333,216,852.3333333,997.6666667,2240.333333,2613.666667,2258.333333,2182.666667,1701.333333,884,355.6666667,12827.86157,5651.163759,30,4.5,2,124328
성수2가1동,11200670,dong,성동구,성수2가1동,8909,8144.333333,4138,1799.333333,1296.333333,982,219.6666667,902,993.3333333,2447,2663,2477,3301,2495,1234.333333,457.6666667,17954.2329,10520.27114,23,3.3,0,81475
성수2가3동,11200690,dong,성동구,성수2가3동,5795.666667,5563,2941.333333,1087,786.3333333,661.3333333,171.3333333,623.3333333,562,2055.666667,2043.333333,1525.333333,1889,1455,822.6666667,336.3333333,11124.55402,23391.06817,57,8.7,1,113871
송정동,11200720,dong,성동구,송정동,5761.666667,5171,2760.333333,1145.666667,809.6666667,610,154.3333333,587,653.3333333,1693.333333,1679,1654,2048.333333,1539.666667,747.6666667,280.6666667,14049.38681,1599.23189,8,0,0,92046
용답동,11200790,dong,성동구,용답동,6480.333333,5712,4030.666667,1214,762.6666667,608.6666667,133,494.3333333,693,1991.333333,1711.666667,1890,2327.666667,1599.333333,1040,406,11990.20578,4590.541498,14,0,3,107836
광진구,11215,gu,광진구,계,169910.6667,180993.3333,74903,33501.33333,26612.33333,23248.33333,5146.666667,21284.66667,27258,61956.66667,57827,54340.66667,55485,40832.66667,22081.66667,8409.333333,337776.2276,78393.43119,391,14.3,9,121978
화양동,11215710,dong,광진구,화양동,10508.66667,11645,12872.66667,1966,742,579.6666667,105.6666667,470,787,9116.333333,4289.666667,2211.333333,2114,1649.333333,1036.333333,396.6666667,22504.10895,2741.182665,59,4.6,1,165353
군자동,11215730,dong,광진구,군자동,9843.666667,10052,6080,2022.333333,1363.333333,1003.333333,231.6666667,970,1106,4260.666667,3690.666667,2656.333333,2992.333333,2281.666667,1375,492,19909.98805,2384.798346,29,6.8,0,110347
중곡1동,11215740,dong,광진구,중곡1동,7739.333333,8073.666667,3984.666667,1844.333333,1186,816.3333333,184.3333333,838,786.3333333,2710,3007,2293.333333,2570,2039.666667,1142.333333,362.6666667,16974.76148,5653.110893,16,10.3,0,91230
중곡2동,11215750,dong,광진구,중곡2동,10645.66667,11618.33333,4634,2403.333333,1743.333333,1355,315,1317,1487,3911,4046.666667,3143.666667,3646.666667,2696.666667,1454.666667,473,22218.78574,2840.82253,26,0,0,87958
중곡3동,11215760,dong,광진구,중곡3동,8445,8537.666667,4058.333333,1903.666667,1302.666667,915.6666667,243,821.6666667,1071,2694.333333,2785,2473.666667,3046.333333,2314.333333,1264,437.6666667,17055.57701,1486.957911,17,7.7,1,99027
중곡4동,11215770,dong,광진구,중곡4동,14806,15261,4941.333333,3146.333333,2547.333333,1980.666667,459.6666667,1693,2111.333333,4531.666667,4612.333333,4382.333333,5485.666667,4142.666667,2261,721.6666667,30119.55322,5097.917065,20,5.9,0,114455
능동,11215780,dong,광진구,능동,5344.666667,6263,3610,1301.333333,726.6666667,529.3333333,144.3333333,604.3333333,566.3333333,2362.666667,2708.333333,1614,1460,1196,750.3333333,297,11501.33347,2300.266695,22,5,3,137075
광장동,11215810,dong,광진구,광장동,17349.66667,18560,2184.666667,1937.333333,3023.666667,3935.333333,714.3333333,3528,5655.666667,4112,4076.333333,7938,5325.666667,2877,1464.333333,792,29685.5007,13757.1796,21,0,1,145578
자양1동,11215820,dong,광진구,자양1동,11069.33333,11911.33333,5738.666667,2433.333333,1677,1313.333333,307,1126.333333,1585.666667,4264.666667,3928,3494.333333,3696.666667,2747,1504.333333,544,21084.11116,11333.86743,23,0,0,117351
자양2동,11215830,dong,광진구,자양2동,12926,13442.66667,4038.333333,2527,2197.666667,1904,431,1779.333333,2040.666667,3929.333333,4197.666667,4244.333333,4375.333333,3470.666667,1647.333333,584.3333333,27298.40594,5155.598721,20,4.3,1,96289
자양3동,11215840,dong,광진구,자양3동,13987,15066.66667,2912,2450.333333,2453,2555.666667,508.6666667,2473.333333,2725.333333,4037,4435.333333,4727,4715.333333,3428,1591,800.6666667,31646.39943,3422.109987,28,5,1,135911
자양4동,11215847,dong,광진구,자양4동,9233.333333,9165,5044.333333,2015.666667,1339.333333,922,236.6666667,784,941,2743.666667,2798.666667,2619,3320.333333,2897.666667,1618,581.6666667,17670.38302,1267.436171,31,0,0,143823
구의1동,11215850,dong,광진구,구의1동,10671.33333,11693.33333,6544.666667,2394.333333,1563.333333,1101,279,960.6666667,1276.666667,4748,4392.333333,3296.333333,3283.666667,2358,1424,544.6666667,22468.03894,3673.293015,29,6.5,0,107625
구의2동,11215860,dong,광진구,구의2동,13177,14167.66667,4178,2594.666667,2275.666667,1965,458.6666667,1909,2446.666667,3741,4071.333333,4521,4566,3396,1883.666667,692,28012.9506,4284.285664,17,3.4,0,151408
구의3동,11215870,dong,광진구,구의3동,14164,15536,4081.333333,2561.333333,2471.333333,2372,527.6666667,2010,2671.333333,4794.333333,4787.666667,4726,4887,3338,1665.333333,689.3333333,20884.46056,9077.760148,33,5.9,1,117932
동대문구,11230,gu,동대문구,계,171898.3333,174204.3333,76426,33563,26152,21625,5377,21857.33333,25091,55237.66667,51273,52286,54456.66667,45114,28041,10911,334338.1459,78682.89103,392,3,7,110071
용신동,11230536,dong,동대문구,용신동,15764.33333,15055.33333,10594,3138.333333,1915.666667,1442.333333,353.3333333,1375.333333,1522,5747.333333,5262,4327,4767,3970,2589,1078.333333,30671.32227,24187.88751,50,4.3,2,99452
제기동,11230545,dong,동대문구,제기동,12767.33333,12116,6961.333333,2593.333333,1697.333333,1247.666667,369,1085,1446.666667,4179.666667,3386.333333,3227.666667,3910.333333,3804.333333,2582,1093.333333,24735.27096,5456.558746,31,2,1,129842
전농1동,11230560,dong,동대문구,전농1동,15371.33333,15222.33333,7357,3004.333333,2382.666667,1773.666667,435,1994.333333,2068,4691,4478.666667,4523,5005.333333,4083.666667,2525.333333,1040.333333,32452.17407,1579.724504,31,3.2,0,94184
전농2동,11230570,dong,동대문구,전농2동,9328.333333,10118.33333,2257.666667,1845.333333,1694,1431,383.6666667,1327.666667,1823,2417,2376.666667,3165.666667,3334.333333,2591.666667,1615.333333,714,17109.64374,3508.123867,16,0,0,100547
