임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
50189,3.3333,132.3333,1412,212.333,24,16,11,-5,7,-535.333,-65,32,68.6667,-45.5642,-4138.86,34,1,0,0,0,0,1,-2,-1,2,2.9
18286,11,-18.667,243.333,103.333,19.333,77.333,36,15.6667,6,-289,-227.333,-215.333,-105.667,-3.00E-06,12063.83,18,0,0,0,0,0,1,-1,0,1,11.1
-32940,-43,-44.667,80.667,-56.333,-55,63.667,24.667,-1,2.3333,-72,-168.667,38.667,186.667,30.31516,15881.2,8,2,0,0,0,0,0,0,0,1,0
9433,-33.333,-19.667,21,7.667,8.667,8.667,10,-10,21.3333,24,-29,-42.667,90,30.17877,-312.571,4,2,0,0,0,0,0,0,0,1,0
31781,311.667,116.333,255.667,712.333,383,258.333,171.333,86,32.6667,-148.667,-83.333,-81.667,96,12.50799,2400.052,11,1,0,0,0,0,0,0,0,1,9.1
-14194,-54.667,0.333,9.333,65.333,-28.667,0.333,12,10.333,2,-171.667,-74.667,-15.333,133,32.08719,-13877.8,13,1,1,0,0,0,0,0,0,0,0
21773,77,37.6667,89.667,213,166.667,131,116.333,22,7.6667,-4,-40.667,-39.667,85,47.60158,41828.22,8,-2,0,0,0,0,0,0,0,1,0
22403,-20.667,26,45,-17,78.667,64.667,37.333,48,8,-147.333,-83.667,-44.333,167,107.0087,-10322.6,17,0,0,0,0,0,0,0,0,1,0
-20522,34.667,-49.333,-4,143.667,32,84.333,32.333,7.3333,11.6667,-75.333,-67.333,44.333,106.333,587.3612,6132.473,21,1,0,0,0,-1,0,0,0,0,0
-4306,-5,0.333,98,37,4.667,67,31,-16.6667,6.6667,156,106.667,99.333,171.6667,347.9447,-6484.63,29,4,0,0,0,0,0,-1,0,2,0
17321,-2,-21,62.667,112.667,57.333,208.333,103,13.667,12.6667,-109,-60.333,47.667,166,-17.8097,-6991.12,26,0,1,0,0,0,-1,-2,0,0,0
-3027,3,1.3333,127,81.333,27.667,54,43.667,4.6667,16,-154.333,-8,34.6667,60.6667,720.4641,-15604.1,53,-1,0,0,0,0,0,-1,0,1,0
3721,10.6667,-22.6667,96.667,100.667,42,130,52.667,24.3333,6.3333,-159.333,-30.667,24.3333,83,17.95449,34120.88,6,2,0,0,0,0,1,0,0,0,0
-2835,46.3333,-17,237.333,139.333,121.667,287.333,87.333,14.667,15.3333,352.333,313,254.3333,289.3333,-311.041,26228.94,18,3,-1,0,0,0,0,0,0,3,5.6
-18002,-2.3333,1.69E+02,2089.667,250.333,116,161.667,42.667,-17,12.6667,-1293.67,-62,96,66.3333,167.1327,-29719.9,63,1,-1,0,0,-1,3,-5,0,1,3.2
-2988,55.667,67,1194.667,168.667,68,149,20.667,38,23.3333,-596,-47.333,36.667,142.667,94.86714,18538.36,28,0,0,0,0,0,1,-2,0,0,0
1030,45.3333,-3.3333,89.667,134.667,52.333,130,55,23.667,13.3333,-460.667,-49.333,72,91.6667,-144.002,56557.16,15,1,0,0,1,0,1,-1,0,0,0
-898,1,-39.333,126.333,16.333,-32.333,82.667,64,29.667,21.3333,-419,-169.333,84.667,166,-31.2955,-3263.95,26,3,0,0,0,0,0,1,0,0,15.4
-7861,-28.667,-20,58.333,17.667,-13,79,26.667,29.667,11.6667,-349.333,0.333,94.333,134.3333,-27.9616,11854.28,20,2,-2,0,0,0,-1,0,0,1,10
-24641,-7.333,-78.667,36,26.667,-43,79.667,66,57.667,12.6667,-259.333,-215.333,74.667,250.333,-55.5879,1889.997,25,0,0,0,0,-1,0,-1,0,0,8
-13945,-3,-4.3333,143,33.333,-8,76.667,61.333,0,3,-316,-44.333,50.3333,29.6667,-32.1716,14733.32,20,0,0,0,0,0,0,0,0,3,10
-37053,-18.333,-70,68.333,42.667,-53,45.667,24.333,12,14,-79.667,-154.333,-65.667,200.667,62.03261,-19722.6,28,2,0,0,0,0,0,0,-1,1,7.1
-17764,32.333,23.333,166.333,205.333,159,344,121.667,19.667,17.6667,-394.667,-32.333,4,152.667,100.8678,-4307.84,27,1,0,0,0,0,0,0,0,0,0
5043,-25.667,-13.333,60.667,48.667,-2,137.333,87.667,31.667,13.3333,-220.333,-75,102.333,154,-272.974,6320.033,21,-2,0,0,0,-1,0,-1,0,1,4.8
-14135,-15.333,-5.17E+01,8,61.667,-5.667,50,62.333,19,21,-182,-135.333,56,164.333,-549.926,562.4864,28,1,-1,0,0,0,0,0,0,1,7.1
-40496,178.6667,-0.667,989.333,511.667,596.333,1280.333,277,-28.333,-17.3333,183.667,49.333,92.667,185,-35.3468,-16697.6,33,1,2,0,0,0,0,1,0,0,3
3226,32.667,-23.333,195.333,116,85,256,81.333,27,11,-691.667,-42.333,99.667,144,-53.6617,-11887,28,-1,0,0,0,1,-1,1,0,0,3.6
-52446,57.333,-14,103.333,86.667,9.667,73.333,75.333,7.333,29.3333,-426,-261.667,-173.667,-95,51.97397,9472.273,16,0,0,0,0,-1,-1,-1,1,0,0
8316,-21.333,-37.667,95.667,52.667,72.333,27,49.333,43.333,9.3333,-158.333,-107.333,38.667,168,24.55345,11654.2,31,0,0,0,0,0,-2,-1,0,1,6.5
21381,42.333,-63.667,409.667,194,108.667,247.333,6,-46,19,-1446,-148.333,46.333,161.667,271.2396,7167.572,61,0,-1,0,0,0,-1,-1,0,2,1.6
