자치구,행정동,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세
성북구,정릉4동,1989,2436,3465,3794,4564,4244,3458,2144,766,118
성북구,길음1동,4453,4869,3530,5458,8175,4724,3167,2043,750,114
성북구,길음2동,1336,1409,2152,2523,2834,2597,1934,1027,387,55
성북구,월곡1동,2358,2780,3186,3786,4934,4312,3418,2077,741,88
성북구,월곡2동,1320,1584,3653,3031,3097,3142,2530,1550,625,87
성북구,장위1동,1080,1777,3067,2597,3237,4033,2876,1673,607,69
성북구,장위2동,639,1044,1891,1698,2155,2671,2228,1428,522,71
성북구,장위3동,888,1102,1444,1488,1940,2099,1552,943,313,30
성북구,성북동,939,1380,2897,2757,2815,2842,1954,1387,639,113
성북구,삼선동,1423,2289,4890,3969,4276,4129,2847,1926,805,109
성북구,동선동,653,1142,4775,2719,2168,1893,1435,1085,410,72
성북구,종암동,3120,4111,7163,5752,6927,6524,4451,2877,1297,217
성북구,석관동,2256,2490,5424,5271,5460,6253,4992,3111,1052,123
강북구,계,18165,24609,44557,42866,50089,54639,43554,29232,10080,1356
강북구,번1동,821,1244,3480,3090,3112,3259,2506,1728,541,72
강북구,번2동,894,1255,2221,2127,2725,2955,2604,1947,588,69
강북구,번3동,1101,1593,2137,2072,2986,2930,2653,2460,650,84
강북구,수유1동,1181,1551,3266,3019,3196,3923,3101,1933,735,102
강북구,수유2동,1231,1618,3111,2782,3324,3876,3151,2091,855,99
강북구,수유3동,1012,1283,4401,3804,3484,4233,3214,2128,705,89
강북구,삼양동,1537,2278,3325,3412,4073,4643,3639,2227,753,114
강북구,미아동,997,1547,3906,3218,3347,4010,3190,2027,726,83
강북구,송중동,1469,2091,4172,4013,4532,5013,4165,2662,857,107
강북구,송천동,1335,1933,3962,3785,4280,5495,4346,2769,972,135
강북구,삼각산동,3417,4232,3441,4365,6941,4911,3157,1913,707,101
강북구,우이동,1259,1554,2768,2781,3190,3725,3078,2165,812,137
강북구,인수동,1911,2430,4367,4398,4899,5666,4750,3182,1179,164
도봉구,계,21525,28699,46277,45180,52449,59586,46413,26723,10475,1523
도봉구,쌍문1동,1311,1905,3233,2737,3540,3814,3112,1995,707,102
도봉구,쌍문2동,1224,1600,2813,2981,2977,3485,2801,1597,695,102
도봉구,쌍문3동,930,1185,2617,2595,2603,2909,2343,1592,538,72
도봉구,쌍문4동,1339,2192,2735,2506,3222,3602,2564,1145,533,99
도봉구,방학1동,1757,2468,4331,3775,4600,5631,4360,2502,816,139
도봉구,방학2동,1141,1684,2934,2528,3261,4006,3143,1886,682,102
도봉구,방학3동,2165,3022,3772,3432,4605,5201,3935,1774,914,138
도봉구,창1동,1802,2454,3539,3773,4502,4346,3299,1954,784,115
도봉구,창2동,2182,2545,4376,4676,4961,5377,3780,2219,819,84
도봉구,창3동,934,1217,1957,1923,2356,2722,2027,1322,463,60
도봉구,창4동,2051,2937,3836,3692,4779,5021,3223,1681,837,134
도봉구,창5동,1760,2189,3757,3846,3790,4649,3395,1719,752,114
도봉구,도봉1동,1063,1346,2832,2730,3202,4013,3747,2600,891,114
도봉구,도봉2동,1866,1955,3545,3986,4051,4810,4684,2737,1044,148
노원구,계,37016,58836,77564,70066,92080,89940,63701,35910,15085,2145
노원구,월계1동,1469,1929,4313,3135,3696,3768,3078,1910,669,99
노원구,월계2동,1768,2297,3112,3240,4267,4417,3996,2263,887,145
노원구,월계3동,2697,2410,3790,5205,4983,4984,4474,2548,950,131
노원구,공릉2동,3261,4909,6930,5639,7035,6241,4181,2106,874,121
노원구,하계1동,1336,3947,5802,2979,4624,5161,3226,1731,858,120
노원구,하계2동,1659,3153,3320,2699,4395,4083,2249,1330,630,78
노원구,중계본동,1686,4704,3628,2051,5495,4807,2218,1147,576,80
노원구,중계1동,2006,6003,3252,2101,6868,4561,1849,1007,467,55
노원구,중계4동,1316,2575,2724,2193,3863,3679,2603,1775,710,89
노원구,상계1동,2644,3693,5723,5374,6194,7302,5443,2779,1177,198
노원구,상계2동,1124,2071,3554,2530,3409,4082,2665,1387,546,77
노원구,상계5동,1284,2357,3684,2929,4108,4799,3497,2222,875,138
노원구,상계8동,2819,2415,2681,5249,4186,3028,2116,1129,504,71
노원구,상계9동,1645,2436,2777,3090,3817,3686,2649,1324,601,90
노원구,상계10동,1109,1577,2457,2665,2785,2894,1945,846,443,58
노원구,상계3.4동,1328,2157,3218,2812,4020,4768,4017,2706,1021,133
노원구,상계6.7동,2901,3468,4798,5326,6124,5715,3710,1933,919,144
노원구,중계2.3동,2488,3638,4598,4749,6443,5854,4671,3231,1414,179
노원구,공릉1동,2476,3097,7203,6100,5768,6111,5114,2536,964,139
은평구,계,32976,42087,66969,72420,80055,79150,60482,37817,13998,1945
은평구,녹번동,2743,2597,5049,6437,5916,6140,4775,3037,1123,167
은평구,불광1동,2850,2988,5585,6022,6590,6942,5222,3451,1394,175
은평구,갈현1동,1226,1925,3939,3550,3770,4306,3337,2046,648,101
은평구,갈현2동,1885,2867,4455,4491,4974,4952,3583,2205,833,90
은평구,구산동,2163,3111,4608,4535,5472,5862,4409,2688,1012,144
은평구,대조동,1657,2241,5203,5110,5006,5099,3950,2678,941,115
은평구,응암1동,1798,2593,3426,3969,4473,3903,2946,1922,707,119
은평구,응암2동,2508,1979,2376,3941,4221,3063,2291,1405,531,68
은평구,신사1동,1888,2345,4054,4533,4498,4748,3644,2206,764,105
은평구,신사2동,1370,1928,3093,3180,3556,3712,2985,1588,639,90
은평구,증산동,915,1356,2188,2244,2508,2856,2317,1451,490,75
은평구,수색동,497,640,1256,1292,1250,1719,1454,809,330,51
은평구,진관동,5491,7466,6886,7536,11288,8127,5821,3306,1317,223
은평구,불광2동,1435,2086,4372,4333,4428,5213,4131,2650,945,120
은평구,응암3동,1192,1918,3699,3516,3986,4521,3734,2596,1024,123
은평구,역촌동,3358,4047,6780,7731,8119,7987,5883,3779,1300,179
서대문구,계,21198,26112,56159,47246,49868,50489,36903,24344,10255,1465
서대문구,천연동,1445,1619,2462,2610,3149,3107,2095,1493,728,98
서대문구,홍제1동,1728,2076,3232,3665,4017,4152,3173,1995,832,108
서대문구,홍제3동,876,1304,2245,2062,2489,2831,2280,1603,747,82
서대문구,홍제2동,928,1204,1945,1984,2241,2669,1846,1273,519,68
서대문구,홍은1동,1432,1962,3049,2888,3467,4082,3113,1974,868,130
서대문구,홍은2동,1563,2567,4444,3816,4498,4757,3553,2209,982,137
서대문구,남가좌1동,2342,1474,1893,2801,3239,2296,1620,1011,382,50
서대문구,남가좌2동,1927,2217,4223,3726,4061,3893,2883,1992,789,135
서대문구,북가좌1동,1635,2043,2278,2769,3480,3026,2110,1349,522,71
서대문구,북가좌2동,1971,2771,4963,4745,5482,5733,4405,2901,1035,119
서대문구,충현동,851,1305,3019,2721,2705,3178,2306,1399,647,142
서대문구,북아현동,1505,1182,2705,3161,2880,2902,1741,1066,437,62
서대문구,신촌동,951,1333,10950,3810,2125,2079,1417,1032,448,82
서대문구,연희동,2044,3055,8751,6488,6035,5784,4361,3047,1319,181
마포구,계,27366,30979,65592,68316,64234,55290,37949,24344,10152,1447
마포구,용강동,2352,2058,2496,3972,4502,3104,2061,1276,604,68
마포구,대흥동,459,795,4182,2038,1797,1726,1280,874,359,68
마포구,염리동,1017,1185,2449,2123,2273,1910,1185,886,357,43
마포구,신수동,1572,1926,3442,3422,3709,3182,2210,1445,611,86
마포구,서교동,1058,1462,6421,5585,3890,3159,2226,1574,738,105
마포구,합정동,1341,1108,3749,4097,2758,2584,1883,1210,476,68
마포구,망원1동,1248,1485,3657,4321,3516,3277,2370,1609,585,69
마포구,망원2동,1380,1790,2703,3192,3477,2817,2146,1399,487,65
마포구,연남동,808,936,3570,3527,2577,2221,1791,1134,498,85
마포구,성산1동,1145,1631,3293,3673,3673,2929,2106,1385,493,53
마포구,성산2동,2961,3921,6748,7057,7154,5746,4065,2888,1030,156
마포구,상암동,3150,4547,4345,4497,6853,4430,2888,1700,733,108
마포구,도화동,1642,1758,3179,3875,3517,3593,2581,1598,801,130
마포구,서강동,2036,1996,5290,4536,4321,3739,2327,1347,619,85
마포구,공덕동,2488,2716,6809,6957,6225,6959,4411,2740,1174,160
마포구,아현동,2709,1665,3259,5444,3992,3914,2419,1279,587,98
양천구,계,34206,53455,62192,62296,82224,79075,53417,26533,9963,1566
양천구,목1동,3024,5272,3658,3621,7165,4978,2659,1264,439,80
양천구,목2동,2026,2813,5144,5703,4849,5111,3561,1602,628,97
양천구,목3동,1530,1702,3702,4280,3394,3895,2745,1285,523,73
양천구,목4동,1608,3738,4239,3172,5036,4905,2475,1424,503,73
양천구,신월1동,1234,1493,2883,3103,3457,4181,3415,1694,540,76
양천구,신월2동,1700,1935,2826,3489,3515,3672,3319,1579,505,79
양천구,신월3동,1063,1317,2285,2297,2570,3281,2417,1278,432,53
양천구,신월4동,1781,1760,2236,2825,3162,3046,2526,1280,436,59
양천구,신월5동,1113,1404,2226,2384,2426,2718,1948,1007,323,44
양천구,신월6동,422,723,831,830,1071,1177,981,485,153,23
양천구,신월7동,1360,1633,2854,3079,3261,3895,3298,1784,714,88
양천구,신정1동,1915,3178,2615,2335,4232,3603,2049,1061,457,95
양천구,신정2동,1399,3035,2875,2013,3948,3798,2098,1040,468,65
양천구,신정3동,4128,5693,6111,6468,8748,8104,5385,2868,1046,165
양천구,신정6동,2092,3834,3337,2896,4863,4446,2373,905,442,86
양천구,신정7동,2077,3633,3997,3538,5419,5529,3700,1908,869,138
양천구,목5동,3612,7693,4875,4334,9452,6734,3789,1535,739,159
양천구,신정4동,2122,2599,5498,5929,5656,6002,4679,2534,746,113
강서구,계,45730,48634,88670,106788,95052,91999,72729,36653,13524,2233
강서구,염창동,4387,4725,5507,7254,7844,6128,3825,1650,608,86
강서구,등촌1동,1510,1489,4578,5669,3320,3170,2063,1043,625,123
강서구,등촌2동,1568,1812,3444,3798,3171,3684,2746,1234,417,92
강서구,등촌3동,1860,2549,4546,4859,4352,5975,4778,2368,1363,268
강서구,화곡본동,2750,2743,5663,7062,5990,5057,4068,2021,650,113
강서구,화곡2동,1528,1661,2649,3468,3416,2996,2410,1261,347,52
강서구,화곡3동,1477,1753,3388,3503,3306,3641,3315,1671,517,83
강서구,화곡4동,1413,1543,3061,3857,3481,3739,3034,1558,544,60
강서구,화곡6동,1487,1853,4038,4198,3807,4191,3409,1487,518,72
강서구,화곡8동,1736,1841,3934,4907,4228,4169,3457,1936,512,73
강서구,가양1동,2055,2099,8230,8116,4628,4378,2882,1161,456,80
강서구,가양2동,595,534,2017,2712,1504,2672,3075,1479,700,122
강서구,가양3동,902,764,2058,3331,2080,2557,2596,1460,606,88
강서구,발산1동,3964,5235,4711,4969,7569,5730,3611,1997,708,118
강서구,공항동,2849,1805,4050,5607,4430,4286,3127,1663,593,90
강서구,방화1동,4884,4323,5705,7301,7941,6803,5291,2623,936,161
강서구,방화2동,1370,1622,3617,3859,3451,3903,3528,2051,816,111
강서구,방화3동,1620,1677,2914,4044,3687,3948,3692,2052,862,171
강서구,화곡1동,3398,2891,9028,11734,7881,8228,6882,3548,1054,140
강서구,우장산동,4377,5715,5532,6540,8966,6744,4940,2390,692,130
구로구,계,32748,32875,58264,71471,71263,75841,55495,29734,10147,1332
구로구,신도림동,3863,3693,4625,6743,6701,5331,3967,1814,651,96
구로구,구로1동,2147,2095,2747,4162,3761,3183,2415,935,341,62
구로구,구로3동,1766,1576,4566,5882,4430,3602,2673,1482,532,50
구로구,구로4동,1372,1464,3217,4154,4365,5744,3543,2052,714,79
구로구,구로5동,2340,1908,5418,6433,5111,5935,3867,2014,687,87
구로구,고척1동,1567,2250,3484,3225,3832,4213,3370,1829,563,90
구로구,고척2동,2151,2547,3826,3843,4822,5206,3802,2140,792,90
구로구,개봉2동,2729,2630,4042,5290,5149,5315,4853,2633,782,127
구로구,개봉3동,1546,1659,2843,3414,3412,3726,3253,1659,587,77
구로구,오류1동,1401,1324,3713,4503,3221,3298,2888,1688,582,73
구로구,오류2동,5310,4456,6172,8013,8024,6942,5624,3397,1191,163
구로구,수궁동,1802,2246,3243,3684,4165,4154,3418,1815,564,80
구로구,가리봉동,561,487,1610,2169,2837,4697,2197,909,381,49
구로구,구로2동,1789,1868,4276,5056,6092,8440,4749,2654,888,108
구로구,개봉1동,2404,2672,4482,4900,5341,6055,4876,2713,892,101
금천구,계,15599,16775,37626,39812,38995,48955,32430,17248,5710,751
금천구,가산동,1018,829,5543,5396,3443,4354,2467,1077,341,45
금천구,독산1동,3459,2454,7332,8819,6577,7000,4543,2466,812,97
금천구,독산2동,1216,1449,2998,3047,3319,4793,2964,1468,444,67
금천구,독산3동,1551,1734,4126,4449,4720,7064,4090,1918,628,91
금천구,독산4동,969,1228,2473,2523,3011,4243,2511,1256,339,40
금천구,시흥1동,2406,2623,5194,5580,5788,7046,4759,2687,913,128
금천구,시흥2동,1794,2303,2711,2787,3846,3946,2988,1739,623,88
금천구,시흥3동,680,778,1545,1609,1657,2167,1818,1018,322,52
금천구,시흥4동,1367,1736,2971,2991,3324,4387,3220,1724,550,65
금천구,시흥5동,1139,1641,2733,2611,3310,3955,3070,1895,738,78
영등포구,계,28160,26498,59013,72754,63303,69094,47268,26239,10207,1429
영등포구,여의동,3110,2957,4093,5510,5606,5100,3952,2679,1269,180
영등포구,당산1동,1355,1159,3560,4320,3159,3231,2633,1428,556,75
영등포구,당산2동,2752,2345,7220,7857,5061,4751,3443,1826,799,131
영등포구,양평1동,1433,1097,2777,4458,2882,2219,1752,1115,430,70
영등포구,양평2동,1842,1823,3798,5050,3608,3131,2089,1077,450,62
영등포구,신길1동,831,1088,3314,3351,3009,3435,2430,1519,600,79
영등포구,신길3동,1369,1299,2356,2769,2978,3583,2492,1332,487,70
영등포구,신길4동,416,687,1340,1269,1559,2175,1501,848,314,48
영등포구,신길5동,563,746,1319,1405,1835,2434,1604,844,312,38
영등포구,신길6동,1240,1292,3017,3193,2906,3460,2573,1385,525,71
영등포구,신길7동,1681,1587,2426,2951,2884,2611,1748,913,343,48
영등포구,대림1동,823,1022,2169,2248,2715,3656,2235,1312,433,57
영등포구,대림2동,1126,925,2461,3397,3789,5816,2738,1399,468,51
영등포구,대림3동,1794,1838,3626,4550,4645,6389,3765,1885,675,74
영등포구,영등포본동,1823,1567,3033,3979,3970,4988,3348,1736,628,105
영등포구,영등포동,1288,985,5933,6413,3483,3806,2902,1507,541,82
영등포구,도림동,1382,1111,2923,4029,3517,4216,2619,1481,609,71
영등포구,문래동,3332,2970,3648,6005,5697,4093,3444,1953,768,117
동작구,계,27839,30813,71703,67546,62565,62800,47422,28721,10674,1635
동작구,노량진2동,485,689,2426,2152,1816,2803,1984,1214,463,66
동작구,상도1동,3379,3714,11411,7144,6845,6524,4966,2997,1230,193
동작구,상도2동,2465,2114,4642,5174,4659,4296,3196,1936,793,123
동작구,상도3동,1548,1838,4331,4546,3989,4042,3051,1997,695,110
동작구,상도4동,2016,2149,4734,5268,4638,4764,3575,2154,847,99
