NM,CD,GUBUN,2018년2분기길단위생존인구,2018년2분기건물단위생존인구,2018년2분기주거인구,2018년2분기직장인구,2019년2분기길단위생존인구,2019년2분기건물단위생존인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기길단위생존인구,2020년2분기건물단위생존인구,2020년2분기주거인구,2020년2분기직장인구
응봉동,11200580,dong,53673.77715,116071.4333,301.2765274,8.270407642,54193.22447,118332.8715,297.8807309,23.35066528,55548.64022,110367.4292,295.0691574,30.81776622
금호1가동,11200590,dong,88817.67796,170341.033,357.9278434,21.91163741,85200.78492,161923.8647,364.4990687,55.60616154,79684.33193,163061.5291,359.2874073,52.20725191
금호2.3가동,11200615,dong,97695.3942,174831.3228,380.4399767,19.02043208,91488.79534,160389.3099,379.6565982,17.21866133,89116.45863,156717.767,376.2097324,10.9202975
금호4가동,11200620,dong,18990.60478,41437.76788,158.8323284,9.986495777,19938.56274,41866.65644,160.8745348,12.41362055,26394.69326,56488.78946,158.3725647,14.16713801
옥수동,11200645,dong,26447.42534,104072.586,221.40948,17.07619404,26089.73718,101668.1797,221.9985926,44.06239105,23967.00324,98493.98621,219.2951309,38.71195786
성수1가1동,11200650,dong,12670.26409,29527.43354,73.49020197,33.53846605,12611.85975,30477.22395,75.11798059,19.42660386,12754.76626,30814.88114,74.93563381,16.00204228
성수1가2동,11200660,dong,53926.69248,101047.651,155.5672671,176.0489367,50664.88759,92806.29672,155.2321679,68.45162843,55253.20807,98686.82959,144.1332761,63.49622201
성수2가1동,11200670,dong,41778.83527,86131.25063,158.1206636,380.6703925,38612.16046,79734.97734,156.4693192,80.70279796,41854.62843,82800.84893,152.1545161,89.15484017
성수2가3동,11200690,dong,40531.81396,123854.6056,104.2748203,472.5056886,42947.20784,133093.3041,106.2828506,225.8129905,45646.43822,137974.346,108.0053789,227.0977492
송정동,11200720,dong,46606.90957,71162.79283,193.0192951,32.64296902,47111.12289,71655.30307,192.5918073,25.64926848,49167.11695,75667.32899,187.3251575,21.32309187
용답동,11200790,dong,12680.86151,29355.72931,64.21469285,117.4222334,12114.55844,27321.75655,63.04631241,22.25386469,11931.52198,25610.70552,51.68192146,19.7868168
광진구,11215,gu,55388.8889,103241.2851,198.7435092,45.17185175,52991.7763,99266.17807,200.5783459,44.48971228,53533.67997,97672.377,197.9930994,45.95160093
