name,code,type,parent,male,female,onehouse,convnum,rent
홍제1동,11410620,dong,서대문구,"11,644","13,062",3407,15,100415
홍제3동,11410640,dong,서대문구,"7,966","8,409",2640,13,108586
홍제2동,11410655,dong,서대문구,"6,959","7,603",1736,5,234712
홍은1동,11410660,dong,서대문구,"11,035","11,685",3104,11,78321
홍은2동,11410685,dong,서대문구,"13,526","14,253",4689,21,90499
남가좌1동,11410690,dong,서대문구,"8,108","8,657",1461,8,137421
남가좌2동,11410700,dong,서대문구,"12,129","12,917",4568,25,105295
북가좌1동,11410710,dong,서대문구,"9,295","9,850",1577,10,98704
북가좌2동,11410720,dong,서대문구,"16,476","17,305",5468,31,83187
마포구,11440,gu,마포구,"177,388","197,034",77236,543,141500
아현동,11440555,dong,마포구,"11,729","13,179",3166,23,157396
공덕동,11440565,dong,마포구,"18,978","20,970",8523,29,93005
도화동,11440585,dong,마포구,"10,654","11,754",3637,23,202560
용강동,11440590,dong,마포구,"10,424","11,552",3173,26,165496
대흥동,11440600,dong,마포구,"5,696","5,938",4767,40,134605
염리동,11440610,dong,마포구,"6,044","6,438",2455,10,125407
신수동,11440630,dong,마포구,"10,336","10,776",3574,18,121770
서강동,11440655,dong,마포구,"12,095","13,261",5185,41,159598
서교동,11440660,dong,마포구,"11,347","13,125",8662,124,153770
합정동,11440680,dong,마포구,"8,803","10,104",4944,28,140609
망원1동,11440690,dong,마포구,"10,270","11,482",5085,25,130339
망원2동,11440700,dong,마포구,"9,212","10,067",2996,17,109939
연남동,11440710,dong,마포구,"7,513","8,555",4825,26,130961
성산1동,11440720,dong,마포구,"9,448","10,531",4137,28,105097
성산2동,11440730,dong,마포구,"19,203","22,261",7855,32,118071
상암동,11440740,dong,마포구,"15,636","17,041",4252,53,192119
양천구,11470,gu,양천구,"226,881","234,170",49734,316,121681
목1동,11470510,dong,양천구,"15,406","16,555",1584,37,200270
목2동,11470520,dong,양천구,"15,298","15,988",4446,28,101236
목3동,11470530,dong,양천구,"11,057","11,897",3497,17,119871
목4동,11470540,dong,양천구,"13,267","13,701",2879,20,93014
목5동,11470550,dong,양천구,"21,181","21,690",1648,19,179597
신월1동,11470560,dong,양천구,"11,142","10,574",4298,16,102844
신월2동,11470570,dong,양천구,"11,007","11,432",2408,9,96441
신월3동,11470580,dong,양천구,"8,848","7,903",3917,11,76592
신월4동,11470590,dong,양천구,"9,381","9,640",1466,17,78040
신월5동,11470600,dong,양천구,"7,676","7,773",2140,19,79424
신월6동,11470610,dong,양천구,"3,312","3,353",659,5,98771
신월7동,11470611,dong,양천구,"10,749","11,066",2921,13,85517
신정1동,11470620,dong,양천구,"10,451","10,903",1376,10,119243
신정2동,11470630,dong,양천구,"10,092","10,518",1527,11,153387
신정3동,11470640,dong,양천구,"23,618","24,664",4404,19,130896
신정4동,11470650,dong,양천구,"17,236","17,817",6646,43,111366
신정6동,11470670,dong,양천구,"12,297","12,957",1027,11,161151
신정7동,11470680,dong,양천구,"14,863","15,739",2891,11,171447
강서구,11500,gu,강서구,"288,905","306,697",101063,558,133785
염창동,11500510,dong,강서구,"20,535","21,371",3424,27,112480
등촌1동,11500520,dong,강서구,"11,098","12,278",6317,35,89705
등촌2동,11500530,dong,강서구,"10,805","11,029",2518,10,107480
등촌3동,11500535,dong,강서구,"15,615","17,121",5561,28,152034
화곡1동,11500540,dong,강서구,"26,313","27,317",11926,58,107443
화곡2동,11500550,dong,강서구,"9,469","10,001",2803,11,95735
화곡3동,11500560,dong,강서구,"10,803","11,698",3202,16,122846
화곡4동,11500570,dong,강서구,"10,794","11,148",3542,17,122191
