code,profitscore,stablescore,profit2018,profit2019,expectedprofit2020,survive2018,survive2019,expectedsurvive2020
11350619,-0.12863,-0.76636,68108330,69943707,49246497,100,91.7,97.87408
11350621,1.101232,-0.9398,63248320,59054801,58851600,100,100,97.67532
11350624,-0.50744,0.295314,54384989,26345060,46288040,90.9,100,99.09076
11350625,-0.78189,0.344972,1.21E+08,97267864,44144554,100,100,99.14766
11350630,-1.56384,-0.32165,54091082,45546957,38037620,85.2,100,98.38372
11350640,-0.06754,-0.8686,1.30E+08,58431331,49723580,96,84.4,97.75691
11350665,-1.57126,0.577103,43406546,22229858,37979712,93.3,93.7,99.41368
11350670,-0.50072,0.094881,45182682,39684490,46340480,91.7,92.3,98.86106
11350695,-0.3608,-0.75521,73827405,48031698,47433233,92.9,100,97.88686
11350700,-0.54342,0.687158,88389112,87703938,46006990,100,100,99.53981
11350710,-0.35055,0.691933,63105192,23536522,47513294,100,88.9,99.54528
11350720,-0.33995,0.706934,32735135,11377287,47596130,100,100,99.56247
11350,0,0,61741802,41978357.79,46323768.58,96.87368421,96.90526316,98.63068632
11380510,-0.17863,-0.6001,54243217,36587857,48856010,100,100,98.06461
11380520,-0.14938,0.74798,46448386,28191275,49084473,84.6,100,99.60951
11380530,-0.23947,-0.25754,65003032,60170676,48380837,100,100,98.45719
11380551,-0.21194,0.092673,55514444,42350938,48595830,95.2,100,98.85853
11380552,0.171796,-0.35353,41367419,35142765,51592790,94.1,100,98.34718
11380560,-0.06894,0.367227,59621074,55099619,49712640,100,95.5,99.17317
11380570,0.435252,-0.56012,74305258,56196452,53650360,93.9,97.1,98.11043
11380580,-0.36972,-0.17056,68752411,52472021,47363634,96.3,96,98.55687
11380590,-0.29018,1.088726,10179624,9294491,47984780,75,100,100
11380600,-0.60694,-0.06987,91070231,73576518,45510926,92.9,100,98.67226
11380625,0.207427,-0.61736,59876717,54735984,51871066,95.1,100,98.04483
11380631,-0.25485,0.265855,76134577,53343708,48260736,90,95,99.05699
11380632,-0.6575,0.699721,48263820,41932579,45116076,100,91.7,99.5542
11380640,-0.6964,0.526739,62634102,42243338,44812250,100,86.7,99.35597
11380650,-0.82821,1.088726,45243343,0,43782860,100,100,100
11380690,-0.56028,-1.51901,38880534,9722996,45875354,96.9,97.1,97.01156
11380,0,0,56096136.81,40691326.06,48153163.88,94.625,97.44375,98.80458125
11410520,-0.83611,0.768205,54699441,36500953,43721170,100,100,99.63269
11410555,-0.09014,0.74627,42321069,43464554,49547060,100,100,99.60755
11410565,-0.22677,-0.73673,74505272,67365831,48480015,92.6,100,97.90803
11410585,2.910113,-2.33576,77828048,61366343,72978806,97.6,94,96.07555
11410615,1.498501,-0.02776,83372158,68446332,61954240,97.3,94.9,98.72051
11410620,-0.27449,0.683564,63044336,33462256,48107347,100,100,99.53569
11410640,-0.52312,0.996101,91872039,72014712,46165566,90.9,100,99.89385
11410655,-0.56743,0.78644,75391002,48817910,45819473,100,100,99.65358
11410660,-1.17029,0.951012,62340083,54911113,41111230,100,100,99.84218
11410685,-0.54735,0.429253,53458376,44483260,45976360,100,100,99.24425
11410690,-0.49322,1.088726,60666779,53801825,46399040,100,100,100
11410700,-0.40114,0.243238,38899856,24177362,47118180,100,100,99.03108
11410710,-0.33288,0.711442,75127729,62491147,47651286,90,100,99.56763
11410720,-0.25887,-0.15682,55114688,45187151,48229303,96.9,96.8,98.57261
11410,0,0,64902919.71,51177910.64,49518505.43,97.52142857,98.97857143,99.0918
11440555,0.007886,0.338612,63541429,47779367,50312670,95.5,95.7,99.14037
11440565,0.196707,-1.00836,48559722,36009669,51787340,93.3,100,97.59676
11440585,-0.19588,0.381566,67191914,51462195,48721300,100,100,99.1896
11440590,0.541123,0.190608,47644461,50954476,54477205,96.6,100,98.97076
11440600,1.255276,-1.27421,72922446,58834111,60054674,95.1,97.5,97.29209
11440610,0.520092,0.798809,49842795,45335422,54312954,100,90,99.66776
11440630,0.685988,0.396455,71459455,50850414,55608587,100,100,99.20666
11440655,1.414947,-0.79494,71504625,61457079,61301690,92.7,100,97.84133
11440660,2.560046,-4.94842,90178696,59889367,70244813,93.9,96,93.08147
11440680,0.156915,-0.33232,78262960,66367006,51476570,96.6,89.3,98.37149
11440690,0.355734,-0.26886,64886048,44234513,53029327,100,100,98.44422
11440700,0.246291,0.126624,53377675,54430556,52174590,100,100,98.89744
11440710,0.942644,0.356846,57812942,46937921,57613044,96.2,96.2,99.16127
11440720,0.893684,-0.01459,43071951,41250407,57230670,96.8,96.4,98.73561
11440730,1.175693,-1.73071,62391219,54068521,59433140,90,96.9,96.76895
11440740,0.380208,-1.52506,73776171,59304156,53220470,98.1,98.1,97.00461
11440,0,0,63526531.81,51822823.75,55687440.25,96.55,97.25625,98.08564938
11470510,1.130166,-1.6488,67452083,55840828,59077573,94.4,100,96.86281
11470520,0.161925,-0.71245,41716898,22160352,51515700,96,92.9,97.93586
11470530,-0.26806,0.221156,63108875,68391585,48157550,100,100,99.00577
11470540,0.443394,-0.78556,33278909,30401312,53713946,95.2,95,97.85208
11470550,1.111096,-1.36188,95751179,69847603,58928640,94.7,84.2,97.19162
11470560,-0.94269,0.440642,64933586,55061086,42888750,100,100,99.2573
11470570,-0.74308,1.088726,38059445,25549163,44447690,100,88.9,100
11470580,-1.5311,0.584317,70632101,65416499,38293293,100,100,99.42195
11470590,-1.03723,1.050706,50342883,34014228,42150435,93.3,100,99.95643
11470600,-1.05342,0.333225,43557685,28317845,42023970,93.7,100,99.1342
11470610,-0.93831,0.781031,43407520,55843103,42922930,100,100,99.64738
11470611,-1.53564,0.428289,45306961,34732442,38257859,100,92.3,99.24314
11470620,-0.61587,0.01582,75428266,70217374,45441190,100,100,98.77046
11470630,-0.29495,-0.00525,37337906,36494489,47947560,91.7,100,98.74631
11470640,-0.54279,-0.8933,61025285,33136879,46011940,94.7,100,97.72861
11470650,0.451022,-1.04739,44326945,31844735,53773520,95.8,90.7,97.55203
11470670,0.134977,-0.00437,61517015,50649019,51305237,100,100,98.74732
11470680,-0.9879,0.256497,70766365,51433708,42535640,90.9,90.9,99.04627
11470,0,0,55997217.06,45519569.44,47188523.5,96.68888889,96.38333333,98.67219667
11500510,0.115663,-0.85009,94534858,67360478,51154394,92,96.3,97.77813
11500520,0.281153,-1.18277,77676754,52050277,52446856,100,97.1,97.39688
11500530,-0.48249,0.789329,59102792,51912639,46482910,100,100,99.65689
11500535,-3.15045,-0.30238,65367007,52429802,25646343,100,89.3,98.4058
11500540,1.509151,-1.69168,79815032,68396263,62037416,98.3,96.6,96.81367
11500550,-0.22508,0.653162,26794756,30963443,48493204,100,90.9,99.50085
11500560,-0.37926,0.946169,65083674,46016365,47289130,100,100,99.83663
11500570,-0.33357,0.530162,65061840,52514098,47645893,100,94.1,99.35989
11500590,0.103108,-0.7413,56136461,42786511,51056340,100,100,97.90281
11500591,-0.54935,-0.3193,55462279,55735798,45960727,100,96.9,98.38641
11500593,0.551699,0.238738,52992063,39486329,54559800,100,100,99.02592
11500603,1.997756,-3.88794,47943923,41907841,65853376,94.3,90.2,94.29678
11500604,-2.1483,1.088726,2.44E+08,1.26E+08,33473070,100,100,100
11500605,-1.29451,1.088584,38690104,0,40141063,100,100,99.99984
11500611,-0.97417,-1.89728,46830484,26393159,42642860,95.8,97.1,96.57806
11500615,0.203804,-1.15029,66505203,30573851,51842770,96.7,96.3,97.4341
11500620,-0.65039,-1.72936,66673375,47852661,45171620,100,91.1,96.77049
11500630,-1.16246,-0.97498,80479599,66814701,41172350,97.2,93.7,97.63501
11500640,-1.21609,-0.18985,34351188,32169598,40753546,96.3,96.3,98.53476
11500641,-1.61491,0.307632,39912508,37350437,37638760,100,100,99.10487
11500,0,0,68170695,48435712.55,46573121.4,98.53,96.295,98.2208895
11530510,0.110479,-0.77658,77388531,54291421,51113910,96.8,96.8,97.86237
