code,male,female,g10,g20,g30,g40,g50,g60,livingpop,workingpop,house1,house2,house3,house4,house5
11230705,10414,10424,1224,2635,2566,2816,3892,3862,21298,4920,5089,2358,1522,1139,301
11230710,4951,5441,815,5076,1609,1376,1239,973,9184,718,4089,907,576,473,127
11230720,6662,6983,895,4493,2324,1793,2067,1550,15203,1867,3867,1276,944,780,200
11230730,12138,12282,2179,5661,3162,3634,3604,2947,21165,3828,5716,2137,1806,1613,381
11230740,9200,9324,1476,6770,2514,2639,2703,2222,19773,4170,6452,1713,1090,958,217
11230750,10003,10603,1924,3092,2678,3345,3494,2726,20391,2183,2999,1930,1667,1548,368
11260,195931,199857,27733,57116,59608,59095,70915,56852,400816,39778,77396,42377,31588,24642,5790
11260520,12516,12572,1701,3520,3551,3914,5077,3614,25186,1466,5696,2796,1893,1508,355
11260540,9554,9557,1268,2575,2870,3074,3396,2873,26514,2174,3919,2142,1598,1117,272
11260550,6561,6455,653,1272,1452,1463,1821,1403,10515,1168,1918,1088,791,569,125
11260565,17284,17423,2140,5516,5699,5354,6619,4888,42441,2119,8595,4046,2668,1920,420
11260570,11235,11151,1331,3165,3579,3281,4062,3474,15450,1020,4454,2569,1798,1379,288
11260575,12848,12989,1626,3977,3871,3740,4805,3973,27545,3631,5830,2994,2098,1478,300
11260580,12232,12717,2052,3702,3771,3680,4548,3241,23247,2311,3244,2436,2219,1993,359
11260590,9609,10133,878,3990,4156,2660,3209,2439,19676,5498,6777,2258,1315,829,158
11260600,9982,10402,1405,3015,3362,2907,3500,3019,22076,2092,3343,2255,1768,1344,298
11260610,13378,12648,1290,3963,3888,3753,5263,4119,27487,1563,7372,3143,1896,1205,302
11260620,17290,18339,3227,4996,5194,6011,5649,4586,36322,2638,5009,3364,3051,2616,635
11260630,9598,9891,1277,2856,3206,2984,3243,2935,20172,2116,3998,2169,1627,1103,291
11260655,15310,15117,1956,4303,4191,4250,5913,4959,28823,3209,6986,3260,2342,1764,417
11260660,8717,8603,1265,2483,2333,2547,3424,2707,17981,1101,3771,2032,1417,965,218
11260680,19585,20640,3859,5098,5445,6154,6740,5429,43512,4538,3597,3508,3142,3334,1050
11260690,10232,11220,1805,2685,3040,3323,3646,3193,23055,3978,2887,2317,1965,1518,302
11290,212559,227836,38926,72981,63037,72241,70483,54239,419276,110057,77396,41884,35441,31054,7217
11290525,7944,9037,1299,2855,2665,2726,2830,2058,11998,20221,3887,1779,1222,930,270
11290555,11367,12496,2054,4627,3518,3861,3770,2683,27442,6631,5852,2324,1639,1517,379
11290575,6585,9039,1061,4959,2632,2104,1916,1486,15599,13459,6046,1489,934,662,167
11290580,7186,8216,1419,2158,2049,2300,2792,2154,16587,2471,1782,1603,1342,1162,273
11290590,11773,12902,2880,3021,3144,4650,4053,2654,21677,910,1694,1862,2209,2233,526
11290600,7770,7586,1026,6180,2325,1827,2171,1510,6453,4827,6217,1449,881,682,137
11290610,7788,8320,1039,2920,2813,2546,2651,1891,15248,7063,3825,1613,1283,964,210
11290620,9114,9772,1863,2537,2795,3369,2900,2186,18721,1397,2249,1655,1707,1456,341
11290630,11386,12094,1950,3329,3198,3701,3789,3297,24225,1774,3087,2388,2023,1699,386
11290640,7719,7835,1155,4140,2081,2077,2400,2171,18110,2839,4216,1614,1043,817,197
11290650,12481,13332,2269,3485,3502,4324,4225,3528,22146,2020,3778,2614,2185,1831,443
11290660,17387,19146,4886,3507,5008,8051,4895,3234,34713,6019,2554,2480,3187,3704,711
11290685,8326,8885,1428,2217,2612,3018,2757,2082,17028,552,2405,1519,1481,1338,296
11290705,19688,20261,3870,6949,5537,6683,6417,4653,39362,21629,6612,3648,3179,2954,726
11290715,13082,13967,2664,3107,3692,4737,4331,3508,26028,2421,3289,2512,2273,2126,524
11290725,9631,10436,1552,3828,2978,2977,3094,2631,20366,4933,4421,1941,1469,1286,329
11290760,9911,10401,1648,3064,2509,3004,3909,2971,19955,1297,3522,2186,1638,1319,326
11290770,6912,7079,976,1979,1764,2071,2563,2193,13470,1715,2724,1638,1153,793,210
11290780,8868,8997,1503,2411,2975,2842,2853,2137,11113,1171,2453,1607,1585,1409,281
11290810,17641,18035,2384,5708,5240,5373,6167,5212,31889,3640,6783,3963,3008,2172,485
11305,151376,159179,22877,44359,40680,48595,53892,45337,313678,28205,61479,34556,24953,18768,4518
11305534,12393,12438,2059,3236,3137,3875,4494,3749,24284,1031,4625,2761,2017,1531,394
11305535,10724,11523,1411,3966,3068,3215,3935,3315,24924,2061,5981,2476,1655,1128,285
11305545,14714,15914,2160,4483,4359,4836,5351,4520,28128,2093,5912,3228,2433,1889,454
11305555,13818,13931,1739,3849,3468,4132,5257,4560,27314,1842,6385,3280,2110,1584,348
11305575,15502,16788,4080,3459,4003,6749,4960,3269,33387,1332,2623,2535,2775,3061,620
11305590,9573,9604,1160,3509,2989,3030,3217,2567,20518,2723,5640,2219,1413,899,203
11305600,8087,8565,1151,2182,1949,2560,2888,2663,16219,1318,2881,2103,1435,919,240
11305606,8361,9354,1398,2052,1846,2765,2848,2671,18668,1292,2392,2194,1504,1161,278
11305610,10575,10818,1388,3161,2899,3097,3752,3267,20772,1834,4810,2373,1653,1167,308
11305620,10308,11209,1482,3118,2580,3205,3844,3224,21216,2145,3591,2537,1787,1302,352
11305630,11726,11855,1178,4417,3586,3389,4141,3361,23263,3349,7165,2633,1752,1086,247
11305645,7958,8184,1441,2710,2693,3110,3626,3236,20450,2736,3674,2492,1715,1248,320
11305660,15349,16393,2230,4217,4103,4632,5579,4935,36904,4910,5800,3725,2704,1793,469
