code,name,parent,parentname,male,female,onehouse,convnum,rent
11305555,송천동,11305,강북구,14187,14348,6203,26,90423
11305575,삼각산동,11305,강북구,15904,17164,2538,8,153338
11305590,번1동,11305,강북구,9683,9748,5459,33,92235
11305600,번2동,11305,강북구,8402,8859,2655,7,92725
11305606,번3동,11305,강북구,8807,9788,2197,8,99483
11305610,수유1동,11305,강북구,10787,10973,4638,18,96451
11305620,수유2동,11305,강북구,10613,11388,3393,19,79360
11305630,수유3동,11305,강북구,11984,11998,6742,35,120010
11305645,우이동,11305,강북구,10417,10944,3544,19,82934
11305660,인수동,11305,강북구,15878,16817,5583,27,60844
11320,도봉구,11,서울특별시,164731,171967,44181,220,103940
11320511,창1동,11320,도봉구,12672,13745,3579,13,81261
11320512,창2동,11320,도봉구,15096,15638,3721,20,101554
11320513,창3동,11320,도봉구,7448,7439,2559,10,80754
11320514,창4동,11320,도봉구,13571,14529,2757,20,215119
11320515,창5동,11320,도봉구,12503,13366,2708,19,140496
11320521,도봉1동,11320,도봉구,11307,11088,4033,20,98691
11320522,도봉2동,11320,도봉구,14133,14601,4035,14,105854
11320660,쌍문1동,11320,도봉구,10774,11447,3080,17,95225
11320670,쌍문2동,11320,도봉구,9721,10369,2965,12,101101
11320680,쌍문3동,11320,도봉구,8304,8904,3102,16,72936
11320681,쌍문4동,11320,도봉구,9491,10403,1488,10,118387
11320690,방학1동,11320,도봉구,14918,15158,4646,27,118707
11320700,방학2동,11320,도봉구,10691,10492,3713,12,74361
11320710,방학3동,11320,도봉구,14102,14788,1795,10,94694
11350,노원구,11,서울특별시,260946,277404,68669,355,133134
11350560,월계1동,11350,노원구,12124,11365,4328,37,133370
11350570,월계2동,11350,노원구,12666,13590,3865,19,131897
11350580,월계3동,11350,노원구,15399,16595,3669,8,148960
11350595,공릉1동,11350,노원구,19036,19748,8132,45,113500
11350600,공릉2동,11350,노원구,19924,20818,5430,37,140378
11350611,하계1동,11350,노원구,14149,15068,4816,21,107662
11350612,하계2동,11350,노원구,11256,12283,1588,5,0
11350619,중계본동,11350,노원구,12928,13403,2117,12,112986
11350621,중계1동,11350,노원구,13729,14368,1407,14,171461
11350624,중계4동,11350,노원구,10448,11016,2489,14,103525
11350625,중계2.3동,11350,노원구,17293,19832,4830,9,245656
11350630,상계1동,11350,노원구,19703,20705,4335,26,117979
11350640,상계2동,11350,노원구,10513,10767,3117,32,185410
11350665,상계3.4동,11350,노원구,12997,13068,4535,16,75983
11350670,상계5동,11350,노원구,12580,13199,3875,13,88078
11350695,상계6.7동,11350,노원구,16271,18607,4178,28,184853
11350700,상계8동,11350,노원구,11653,12496,2237,5,0
11350710,상계9동,11350,노원구,10548,11485,2026,9,132678
11350720,상계10동,11350,노원구,7729,8991,1695,5,0
11380,은평구,11,서울특별시,233566,250164,75336,359,106182
11380510,녹번동,11380,은평구,18103,19466,6534,28,107256
11380520,불광1동,11380,은평구,19464,21462,6448,15,133751
11380530,불광2동,11380,은평구,14315,15104,5815,24,116847
11380551,갈현1동,11380,은평구,11943,12634,4505,20,127468
11380552,갈현2동,11380,은평구,14282,15698,4186,33,93562
11380560,구산동,11380,은평구,16836,16942,3928,22,65642
11380570,대조동,11380,은평구,14915,16694,7365,34,123953
11380580,응암1동,11380,은평구,12265,13285,4658,25,104676
11380590,응암2동,11380,은평구,10863,11321,2547,4,117947
11380600,응암3동,11380,은평구,12713,13242,5774,33,101563
11380625,역촌동,11380,은평구,23223,25534,7340,39,97973
11380631,신사1동,11380,은평구,13863,14688,3665,20,90614
11380632,신사2동,11380,은평구,11027,10958,3143,12,76533
11380640,증산동,11380,은평구,8020,8256,2464,15,78440
11380650,수색동,11380,은평구,4608,4624,1421,1,97136
11380690,진관동,11380,은평구,27126,30256,5543,34,130484
11410,서대문구,11,서울특별시,149775,161440,58356,311,123256
11410520,천연동,11410,서대문구,8854,9693,3314,12,129935
11410555,북아현동,11410,서대문구,8196,9019,2872,9,105222
11410565,충현동,11410,서대문구,8697,9165,4453,28,118171
11410585,신촌동,11410,서대문구,8494,10263,9163,84,190797
11410615,연희동,11410,서대문구,18396,19559,9904,39,110370
11410620,홍제1동,11410,서대문구,11644,13062,3407,15,100415
11410640,홍제3동,11410,서대문구,7966,8409,2640,13,108586
11410655,홍제2동,11410,서대문구,6959,7603,1736,5,234712
11410660,홍은1동,11410,서대문구,11035,11685,3104,11,78321
11410685,홍은2동,11410,서대문구,13526,14253,4689,21,90499
11410690,남가좌1동,11410,서대문구,8108,8657,1461,8,137421
11410700,남가좌2동,11410,서대문구,12129,12917,4568,25,105295
11410710,북가좌1동,11410,서대문구,9295,9850,1577,10,98704
11410720,북가좌2동,11410,서대문구,16476,17305,5468,31,83187
11440,마포구,11,서울특별시,177388,197034,77236,543,141500
11440555,아현동,11440,마포구,11729,13179,3166,23,157396
11440565,공덕동,11440,마포구,18978,20970,8523,29,93005
11440585,도화동,11440,마포구,10654,11754,3637,23,202560
11440590,용강동,11440,마포구,10424,11552,3173,26,165496
11440600,대흥동,11440,마포구,5696,5938,4767,40,134605
11440610,염리동,11440,마포구,6044,6438,2455,10,125407
11440630,신수동,11440,마포구,10336,10776,3574,18,121770
11440655,서강동,11440,마포구,12095,13261,5185,41,159598
11440660,서교동,11440,마포구,11347,13125,8662,124,153770
11440680,합정동,11440,마포구,8803,10104,4944,28,140609
11440690,망원1동,11440,마포구,10270,11482,5085,25,130339
11440700,망원2동,11440,마포구,9212,10067,2996,17,109939
11440710,연남동,11440,마포구,7513,8555,4825,26,130961
11440720,성산1동,11440,마포구,9448,10531,4137,28,105097
11440730,성산2동,11440,마포구,19203,22261,7855,32,118071
11440740,상암동,11440,마포구,15636,17041,4252,53,192119
11470,양천구,11,서울특별시,226881,234170,49734,316,121681
11470510,목1동,11470,양천구,15406,16555,1584,37,200270
11470520,목2동,11470,양천구,15298,15988,4446,28,101236
11470530,목3동,11470,양천구,11057,11897,3497,17,119871
11470540,목4동,11470,양천구,13267,13701,2879,20,93014
11470550,목5동,11470,양천구,21181,21690,1648,19,179597
11470560,신월1동,11470,양천구,11142,10574,4298,16,102844
11470570,신월2동,11470,양천구,11007,11432,2408,9,96441
11470580,신월3동,11470,양천구,8848,7903,3917,11,76592
11470590,신월4동,11470,양천구,9381,9640,1466,17,78040
11470600,신월5동,11470,양천구,7676,7773,2140,19,79424
11470610,신월6동,11470,양천구,3312,3353,659,5,98771
11470611,신월7동,11470,양천구,10749,11066,2921,13,85517
11470620,신정1동,11470,양천구,10451,10903,1376,10,119243
11470630,신정2동,11470,양천구,10092,10518,1527,11,153387
11470640,신정3동,11470,양천구,23618,24664,4404,19,130896
11470650,신정4동,11470,양천구,17236,17817,6646,43,111366
11470670,신정6동,11470,양천구,12297,12957,1027,11,161151
11470680,신정7동,11470,양천구,14863,15739,2891,11,171447
11500,강서구,11,서울특별시,288905,306697,101063,558,133785
11500510,염창동,11500,강서구,20535,21371,3424,27,112480
11500520,등촌1동,11500,강서구,11098,12278,6317,35,89705
11500530,등촌2동,11500,강서구,10805,11029,2518,10,107480
11500535,등촌3동,11500,강서구,15615,17121,5561,28,152034
11500540,화곡1동,11500,강서구,26313,27317,11926,58,107443
11500550,화곡2동,11500,강서구,9469,10001,2803,11,95735
11500560,화곡3동,11500,강서구,10803,11698,3202,16,122846
11500570,화곡4동,11500,강서구,10794,11148,3542,17,122191
11500590,화곡본동,11500,강서구,17438,18246,6877,28,105134
11500591,화곡6동,11500,강서구,12302,12548,4925,32,104271
11500593,화곡8동,11500,강서구,12637,13633,4225,15,146460
11500603,가양1동,11500,강서구,15783,17940,11762,82,236100
11500604,가양2동,11500,강서구,7287,8034,3977,6,180154
11500605,가양3동,11500,강서구,7696,8631,3112,8,98568
11500611,발산1동,11500,강서구,18331,20125,2649,34,118303
11500615,우장산동,11500,강서구,21997,23789,3967,27,137671
11500620,공항동,11500,강서구,13934,13684,5543,45,120392
11500630,방화1동,11500,강서구,22318,23314,4868,32,121070
11500640,방화2동,11500,강서구,11908,12124,5412,27,61987
11500641,방화3동,11500,강서구,11842,12666,4453,20,147961
11530,구로구,11,서울특별시,200561,204854,64538,360,117675
11530510,신도림동,11530,구로구,18139,19005,2962,31,129209
11530520,구로1동,11530,구로구,10551,10858,1767,10,138793
11530530,구로2동,11530,구로구,13040,12699,6178,28,112997
11530540,구로3동,11530,구로구,12483,12045,7670,72,168180
11530550,구로4동,11530,구로구,10396,10828,4941,19,128100
11530560,구로5동,11530,구로구,14531,15512,6820,29,111857
11530595,가리봉동,11530,구로구,5182,4361,3883,14,94573
11530720,고척1동,11530,구로구,12010,11939,2885,15,101455
11530730,고척2동,11530,구로구,14167,14397,3693,23,79060
11530740,개봉1동,11530,구로구,16625,16625,4761,21,91282
11530750,개봉2동,11530,구로구,16156,16881,3117,12,139488
11530760,개봉3동,11530,구로구,10625,11065,2597,9,96867
11530770,오류1동,11530,구로구,10772,11224,5060,23,153515
11530780,오류2동,11530,구로구,23574,24917,5426,30,126987
11530790,수궁동,11530,구로구,12310,12498,2778,24,80094
11545,금천구,11,서울특별시,118912,115167,48816,280,110918
11545510,가산동,11545,금천구,11548,9334,9590,112,137590
11545610,독산1동,11545,금천구,21218,19792,9441,42,110389
11545620,독산2동,11545,금천구,10062,9686,3974,15,90324
11545630,독산3동,11545,금천구,12815,12527,5624,19,86576
11545640,독산4동,11545,금천구,8185,8069,3297,14,102744
11545670,시흥1동,11545,금천구,17342,17317,6587,41,111267
11545680,시흥2동,11545,금천구,11080,11659,2012,4,123494
11545690,시흥3동,11545,금천구,5760,5738,1429,9,86902
11545700,시흥4동,11545,금천구,10680,10822,3078,12,120069
11545710,시흥5동,11545,금천구,10222,10223,3784,12,137902
11560,영등포구,11,서울특별시,183460,185557,79442,487,113743
11560515,영등포본동,11560,영등포구,11319,10832,4483,20,100810
11560535,영등포동,11560,영등포구,14335,11892,12084,67,123568
11560540,여의동,11560,영등포구,16075,18011,3932,97,225105
11560550,당산1동,11560,영등포구,10330,10625,5273,33,93185
11560560,당산2동,11560,영등포구,16831,18919,8541,38,135625
11560585,도림동,11560,영등포구,9523,9339,4388,11,81208
11560605,문래동,11560,영등포구,15742,16088,3633,39,98580
11560610,양평1동,11560,영등포구,8931,8965,4271,18,91690
11560620,양평2동,11560,영등포구,11350,11329,4158,37,105773
11560630,신길1동,11560,영등포구,8869,8624,5918,16,88591
11560650,신길3동,11560,영등포구,8590,8679,2934,10,123715
11560660,신길4동,11560,영등포구,4557,4514,1875,5,70967
11560670,신길5동,11560,영등포구,4539,4815,1795,7,76080
11560680,신길6동,11560,영등포구,9058,9303,3630,13,96695
11560690,신길7동,11560,영등포구,8486,8499,1920,13,106559
11560700,대림1동,11560,영등포구,6532,6519,2998,15,112057
11560710,대림2동,11560,영등포구,6253,6611,3615,19,126878
11560720,대림3동,11560,영등포구,12140,11993,3994,29,97682
11590,동작구,11,서울특별시,193449,205436,76209,340,130395
11590510,노량진1동,11590,동작구,16019,16247,6588,43,141025
11590520,노량진2동,11590,동작구,6688,6355,4096,19,164676
11590530,상도1동,11590,동작구,22491,23713,9694,48,148106
11590540,상도2동,11590,동작구,13943,15082,5123,19,146064
11590550,상도3동,11590,동작구,12339,13381,5028,12,134293
11590560,상도4동,11590,동작구,14643,15189,5374,14,88902
11590605,흑석동,11590,동작구,16023,16830,5509,28,117570
11590620,사당1동,11590,동작구,11261,12320,7407,28,117786
11590630,사당2동,11590,동작구,13562,14513,4150,27,152933
11590640,사당3동,11590,동작구,12757,13488,3467,13,135543
11590650,사당4동,11590,동작구,7098,7738,3060,9,102743
11590651,사당5동,11590,동작구,6284,6676,2249,6,69552
11590660,대방동,11590,동작구,18906,20831,6844,36,120680
11590670,신대방1동,11590,동작구,11543,12423,3515,10,121534
11590680,신대방2동,11590,동작구,9892,10650,4105,28,148477
11620,관악구,11,서울특별시,251875,250214,148296,475,129783
11620525,보라매동,11620,관악구,12345,12916,5732,21,110564
11620545,청림동,11620,관악구,7984,8263,1966,7,0
11620565,성현동,11620,관악구,15778,16713,3920,10,84944
11620575,행운동,11620,관악구,14662,15352,10475,36,116881
11620585,낙성대동,11620,관악구,8516,8480,7493,26,158253
11620595,청룡동,11620,관악구,14214,15348,14014,42,145424
11620605,은천동,11620,관악구,17204,17841,6604,24,125185
11620615,중앙동,11620,관악구,7406,8031,5926,19,146400
11620625,인헌동,11620,관악구,13155,13739,7568,22,120228
11620630,남현동,11620,관악구,9066,9829,4625,20,212269
11620645,서원동,11620,관악구,11913,11420,8566,28,173563
11620655,신원동,11620,관악구,9351,9401,5945,10,164874
11620665,서림동,11620,관악구,13298,10802,9098,25,103531
11620685,신사동,11620,관악구,11614,11493,8038,25,99350
11620695,신림동,11620,관악구,10953,10815,13469,39,197512
11620715,난향동,11620,관악구,8130,8290,1905,4,78648
11620725,조원동,11620,관악구,8843,8655,6278,22,96721
11620735,대학동,11620,관악구,14304,9470,11667,43,125414
11620745,삼성동,11620,관악구,12830,12671,4625,9,78878
11620765,미성동,11620,관악구,15827,16450,5405,21,100013
11620775,난곡동,11620,관악구,14482,14235,4977,22,109023
11650,서초구,11,서울특별시,206478,224882,57802,526,136653
11650510,서초1동,11650,서초구,10292,11013,3827,34,132931
11650520,서초2동,11650,서초구,8721,9519,3640,40,159087
11650530,서초3동,11650,서초구,14985,15599,5587,81,121117
11650531,서초4동,11650,서초구,15298,16301,2380,35,139766
11650540,잠원동,11650,서초구,16353,18005,4692,32,155668
11650550,반포본동,11650,서초구,5776,6490,740,8,143968
11650560,반포1동,11650,서초구,15814,17058,6316,29,172872
11650570,반포2동,11650,서초구,7732,8512,738,7,0
11650580,반포3동,11650,서초구,9545,10661,1288,9,227111
11650581,반포4동,11650,서초구,9349,10468,1904,40,224702
11650590,방배본동,11650,서초구,9935,11421,2086,20,129364
11650600,방배1동,11650,서초구,8223,9243,2881,18,121183
11650610,방배2동,11650,서초구,10005,11175,3133,25,138448
11650620,방배3동,11650,서초구,10838,11593,2272,18,134998
11650621,방배4동,11650,서초구,11027,12958,3402,25,115970
11650651,양재1동,11650,서초구,21922,23915,5908,46,120974
11650652,양재2동,11650,서초구,11635,11492,4936,46,91743
11650660,내곡동,11650,서초구,9028,9459,2072,13,87352
11680,강남구,11,서울특별시,259645,282853,90342,976,164009
11680510,신사동,11680,강남구,8068,9307,2943,44,189594
11680521,논현1동,11680,강남구,10751,12430,9268,80,164930
11680531,논현2동,11680,강남구,10196,11607,6126,77,139437
11680545,압구정동,11680,강남구,12748,14963,3036,57,197817
11680565,청담동,11680,강남구,14047,15860,4663,55,168623
11680580,삼성1동,11680,강남구,7340,7405,1974,55,173572
11680590,삼성2동,11680,강남구,14337,15742,5621,51,155942
11680600,대치1동,11680,강남구,12656,12578,573,23,279105
11680610,대치2동,11680,강남구,19679,19151,2427,49,157488
11680630,대치4동,11680,강남구,9751,10810,5285,61,178629
11680640,역삼1동,11680,강남구,17430,18611,16463,200,157738
11680650,역삼2동,11680,강남구,17239,19403,6216,54,152412
11680655,도곡1동,11680,강남구,10639,11899,2500,29,183753
11680656,도곡2동,11680,강남구,15941,18298,2223,25,180024
11680660,개포1동,11680,강남구,3402,3649,880,2,132795
11680670,개포2동,11680,강남구,8788,9368,1458,11,168681
11680690,개포4동,11680,강남구,9031,9364,2928,32,86258
11680700,세곡동,11680,강남구,21443,23516,5738,22,155771
11680720,일원본동,11680,강남구,12011,12438,1491,10,142033
11680730,일원1동,11680,강남구,8062,8415,3116,12,120060
11680740,일원2동,11680,강남구,8683,9334,2163,7,218536
11680750,수서동,11680,강남구,7403,8705,3250,20,132788
11710,송파구,11,서울특별시,329200,350047,94289,622,142495
11710510,풍납1동,11710,송파구,7392,7523,2528,8,90189
11710520,풍납2동,11710,송파구,11748,12937,3900,18,107433
11710531,거여1동,11710,송파구,6724,6437,1801,12,97150
11710532,거여2동,11710,송파구,8424,8665,2486,11,136240
11710540,마천1동,11710,송파구,10655,10149,3548,10,72130
11710550,마천2동,11710,송파구,10284,9954,3086,10,97886
11710561,방이1동,11710,송파구,7928,8448,1798,22,110210
11710562,방이2동,11710,송파구,12362,13371,7062,38,135306
11710566,오륜동,11710,송파구,9279,9678,668,16,333684
11710570,오금동,11710,송파구,19961,20938,4223,40,103822
11710580,송파1동,11710,송파구,12198,13630,5801,24,109775
11710590,송파2동,11710,송파구,9993,10664,1528,13,129176
11710600,석촌동,11710,송파구,16040,17385,8257,45,128332
11710610,삼전동,11710,송파구,15479,17015,8185,36,143652
11710620,가락본동,11710,송파구,13662,13938,4425,43,127851
11710631,가락1동,11710,송파구,12723,13263,1684,6,102804
11710632,가락2동,11710,송파구,16555,17226,2823,19,121732
11710641,문정1동,11710,송파구,10495,10655,2768,15,108140
11710642,문정2동,11710,송파구,13914,15842,8388,64,231907
11710646,장지동,11710,송파구,16583,17655,3708,25,119764
11710647,위례동,11710,송파구,13821,14528,1050,14,215981
11710650,잠실본동,11710,송파구,13738,15311,7907,55,167542
11710670,잠실2동,11710,송파구,17528,19177,1862,23,543268
11710680,잠실3동,11710,송파구,17185,18862,1966,17,128940
11710690,잠실4동,11710,송파구,11481,12288,1381,6,448214
11710710,잠실6동,11710,송파구,8255,9056,952,30,212606
11710720,잠실7동,11710,송파구,4793,5452,504,2,0
11740,강동구,11,서울특별시,209746,214489,62524,399,109765
11740515,강일동,11740,강동구,15666,16727,2202,21,175627
11740520,상일동,11740,강동구,5496,5530,1164,11,80301
11740530,명일1동,11740,강동구,10942,11392,1954,18,126290
11740540,명일2동,11740,강동구,8847,9079,1127,18,117438
11740550,고덕1동,11740,강동구,13859,13455,1573,8,184567
11740560,고덕2동,11740,강동구,3835,3400,1460,6,81687
11740570,암사1동,11740,강동구,18360,18622,6116,32,102735
11740580,암사2동,11740,강동구,7095,7482,1820,10,116545
11740590,암사3동,11740,강동구,9256,9638,1039,7,95057
11740600,천호1동,11740,강동구,14133,14437,5089,23,90920
11740610,천호2동,11740,강동구,17713,17696,8529,48,104572
11740620,천호3동,11740,강동구,13717,14065,6494,29,112109
11740640,성내1동,11740,강동구,9987,10620,2359,23,106415
11740650,성내2동,11740,강동구,12307,12512,6108,26,117569
11740660,성내3동,11740,강동구,11786,11973,3742,31,111788
11740685,길동,11740,강동구,22846,23652,8106,62,106628
11740690,둔촌1동,11740,강동구,130,144,115,4,0
11740700,둔촌2동,11740,강동구,13771,14065,3527,22,94649
