name,code,type,parent,male,female,onehouse,convnum,rent
삼양동,11305534,dong,강북구,"14,012","14,096",4783,14,83920
미아동,11305535,dong,강북구,"10,957","11,700",5285,32,100387
송중동,11305545,dong,강북구,"14,221","15,293",5377,25,124516
송천동,11305555,dong,강북구,"14,603","14,612",6049,27,88510
삼각산동,11305575,dong,강북구,"16,225","17,397",2524,8,120304
번1동,11305590,dong,강북구,"9,745","9,862",5141,33,95096
번2동,11305600,dong,강북구,"8,541","9,046",2483,7,74150
번3동,11305606,dong,강북구,"9,074","9,990",2069,8,78193
수유1동,11305610,dong,강북구,"10,899","11,159",4452,19,88510
수유2동,11305620,dong,강북구,"10,907","11,561",3204,18,73407
수유3동,11305630,dong,강북구,"11,936","11,922",6199,33,101505
우이동,11305645,dong,강북구,"10,616","11,178",3407,15,68861
인수동,11305660,dong,강북구,"16,033","16,800",5247,28,63163
도봉구,11320,gu,도봉구,"167,465","174,463",41897,219,97093
창1동,11320511,dong,도봉구,"12,914","14,005",3368,15,107254
창2동,11320512,dong,도봉구,"15,380","15,955",3514,19,80417
창3동,11320513,dong,도봉구,"7,575","7,613",2439,11,74091
창4동,11320514,dong,도봉구,"13,803","14,756",2615,17,218012
창5동,11320515,dong,도봉구,"12,694","13,546",2454,18,139074
도봉1동,11320521,dong,도봉구,"11,605","11,362",3917,23,69514
도봉2동,11320522,dong,도봉구,"14,289","14,758",3793,13,88623
쌍문1동,11320660,dong,도봉구,"10,764","11,386",2929,18,88584
쌍문2동,11320670,dong,도봉구,"9,864","10,479",2853,14,94776
쌍문3동,11320680,dong,도봉구,"8,371","8,895",2895,16,108029
쌍문4동,11320681,dong,도봉구,"9,655","10,532",1502,10,144198
방학1동,11320690,dong,도봉구,"15,055","15,294",4353,24,88058
방학2동,11320700,dong,도봉구,"11,023","10,761",3548,12,101506
방학3동,11320710,dong,도봉구,"14,473","15,121",1717,9,58673
노원구,11350,gu,노원구,"266,826","282,539",66145,350,128814
월계1동,11350560,dong,노원구,"12,231","11,481",4264,36,103361
월계2동,11350570,dong,노원구,"12,997","13,897",3636,18,88942
월계3동,11350580,dong,노원구,"15,816","16,937",3466,9, 
공릉1동,11350595,dong,노원구,"19,277","19,987",7702,48,105489
공릉2동,11350600,dong,노원구,"20,206","21,016",5087,41,97328
하계1동,11350611,dong,노원구,"14,441","15,270",4620,21,87420
하계2동,11350612,dong,노원구,"11,523","12,498",1545,4, 
중계본동,11350619,dong,노원구,"13,234","13,736",2127,14,152734
중계1동,11350621,dong,노원구,"13,920","14,547",1391,14,210576
중계4동,11350624,dong,노원구,"10,629","11,163",2338,11,143662
중계2.3동,11350625,dong,노원구,"17,851","20,299",4599,9,208505
상계1동,11350630,dong,노원구,"20,130","21,061",4242,27,117448
상계2동,11350640,dong,노원구,"10,698","10,954",3003,25,151481
상계3.4동,11350665,dong,노원구,"13,530","13,514",4541,15,82843
상계5동,11350670,dong,노원구,"12,974","13,511",3812,12,94242
상계6.7동,11350695,dong,노원구,"16,623","18,943",4021,28,158613
상계8동,11350700,dong,노원구,"11,955","12,809",2107,6,185570
상계9동,11350710,dong,노원구,"10,861","11,691",1965,7,156429
상계10동,11350720,dong,노원구,"7,930","9,225",1679,5, 
은평구,11380,gu,은평구,"234,905","249,737",71730,357,99553
녹번동,11380510,dong,은평구,"15,792","16,972",5957,26,96273
불광1동,11380520,dong,은평구,"19,932","21,753",6079,13,117929
불광2동,11380530,dong,은평구,"14,544","15,296",5506,25,104358
갈현1동,11380551,dong,은평구,"12,246","12,773",4263,21,95771
갈현2동,11380552,dong,은평구,"14,625","15,915",3971,34,109404
구산동,11380560,dong,은평구,"16,886","16,797",3606,24,83293
대조동,11380570,dong,은평구,"15,422","17,182",7258,33,102072
응암1동,11380580,dong,은평구,"12,495","13,453",4411,27,115080
응암2동,11380590,dong,은평구,"10,486","10,853",2432,4,85725
응암3동,11380600,dong,은평구,"12,922","13,316",5511,28,93465
역촌동,11380625,dong,은평구,"23,918","26,159",7012,41,92550
신사1동,11380631,dong,은평구,"13,549","14,332",3432,20,93935
신사2동,11380632,dong,은평구,"11,088","11,045",2937,12,75108
증산동,11380640,dong,은평구,"8,167","8,355",2381,16,63743
수색동,11380650,dong,은평구,"6,150","6,098",1895,1,73809
진관동,11380690,dong,은평구,"26,683","29,438",5079,32,131409
서대문구,11410,gu,서대문구,"150,131","161,149",55942,294,134330
천연동,11410520,dong,서대문구,"9,112","9,945",3331,10,99609
북아현동,11410555,dong,서대문구,"8,319","9,113",2790,8,188282
충현동,11410565,dong,서대문구,"8,873","9,276",4313,27,108396
신촌동,11410585,dong,서대문구,"8,414","9,992",8497,82,217905
연희동,11410615,dong,서대문구,"18,198","19,359",9375,37,105565
홍제1동,11410620,dong,서대문구,"10,886","12,252",3136,14,119428
홍제3동,11410640,dong,서대문구,"8,064","8,579",2582,11,104529
홍제2동,11410655,dong,서대문구,"7,097","7,691",1632,4,121252
홍은1동,11410660,dong,서대문구,"11,721","12,272",3225,10,102028
홍은2동,11410685,dong,서대문구,"14,250","14,876",4687,20,107582
남가좌1동,11410690,dong,서대문구,"8,135","8,761",1426,8,202508
남가좌2동,11410700,dong,서대문구,"10,862","11,550",4202,21,84515
북가좌1동,11410710,dong,서대문구,"9,415","10,017",1489,10, 
북가좌2동,11410720,dong,서대문구,"16,785","17,466",5257,32,111716
마포구,11440,gu,마포구,"178,430","196,261",73510,555,149627
아현동,11440555,dong,마포구,"12,003","13,354",3214,22,206701
공덕동,11440565,dong,마포구,"19,044","20,890",7859,30,103366
도화동,11440585,dong,마포구,"10,834","11,866",3524,22,172000
용강동,11440590,dong,마포구,"10,532","11,520",3079,29,139479
대흥동,11440600,dong,마포구,"5,854","6,100",4664,41,131515
염리동,11440610,dong,마포구,"5,017","5,320",2349,9,120056
신수동,11440630,dong,마포구,"10,445","10,902",3487,17,132489
서강동,11440655,dong,마포구,"12,041","13,109",5036,41,155007
서교동,11440660,dong,마포구,"11,514","13,221",8332,132,174220
합정동,11440680,dong,마포구,"9,014","10,342",4836,29,137632
망원1동,11440690,dong,마포구,"10,147","11,142",4769,25,143486
망원2동,11440700,dong,마포구,"9,396","10,207",2799,18,105055
연남동,11440710,dong,마포구,"7,826","8,794",4704,26,124463
성산1동,11440720,dong,마포구,"9,563","10,572",4030,31,112213
성산2동,11440730,dong,마포구,"19,323","21,773",6940,30,141841
상암동,11440740,dong,마포구,"15,877","17,149",3888,53,179654
양천구,11470,gu,양천구,"230,322","236,829",47672,316,113300
목1동,11470510,dong,양천구,"15,596","16,830",1582,36,152416
목2동,11470520,dong,양천구,"15,468","16,112",4160,25,106250
목3동,11470530,dong,양천구,"10,678","11,385",3263,17,130152
목4동,11470540,dong,양천구,"13,424","13,797",2715,21,102755
목5동,11470550,dong,양천구,"21,505","21,956",1612,19,188222
신월1동,11470560,dong,양천구,"11,484","10,834",4129,16,92224
신월2동,11470570,dong,양천구,"11,199","11,582",2342,9,76263
신월3동,11470580,dong,양천구,"9,032","8,094",3811,11,87821
신월4동,11470590,dong,양천구,"9,597","9,884",1404,15,127282
신월5동,11470600,dong,양천구,"7,817","7,937",2030,16,70434
신월6동,11470610,dong,양천구,"3,452","3,449",695,6,80162
신월7동,11470611,dong,양천구,"11,190","11,484",2803,13,77072
신정1동,11470620,dong,양천구,"10,552","10,973",1399,10,122610
신정2동,11470630,dong,양천구,"10,294","10,667",1546,12,110392
신정3동,11470640,dong,양천구,"24,253","25,188",4228,19,132155
신정4동,11470650,dong,양천구,"17,512","18,086",6273,48,109967
신정6동,11470670,dong,양천구,"12,497","13,051",983,12,215697
신정7동,11470680,dong,양천구,"14,772","15,520",2697,11,136951
강서구,11500,gu,강서구,"291,966","308,291",94180,548,124556
염창동,11500510,dong,강서구,"20,162","20,946",3033,25,120022
등촌1동,11500520,dong,강서구,"11,028","12,246",5893,31,96292
등촌2동,11500530,dong,강서구,"11,001","11,104",2339,11,83520
등촌3동,11500535,dong,강서구,"16,138","17,515",5153,29,153408
화곡1동,11500540,dong,강서구,"26,475","27,286",11175,60,88548
화곡2동,11500550,dong,강서구,"9,683","10,202",2679,12,74873
화곡3동,11500560,dong,강서구,"10,840","11,693",2908,13,111778
화곡4동,11500570,dong,강서구,"11,180","11,512",3493,16,120581
화곡본동,11500590,dong,강서구,"17,569","18,352",6224,25,113590
화곡6동,11500591,dong,강서구,"12,262","12,541",4358,36,110257
화곡8동,11500593,dong,강서구,"12,909","13,703",4115,15,152370
가양1동,11500603,dong,강서구,"15,691","17,349",10749,87,239840
가양2동,11500604,dong,강서구,"7,648","8,391",3752,5,158938
가양3동,11500605,dong,강서구,"7,790","8,599",2846,3,92691
발산1동,11500611,dong,강서구,"18,562","20,325",2436,24,107256
우장산동,11500615,dong,강서구,"22,199","23,997",3749,30,126287
공항동,11500620,dong,강서구,"13,989","13,727",5217,44,103373
방화1동,11500630,dong,강서구,"22,668","23,582",4590,36,119026
방화2동,11500640,dong,강서구,"12,074","12,271",5134,27,75611
방화3동,11500641,dong,강서구,"12,098","12,950",4337,19,135092
구로구,11530,gu,구로구,"202,016","205,219",61659,357,108803
신도림동,11530510,dong,구로구,"18,260","19,033",2755,31,121697
구로1동,11530520,dong,구로구,"10,685","10,944",1666,11,127816
구로2동,11530530,dong,구로구,"13,398","13,094",6030,25,113861
구로3동,11530540,dong,구로구,"12,836","12,552",7805,71,171524
구로4동,11530550,dong,구로구,"10,869","11,098",4831,18,126113
구로5동,11530560,dong,구로구,"14,852","15,742",6490,31,86362
가리봉동,11530595,dong,구로구,"5,417","4,531",3796,17,76350
고척1동,11530720,dong,구로구,"12,135","12,101",2760,12,101807
고척2동,11530730,dong,구로구,"14,590","14,657",3593,23,69820
개봉1동,11530740,dong,구로구,"16,913","16,871",4655,21,93218
개봉2동,11530750,dong,구로구,"16,438","17,030",3159,11,99193
개봉3동,11530760,dong,구로구,"10,636","11,078",2464,11,79498
오류1동,11530770,dong,구로구,"10,797","11,116",4707,27,97961
오류2동,11530780,dong,구로구,"21,557","22,646",4345,25,108371
수궁동,11530790,dong,구로구,"12,633","12,726",2603,23,73171
금천구,11545,gu,금천구,"118,530","114,733",45252,255,100783
가산동,11545510,dong,금천구,"11,096","9,076",8664,104,108401
독산1동,11545610,dong,금천구,"19,279","17,715",8068,33,101676
독산2동,11545620,dong,금천구,"10,431","10,031",3888,14,77147
독산3동,11545630,dong,금천구,"13,034","12,746",5392,17,90960
독산4동,11545640,dong,금천구,"8,459","8,334",3215,13,79178
시흥1동,11545670,dong,금천구,"17,402","17,350",5966,39,108348
시흥2동,11545680,dong,금천구,"11,451","11,997",1939,3,154199
시흥3동,11545690,dong,금천구,"5,890","5,837",1389,9,106961
시흥4동,11545700,dong,금천구,"11,031","11,217",3018,11,92996
시흥5동,11545710,dong,금천구,"10,457","10,430",3713,12,106072
영등포구,11560,gu,영등포구,"183,888","185,115",74245,507,112828
영등포본동,11560515,dong,영등포구,"11,506","11,088",4272,23,130543
영등포동,11560535,dong,영등포구,"13,648","11,005",10924,72,128215
여의동,11560540,dong,영등포구,"15,801","17,623",3352,96,187993
당산1동,11560550,dong,영등포구,"10,295","10,514",4962,33,98777
당산2동,11560560,dong,영등포구,"16,847","18,853",8178,40,143401
도림동,11560585,dong,영등포구,"9,694","9,516",4311,13,79065
문래동,11560605,dong,영등포구,"15,775","16,086",3461,40,114516
양평1동,11560610,dong,영등포구,"8,710","8,710",3832,20,72461
양평2동,11560620,dong,영등포구,"11,370","11,394",3829,39,110113
신길1동,11560630,dong,영등포구,"8,842","8,675",5439,18,87032
신길3동,11560650,dong,영등포구,"8,066","8,101",2740,10,111927
신길4동,11560660,dong,영등포구,"4,798","4,720",1838,6,103159
신길5동,11560670,dong,영등포구,"4,988","5,298",1931,7,77926
신길6동,11560680,dong,영등포구,"9,234","9,378",3322,12,134704
신길7동,11560690,dong,영등포구,"8,597","8,589",1914,13,101418
대림1동,11560700,dong,영등포구,"6,830","6,715",2899,17,85886
대림2동,11560710,dong,영등포구,"6,300","6,585",3167,19,118731
대림3동,11560720,dong,영등포구,"12,587","12,265",3874,29,80087
