CD,남자 인구수,여자 인구수
11470630,"9,913","10,291"
11470640,"22,816","23,975"
11470650,"16,594","17,272"
11470670,"12,216","12,916"
11470680,"14,569","15,542"
11560,"185,603","189,530"
11560515,"11,062","10,572"
11560535,"14,695","12,544"
11560540,"16,111","18,221"
11560550,"10,245","10,640"
11560560,"17,590","19,919"
11560585,"9,259","9,165"
11560605,"16,043","16,556"
11560610,"8,665","8,889"
11560620,"11,136","11,275"
11560630,"8,935","8,654"
11560650,"8,404","8,608"
11560660,"4,449","4,419"
11560670,"5,411","5,770"
11560680,"8,771","9,150"
11560690,"10,133","10,202"
11560700,"7,008","7,080"
11560710,"6,062","6,319"
11560720,"11,624","11,547"
11170,"110,403","118,959"
11170510,"8,672","9,146"
11170520,"4,898","5,275"
11170530,"4,722","2,991"
11170555,"9,329","10,592"
11170560,"7,770","8,356"
11170570,"6,759","7,607"
11170580,"4,859","5,395"
11170590,"5,891","6,474"
11170625,"8,929","9,570"
11170630,"13,229","15,105"
11170640,"4,124","4,646"
11170650,"3,275","3,650"
11170660,"4,275","4,987"
11170685,"10,234","11,031"
11170690,"6,386","6,923"
11170700,"7,051","7,211"
11380,"231,508","250,221"
11380510,"17,848","19,556"
11380520,"18,928","21,009"
11380530,"13,909","14,729"
11380551,"11,486","12,039"
11380552,"13,857","15,267"
11380560,"16,481","16,599"
11380570,"12,783","14,581"
11380580,"14,442","15,944"
11380590,"13,337","14,122"
11380600,"12,412","12,971"
11380625,"22,265","24,748"
11380631,"13,430","14,357"
11380632,"10,496","10,546"
11380640,"7,603","7,913"
11380650,"5,321","5,400"
11380690,"26,910","30,440"
11110,"73,062","76,900"
11110515,"5,851","6,699"
11110530,"4,250","5,234"
11110540,"1,297","1,392"
11110550,"4,766","5,274"
11110560,"8,625","9,818"
11110570,"4,018","4,597"
11110580,"4,885","5,616"
11110600,"2,004","2,327"
11110615,"4,327","2,876"
11110630,"2,888","2,433"
11110640,"3,640","4,085"
11110650,"8,141","8,700"
11110670,"2,801","2,372"
11110680,"4,295","4,044"
11110690,"3,408","3,559"
11110700,"2,990","3,153"
11110710,"4,876","4,721"
11140,"61,651","64,339"
11140520,"1,029","1,066"
11140540,"2,762","2,428"
11140550,"1,269","1,695"
11140570,"2,072","1,947"
11140580,"2,366","2,320"
11140590,"2,671","2,393"
11140605,"1,109",728
11140615,"3,800","3,817"
11140625,"7,009","7,403"
11140635,"8,147","9,144"
11140645,"6,693","7,424"
11140650,"5,176","5,471"
11140665,"5,192","5,584"
11140670,"6,054","6,619"
11140680,"6,302","6,300"
11260,"195,931","199,857"
11260520,"12,516","12,572"
11260540,"9,554","9,557"
11260550,"6,561","6,455"
11260565,"17,284","17,423"
11260570,"11,235","11,151"
11260575,"12,848","12,989"
11260580,"12,232","12,717"
11260590,"9,609","10,133"
11260600,"9,982","10,402"
11260610,"13,378","12,648"
11260620,"17,290","18,339"
11260630,"9,598","9,891"
11260655,"15,310","15,117"
11260660,"8,717","8,603"
11260680,"19,585","20,640"
11260690,"10,232","11,220"
