CD,남자 인구수,여자 인구수
11650530,"14,985","15,599"
11650531,"15,298","16,301"
11650540,"16,353","18,005"
11650550,"5,776","6,490"
11650560,"15,814","17,058"
11650570,"7,732","8,512"
11650580,"9,545","10,661"
11650581,"9,349","10,468"
11650590,"9,935","11,421"
11650600,"8,223","9,243"
11650610,"10,005","11,175"
11650620,"10,838","11,593"
11650621,"11,027","12,958"
11650651,"21,922","23,915"
11650652,"11,635","11,492"
11650660,"9,028","9,459"
11200,"149,412","155,524"
11200520,"8,566","9,039"
11200535,"13,072","14,307"
11200540,"11,616","11,907"
11200550,"6,073","5,729"
11200560,"7,904","8,283"
11200570,"11,674","13,161"
11200580,"7,665","8,538"
11200590,"7,637","8,302"
11200615,"11,511","12,651"
11200620,"7,268","7,924"
11200645,"12,687","14,380"
11200650,"8,558","8,541"
11200660,"7,427","7,508"
11200670,"9,085","8,359"
11200690,"5,849","5,590"
11200720,"5,924","5,226"
11200790,"6,896","6,079"
11290,"213,648","226,749"
11290525,"8,112","9,077"
11290555,"12,520","13,579"
11290575,"6,590","8,937"
11290580,"7,484","8,530"
11290590,"11,918","13,081"
11290600,"7,789","7,571"
11290610,"7,997","8,512"
11290620,"9,199","9,760"
11290630,"11,656","12,143"
11290640,"7,945","7,932"
11290650,"12,926","13,703"
11290660,"17,694","19,415"
11290685,"7,866","8,262"
11290705,"20,080","20,527"
11290715,"13,322","14,163"
11290725,"9,780","10,288"
11290760,"10,259","10,552"
11290770,"7,043","7,064"
11290780,"5,846","5,775"
11290810,"17,622","17,878"
11710,"329,200","350,047"
11710510,"7,392","7,523"
11710520,"11,748","12,937"
11710531,"6,724","6,437"
11710532,"8,424","8,665"
11710540,"10,655","10,149"
11710550,"10,284","9,954"
11710561,"7,928","8,448"
11710562,"12,362","13,371"
11710566,"9,279","9,678"
11710570,"19,961","20,938"
11710580,"12,198","13,630"
11710590,"9,993","10,664"
11710600,"16,040","17,385"
11710610,"15,479","17,015"
11710620,"13,662","13,938"
11710631,"12,723","13,263"
11710632,"16,555","17,226"
11710641,"10,495","10,655"
11710642,"13,914","15,842"
11710646,"16,583","17,655"
11710647,"13,821","14,528"
11710650,"13,738","15,311"
11710670,"17,528","19,177"
11710680,"17,185","18,862"
11710690,"11,481","12,288"
11710710,"8,255","9,056"
11710720,"4,793","5,452"
11470,"226,881","234,170"
11470510,"15,406","16,555"
11470520,"15,298","15,988"
11470530,"11,057","11,897"
11470540,"13,267","13,701"
11470550,"21,181","21,690"
11470560,"11,142","10,574"
11470570,"11,007","11,432"
11470580,"8,848","7,903"
11470590,"9,381","9,640"
11470600,"7,676","7,773"
11470610,"3,312","3,353"
11470611,"10,749","11,066"
11470620,"10,451","10,903"
11470630,"10,092","10,518"
11470640,"23,618","24,664"
11470650,"17,236","17,817"
11470670,"12,297","12,957"
11470680,"14,863","15,739"
11560,"183,460","185,557"
11560515,"11,319","10,832"
11560535,"14,335","11,892"
11560540,"16,075","18,011"
11560550,"10,330","10,625"
11560560,"16,831","18,919"
11560585,"9,523","9,339"
11560605,"15,742","16,088"
11560610,"8,931","8,965"
11560620,"11,350","11,329"
11560630,"8,869","8,624"
11560650,"8,590","8,679"
11560660,"4,557","4,514"
11560670,"4,539","4,815"
11560680,"9,058","9,303"
11560690,"8,486","8,499"
11560700,"6,532","6,519"
11560710,"6,253","6,611"
11560720,"12,140","11,993"
11170,"110,560","118,562"
11170510,"8,786","9,290"
11170520,"5,110","5,461"
11170530,"4,792","3,036"
11170555,"9,517","10,488"
11170560,"7,591","8,097"
11170570,"6,909","7,790"
11170580,"4,622","5,088"
11170590,"6,024","6,555"
11170625,"8,618","9,203"
11170630,"13,186","15,082"
11170640,"4,203","4,736"
11170650,"3,272","3,672"
11170660,"4,339","5,042"
11170685,"9,922","10,599"
11170690,"6,480","6,953"
11170700,"7,189","7,470"
11380,"233,566","250,164"
11380510,"18,103","19,466"
11380520,"19,464","21,462"
11380530,"14,315","15,104"
11380551,"11,943","12,634"
11380552,"14,282","15,698"
11380560,"16,836","16,942"
11380570,"14,915","16,694"
11380580,"12,265","13,285"
11380590,"10,863","11,321"
11380600,"12,713","13,242"
11380625,"23,223","25,534"
11380631,"13,863","14,688"
11380632,"11,027","10,958"
11380640,"8,020","8,256"
11380650,"4,608","4,624"
11380690,"27,126","30,256"
11110,"74,190","77,836"
11110515,"6,029","6,860"
11110530,"4,256","5,191"
11110540,"1,335","1,468"
11110550,"4,801","5,267"
11110560,"8,747","9,920"
11110570,"4,046","4,609"
11110580,"4,926","5,683"
11110600,"2,028","2,336"
11110615,"4,390","2,974"
11110630,"2,859","2,344"
11110640,"3,757","4,241"
11110650,"8,190","8,781"
11110670,"2,859","2,438"
11110680,"4,416","4,236"
11110690,"3,548","3,635"
11110700,"3,100","3,183"
11110710,"4,903","4,670"
11140,"62,086","64,057"
11140520,"1,005","1,045"
11140540,"2,881","2,415"
11140550,"1,176","1,633"
11140570,"2,115","1,927"
11140580,"2,404","2,324"
11140590,"2,640","2,319"
11140605,"1,100",702
11140615,"3,820","3,808"
11140625,"7,096","7,471"
11140635,"8,289","9,305"
11140645,"6,912","7,613"
11140650,"4,856","4,953"
11140665,"5,277","5,708"
11140670,"6,129","6,480"
11140680,"6,386","6,354"
11260,"198,906","201,755"
11260520,"13,008","12,899"
11260540,"9,972","10,094"
11260550,"5,054","4,814"
11260565,"17,718","17,858"
11260570,"10,838","10,911"
11260575,"13,196","13,218"
11260580,"12,424","13,007"
11260590,"9,393","9,767"
11260600,"10,227","10,548"
11260610,"14,338","13,505"
11260620,"17,531","18,415"
11260630,"9,822","10,083"
11260655,"15,805","15,368"
11260660,"8,984","8,859"
11260680,"19,969","20,887"
11260690,"10,627","11,522"
