이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
성수2가1동,11200670,-4374,34.3333,-44,118.667,97,102.667,171.333,128.333,16.667,-5,31,-31.333,19.667,71,-35727.2,12038.22,22,4,0,0,0,0,0,-1,0,0,4.3
성수2가3동,11200690,11577,-14.6667,2.6667,111.333,16,47.667,44.333,24,9.3333,7,-39.333,-38,25.6667,8.6667,-26271,-6238.37,56,2,0,0,0,0,0,0,0,1,7.5
송정동,11200720,715,21.6667,-18.3333,108,76,54,78,68,-1.6667,-3.3333,14.667,0.333,8.3333,21,-488.619,34906.26,8,1,0,0,1,0,0,0,0,0,0
용답동,11200790,-2369,26.6667,-62,100.333,20.667,-65.667,85,-63.333,-74.667,-23,126.333,42,60.3333,79.3333,-21887,12152.56,15,-4,-2,0,0,-1,1,0,0,3,6.7
화양동,11215710,8355,14.6667,368.3333,2471,353.667,130.333,199,41.667,15.333,14,-445.67,26,16,20.3333,-3308.61,-25918.6,60,6,-2,0,0,-1,1,-3,0,1,6.3
군자동,11215730,119,44.333,99.667,1362.333,310.333,52.333,213.333,64.333,20.333,15,-292,-1.333,-18.333,86.667,-4234.71,-3222.91,30,0,0,0,-1,0,1,0,0,0,0
중곡1동,11215740,6690,26.6667,-6.3333,61.333,65.333,26.333,141.333,105,-3,24,-130.667,-35.333,60,45.6667,-501.95,11033.79,15,-1,0,0,0,0,0,-1,1,0,0
중곡2동,11215750,2384,-24.333,-23,127.667,32,30,68.333,27,11.667,19.6667,-223,-87.333,43.667,58,-1144.81,12497.44,27,0,0,0,0,0,0,0,0,0,4.2
중곡3동,11215760,10643,-18,-51.667,53,-42.667,-16.667,31.333,36,20.333,16.6667,-108.333,23.333,27.333,62.3333,-747.973,-4733.53,17,-2,1,0,0,0,0,0,0,1,5
중곡4동,11215770,6658,-26.333,-31.333,20,67.667,-50,53.333,82.333,61.667,3,-54.333,-92.333,44.667,52.333,2313.468,-19022.5,20,3,0,0,0,0,0,1,0,0,9.1
능동,11215780,5811,21.3333,6.3333,117.333,79,-1.667,59,30,17.6667,6.3333,-165,-6.333,21.3333,-11.3333,-696.715,10964.05,21,-1,0,0,0,-1,0,0,0,3,0
광장동,11215810,8813,-72.667,-8.667,35.667,12.333,15,32.333,86.667,-0.333,4.3333,1.333,-33.333,-20.667,97.667,3372.92,-6588.81,20,2,2,0,0,0,0,0,-1,1,4
자양1동,11215820,3987,63,-37.333,230,185.333,140.333,343.667,134,25.333,17,-183.667,-3.333,25,50.667,2288.781,21275.11,22,0,-1,0,-1,-1,1,0,0,0,4.2
자양2동,11215830,7038,-33,-25.333,45.333,-24,30.333,113.667,85.333,19.333,16.3333,-112.333,-29,26.333,92,93.73816,-4925.66,20,-2,0,0,0,0,0,2,0,1,4.8
자양3동,11215840,12480,-42.333,-75.333,34.667,-9.667,-19.333,10.333,86,19.333,-6.6667,-37,-99.333,39,64.333,552.0208,-20041,28,1,0,0,0,0,0,0,1,1,0
자양4동,11215847,-2890,203,73,1072.333,605,679.667,1405.333,361.667,16.667,13.6667,20.667,-0.667,65.667,54,-1485.58,-12854.8,30,0,1,0,0,0,1,-1,0,0,0
