NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
이태원1동,11170650,dong,용산구,이태원1동,"3,275","3,650",2237,740,446,300,78,364,412,1731,1806,1304,1311,1103,652,372,76,6641.829303,12821.25899,26,0,1,199088
이태원2동,11170660,dong,용산구,이태원2동,"4,275","4,987",2674,1038,653,432,113,602,608,1639,2148,1736,1458,1236,881,422,82,9084.114322,1228.825803,13,0,0,127369
한남동,11170685,dong,용산구,한남동,"10,234","11,031",6164,2365,1443,985,274,1475,1411,3134,4821,4004,3694,2873,1664,702,158,19474.91359,39459.82394,26,0,2,135270
서빙고동,11170690,dong,용산구,서빙고동,"6,386","6,923",1739,1131,955,1069,343,914,1630,1870,1684,2715,2364,1438,833,601,88,16936.67807,18801.54696,9,0,1,62635
보광동,11170700,dong,용산구,보광동,"7,051","7,211",4167,1686,997,662,168,593,851,2747,2698,2450,2703,2029,1268,564,98,11346.49679,844.3496655,10,0,0,111432
성동구,11200,gu,성동구,계,"144,701","151,482",56420,29972,24552,19422,4264,21393,21149,48504,51211,46923,49097,36246,20625,8309,1150,306548.8058,82139.69109,318,1.9,16,121610
왕십리2동,11200520,dong,성동구,왕십리2동,"8,390","8,822",2933,1751,1415,1178,263,1260,1264,2654,3064,2752,2867,2098,1187,439,63,18768.81226,1352.640077,10,10,1,113212
왕십리도선동,11200535,dong,성동구,왕십리도선동,"13,011","14,287",4519,2553,2370,1940,405,2463,1673,4596,4954,4130,4563,2989,1631,685,106,27241.79762,5958.798913,28,3.6,0,125761
마장동,11200540,dong,성동구,마장동,"11,335","11,668",4941,2329,1729,1449,340,1271,1752,4751,3375,3217,3890,2959,1739,698,85,22636.586,7448.898845,19,0,1,127874
사근동,11200550,dong,성동구,사근동,"6,108","5,790",5510,992,567,471,123,445,947,5805,1787,1169,1319,946,759,286,36,10861.02904,2464.188953,34,2.9,2,140472
행당1동,11200560,dong,성동구,행당1동,"6,887","7,415",2767,1410,1229,950,201,1032,1058,2501,2431,2252,2411,1692,983,390,69,16863.00023,2476.115846,17,0,1,141291
행당2동,11200570,dong,성동구,행당2동,"11,399","12,862",2409,2420,2205,1930,391,1896,2217,3063,3803,4237,3958,2708,1741,698,98,22582.03794,246.1958412,8,0,1,129507
응봉동,11200580,dong,성동구,응봉동,"7,490","8,349",1624,1421,1442,1292,294,1212,1733,1787,2306,3006,2451,1690,1196,494,69,16818.94197,1756.612675,4,0,1,139653
금호1가동,11200590,dong,성동구,금호1가동,"7,568","8,233",2173,1667,1464,1072,240,1352,1111,1866,2866,2636,2404,2044,1102,481,53,16527.22074,2401.533588,9,11.1,1,125042
금호2.3가동,11200615,dong,성동구,금호2.3가동,"11,239","12,370",3673,2589,2102,1568,313,1784,1559,3060,4307,3855,3774,2974,1767,715,107,24077.42287,698.89904,15,0,0,126159
금호4가동,11200620,dong,성동구,금호4가동,"7,095","7,743",2208,1619,1435,951,196,1412,990,1590,2831,2660,2179,1794,1068,433,50,13303.29543,1190.039593,7,0,1,121639
옥수동,11200645,dong,성동구,옥수동,"12,501","14,320",3269,2839,2607,1811,412,2707,1714,3086,5318,4535,4009,3123,1743,735,132,42762.55053,7548.831783,13,0,1,164465
성수1가1동,11200650,dong,성동구,성수1가1동,"8,344","8,344",3148,1672,1297,1186,229,1080,1192,2641,3051,2513,3109,2089,929,380,45,14837.25549,3168.404371,23,0,0,120978
성수1가2동,11200660,dong,성동구,성수1가2동,"6,741","6,960",3032,1414,1095,844,194,824,979,2302,2637,2201,2197,1717,892,353,47,12827.86157,5651.163759,30,0,2,124653
성수2가1동,11200670,dong,성동구,성수2가1동,"8,809","8,025",4174,1823,1285,954,222,929,964,2493,2784,2552,3404,2635,1252,470,70,17954.2329,10520.27114,22,4.5,0,93779
성수2가3동,11200690,dong,성동구,성수2가3동,"5,701","5,546",3009,1093,770,660,162,616,560,2127,2082,1568,1929,1500,843,340,40,11124.55403,23391.06817,56,1.8,1,108298
송정동,11200720,dong,성동구,송정동,"5,727","5,123",2829,1173,799,587,154,587,645,1826,1768,1696,2130,1608,757,297,43,14049.38681,1599.23189,8,0,0,82140
용답동,11200790,dong,성동구,용답동,"6,356","5,625",4202,1207,741,579,125,523,791,2356,1847,1944,2503,1680,1036,415,37,11990.20578,4590.541498,15,0,3,125259
광진구,11215,gu,광진구,계,"168,472","180,175",76534,34026,26435,22936,4902,21340,27305,67609,59631,55182,57924,42519,22348,8598,1257,337776.2276,78393.43119,388,4.4,9,118571
화양동,11215710,dong,광진구,화양동,"10,641","11,775",13187,1977,747,565,93,455,922,11394,4660,2311,2266,1727,1044,396,65,22504.10895,2741.182665,60,3.3,1,157380
군자동,11215730,dong,광진구,군자동,"9,852","10,088",6307,2051,1351,977,225,1022,1253,5580,4026,2727,3069,2382,1368,508,62,19909.98805,2384.798346,30,0,0,110375
중곡1동,11215740,dong,광진구,중곡1동,"7,687","8,035",4105,1848,1162,808,171,845,793,2797,3076,2304,2707,2084,1152,377,57,16974.76147,5653.110894,15,6.7,0,86663
중곡2동,11215750,dong,광진구,중곡2동,"10,482","11,569",4705,2472,1711,1320,308,1287,1454,4012,4088,3118,3717,2764,1483,488,80,22218.78574,2840.82253,27,3.7,0,90423
중곡3동,11215760,dong,광진구,중곡3동,"8,383","8,465",4148,1942,1284,886,227,807,1044,2731,2819,2457,3068,2371,1301,453,61,17055.57701,1486.957911,17,5.9,1,94090
중곡4동,11215770,dong,광진구,중곡4동,"14,580","15,176",4991,3177,2578,1936,436,1656,2087,4602,4678,4399,5477,4272,2282,737,102,30119.55321,5097.917064,20,5,0,108720
능동,11215780,dong,광진구,능동,"5,368","6,278",3691,1324,745,517,146,627,566,2516,2802,1666,1518,1261,744,293,49,11501.33347,2300.266695,21,4.8,3,134995
광장동,11215810,dong,광진구,광장동,"17,252","18,452",2249,1972,3031,3923,693,3458,5617,4161,4098,7839,5364,2962,1481,803,140,29685.5007,13757.1796,20,5,1,140039
자양1동,11215820,dong,광진구,자양1동,"11,029","11,853",5895,2441,1640,1298,295,1137,1560,4475,4029,3627,3991,2868,1535,562,77,21084.11116,11333.86743,22,9.1,0,121920
자양2동,11215830,dong,광진구,자양2동,"12,679","13,353",4089,2620,2161,1878,410,1780,1987,3983,4213,4249,4456,3574,1672,588,93,27298.40593,5155.598722,20,5,1,85428
자양3동,11215840,dong,광진구,자양3동,"13,881","14,972",2965,2509,2442,2561,478,2442,2669,4073,4485,4711,4745,3532,1602,820,118,31646.39942,3422.109986,28,3.6,1,124891
자양4동,11215847,dong,광진구,자양4동,"9,008","9,041",5088,2047,1317,893,224,938,1008,3682,3289,3166,4552,3401,1662,604,79,17670.38302,1267.436171,30,3.3,0,148193
구의1동,11215850,dong,광진구,구의1동,"10,622","11,598",6709,2419,1533,1096,251,977,1266,4938,4475,3344,3473,2462,1438,557,62,22468.03895,3673.293015,28,3.6,0,108732
구의2동,11215860,dong,광진구,구의2동,"13,040","14,103",4232,2619,2277,1936,442,1936,2476,3818,4092,4558,4584,3424,1911,703,94,28012.9506,4284.285664,18,5.6,0,118544
구의3동,11215870,dong,광진구,구의3동,"13,968","15,417",4173,2608,2456,2342,503,1973,2603,4847,4801,4706,4937,3435,1673,709,118,20884.46056,9077.760148,32,6.3,1,134399
동대문구,11230,gu,동대문구,계,"170,926","173,724",78266,33984,26184,21335,5158,21886,25147,65016,53080,52664,55230,46115,28170,11179,1591,334338.1458,78682.89103,386,3.6,7,114777
용신동,11230536,dong,동대문구,용신동,"15,812","15,232",10992,3174,1927,1387,338,1397,1508,6457,5529,4448,5017,4124,2591,1120,164,30671.32228,24187.8875,51,2,2,103155
제기동,11230545,dong,동대문구,제기동,"12,858","12,201",7121,2656,1680,1262,351,1115,1536,5792,3594,3276,4004,3919,2601,1124,151,24735.27096,5456.558746,30,3.3,1,137237
전농1동,11230560,dong,동대문구,전농1동,"15,191","15,085",7485,3037,2378,1738,426,1971,2039,4850,4559,4516,5072,4193,2551,1082,140,32452.17407,1579.724505,29,10.3,0,98157
전농2동,11230570,dong,동대문구,전농2동,"9,321","10,016",2278,1844,1701,1447,372,1314,1810,2599,2463,3148,3324,2670,1622,713,79,17109.64374,3508.123866,16,0,0,122622
답십리1동,11230600,dong,동대문구,답십리1동,"14,178","15,035",5020,2706,2425,2036,481,2808,2029,4145,5546,4735,4409,3209,1869,760,102,28735.15193,7647.180238,33,9.1,0,129713
답십리2동,11230610,dong,동대문구,답십리2동,"14,423","15,217",4658,3211,2465,2068,452,1903,2123,4092,4595,4536,5115,4146,2498,957,122,30141.05246,2772.334329,16,0,0,98418
장안1동,11230650,dong,동대문구,장안1동,"19,185","19,376",7722,3943,3113,2442,595,2667,2686,5356,6571,6532,6223,5369,2837,907,147,35150.95781,9894.534263,54,3.7,0,97830
장안2동,11230660,dong,동대문구,장안2동,"16,590","16,505",4778,3092,2890,2444,549,3018,2903,3998,5370,5870,5067,4205,2255,735,114,30339.60791,6138.222929,38,2.6,0,114050
청량리동,11230705,dong,동대문구,청량리동,"10,414","10,424",5089,2358,1522,1139,301,910,1224,2635,2566,2816,3892,3862,2494,1010,148,21298.15157,4920.12358,17,0,1,88812
회기동,11230710,dong,동대문구,회기동,"4,951","5,441",4089,907,576,473,127,482,815,5076,1609,1376,1239,973,703,336,59,9183.971685,718.3711262,23,4.3,0,135466
휘경1동,11230720,dong,동대문구,휘경1동,"6,662","6,983",3867,1276,944,780,200,812,895,4493,2324,1793,2067,1550,1002,413,63,15203.16118,1867.224945,18,5.6,1,156739
휘경2동,11230730,dong,동대문구,휘경2동,"12,138","12,282",5716,2137,1806,1613,381,1348,2179,5661,3162,3634,3604,2947,1811,666,108,21164.59711,3827.556653,17,0,0,108469
이문1동,11230740,dong,동대문구,이문1동,"9,200","9,324",6452,1713,1090,958,217,771,1476,6770,2514,2639,2703,2222,1526,674,97,19772.53241,4169.739229,31,0,1,141471
이문2동,11230750,dong,동대문구,이문2동,"10,003","10,603",2999,1930,1667,1548,368,1370,1924,3092,2678,3345,3494,2726,1810,682,97,20390.52165,2183.18167,13,7.7,1,86038
중랑구,11260,gu,중랑구,계,"195,931","199,857",77396,42377,31588,24642,5790,23988,27733,57116,59608,59095,70915,56852,31006,11334,1569,400816.3356,39778.16108,311,3.5,11,95238
면목2동,11260520,dong,중랑구,면목2동,"12,516","12,572",5696,2796,1893,1508,355,1389,1701,3520,3551,3914,5077,3614,2048,731,107,25185.82813,1465.685918,22,0,0,89245
면목4동,11260540,dong,중랑구,면목4동,"9,554","9,557",3919,2142,1598,1117,272,1150,1268,2575,2870,3074,3396,2873,1802,497,82,26513.53844,2173.548027,14,0,1,71150
면목5동,11260550,dong,중랑구,면목5동,"6,561","6,455",1918,1088,791,569,125,527,653,1272,1452,1463,1821,1403,794,258,28,10514.58857,1168.167437,7,0,0,71432
면목본동,11260565,dong,중랑구,면목본동,"17,284","17,423",8595,4046,2668,1920,420,1811,2140,5516,5699,5354,6619,4888,2811,948,115,42441.49639,2118.651828,30,3.3,1,95040
면목7동,11260570,dong,중랑구,면목7동,"11,235","11,151",4454,2569,1798,1379,288,1279,1331,3165,3579,3281,4062,3474,1901,654,87,15449.51822,1019.937292,18,0,0,116040
면목3.8동,11260575,dong,중랑구,면목3.8동,"12,848","12,989",5830,2994,2098,1478,300,1273,1626,3977,3871,3740,4805,3973,2298,816,105,27545.21228,3630.640143,20,5,1,95767
상봉1동,11260580,dong,중랑구,상봉1동,"12,232","12,717",3244,2436,2219,1993,359,1953,2052,3702,3771,3680,4548,3241,1620,643,87,23247.2882,2311.29108,14,7.1,0,96036
상봉2동,11260590,dong,중랑구,상봉2동,"9,609","10,133",6777,2258,1315,829,158,836,878,3990,4156,2660,3209,2439,1342,446,69,19675.89846,5497.859607,36,0,2,109255
중화1동,11260600,dong,중랑구,중화1동,"9,982","10,402",3343,2255,1768,1344,298,1349,1405,3015,3362,2907,3500,3019,1508,558,71,22076.21047,2091.62143,18,11.1,1,79493
중화2동,11260610,dong,중랑구,중화2동,"13,378","12,648",7372,3143,1896,1205,302,1154,1290,3963,3888,3753,5263,4119,2279,850,90,27486.67745,1563.262051,20,5,1,103687
묵1동,11260620,dong,중랑구,묵1동,"17,290","18,339",5009,3364,3051,2616,635,2560,3227,4996,5194,6011,5649,4586,2552,968,120,36322.40312,2638.313465,22,4.5,1,119657
묵2동,11260630,dong,중랑구,묵2동,"9,598","9,891",3998,2169,1627,1103,291,1177,1277,2856,3206,2984,3243,2935,1524,512,63,20171.553,2116.406772,17,0,0,84731
망우본동,11260655,dong,중랑구,망우본동,"15,310","15,117",6986,3260,2342,1764,417,1554,1956,4303,4191,4250,5913,4959,2595,971,152,28822.99507,3209.007577,31,6.5,2,84079
망우3동,11260660,dong,중랑구,망우3동,"8,717","8,603",3771,2032,1417,965,218,909,1265,2483,2333,2547,3424,2707,1465,541,81,17981.0568,1101.236105,12,0,0,68510
신내1동,11260680,dong,중랑구,신내1동,"19,585","20,640",3597,3508,3142,3334,1050,3611,3859,5098,5445,6154,6740,5429,2838,1206,214,43511.75264,4537.897534,20,10,0,99522
신내2동,11260690,dong,중랑구,신내2동,"10,232","11,220",2887,2317,1965,1518,302,1456,1805,2685,3040,3323,3646,3193,1629,735,98,23055.03119,3977.875155,10,0,1,128149
성북구,11290,gu,성북구,계,"212,559","227,836",77396,41884,35441,31054,7217,30395,38926,72981,63037,72241,70483,54239,33774,13854,1984,419276.3343,110056.5474,356,2.5,11,111096
성북동,11290525,dong,성북구,성북동,"7,944","9,037",3887,1779,1222,930,270,859,1299,2855,2665,2726,2830,2058,1417,670,135,11997.95527,20220.67578,17,0,0,139800
삼선동,11290555,dong,성북구,삼선동,"11,367","12,496",5852,2324,1639,1517,379,1238,2054,4627,3518,3861,3770,2683,1874,803,101,27442.45952,6630.775592,32,0,2,116038
동선동,11290575,dong,성북구,동선동,"6,585","9,039",6046,1489,934,662,167,594,1061,4959,2632,2104,1916,1486,1098,450,67,15599.00887,13459.04735,37,2.7,0,171469
돈암1동,11290580,dong,성북구,돈암1동,"7,186","8,216",1782,1603,1342,1162,273,876,1419,2158,2049,2300,2792,2154,1276,548,72,16586.63108,2470.688165,7,0,0,82975
돈암2동,11290590,dong,성북구,돈암2동,"11,773","12,902",1694,1862,2209,2233,526,2160,2880,3021,3144,4650,4053,2654,1475,668,121,21676.52275,910.2819298,5,20,0,115874
안암동,11290600,dong,성북구,안암동,"7,770","7,586",6217,1449,881,682,137,512,1026,6180,2325,1827,2171,1510,1034,448,53,6453.335001,4826.909759,47,0,1,134392
보문동,11290610,dong,성북구,보문동,"7,788","8,320",3825,1613,1283,964,210,1041,1039,2920,2813,2546,2651,1891,1087,446,70,15248.37982,7063.348645,17,5.9,1,90104
정릉1동,11290620,dong,성북구,정릉1동,"9,114","9,772",2249,1655,1707,1456,341,1511,1863,2537,2795,3369,2900,2186,1414,595,79,18720.68768,1397.066245,15,0,1,99725
정릉2동,11290630,dong,성북구,정릉2동,"11,386","12,094",3087,2388,2023,1699,386,1565,1950,3329,3198,3701,3789,3297,1993,797,112,24225.24683,1774.195348,16,0,0,91397
정릉3동,11290640,dong,성북구,정릉3동,"7,719","7,835",4216,1614,1043,817,197,712,1155,4140,2081,2077,2400,2171,1501,673,115,18110.27724,2838.839004,15,0,0,80501
정릉4동,11290650,dong,성북구,정릉4동,"12,481","13,332",3778,2614,2185,1831,443,1824,2269,3485,3502,4324,4225,3528,2172,830,119,22145.58047,2019.976269,18,0,1,107430
길음1동,11290660,dong,성북구,길음1동,"17,387","19,146",2554,2480,3187,3704,711,4173,4886,3507,5008,8051,4895,3234,2089,796,117,34713.30508,6019.432672,7,0,1,164501
길음2동,11290685,dong,성북구,길음2동,"8,326","8,885",2405,1519,1481,1338,296,1515,1428,2217,2612,3018,2757,2082,1148,439,58,17027.77915,551.7120919,8,0,0,140956
종암동,11290705,dong,성북구,종암동,"19,688","20,261",6612,3648,3179,2954,726,2852,3870,6949,5537,6683,6417,4653,2938,1420,234,39362.0963,21629.27509,27,0,1,96620
월곡1동,11290715,dong,성북구,월곡1동,"13,082","13,967",3289,2512,2273,2126,524,2197,2664,3107,3692,4737,4331,3508,2145,804,93,26027.99135,2420.879939,13,23.1,0,97281
월곡2동,11290725,dong,성북구,월곡2동,"9,631","10,436",4421,1941,1469,1286,329,1212,1552,3828,2978,2977,3094,2631,1618,684,94,20365.83203,4932.988932,24,8.3,2,105170
장위1동,11290760,dong,성북구,장위1동,"9,911","10,401",3522,2186,1638,1319,326,1008,1648,3064,2509,3004,3909,2971,1665,681,83,19954.5061,1296.548366,12,0,0,61785
장위2동,11290770,dong,성북구,장위2동,"6,912","7,079",2724,1638,1153,793,210,622,976,1979,1764,2071,2563,2193,1444,549,78,13470.23851,1714.715401,8,0,1,79768
장위3동,11290780,dong,성북구,장위3동,"8,868","8,997",2453,1607,1585,1409,281,1810,1503,2411,2975,2842,2853,2137,1160,387,54,11113.34656,1170.599308,8,0,0,95326
석관동,11290810,dong,성북구,석관동,"17,641","18,035",6783,3963,3008,2172,485,2114,2384,5708,5240,5373,6167,5212,3226,1166,129,31889.13124,3639.902062,23,4.3,0,94920
강북구,11305,gu,강북구,계,"151,376","159,179",61479,34556,24953,18768,4518,16834,22877,44359,40680,48595,53892,45337,29986,11122,1467,313677.6553,28204.87705,272,4.4,11,99833
삼양동,11305534,dong,강북구,삼양동,"12,393","12,438",4625,2761,2017,1531,394,1393,2059,3236,3137,3875,4494,3749,2255,814,134,24284.34594,1030.975005,13,0,3,84721
미아동,11305535,dong,강북구,미아동,"10,724","11,523",5981,2476,1655,1128,285,886,1411,3966,3068,3215,3935,3315,2079,800,101,24923.79341,2061.491911,32,3.1,1,109104
송중동,11305545,dong,강북구,송중동,"14,714","15,914",5912,3228,2433,1889,454,1643,2160,4483,4359,4836,5351,4520,2801,969,120,28127.5131,2093.413759,28,0,1,119842
송천동,11305555,dong,강북구,송천동,"13,818","13,931",6385,3280,2110,1584,348,1203,1739,3849,3468,4132,5257,4560,2869,1061,137,27314.09317,1842.074931,23,13,0,90665
삼각산동,11305575,dong,강북구,삼각산동,"15,502","16,788",2623,2535,2775,3061,620,3140,4080,3459,4003,6749,4960,3269,1995,770,96,33386.65509,1331.971833,9,22.2,0,127057
번1동,11305590,dong,강북구,번1동,"9,573","9,604",5640,2219,1413,899,203,770,1160,3509,2989,3030,3217,2567,1757,598,79,20518.339,2722.635998,30,6.7,0,95557
번2동,11305600,dong,강북구,번2동,"8,087","8,565",2881,2103,1435,919,240,762,1151,2182,1949,2560,2888,2663,1972,667,72,16218.57879,1318.381405,7,0,0,70717
번3동,11305606,dong,강북구,번3동,"8,361","9,354",2392,2194,1504,1161,278,1030,1398,2052,1846,2765,2848,2671,2510,708,90,18667.97599,1291.926228,11,0,0,97154
수유1동,11305610,dong,강북구,수유1동,"10,575","10,818",4810,2373,1653,1167,308,1101,1388,3161,2899,3097,3752,3267,2008,803,109,20772.14455,1833.847596,23,4.3,1,99017
수유2동,11305620,dong,강북구,수유2동,"10,308","11,209",3591,2537,1787,1302,352,1130,1482,3118,2580,3205,3844,3224,2164,924,120,21216.40264,2144.874808,17,11.8,1,80314
