CD,Æó¾÷·ü
11260655.0,0.0
11260660.0,0.0
11260680.0,15.0
11260690.0,0.0
11290.0,5.5
11290525.0,5.6
11290555.0,5.6
11290575.0,4.9
11290580.0,0.0
11290590.0,0.0
11290600.0,6.1
11290610.0,0.0
11290620.0,18.2
11290630.0,0.0
11290640.0,0.0
11290650.0,0.0
11290660.0,16.7
11290685.0,14.3
11290705.0,10.7
11290715.0,0.0
11290725.0,8.0
11290760.0,0.0
11290770.0,9.1
11290780.0,0.0
11290810.0,8.3
11305.0,3.0
11305534.0,0.0
11305535.0,0.0
11305545.0,8.0
11305555.0,3.7
11305575.0,0.0
11305590.0,6.1
11305600.0,0.0
11305606.0,12.5
11305610.0,5.3
11305620.0,0.0
11305630.0,3.0
11305645.0,0.0
11305660.0,0.0
11320.0,4.1
11320511.0,0.0
11320512.0,0.0
11320513.0,9.1
11320514.0,5.9
11320515.0,0.0
11320521.0,0.0
11320522.0,7.7
11320660.0,5.6
11320670.0,28.6
11320680.0,0.0
11320681.0,0.0
11320690.0,0.0
11320700.0,8.3
11320710.0,0.0
11350.0,4.0
11350560.0,0.0
11350570.0,0.0
11350580.0,0.0
11350595.0,2.1
11350600.0,7.3
11350611.0,0.0
11350612.0,0.0
11350619.0,0.0
11350621.0,0.0
11350624.0,9.1
11350625.0,0.0
11350630.0,14.8
11350640.0,4.0
11350665.0,6.7
11350670.0,8.3
11350695.0,7.1
11350700.0,0.0
11350710.0,0.0
11350720.0,0.0
11380.0,4.5
11380510.0,0.0
11380520.0,15.4
11380530.0,0.0
11380551.0,4.8
11380552.0,5.9
11380560.0,0.0
11380570.0,6.1
11380580.0,3.7
11380590.0,25.0
11380600.0,7.1
11380625.0,4.9
11380631.0,10.0
11380632.0,0.0
11380640.0,0.0
11380650.0,0.0
11380690.0,3.1
11410.0,2.7
11410520.0,0.0
11410555.0,0.0
11410565.0,7.4
11410585.0,2.4
11410615.0,2.7
11410620.0,0.0
11410640.0,9.1
11410655.0,0.0
11410660.0,0.0
11410685.0,0.0
11410690.0,0.0
11410700.0,0.0
11410710.0,10.0
11410720.0,3.1
11440.0,4.3
11440555.0,4.5
11440565.0,6.7
11440585.0,0.0
11440590.0,3.4
11440600.0,4.9
11440610.0,0.0
11440630.0,0.0
11440655.0,7.3
11440660.0,6.1
11440680.0,3.4
11440690.0,0.0
11440700.0,0.0
11440710.0,3.8
11440720.0,3.2
11440730.0,10.0
11440740.0,1.9
11470.0,3.8
11470510.0,5.6
11470520.0,4.0
11470530.0,0.0
11470540.0,4.8
11470550.0,5.3
11470560.0,0.0
11470570.0,0.0
11470580.0,0.0
11470590.0,6.7
11470600.0,6.3
11470610.0,0.0
11470611.0,0.0
11470620.0,0.0
11470630.0,8.3
11470640.0,5.3
11470650.0,4.2
11470670.0,0.0
11470680.0,9.1
11500.0,2.2
11500510.0,8.0
11500520.0,0.0
11500530.0,0.0
11500535.0,0.0
11500540.0,1.7
11500550.0,0.0
11500560.0,0.0
11500570.0,0.0
11500590.0,0.0
11500591.0,0.0
11500593.0,0.0
11500603.0,5.7
11500604.0,0.0
11500605.0,0.0
11500611.0,4.2
11500615.0,3.3
11500620.0,0.0
11500630.0,2.8
