CD,林芭牢备,流厘牢备
11230650,35150.95781,9894.534263
11230660,30339.607910000002,6138.222929
11230705,21298.151569999998,4920.1235799999995
11230710,9183.971684999999,718.3711262
11230720,15203.161180000001,1867.224945
11230730,21164.59711,3827.556653
11230740,19772.53241,4169.739229
11230750,20390.52165,2183.18167
11260,400816.3356,39778.16108
11260520,25185.82813,1465.685918
11260540,26513.53844,2173.548027
11260550,10514.58857,1168.1674369999998
11260565,42441.49639,2118.651828
11260570,15449.518219999998,1019.937292
11260575,27545.21228,3630.640143
11260580,23247.2882,2311.29108
11260590,19675.89846,5497.859607
11260600,22076.210469999998,2091.62143
11260610,27486.67745,1563.262051
11260620,36322.403119999995,2638.3134649999997
11260630,20171.553,2116.406772
11260655,28822.995069999997,3209.007577
11260660,17981.0568,1101.2361050000002
11260680,43511.75264,4537.897534000001
11260690,23055.03119,3977.8751549999997
11290,419276.3343,110056.5474
11290525,11997.95527,20220.67578
11290555,27442.45952,6630.775592
11290575,15599.00887,13459.04735
11290580,16586.631080000003,2470.688165
11290590,21676.52275,910.2819298000001
11290600,6453.3350009999995,4826.909759
11290610,15248.379819999998,7063.348645
11290620,18720.687680000003,1397.066245
11290630,24225.24683,1774.195348
11290640,18110.27724,2838.839004
11290650,22145.580469999997,2019.9762690000002
11290660,34713.30508,6019.432672
11290685,17027.77915,551.7120919
11290705,39362.0963,21629.27509
11290715,26027.99135,2420.879939
11290725,20365.83203,4932.988932
11290760,19954.5061,1296.548366
11290770,13470.23851,1714.7154010000002
11290780,11113.34656,1170.599308
11290810,31889.13124,3639.9020619999997
11305,313677.6553,28204.87705
11305534,24284.34594,1030.975005
11305535,24923.79341,2061.491911
11305545,28127.5131,2093.413759
11305555,27314.09317,1842.0749309999999
11305575,33386.65509,1331.971833
11305590,20518.339,2722.635998
11305600,16218.578790000001,1318.381405
11305606,18667.97599,1291.926228
11305610,20772.14455,1833.847596
11305620,21216.40264,2144.874808
11305630,23262.73921,3349.349868
11305645,20450.005419999998,2736.48524
11305660,36904.49334,4910.236106
11320,330489.5707,36095.57517
11320511,20843.64784,1425.628736
11320512,49495.764689999996,4030.7967280000003
11320513,15505.141880000001,817.6148167
11320514,23137.00348,2282.551985
11320515,26234.74484,7332.821131999999
11320521,22516.16873,2205.707149
11320522,19667.78264,1466.57234
11320660,23267.97564,1863.671506
11320670,19915.71867,1470.6776619999998
11320680,16881.67379,2002.507591
11320681,18907.21316,1305.297692
11320690,19686.94117,4359.42157
11320700,14077.22923,682.9108054999999
11320710,40811.87994,4272.564772
11350,532445.6002,56663.497220000005
11350560,24536.42281,2801.6611239999997
11350570,25206.1303,1235.46089
11350580,29811.30295,1378.557361
11350595,44575.34672,7299.097185
11350600,38358.44824,6697.611976
11350611,30432.58138,4891.139182
11350612,23154.8855,1403.3865449999998
11350619,24334.55051,1691.153441
11350621,28322.903789999997,2188.074452
11350624,23455.26989,2277.6606460000003
11350625,36228.222010000005,2195.201361
11350630,44925.3984,6262.880337
11350640,20422.39755,2408.223854
11350665,29259.230289999996,2485.7399179999998
11350670,19776.60662,1542.216704
11350695,26733.63351,4912.02844
11350700,23960.01417,1181.875124
11350710,21279.98387,2552.120829
11350720,16514.46099,1060.497706
11380,454055.9228,46677.540219999995
11380510,34705.41128,4758.265644
