NM,CD,GUBUN,자치구,행정동
수색동,11380650,dong,은평구,수색동
진관동,11380690,dong,은평구,진관동
서대문구,11410,gu,서대문구,계
천연동,11410520,dong,서대문구,천연동
북아현동,11410555,dong,서대문구,북아현동
충현동,11410565,dong,서대문구,충현동
신촌동,11410585,dong,서대문구,신촌동
연희동,11410615,dong,서대문구,연희동
홍제1동,11410620,dong,서대문구,홍제1동
홍제3동,11410640,dong,서대문구,홍제3동
홍제2동,11410655,dong,서대문구,홍제2동
홍은1동,11410660,dong,서대문구,홍은1동
홍은2동,11410685,dong,서대문구,홍은2동
남가좌1동,11410690,dong,서대문구,남가좌1동
남가좌2동,11410700,dong,서대문구,남가좌2동
북가좌1동,11410710,dong,서대문구,북가좌1동
북가좌2동,11410720,dong,서대문구,북가좌2동
마포구,11440,gu,마포구,계
아현동,11440555,dong,마포구,아현동
공덕동,11440565,dong,마포구,공덕동
도화동,11440585,dong,마포구,도화동
용강동,11440590,dong,마포구,용강동
대흥동,11440600,dong,마포구,대흥동
염리동,11440610,dong,마포구,염리동
신수동,11440630,dong,마포구,신수동
서강동,11440655,dong,마포구,서강동
서교동,11440660,dong,마포구,서교동
합정동,11440680,dong,마포구,합정동
망원1동,11440690,dong,마포구,망원1동
망원2동,11440700,dong,마포구,망원2동
연남동,11440710,dong,마포구,연남동
성산1동,11440720,dong,마포구,성산1동
성산2동,11440730,dong,마포구,성산2동
상암동,11440740,dong,마포구,상암동
양천구,11470,gu,양천구,계
목1동,11470510,dong,양천구,목1동
목2동,11470520,dong,양천구,목2동
목3동,11470530,dong,양천구,목3동
목4동,11470540,dong,양천구,목4동
목5동,11470550,dong,양천구,목5동
신월1동,11470560,dong,양천구,신월1동
신월2동,11470570,dong,양천구,신월2동
신월3동,11470580,dong,양천구,신월3동
신월4동,11470590,dong,양천구,신월4동
신월5동,11470600,dong,양천구,신월5동
신월6동,11470610,dong,양천구,신월6동
신월7동,11470611,dong,양천구,신월7동
신정1동,11470620,dong,양천구,신정1동
신정2동,11470630,dong,양천구,신정2동
신정3동,11470640,dong,양천구,신정3동
신정4동,11470650,dong,양천구,신정4동
