행정동코드,8월일평균총생활인구수
11500604,384112.00068709673
11500605,268858.79342258064
11500611,858272.4009129032
11500615,920046.2052225807
11500620,880742.4849838711
11500630,830058.442551613
11500640,674926.4566064515
11500641,445557.7218580645
11530510,812763.8679645162
11530520,426100.7592806451
11530530,833013.8626322581
11530540,985055.5419870968
11530550,384758.80926451617
11530560,748499.8306129031
11530595,225902.4081096774
11530720,543816.7625645162
11530730,455770.0605354839
11530740,648518.9334387097
11530750,629341.252716129
11530760,376605.45327419357
11530770,387509.75168387097
11530780,1216107.8924774195
11530790,530265.4159870967
11545510,1363783.945780645
11545610,815730.9048967742
11545620,340901.3387483871
11545630,504267.30226451607
11545640,316960.68611612904
11545670,699282.0011612902
11545680,411348.5506709678
11545690,241652.44343548387
11545700,310984.4979870967
11545710,284493.5142612903
11560515,468866.63945806446
11560535,1190743.9878032259
11560540,1923257.7043483872
11560550,526233.7006903226
11560560,915617.5716580645
11560585,358595.56865161285
11560605,998392.8909451613
11560610,492393.9215354839
11560620,673769.080351613
11560630,433578.2964677419
11560650,333549.8213967742
11560660,161095.42695161293
11560670,160704.17947096773
11560680,474016.4036419355
11560690,340025.8439612903
11560700,379007.8814870968
11560710,392043.4420870968
11560720,568500.5189
11590510,985397.4921903226
11590520,421841.47989032255
11590530,1075536.201116129
11590540,582067.2700870967
11590550,466353.80648064514
11590560,605986.1561258064
11590605,778703.800083871
11590620,628127.0610419356
11590630,773859.1231709678
11590640,475768.01422580646
11590650,315890.95257419354
11590651,303107.19909677416
11590660,902376.5879677419
11590670,413859.31589677423
11590680,589701.5860935483
11620525,500983.5563419355
11620545,247457.94759354836
11620565,665521.6132967742
11620575,609864.0112451613
11620585,575582.9683290322
11620595,893676.5934774193
11620605,666867.1709806451
11620615,404465.748216129
11620625,561190.0129741936
11620630,578101.7645064517
11620645,583278.6994870969
11620655,380005.88679677417
11620665,474913.86628064513
11620685,523897.6757483872
11620695,667183.3925387098
11620715,273322.79421612894
11620725,625351.9094935482
11620735,771898.9644774194
11620745,560938.1105870968
11620765,565054.2428258065
11620775,446532.7912709677
11650510,735356.0665516129
11650520,940500.7420193548
11650530,1476198.3167548387
11650531,973681.0535903227
11650540,864782.4775967742
11650550,242024.3542
11650560,859662.3940677419
11650570,421516.89644193545
11650580,442177.3737096774
11650581,945822.8279612904
11650590,581803.4494225807
11650600,458507.2132258064
11650610,585326.7073290322
11650620,500084.1010903226
11650621,600254.5039870967
11650651,1210636.1545967741
11650652,926249.669432258
11650660,645101.796
11680510,848142.9619967743
11680521,1057912.2804903227
11680531,1042534.5138387096
11680545,1063140.7207935483
11680565,1041835.2003645161
11680580,942751.8142741935
11680590,948301.3407967741
11680600,696168.7008999999
11680610,1277455.6395709678
11680630,873407.0066870968
11680640,2475879.7671870966
11680650,1261767.4319354838
11680655,655872.2880129033
11680656,735585.3075677418
11680660,198664.5148612903
11680670,507503.7506322581
11680690,378650.8187677419
11680700,1086662.0108935484
11680720,586100.4084032257
11680730,445503.50721290323
11680740,340156.4398483871
11680750,610376.5646870967
11710510,398004.2680193548
11710520,885545.9613322581
11710531,289308.1847096774
11710532,329446.13472903223
11710540,290655.00817096775
11710550,412657.8341387097
11710561,398215.10059677425
11710562,830765.0505903226
11710566,465888.73207419354
11710570,919097.2525258065
11710580,671784.2422999999
11710590,477755.49011935486
11710600,821040.3612225805
11710610,746168.0444612904
11710620,846127.8408419355
11710631,663619.0844419355
11710632,716546.3100774193
11710641,519053.3223225807
11710642,1050853.5395935483
11710646,764953.0174548388
11710647,816406.8340870967
11710650,842738.5839064516
11710670,859524.8931645161
11710680,970141.0643548386
11710690,522517.4594096775
11710710,926013.3184419355
11710720,239923.62612258067
11740515,1005220.5934225806
11740520,761855.0997548387
11740530,703798.2160548387
11740540,400988.2517129032
11740550,583725.8358548387
11740560,531897.9384322581
11740570,668347.0640645162
11740580,418264.54717096774
11740590,355637.0634967742
11740600,784673.8392612903
11740610,1101255.961880645
11740620,723634.3136774193
11740640,602785.3844258065
11740650,612743.357516129
11740660,647438.0075064516
11740685,1255047.227683871
11740690,171351.34212903224
11740700,669453.3083032259
