이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,매출
구의2동,11215860,142331,2065,2563,3855,4412,4647,4650,3350,1837,649,4045,2592,2321,2035,4018.301,42775.91,18,36,8,252,4,4,2,13,5,0,34423087
구의3동,11215870,126403,2110,2732,4917,4987,4900,4998,3239,1621,668,4037,2513,2483,2451,10125.14,9238.04,30,67,8,427,2,9,11,18,12,1,60640613
용신동,11230536,102637,1553,1634,5951,5433,4598,5220,3894,2575,1029,9975,3033,1926,1515,24282.01,14521.34,54,107,34,700,7,4,17,25,4,2,54372889
제기동,11230545,111502,1194,1680,5957,3761,3469,4170,3773,2536,1040,6910,2592,1728,1310,5258.374,14842.78,27,138,28,471,1,4,5,7,3,1,65668922
전농1동,11230560,119223,2052,2164,4823,4609,4594,5196,4051,2507,973,7208,2957,2357,1829,1873.966,38150.75,29,42,25,425,5,12,13,16,9,0,35902517
전농2동,11230570,91775,1431,1920,2720,2610,3310,3336,2562,1591,676,2180,1849,1709,1495,4131.421,31376.45,16,28,1,148,1,4,5,8,3,0,56197918
답십리1동,11230600,158231,2896,2120,4231,5835,4708,4490,3003,1803,688,4795,2622,2428,2130,7333.098,49893.44,30,41,16,240,1,5,11,18,6,0,38097529
답십리2동,11230610,91945,2024,2367,4061,4500,4749,5276,4003,2437,906,4299,3054,2493,2200,2725.399,11382.98,17,35,2,192,4,5,4,16,5,0,32777471
장안1동,11230650,100258,2792,2812,5374,6693,6512,6326,5042,2729,826,7206,3727,3117,2541,10146.31,7408.957,56,63,16,628,8,16,22,36,1,0,54965091
장안2동,11230660,101187,2821,2871,3765,5032,5639,4886,3908,2109,653,4446,2809,2678,2385,6688.365,12220.34,34,76,25,557,1,7,23,36,15,0,56865764
청량리동,11230705,93760,1013,1340,2803,2724,3019,4123,3684,2454,966,4957,2307,1597,1221,5464.354,21737.39,16,79,19,344,6,4,11,19,2,1,21632254
회기동,11230710,138870,547,987,5182,1747,1396,1205,972,701,294,3860,872,601,490,777.93,15232.12,22,31,7,490,0,9,11,24,3,0,55311784
휘경1동,11230720,143601,647,1004,4221,2149,1912,2181,1634,1093,435,3912,1260,899,769,1902.364,19170.45,16,28,15,206,1,4,2,14,3,1,40104654
휘경2동,11230730,111380,1488,2297,5459,3340,3666,3630,2879,1713,603,5355,2106,1784,1683,4069.279,17945.19,17,21,0,138,7,2,5,3,2,0,58560745
이문1동,11230740,113825,911,1798,7134,2852,2898,2928,2303,1605,653,6397,1817,1160,1069,4206.63,20762.81,33,37,5,413,1,14,6,13,7,1,74197673
이문2동,11230750,197056,1469,2000,2998,2777,3521,3495,2667,1727,638,2724,1902,1662,1628,1664.553,57490.37,12,23,5,100,1,1,3,6,2,1,41790215
면목2동,11260520,74210,1548,1906,3580,3810,4164,5125,3438,1924,668,5379,2722,2014,1603,1690.647,39688,21,38,9,277,5,2,10,27,3,0,19660466
면목4동,11260540,67706,1271,1417,2791,3136,3218,3477,2767,1754,457,3942,2148,1648,1241,2026.325,29576.79,11,37,2,148,1,1,5,10,0,1,41296743
면목5동,11260550,72565,592,719,1327,1527,1540,1880,1363,774,248,1888,1093,811,616,1381.25,22538.71,6,21,5,96,6,3,5,6,3,0,33883656
면목본동,11260565,93715,1955,2313,5579,5995,5546,6739,4637,2665,856,8270,3930,2820,2016,2336.042,26462.75,30,63,7,423,0,8,10,34,2,1,61806498
면목7동,11260570,126737,1263,1343,3128,3272,3258,4069,3233,1779,621,4244,2303,1784,1352,994.6197,25927.68,17,32,4,226,1,4,7,23,4,0,74791589
면목3.8동,11260575,93461,1351,1799,4048,3968,3908,4950,3794,2237,704,5529,2895,2139,1560,4038.943,21598.11,21,41,10,431,1,13,17,53,3,1,44745322
상봉1동,11260580,114677,1995,2233,3804,3875,3794,4620,3034,1568,585,3029,2313,2225,2081,2257.54,66348.55,17,47,0,152,2,4,5,9,1,0,24446068
상봉2동,11260590,91664,894,963,3635,3928,2748,3217,2341,1272,426,6002,2160,1309,879,5735.192,18497.32,37,35,47,507,2,16,21,68,1,2,64119884
중화1동,11260600,61484,1443,1491,3147,3481,2962,3650,2831,1401,505,3173,2192,1796,1392,1670.096,39411.12,20,32,0,111,0,0,0,6,3,1,11536094
중화2동,11260610,114209,1272,1527,4168,4260,4036,5792,4122,2345,783,7290,3200,2080,1404,1607.14,22503.41,15,55,10,399,5,5,15,43,2,1,46066636
묵1동,11260620,100885,2728,3274,4942,5550,6069,5737,4333,2490,873,4638,3281,3051,2736,3043.584,7177.367,22,55,4,278,0,5,6,17,5,1,27959874
묵2동,11260630,74118,1273,1370,2892,3449,3006,3365,2781,1472,459,3852,2081,1670,1210,2283.708,20413.81,14,41,3,233,3,1,12,28,2,0,32780086
망우본동,11260655,102718,1696,2134,4398,4462,4532,6121,4700,2455,881,6634,3224,2439,1891,3539.65,36520.47,29,60,28,513,6,7,14,48,2,2,62864446
망우3동,11260660,66933,999,1352,2578,2481,2657,3504,2565,1440,504,3681,1981,1467,1045,1294.669,10987.46,11,29,0,138,2,2,4,4,2,0,41509426
신내1동,11260680,90579,3956,3888,5298,5636,6254,6857,5028,2754,1117,3394,3279,3176,3504,4573.249,15284.09,22,33,3,286,3,10,9,16,7,0,29027705
신내2동,11260690,168207,1633,1984,2730,3270,3515,3752,3000,1572,674,2732,2237,2009,1651,3963.127,24112.29,9,16,0,142,0,1,3,1,2,1,51781286
성북동,11290525,123956,939,1380,2897,2757,2815,2842,1954,1387,639,3692,1720,1207,979,21337.68,31722.64,15,25,0,199,0,2,1,2,2,0,44527758
삼선동,11290555,124730,1423,2289,4890,3969,4276,4129,2847,1926,805,6178,2501,1800,1668,5596.596,18151.44,36,67,9,581,1,5,16,20,8,2,38182336
