이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,매출
중앙동,11620615,146400,496,759,4357,3088,1879,2088,1663,1125,369,5926,1562,854,670,1356.923,8988.035,19,13,0,235,0,2,5,9,6,1,66967525
인헌동,11620625,120228,1442,1819,5842,5333,3974,3614,2866,1763,565,7568,2663,1830,1496,5131.494,19686.38,22,26,0,247,3,4,7,17,6,1,40883169
남현동,11620630,212269,1199,949,3969,4038,2485,2700,2127,1238,344,4625,1884,1375,1085,3615.189,28564.75,20,30,11,249,2,1,5,15,4,0,61293599
서원동,11620645,173563,864,1007,6501,4984,3007,3213,2516,1537,460,8566,2528,1404,935,2598.22,16952.03,28,36,12,469,1,10,11,30,4,0,64880734
신원동,11620655,164874,842,992,4438,3622,2714,3041,2325,1534,482,5945,2155,1230,857,879.4151,15122.31,10,26,0,182,0,2,2,12,4,0,78108635
서림동,11620665,103531,1034,1286,6102,4944,3316,3278,2629,1549,489,9098,2247,1405,1066,1759.974,36545.62,25,26,0,183,7,11,6,7,15,0,50271031
신사동,11620685,99350,1162,1406,5769,4711,3850,4521,2783,1584,487,8038,2308,1459,1106,4676.287,24283.17,25,40,3,245,3,9,7,22,3,0,68248630
신림동,11620695,197512,500,567,8429,5929,2541,1972,1500,915,277,13469,1966,680,414,2376.287,22599.2,39,49,113,496,1,13,13,55,2,1,84535644
난향동,11620715,78648,1413,1569,1779,2221,3193,2599,2064,1234,388,1905,1502,1320,1310,1968.017,23714.27,4,15,0,44,2,2,1,1,1,0,68644786
조원동,11620725,96721,929,975,3977,3686,2750,3444,2242,1175,430,6278,1796,1006,833,3299.85,17036.88,22,46,6,401,0,9,7,38,2,0,43485780
대학동,11620735,125414,851,1158,7067,4957,3653,3162,2117,1244,470,11667,1801,1159,857,2953.469,38761.77,43,39,1,534,1,28,18,30,50,0,29604459
삼성동,11620745,78878,1123,1865,3265,3094,3917,4644,4030,2637,946,4625,2723,1955,1616,1935.671,20864.98,9,42,5,122,1,1,2,5,1,0,43582362
미성동,11620765,100013,2058,2601,5088,4842,5090,5498,4563,2424,716,5405,3171,2612,2211,4229.706,17542.11,21,40,7,245,2,3,7,13,5,0,29408192
난곡동,11620775,109023,1650,2158,4321,4146,4415,5398,3910,2431,776,4977,3153,2320,1851,1578.346,12479.31,22,34,0,124,2,5,5,9,5,0,27230137
서초1동,11650510,132931,1651,2001,3030,3926,3899,2918,2329,1252,440,3827,1735,1617,1507,32639.64,35375.85,34,41,11,490,7,9,17,15,7,1,60032255
서초2동,11650520,159087,1510,1685,2714,3887,3287,2425,1755,926,305,3640,1484,1398,1335,70861.23,34722.31,40,55,10,655,0,5,14,14,10,1,68593992
서초3동,11650530,121117,1757,2775,5182,5031,4921,4855,3501,2051,698,5587,2588,2288,2108,68519.07,18166.58,81,59,35,1221,9,7,43,59,12,0,61227717
서초4동,11650531,139766,3158,4220,3727,4208,6468,4538,3014,1779,620,2380,1912,2588,3290,35465.36,23595.31,35,41,7,664,3,2,21,16,14,0,1.06E+08
잠원동,11650540,155668,2718,4043,4565,5436,6795,5342,3285,1591,638,4692,2607,2906,2964,19103.62,32351.25,32,39,8,473,5,4,7,32,8,1,90478832
반포본동,11650550,143968,672,2040,1520,966,2596,2018,1179,976,315,740,836,978,1287,14447.69,46495.78,8,19,0,113,0,1,1,1,2,1,22060329
반포1동,11650560,172872,3233,3525,4625,6143,6708,4058,2905,1480,454,6316,2264,2317,2673,7909.658,40497.81,29,33,3,378,1,10,6,18,3,2,59607436
반포2동,11650570,136653,2052,2711,1400,1822,3871,1977,1338,890,274,738,826,1313,1697,11232.03,27647.61,7,11,0,54,0,0,0,0,7,1,38556660
반포3동,11650580,227111,1910,2735,2220,2680,4341,2918,1868,1107,402,1288,1370,1849,2018,8772.628,26377.42,9,24,0,128,0,3,4,5,4,0,25140160
반포4동,11650581,224702,1909,2304,2445,3110,3781,2889,2257,1177,404,1904,1501,1764,1640,30577.25,23856.3,40,71,3,625,6,6,6,11,6,1,2.80E+08
방배본동,11650590,129364,1614,2914,2705,2637,4191,3403,2150,1262,584,2086,1550,1721,1898,24778.48,26775.95,20,19,9,338,8,3,8,17,6,0,38856373
방배1동,11650600,121183,1257,1416,2564,3260,2855,2459,2065,1231,396,2881,1692,1402,1220,16066.64,14543.99,18,26,3,309,1,9,11,25,4,0,57299614
방배2동,11650610,138448,1330,1761,3147,3416,3253,3402,2834,1601,491,3133,2061,1686,1518,18152.95,12113.05,25,32,1,401,10,2,12,21,4,1,23814036
방배3동,11650620,134998,1420,2185,3109,3146,3486,3837,3129,1609,541,2272,1895,1886,1866,17708.52,15249.89,18,29,1,130,2,0,3,0,3,0,51991201
방배4동,11650621,115970,1785,2756,3316,3855,4485,3540,2323,1594,546,3402,2000,1803,1924,21186.66,27181.62,25,31,6,344,1,2,9,12,8,0,44316465
양재1동,11650651,120974,4928,4177,5689,7702,8008,6441,5375,2755,948,5908,3952,3418,3469,38840.92,22720.01,46,54,2,653,9,7,22,30,3,1,58479916
양재2동,11650652,91743,1686,1692,3624,4805,4021,3455,2445,1225,347,4936,2210,1656,1462,106292.1,16315.7,46,67,0,721,6,5,28,43,5,1,49328578
내곡동,11650660,87352,2331,1240,2025,3171,2989,2519,2348,1379,460,2072,1810,1516,1361,5500.459,23038.37,13,13,0,96,6,0,1,2,1,1,19506004
신사동,11680510,189594,1085,1786,2509,2731,3229,2469,1822,1386,541,2943,1575,1291,1234,34856.86,13592.46,44,52,15,1024,4,6,11,28,3,1,54623856
논현1동,11680521,164930,819,1003,4829,6199,3915,2879,2305,1296,440,9268,2453,1211,858,46396.72,14821.74,80,59,13,925,4,9,16,42,6,2,77653987
논현2동,11680531,139437,1265,1399,3597,4849,3846,2905,2248,1424,451,6126,2094,1525,1216,57741.81,19357.52,77,61,11,1076,8,10,14,15,5,2,59048123
압구정동,11680545,197817,2346,2921,3368,3822,5094,3875,3110,2320,830,3036,2362,2392,2254,62593.02,16549.62,57,78,5,975,5,6,8,18,6,0,32004295
청담동,11680565,168623,2455,2662,4329,5178,5194,4528,3275,1808,579,4663,2425,2391,2268,80808.66,19957.17,55,74,3,865,7,5,7,9,4,1,65379803
삼성1동,11680580,173572,997,1474,2193,2346,2514,2442,1761,987,268,1974,1222,1186,1144,129114.8,49963.81,55,49,3,768,10,3,20,23,2,3,70158173
삼성2동,11680590,155942,2601,3449,3973,5461,6396,3854,2431,1597,453,5621,2292,2293,2331,50190.44,61027.45,51,60,25,535,7,3,16,10,4,4,61267138
대치1동,11680600,279105,2022,5564,2684,1809,6187,3761,1883,984,332,573,914,1941,3140,27124.2,16549.82,23,16,0,190,0,6,3,7,10,0,40659295
대치2동,11680610,157488,2033,6626,5509,3578,7700,6954,4002,1905,551,2427,1996,3215,4347,94070.33,8838.837,49,65,1,628,3,4,16,9,32,2,42853404
대치4동,11680630,178629,829,2652,3553,3627,4246,3154,1527,966,266,5285,1653,1412,1383,36677.21,54560.5,61,45,8,828,1,9,17,25,28,0,65255135
역삼1동,11680640,157738,1248,1525,8140,10600,6017,4300,2974,1677,515,16463,3579,1727,1178,182347.1,16977.96,200,171,70,2766,4,33,72,100,28,2,66624506
역삼2동,11680650,152412,3145,5325,4806,5695,8559,4621,2547,1680,501,6216,2305,2783,3160,64570.6,16465.35,54,55,32,559,10,6,18,10,13,0,78340835
도곡1동,11680655,183753,1859,2380,3302,3505,3913,3526,2494,1199,416,2500,1562,1828,2095,61900.33,14160.23,29,25,5,246,9,1,5,5,7,1,58673309
도곡2동,11680656,180024,2948,4826,4250,3980,6695,5432,3477,1944,666,2223,2298,3008,3433,199479.8,23372.18,25,26,0,315,3,2,9,10,10,2,38399238
개포1동,11680660,132795,385,654,898,759,996,1233,1213,672,201,880,626,509,601,19015.84,7663.692,2,7,0,15,0,0,0,0,1,0,0
개포2동,11680670,168681,1305,2166,2500,2291,2976,3246,2378,968,293,1458,1301,1554,1807,9748.607,22953.14,11,27,0,153,1,1,8,9,7,3,22336448
개포4동,11680690,86258,1227,1752,2764,2936,3150,3180,2177,987,301,2928,1536,1424,1435,9788.613,44381.04,32,30,2,240,2,5,14,17,7,0,33291550
세곡동,11680700,155771,5222,4484,5459,7675,7685,6063,4558,2591,1197,5738,3774,3248,3389,1780.225,48687.99,22,31,0,207,10,3,2,2,4,0,23094627
일원본동,11680720,142033,2374,3502,2756,3239,4690,3714,2721,969,420,1491,1479,2008,2595,41984.24,11874.01,10,17,0,58,0,1,1,1,6,1,2.50E+08
일원1동,11680730,120060,855,1345,2504,2483,2295,2760,2504,1317,482,3116,1765,1303,990,2528.358,16355.08,12,25,0,207,2,9,10,22,6,0,62769486
일원2동,11680740,218536,1284,1902,2047,2771,3127,2696,2482,1324,388,2163,1746,1547,1472,8314.885,16598.47,7,18,0,84,5,1,0,0,4,1,62103062
수서동,11680750,132788,763,730,1864,2671,1801,2548,3284,1717,661,3250,2311,1281,747,18145.74,14061.16,20,16,0,219,1,2,4,4,4,1,97188214
풍납1동,11710510,90189,874,1073,1996,2413,2365,2959,2418,1250,424,2528,1592,1195,1040,1295.363,43554.73,8,20,0,142,0,4,3,12,0,0,56826598
풍납2동,11710520,107433,1983,2160,3806,4144,4044,3705,2994,1451,503,3900,2004,2104,1911,4442.598,14795.27,18,26,0,159,2,3,3,14,13,0,69056777
거여1동,11710531,97150,748,1187,1865,1713,2170,2440,1796,999,314,1801,1267,1050,1014,4524.533,16814.6,12,17,3,122,1,5,9,13,3,1,25314958
거여2동,11710532,136240,1172,1547,1926,2366,2899,2985,2310,1380,487,2486,1782,1422,1193,3082.036,31038.89,11,20,0,135,1,4,6,13,4,0,42475238
마천1동,11710540,72130,1260,1771,2616,2580,3252,3834,3105,1824,652,3548,2081,1559,1388,1203.2,20008.99,10,29,5,160,0,2,3,11,0,1,34498090
마천2동,11710550,97886,1101,1622,2600,2486,3097,4035,3010,1731,610,3086,2093,1642,1357,2558.255,34628,10,28,0,231,2,10,6,14,1,0,40603952
방이1동,11710561,110210,1139,1839,2566,2355,2833,2767,1806,817,335,1798,1198,1329,1457,8381.904,16335.56,22,17,1,312,3,3,13,24,13,1,45251346
방이2동,11710562,135306,1441,1469,4763,5838,3800,3947,3025,1418,441,7062,2690,1830,1400,21616.7,20951.31,38,36,63,698,3,13,21,65,6,0,80389375
오륜동,11710566,333684,1412,2968,2375,1875,3523,3172,2322,908,338,668,1049,1610,2097,27212.16,15520.14,16,22,0,67,1,1,1,0,4,1,57436896
오금동,11710570,103822,3127,3632,6038,6123,6142,7351,5306,2299,930,4223,3541,3559,3374,26473.4,26809.45,40,64,0,368,8,8,14,23,16,1,23423344
송파1동,11710580,109775,1543,1591,4826,5851,3682,3950,2995,1379,430,5801,2653,1940,1524,15648.28,11339.3,24,42,1,481,3,6,18,39,5,0,52780885
송파2동,11710590,129176,1709,2078,3021,3148,3172,3506,2647,1061,402,1528,1501,1755,1934,11310.55,12972.74,13,27,0,156,1,5,0,1,12,0,36294310
석촌동,11710600,128332,1972,2188,5733,7453,5302,5225,3757,1877,584,8257,3478,2473,1908,10844.56,23144.96,45,58,5,562,9,9,19,66,16,1,43040427
삼전동,11710610,143652,1932,2314,5433,7259,5454,4853,3440,1595,505,8185,3238,2398,1925,6876.809,65898.19,36,36,5,391,4,10,17,28,16,0,52432216
가락본동,11710620,127851,1777,2131,4460,5092,4128,5049,3306,1408,534,4425,2436,2271,2054,32092.77,28141.3,43,43,3,650,1,9,23,130,7,0,53983828
가락1동,11710631,102804,2975,2212,3656,5300,3901,3872,2820,1013,265,1684,2351,2394,2377,5737.849,11768.96,6,50,0,181,1,0,0,1,0,2,1.84E+08
가락2동,11710632,121732,2825,3812,4919,5141,5809,5502,3769,1529,591,2823,2484,2933,3199,9268.471,24445.06,19,44,0,296,9,10,6,31,15,2,49211057
문정1동,11710641,108140,1462,1710,3447,3785,3030,3663,2716,1106,362,2768,1834,1746,1684,30109.03,32220.46,15,36,1,215,1,5,5,26,9,1,75540988
문정2동,11710642,231907,1780,1641,5511,7954,4240,3584,3049,1469,590,8388,2755,1960,1800,37349.26,16154.89,64,82,1,783,7,5,8,9,4,0,37666415
장지동,11710646,119764,2901,3392,4811,5521,5502,5793,3957,1769,664,3708,3152,2969,2730,7756.792,34564.63,25,26,0,223,3,5,5,15,4,1,27723276
위례동,11710647,215981,4953,3352,2877,5399,5449,3300,1936,822,251,1050,1740,2335,2903,1426.983,10516.69,14,16,0,158,2,1,1,0,3,1,14681029
잠실본동,11710650,167542,1514,2034,5205,6436,4730,4425,3263,1505,481,7907,2911,2054,1610,8205.633,26047.52,55,42,33,872,5,20,33,76,15,0,56952574
잠실2동,11710670,543268,4519,6006,3270,4861,8963,4473,2730,1463,422,1862,1878,3061,4330,5873.034,26370.75,23,16,0,119,0,0,1,0,0,0,1.11E+08
잠실3동,11710680,128940,3510,4046,4334,5091,6341,5356,4611,2195,640,1966,2566,3210,3638,19745.38,27149.36,17,35,0,224,0,0,2,1,2,1,20792533
잠실4동,11710690,448214,3360,2375,2291,3986,4554,3117,2576,1154,348,1381,1553,2239,2372,17933.94,48067.64,6,11,1,56,0,0,1,0,0,1,47024290
잠실6동,11710710,212606,1514,1723,2216,2656,2703,2749,2330,1044,437,952,1340,1584,1556,117166.6,17170.13,30,32,0,399,0,0,4,2,6,2,55584780
잠실7동,11710720,142495,659,1137,1335,1146,1533,1684,1452,858,390,504,799,901,995,6233.704,19294.74,2,9,0,21,0,0,1,0,2,1,80829767
강일동,11740515,175627,3008,4497,3983,3621,5737,5059,3612,1978,883,2202,2569,2237,2877,1225.972,15916.53,21,20,0,103,1,3,4,1,3,0,12591717
상일동,11740520,80301,657,1296,1472,1389,1659,2135,1561,660,229,1164,880,930,921,4528.275,6358.823,11,31,0,181,3,6,3,12,1,1,44173407
명일1동,11740530,126290,1657,2510,2938,3072,3746,3680,2942,1284,459,1954,1676,1945,2016,2493.098,17386.72,18,26,2,376,0,9,16,26,10,2,57476246
명일2동,11740540,117438,1201,2675,2420,1913,3177,3045,2279,858,314,1127,1064,1343,1946,2125.488,24739.72,18,14,1,210,3,12,8,7,16,0,29002557
고덕1동,11740550,184567,3375,3455,2833,4367,5381,3777,2624,1024,436,1573,1617,2281,2914,1776.672,17497.33,8,20,0,113,0,1,3,4,2,1,43661778
고덕2동,11740560,81687,313,560,942,832,1060,1514,1207,624,245,1460,766,558,417,1716.944,29866.14,6,20,0,91,0,2,3,5,0,0,41491029
암사1동,11740570,102735,2542,3008,5114,5844,6012,6406,4872,2527,833,6116,3697,3097,2569,5924.948,16785.22,32,46,7,353,4,10,11,27,4,1,40598638
암사2동,11740580,116545,1356,1044,1926,2707,2374,2191,1731,957,288,1820,1332,1288,1182,1224.028,35982.93,10,15,1,153,3,3,3,6,5,0,43316667
암사3동,11740590,95057,2144,2088,2100,2806,3395,2797,2262,986,295,1039,1331,1638,1811,4375.037,26280.1,7,17,0,61,1,0,0,1,4,0,75578443
천호1동,11740600,90920,1690,2092,4076,4469,4289,5101,4220,2155,671,5089,2959,2398,1829,3356.104,17358.5,23,44,0,252,1,8,8,8,4,0,36530692
천호2동,11740610,104572,2068,2141,4989,6503,5459,6543,4847,2641,844,8529,3846,2725,1980,4313.255,18617.69,48,70,64,694,6,10,21,42,2,0,44631042
천호3동,11740620,112109,1691,1539,4195,5093,4155,4896,4012,2029,657,6494,2938,2193,1571,5361.928,36111.26,29,62,13,353,0,6,11,18,1,0,33548246
성내1동,11740640,106415,1695,1932,2753,3464,3496,3159,2516,1235,409,2359,1844,1800,1637,12629.97,26537.21,23,23,0,380,4,1,10,12,1,1,32657224
성내2동,11740650,117569,1318,1382,3968,4661,3848,4414,3451,1829,578,6108,2742,1954,1291,9276.118,21844.82,26,41,2,415,3,10,14,29,5,2,62775537
성내3동,11740660,111788,1482,2070,3630,3833,3773,4127,3017,1561,465,3742,2230,1972,1771,5153.799,34922.2,31,40,2,577,3,19,21,33,6,1,50129366
길동,11740685,106628,2920,3397,6998,7633,7118,7929,6573,3072,1003,8106,4322,3748,3213,13199.28,33040.85,62,77,49,736,6,15,24,46,11,1,43496128
둔촌1동,11740690,109765,8,7,25,32,53,40,60,37,11,115,21,13,14,1543.141,19824.63,4,9,0,4,0,0,0,0,0,0,0
둔촌2동,11740700,94649,2053,2529,4059,4136,4231,4805,3786,1636,601,3527,2423,2313,2301,5278.577,24687.79,22,26,5,278,3,7,8,17,7,0,44515671
