이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
상봉2동,11260590,103275,919,1021,3278,3806,2792,3201,2240,1249,376,5361,2020,1327,963,7809.272,20390.28,35,37,47,513,2,15,21,71,1,2,79346012
중화1동,11260600,62236,1548,1522,3202,3520,2945,3726,2668,1365,454,2970,2071,1762,1505,1946.489,30935.2,18,32,0,106,0,0,0,5,2,1,21751974
중화2동,11260610,89193,1317,1731,4075,4339,4358,5839,3982,2273,700,7059,3109,2127,1501,4471.419,20404.02,15,53,10,404,5,5,14,46,2,1,95204660
묵1동,11260620,105330,2857,3361,5011,5805,6106,5708,4177,2360,790,4468,3127,3075,2866,3150.981,28155.26,23,50,3,271,0,4,7,18,5,1,50932611
묵2동,11260630,110387,1358,1444,3051,3454,3188,3421,2641,1423,411,3658,2096,1708,1276,1910.103,25482.61,13,35,3,240,3,0,12,29,2,0,41653836
망우본동,11260655,87497,1874,2289,4558,4666,4777,6151,4493,2343,798,6336,3116,2558,2027,5382.066,12018.26,31,60,30,509,7,8,14,48,2,2,67943131
망우3동,11260660,67218,1056,1499,2611,2615,2856,3503,2458,1358,470,3544,1967,1494,1137,1736.801,47389.14,11,28,0,143,2,2,3,6,2,0,37268307
신내1동,11260680,92915,4237,3930,5404,5841,6406,6903,4673,2635,1013,3147,3143,3143,3647,7100.374,23542.69,20,35,3,284,3,8,9,18,6,0,43758370
신내2동,11260690,121844,1699,2142,2807,3463,3684,3788,2867,1491,632,2546,2181,2016,1776,4535.157,17750.32,9,15,0,141,0,1,3,2,2,1,73737065
성북동,11290525,139088,1007,1486,2872,2766,2988,2817,1890,1377,643,3572,1700,1218,1044,2857.766,20452.64,18,21,0,188,0,2,1,2,2,0,33522341
삼선동,11290555,110147,1565,2398,4881,4049,4537,4008,2819,1939,725,5939,2425,1900,1765,6704.199,46917.54,36,66,10,576,1,5,16,20,10,2,53740643
동선동,11290575,157886,748,1152,4603,2882,2286,1916,1429,1056,391,5441,1431,973,743,6221.796,14631.15,41,46,23,654,0,6,15,36,8,0,56742466
돈암1동,11290580,129046,1039,1657,2293,2268,2709,2802,2060,1193,466,1751,1484,1411,1320,1005.476,36153.6,7,10,0,40,1,1,1,2,4,0,26051017
돈암2동,11290590,105655,2447,3015,3008,3389,4905,3950,2386,1399,607,1502,1719,2149,2363,821.1067,22303.95,4,5,0,9,0,0,1,0,0,0,43410743
안암동,11290600,131905,608,1240,5854,2487,2081,2179,1419,1010,386,5404,1372,913,778,9863.283,14669.47,49,32,1,475,2,20,18,21,0,1,60155861
보문동,11290610,96817,1157,1158,3030,3066,2855,2699,1780,1068,421,3647,1595,1309,1148,3648.516,15839.46,19,30,5,198,6,3,3,7,1,1,45184213
정릉1동,11290620,107330,1494,1906,2586,2736,3378,2748,1993,1338,482,1999,1486,1581,1464,1065.841,16855.98,11,25,2,127,2,1,3,5,6,1,1.35E+08
정릉2동,11290630,115222,1807,2202,3196,3427,4016,3913,3084,1871,683,2893,2211,2057,1857,1542.255,23307.79,15,25,3,152,4,4,5,9,0,0,51955946
정릉3동,11290640,101198,865,1325,3834,2234,2301,2493,2123,1514,565,3663,1464,1169,923,3340.153,80947.33,13,24,0,170,0,3,8,3,2,0,89724124
정릉4동,11290650,91713,2104,2566,3435,3952,4794,4203,3334,2116,709,3546,2487,2381,2002,2392.454,28506.3,15,40,4,172,1,5,10,7,5,1,73582733
길음1동,11290660,111214,4786,4860,3487,5810,8374,4567,3124,2023,699,2555,2380,3193,3842,2160.383,16544.03,6,27,5,197,0,2,5,9,3,1,1.89E+08
길음2동,11290685,86189,907,1085,1586,1641,2065,1953,1496,856,311,1905,973,888,924,1544.246,17309.54,7,17,2,125,3,2,3,3,3,0,70482544
종암동,11290705,83610,3322,4201,7129,6122,7094,6384,4293,2868,1174,6038,3421,3295,3175,3805.612,27742.34,28,38,13,328,9,10,12,21,4,1,62165481
월곡1동,11290715,111180,2560,2857,3140,4020,5126,4257,3262,2054,661,3077,2343,2246,2348,3135.592,12350.94,16,45,12,251,2,3,4,12,2,0,45799094
월곡2동,11290725,101334,1479,1710,3520,3121,3228,3173,2483,1506,586,3606,1761,1550,1415,5509.612,40062.75,25,33,4,334,3,8,8,22,1,2,56801081
장위1동,11290760,59940,1155,1886,3057,2695,3451,3962,2797,1633,521,3186,2101,1688,1480,923.448,32060.79,11,33,3,151,5,4,2,9,0,0,70864825
장위2동,11290770,75714,832,1373,2286,2060,2674,3182,2463,1644,541,2771,1746,1385,1056,2018.179,13819.74,11,44,6,230,2,2,4,11,0,1,52152471
장위3동,11290780,93534,894,1126,1478,1550,2043,2112,1518,920,300,1722,1038,912,909,1594.758,35705.31,5,29,3,105,5,1,3,1,1,0,76146306
석관동,11290810,79588,2109,2473,5094,4881,5280,5913,4578,2873,885,5702,3286,2766,2223,4922.451,18615.4,24,51,12,394,2,4,11,19,2,0,65595667
삼양동,11305534,83920,1783,2504,3627,3884,4494,5073,3726,2351,750,4783,2851,2324,1842,1417.946,18263.92,14,52,8,172,4,10,7,14,3,3,33872968
미아동,11305535,100387,1073,1648,3824,3366,3517,4033,3086,1924,640,5285,2401,1710,1301,2997.623,27489.66,32,41,31,381,2,6,13,28,2,1,48664661
송중동,11305545,124516,1616,2260,4349,4308,4771,5133,4109,2604,787,5377,2821,2290,1916,3278.347,23713.05,25,56,28,504,2,6,11,44,3,1,67839638
송천동,11305555,88510,1498,2106,4013,4006,4529,5573,4235,2708,898,6049,3052,2253,1815,3345.79,28528.94,27,53,22,431,3,2,11,21,1,0,46934575
삼각산동,11305575,120304,3669,4353,3438,4703,7105,4802,3047,1859,662,2524,2387,2753,3319,1316.555,15745.94,8,19,1,132,0,3,3,6,3,0,83953971
번1동,11305590,95096,918,1308,3386,3119,3268,3270,2422,1666,508,5141,2109,1451,1048,4668.442,19219.61,33,36,42,381,6,4,6,37,1,0,70418436
번2동,11305600,74150,940,1394,2320,2265,2822,3023,2510,1862,524,2483,2051,1532,1096,2023.495,42653.47,7,16,1,71,1,2,3,4,1,0,49983180
번3동,11305606,78193,1183,1697,2225,2251,3140,2953,2690,2343,572,2069,2088,1658,1312,1503.667,25383.61,8,23,0,91,3,6,3,3,5,0,81271045
수유1동,11305610,88510,1256,1642,3329,3150,3418,3893,2963,1901,649,4452,2246,1760,1307,2893.086,18103.27,19,44,38,258,3,4,8,14,2,1,64579913
수유2동,11305620,73407,1321,1743,3124,2985,3548,3938,3050,2052,779,3204,2389,1892,1525,2012.38,21506.54,18,31,3,239,1,9,8,20,2,1,50180127
수유3동,11305630,101505,1103,1361,4239,3889,3638,4164,3081,2013,675,6199,2549,1845,1249,4894.44,9897.33,33,64,41,714,4,14,26,122,1,1,74710866
우이동,11305645,68861,1390,1681,2855,2879,3408,3691,3060,2111,711,3407,2276,1856,1392,2360.134,26453.4,15,48,12,363,0,1,6,20,1,3,84864169
인수동,11305660,63163,2032,2539,4453,4511,5022,5685,4597,2996,1075,5247,3459,2738,2091,3897.557,21506.47,28,49,11,240,3,2,5,11,4,0,37846162
창1동,11320511,107254,1981,2571,3605,3977,4706,4392,3106,1894,728,3368,2470,2347,2156,1458.283,24570.26,15,31,0,170,2,3,7,13,5,1,82524399
창2동,11320512,80417,2340,2732,4562,4834,5144,5394,3631,2137,728,3514,2955,2741,2369,3721.867,18919.96,19,32,0,179,4,9,5,11,2,0,63040542
창3동,11320513,74091,1017,1277,1991,2038,2492,2682,1984,1291,432,2439,1622,1259,1005,1003.293,22075.53,11,19,0,171,1,1,3,15,0,0,31772557
창4동,11320514,218012,2154,3152,3929,3757,5043,5022,3013,1640,811,2615,2206,2349,2642,3175.472,22285.52,17,25,6,218,2,8,7,18,4,0,59789489
창5동,11320515,139074,1915,2341,3764,3912,4037,4636,3254,1698,683,2454,2234,2362,2182,5305.694,24064.9,18,28,2,265,3,5,13,19,9,1,89857658
도봉1동,11320521,69514,1167,1493,2945,2917,3325,4175,3641,2531,811,3917,2679,1830,1354,3342.228,17707.43,23,42,9,394,7,3,8,30,2,0,61962294
도봉2동,11320522,88623,1971,2076,3566,4117,4180,4898,4601,2632,969,3793,3021,2525,2029,3540.311,23122.22,13,34,4,242,2,3,3,12,5,2,31337536
쌍문1동,11320660,88584,1367,2075,3176,2799,3632,3809,2916,1946,606,2929,2191,1895,1547,2537.922,25619.88,18,35,0,152,6,2,5,3,1,0,58834495
쌍문2동,11320670,94776,1251,1754,2830,3003,3181,3492,2651,1590,641,2853,2121,1792,1366,3018.443,30361.17,14,26,5,223,6,8,7,21,2,0,57167541
쌍문3동,11320680,108029,1025,1211,2587,2648,2697,2896,2258,1562,471,2895,1798,1426,1142,2135.216,40101.15,16,32,2,161,1,4,3,7,1,0,45824107
쌍문4동,11320681,144198,1395,2286,2892,2535,3360,3660,2401,1107,506,1502,1476,1733,1944,1148.471,24023.56,10,14,0,59,0,3,0,1,9,0,75750321
방학1동,11320690,88058,1886,2628,4329,3876,4833,5626,4203,2368,757,4353,2899,2452,2167,3465.283,38789.21,24,43,3,529,13,13,30,53,1,1,98309480
방학2동,11320700,101506,1222,1883,2999,2743,3508,4029,3020,1827,632,3548,2317,1843,1411,876.973,6700.848,12,40,2,179,2,1,5,13,2,0,88851541
방학3동,11320710,58673,2288,3215,3991,3603,4883,5334,3662,1687,870,1717,2211,2621,2735,2624.677,45965.42,9,23,0,116,0,0,7,5,2,0,73209271
월계1동,11350560,103361,1611,1960,4195,3396,3737,3758,3003,1780,609,4264,2126,1766,1742,2660.817,29286.16,36,30,6,368,2,14,20,42,3,2,48718168
월계2동,11350570,88942,1888,2446,3236,3510,4439,4527,3814,2177,843,3636,2895,2217,1922,2143.544,33555.62,18,27,0,102,0,0,1,3,1,0,37449910
월계3동,11350580,128814,2938,2556,3938,5536,5187,5029,4284,2424,903,3466,3409,2963,2470,1683.986,15896.75,9,20,0,82,1,1,0,0,0,1,52182379
공릉1동,11350595,105489,2570,3296,7149,6357,5956,6250,4870,2452,872,7702,3666,3040,2732,10667.73,35357.39,48,59,7,552,9,8,18,30,4,2,46035129
공릉2동,11350600,97328,3504,5080,6757,5874,7283,6249,3976,2017,809,5087,2972,3223,3781,6121.341,45211.7,41,37,1,394,3,12,19,30,6,1,66374872
하계1동,11350611,87420,1394,4338,5658,3040,5001,5155,3044,1687,790,4620,2292,2228,2551,8096.626,18205.85,21,27,0,209,2,3,2,4,7,0,56591822
하계2동,11350612,128814,1733,3340,3384,2823,4582,4112,2138,1281,609,1545,1722,2048,2391,647.1061,46955.47,4,12,0,45,0,2,0,0,3,1,28263165
