code,name,parent,parentname,convnum,rent2018,rent2019,rent2020
11350625,중계2.3동,11350,노원구,10,208505,245656,176838
11350630,상계1동,11350,노원구,25,117448,117979,124155
11350640,상계2동,11350,노원구,31,151481,185410,151049
11350665,상계3.4동,11350,노원구,17,82843,75983,90160
11350670,상계5동,11350,노원구,17,94242,88078,102078
11350695,상계6.7동,11350,노원구,28,158613,184853,198330
11350700,상계8동,11350,노원구,5,185570,0,163237
11350710,상계9동,11350,노원구,9,156429,132678,204162
11350720,상계10동,11350,노원구,5,0,0,188675
11380,은평구,11,서울특별시,374,99553,106182,110909
11380510,녹번동,11380,은평구,31,96273,107256,104302
11380520,불광1동,11380,은평구,14,117929,133751,128478
11380530,불광2동,11380,은평구,29,104358,116847,144442
11380551,갈현1동,11380,은평구,20,95771,127468,109995
11380552,갈현2동,11380,은평구,33,109404,93562,111055
11380560,구산동,11380,은평구,23,83293,65642,103211
11380570,대조동,11380,은평구,36,102072,123953,123595
11380580,응암1동,11380,은평구,25,115080,104676,114290
11380590,응암2동,11380,은평구,6,85725,117947,94917
11380600,응암3동,11380,은평구,34,93465,101563,109235
11380625,역촌동,11380,은평구,42,92550,97973,96218
11380631,신사1동,11380,은평구,19,93935,90614,93252
11380632,신사2동,11380,은평구,10,75108,76533,84341
11380640,증산동,11380,은평구,12,63743,78440,104629
11380650,수색동,11380,은평구,1,73809,97136,80087
11380690,진관동,11380,은평구,39,131409,130484,124679
11410,서대문구,11,서울특별시,326,134330,123256,130370
11410520,천연동,11410,서대문구,14,99609,129935,133552
11410555,북아현동,11410,서대문구,8,188282,105222,134726
11410565,충현동,11410,서대문구,32,108396,118171,114423
11410585,신촌동,11410,서대문구,85,217905,190797,187060
11410615,연희동,11410,서대문구,41,105565,110370,94928
11410620,홍제1동,11410,서대문구,18,119428,100415,156304
11410640,홍제3동,11410,서대문구,13,104529,108586,120613
11410655,홍제2동,11410,서대문구,6,121252,234712,115926
11410660,홍은1동,11410,서대문구,12,102028,78321,85653
11410685,홍은2동,11410,서대문구,23,107582,90499,100239
11410690,남가좌1동,11410,서대문구,9,202508,137421,133985
11410700,남가좌2동,11410,서대문구,23,84515,105295,117254
11410710,북가좌1동,11410,서대문구,11,0,98704,111765
11410720,북가좌2동,11410,서대문구,31,111716,83187,100277
