CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
신사2동,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,1,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,,11380632,
증산동,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,1,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,,11380640,
수색동,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,1,11380650,1,11380650,1,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,,11380650,
진관동,11380690,1,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,1,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,,11380690,
서대문구,11410,2,11410,2,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,2,11410,2,11410,2,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,,11410,
천연동,11410520,1,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,1,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,,11410520,
북아현동,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,1,11410555,1,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,,11410555,
충현동,11410565,,11410565,1,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,1,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,,11410565,
신촌동,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,1,11410585,1,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,,11410585,
연희동,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,1,11410615,1,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,,11410615,
홍제1동,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,1,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,,11410620,
홍제3동,11410640,1,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,1,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,,11410640,
홍제2동,11410655,1,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,1,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,,11410655,
홍은1동,11410660,1,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,1,11410660,1,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,,11410660,
홍은2동,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,1,11410685,1,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,,11410685,
남가좌1동,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,1,11410690,1,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,,11410690,
남가좌2동,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,1,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,,11410700,
북가좌1동,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,1,11410710,1,11410710,1,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,,11410710,
북가좌2동,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,1,11410720,1,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,,11410720,
마포구,11440,,11440,2,11440,2,11440,,11440,,11440,,11440,,11440,,11440,,11440,,11440,,11440,2,11440,2,11440,2,11440,,11440,,11440,,11440,,11440,,11440,,11440,,11440,,11440,,11440,,11440,
아현동,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,1,11440555,1,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,,11440555,
공덕동,11440565,,11440565,1,11440565,1,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,1,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,,11440565,
도화동,11440585,,11440585,,11440585,1,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,1,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,,11440585,
용강동,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,1,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,,11440590,
대흥동,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,1,11440600,1,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,,11440600,
염리동,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,1,11440610,1,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,,11440610,
신수동,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,1,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,,11440630,
서강동,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,1,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,,11440655,
서교동,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,1,11440660,1,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,,11440660,
합정동,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,1,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,,11440680,
망원1동,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,1,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,,11440690,
망원2동,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,1,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,,11440700,
연남동,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,1,11440710,1,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,,11440710,
성산1동,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,1,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,,11440720,
성산2동,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,1,11440730,1,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,,11440730,
상암동,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,1,11440740,,11440740,1,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,,11440740,
양천구,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,,11470,2,11470,2,11470,2,11470,,11470,2,11470,,11470,,11470,,11470,,11470,,11470,
목1동,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,1,11470510,,11470510,,11470510,,11470510,1,11470510,,11470510,,11470510,,11470510,,11470510,,11470510,
목2동,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,1,11470520,,11470520,,11470520,,11470520,1,11470520,,11470520,,11470520,,11470520,,11470520,,11470520,
목3동,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,1,11470530,1,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,,11470530,
목4동,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,1,11470540,1,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,,11470540,
목5동,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,1,11470550,,11470550,,11470550,,11470550,1,11470550,,11470550,,11470550,,11470550,,11470550,,11470550,
신월1동,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,1,11470560,1,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,,11470560,
신월2동,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,1,11470570,1,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,,11470570,
신월3동,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,1,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,,11470580,
신월4동,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,1,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,,11470590,
신월5동,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,1,11470600,1,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,,11470600,
신월6동,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,1,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,,11470610,
신월7동,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,1,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,,11470611,
신정1동,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,1,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,,11470620,
신정2동,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,1,11470630,,11470630,1,11470630,,11470630,1,11470630,,11470630,,11470630,,11470630,,11470630,,11470630,
신정3동,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,1,11470640,,11470640,1,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,,11470640,
신정4동,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,1,11470650,1,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,,11470650,
신정6동,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,1,11470670,,11470670,1,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,,11470670,
신정7동,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,1,11470680,,11470680,1,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,,11470680,
강서구,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,,11500,2,11500,2,11500,,11500,,11500,2,11500,,11500,,11500,,11500,,11500,,11500,
염창동,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,1,11500510,1,11500510,,11500510,,11500510,1,11500510,,11500510,,11500510,,11500510,,11500510,,11500510,
등촌1동,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,1,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,,11500520,
등촌2동,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,1,11500530,1,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,,11500530,
등촌3동,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,1,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,,11500535,
화곡1동,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,1,11500540,1,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,,11500540,
화곡2동,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,1,11500550,1,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,,11500550,
화곡3동,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,1,11500560,1,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,,11500560,
화곡4동,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,1,11500570,1,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,,11500570,
화곡본동,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,1,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,,11500590,
화곡6동,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,1,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,,11500591,
화곡8동,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,1,11500593,1,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,,11500593,
가양1동,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,1,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,,11500603,
가양2동,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,1,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,,11500604,
가양3동,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,1,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,,11500605,
발산1동,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,1,11500611,1,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,,11500611,
우장산동,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,1,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,,11500615,
공항동,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,1,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,,11500620,
방화1동,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,1,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,,11500630,
방화2동,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,1,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,,11500640,
방화3동,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,1,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,,11500641,
구로구,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,,11530,2,11530,,11530,2,11530,2,11530,2,11530,,11530,2,11530,,11530,,11530,,11530,
신도림동,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,1,11530510,,11530510,1,11530510,,11530510,1,11530510,,11530510,,11530510,,11530510,,11530510,,11530510,
구로1동,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,1,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,,11530520,
구로2동,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,1,11530530,,11530530,1,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,,11530530,
구로3동,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,,11530540,1,11530540,,11530540,1,11530540,,11530540,1,11530540,,11530540,,11530540,,11530540,
구로4동,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,1,11530550,,11530550,1,11530550,,11530550,,11530550,,11530550,,11530550,,11530550,
구로5동,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,1,11530560,,11530560,1,11530560,,11530560,,11530560,,11530560,,11530560,,11530560,
가리봉동,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,1,11530595,1,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,,11530595,
고척1동,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,1,11530720,,11530720,1,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,,11530720,
고척2동,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,1,11530730,,11530730,1,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,,11530730,
개봉1동,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,1,11530740,,11530740,1,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,,11530740,
개봉2동,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,1,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,,11530750,
개봉3동,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,1,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,,11530760,
오류1동,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,1,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,,11530770,
오류2동,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,1,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,,11530780,
수궁동,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,1,11530790,,11530790,1,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,,11530790,
금천구,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,,11545,2,11545,2,11545,,11545,,11545,2,11545,,11545,,11545,,11545,
가산동,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,1,11545510,1,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,,11545510,
독산1동,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,1,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,,11545610,
독산2동,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,,11545620,1,11545620,,11545620,,11545620,1,11545620,,11545620,,11545620,,11545620,
독산3동,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,,11545630,1,11545630,,11545630,,11545630,1,11545630,,11545630,,11545630,,11545630,
독산4동,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,,11545640,1,11545640,,11545640,,11545640,1,11545640,,11545640,,11545640,,11545640,
시흥1동,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,1,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,,11545670,
시흥2동,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,,11545680,1,11545680,,11545680,,11545680,1,11545680,,11545680,,11545680,,11545680,
시흥3동,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,1,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,,11545690,
시흥4동,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,,11545700,1,11545700,,11545700,,11545700,1,11545700,,11545700,,11545700,,11545700,
시흥5동,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,1,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,,11545710,
영등포구,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,,11560,2,11560,,11560,2,11560,,11560,2,11560,2,11560,,11560,,11560,,11560,,11560,
영등포본동,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,1,11560515,,11560515,,11560515,,11560515,,11560515,,11560515,
