CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
이태원1동,11170650,,11170650,,11170650,1,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,,11170650,
이태원2동,11170660,,11170660,1,11170660,1,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,,11170660,
한남동,11170685,,11170685,1,11170685,1,11170685,1,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,,11170685,
서빙고동,11170690,,11170690,,11170690,1,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,,11170690,
보광동,11170700,,11170700,,11170700,1,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,,11170700,
성동구,11200,,11200,2,11200,2,11200,2,11200,2,11200,2,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,,11200,
왕십리2동,11200520,,11200520,1,11200520,,11200520,1,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,,11200520,
왕십리도선동,11200535,,11200535,1,11200535,,11200535,1,11200535,,11200535,1,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,,11200535,
마장동,11200540,,11200540,,11200540,,11200540,1,11200540,,11200540,1,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,,11200540,
사근동,11200550,,11200550,,11200550,,11200550,1,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,,11200550,
행당1동,11200560,,11200560,,11200560,,11200560,1,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,,11200560,
행당2동,11200570,,11200570,,11200570,,11200570,1,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,,11200570,
응봉동,11200580,,11200580,,11200580,,11200580,1,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,,11200580,
