code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11230650,10.54214064,8.737126,66197618,54965091,62552819,59833192.12,94.4,100,96.3,97.81929
11230660,10.07256405,9.444792,67883641,56865764,56861347,52228760.86,97.1,100,97.4,98.52374
11230705,9.546417419,10.32559,56329957,21632254,46437015,43708221.38,100,87.5,100,99.40054
11230710,10.95081151,9.653602,61175789,55311784,62387884,66451302.2,92,100,95.7,98.731606
11230720,10.97733674,9.992597,64325948,40104654,39397407,66880857.76,100,93.7,94.4,99.06906
11230730,10.08403047,10.357787,87485639,58560745,49230496,52414450.76,93.7,100,100,99.432594
11230740,10.37147482,9.125118,92601967,74197673,58004847,57069390.6,100,93.9,100,98.20552
11230750,9.124007301,10.307288,55881939,41790215,26836862,36867614.8,100,91.7,92.3,99.382324
11230,0,0,66820860.41,51481131.29,50325277.79,46759177.12,96.95406091,97.09261214,96.37720207,98.81538
11260520,8.630768337,10.1615305,39050107,19660466,25457421,28879989.62,95.2,95.2,100,99.23723
11260540,9.51605249,10.398008,57410857,41296743,31184826,43216484.73,100,100,100,99.47263
11260550,9.72582425,10.94261,29137686,33883656,18293788,46613576.84,100,83.3,100,100.01476
11260565,10.41796507,9.805238,73360264,61806498,63451141,57822264.4,100,100,96.7,98.88255
11260570,10.16826122,10.46353,75762724,74791589,92266590,53778502.92,94.1,100,100,99.53786
11260575,9.280879413,10.13876,59249315,44745322,41177967,39408037.86,100,100,95,99.21456
11260580,9.09289291,10.635691,37499442,24446068,28418951,36363741.2,100,100,92.9,99.709236
11260590,10.60348246,9.1480875,79346012,64119884,62500896,60826575.72,97.1,100,100,98.228386
11260600,8.633629648,10.189244,21751974,11536094,16273713,28926326.36,100,100,88.9,99.26482
11260610,10.09418332,10.167992,95204660,46066636,48189386,52578868.3,93.3,100,95,99.24366
11260620,9.272423371,10.092958,50932611,27959874,25849817,39271098.77,100,95.5,95.5,99.16897
11260630,8.969144072,10.428781,41653836,32780086,30059129,34359724.08,84.6,92.9,100,99.503265
11260655,10.64882846,9.404884,67943131,62864446,61550340,61560919.28,100,100,93.5,98.48402
11260660,9.797470111,10.686972,37268307,41509426,39763348,47773826.38,100,100,100,99.760284
11260680,8.769345158,10.357871,43758370,29027705,28496496,31124134.52,85,100,90,99.43268
11260690,9.548791387,10.587321,73737065,51781286,40604686,43746665.96,100,100,100,99.66109
11260,0,0,58340427.68,44052423.94,44559840.25,41355996.2,96.94831081,98.67748344,96.46720257,99.301
11290525,9.610155333,10.473532,33522341,44527758,43178677,44740407.8,94.4,100,100,99.54781
11290555,9.922087791,9.305924,53740643,38182336,47024499,49791913.74,94.4,97.2,100,98.385506
11290575,9.426455389,9.348912,56742466,39791672,35996911,41765528.68,95.1,95.2,97.3,98.4283
11290580,8.542964662,10.897469,26051017,11124681,10356696,27458076.73,100,100,100,99.969826
11290590,8.70057084,10.97995,43410743,20057909,26368464,30010387.41,100,80,80,100.05193
11290600,10.10053572,8.612338,60155861,51375222,38566944,52681740.46,93.9,93.9,100,97.69507
11290610,9.03748188,10.29025,45184213,25901116,29779052,35466402.24,100,94.4,94.1,99.365364
11290620,9.87234758,10.251753,135000000,111000000,45237688,48986409.34,81.8,100,100,99.32704
11290630,9.140142592,10.329498,51955946,40940917,31189796,37128913.42,100,92.9,100,99.404434
11290640,9.858856289,10.449351,89724124,62812309,44078084,48767928.26,100,93.3,100,99.52374
11290650,9.800504745,10.231673,73582733,65854507,54811950,47822969.94,100,93.3,100,99.30705
11290660,8.410948137,10.811752,189000000,33422962,14791038,25320170.77,83.3,100,100,99.8845
11290685,9.742110124,10.777532,70482544,112000000,93767196,46877314.03,85.7,100,100,99.85043
11290705,9.847651363,9.520851,62165481,65717992,51000855,48586473.12,89.3,100,100,98.59946
11290715,9.389862672,10.644734,45799094,26840574,36652924,41172937.8,100,100,76.9,99.71824
11290725,9.064899198,9.829595,56801081,38112252,29238883,35910404.6,92,95.7,91.7,98.9068
11290760,10.31447836,10.728818,70864825,61299368,61364084,56146376.88,100,100,100,99.80194
11290770,10.329055,10.778888,52152471,36981070,63039538,56382434.33,90.9,100,100,99.85178
11290780,8.864714659,10.841335,76146306,61744823,24601997,32668570.15,100,66.7,100,99.91395
