childcode,parentcode
11410710,11440
11440555,11440
11440565,11440
11440585,11440
11440590,11440
11440600,11440
11440610,11440
11440630,11440
11440655,11440
11440660,11440
11440680,11440
11440690,11440
11440700,11440
11440710,11440
11440720,11440
11440730,11440
11440740,11440
11470510,11470
11470520,11470
11470530,11470
11470540,11470
11470550,11470
11470560,11470
11470570,11470
11470580,11470
11470590,11470
11470600,11470
11470610,11470
11470611,11470
11470620,11470
11470630,11470
11470640,11470
11470650,11470
11470670,11470
11470680,11470
11500510,11470
11500530,11470
11500540,11470
11500550,11470
11500560,11470
11500570,11470
11500593,11470
11500611,11470
11530510,11470
11530530,11470
11530720,11470
11530730,11470
11530740,11470
11530790,11470
11560610,11470
11560620,11470
11470530,11500
11470540,11500
11470560,11500
11470570,11500
11470600,11500
11470650,11500
11500510,11500
11500520,11500
11500530,11500
11500535,11500
11500540,11500
11500550,11500
11500560,11500
11500570,11500
11500590,11500
11500591,11500
11500593,11500
11500603,11500
11500604,11500
11500605,11500
11500611,11500
11500615,11500
11500620,11500
11500630,11500
11500640,11500
11500641,11500
11470630,11530
11470640,11530
11470670,11530
11470680,11530
11530510,11530
11530520,11530
11530530,11530
11530540,11530
11530550,11530
11530560,11530
11530595,11530
11530720,11530
11530730,11530
11530740,11530
11530750,11530
11530760,11530
11530770,11530
11530780,11530
11530790,11530
11545510,11530
11560605,11530
11560710,11530
11560720,11530
11620725,11530
11530595,11545
11545510,11545
11545610,11545
11545620,11545
11545630,11545
11545640,11545
11545670,11545
11545680,11545
11545690,11545
11545700,11545
11545710,11545
11620715,11545
11620725,11545
11620745,11545
11620765,11545
11470510,11560
11470520,11560
11470550,11560
11470630,11560
11500510,11560
11530510,11560
11530540,11560
11530550,11560
11530560,11560
11560515,11560
11560535,11560
11560540,11560
11560550,11560
11560560,11560
11560585,11560
11560605,11560
11560610,11560
11560620,11560
11560630,11560
11560650,11560
11560660,11560
11560670,11560
11560680,11560
11560690,11560
11560700,11560
11560710,11560
11560720,11560
11590510,11560
11590520,11560
11590660,11560
11590670,11560
11590680,11560
11560540,11590
11560680,11590
11560690,11590
11560700,11590
11560710,11590
11590510,11590
11590520,11590
11590530,11590
11590540,11590
11590550,11590
11590560,11590
11590605,11590
11590620,11590
11590630,11590
11590640,11590
11590650,11590
11590651,11590
11590660,11590
11590670,11590
11590680,11590
11620525,11590
11620545,11590
11620565,11590
11620575,11590
11620605,11590
11620630,11590
11620685,11590
11620695,11590
11620725,11590
11650550,11590
11650590,11590
11650610,11590
11650621,11590
11530540,11620
11545620,11620
11545630,11620
11545640,11620
11545680,11620
11545700,11620
11590530,11620
11590550,11620
11590560,11620
11590620,11620
11590650,11620
11590651,11620
11590670,11620
11590680,11620
11620525,11620
11620545,11620
11620565,11620
11620575,11620
11620585,11620
11620595,11620
11620605,11620
11620615,11620
11620625,11620
11620630,11620
11620645,11620
11620655,11620
11620665,11620
11620685,11620
11620695,11620
11620715,11620
11620725,11620
11620735,11620
11620745,11620
11620765,11620
11620775,11620
11650610,11620
11590620,11650
11590630,11650
11620630,11650
11650510,11650
11650520,11650
11650530,11650
11650531,11650
11650540,11650
11650550,11650
11650560,11650
11650570,11650
11650580,11650
11650581,11650
11650590,11650
11650600,11650
11650610,11650
11650620,11650
11650621,11650
11650651,11650
11650652,11650
11650660,11650
11680510,11650
11680521,11650
11680640,11650
11680655,11650
11680656,11650
11680660,11650
11680690,11650
11680700,11650
11680720,11650
11650520,11680
11650531,11680
11650540,11680
11650560,11680
11650660,11680
11680510,11680
11680521,11680
11680531,11680
11680545,11680
11680565,11680
11680580,11680
11680590,11680
11680600,11680
11680610,11680
11680630,11680
11680640,11680
11680650,11680
11680655,11680
11680656,11680
11680660,11680
11680670,11680
11680690,11680
11680700,11680
11680720,11680
11680730,11680
11680740,11680
11680750,11680
11710610,11680
11710631,11680
11710642,11680
11710646,11680
11710650,11680
11710670,11680
11710720,11680
11680580,11710
11680610,11710
11680700,11710
11680730,11710
11680740,11710
11680750,11710
11710510,11710
11710520,11710
11710531,11710
11710532,11710
11710540,11710
11710550,11710
11710561,11710
11710562,11710
11710566,11710
11710570,11710
11710580,11710
11710590,11710
11710600,11710
11710610,11710
11710620,11710
11710631,11710
11710632,11710
11710641,11710
11710642,11710
11710646,11710
11710647,11710
11710650,11710
11710670,11710
11710680,11710
11710690,11710
11710710,11710
11710720,11710
11740610,11710
11740640,11710
11740650,11710
11740660,11710
11740690,11710
11710510,11740
11710520,11740
11710566,11740
11740515,11740
11740520,11740
11740530,11740
11740540,11740
11740550,11740
11740560,11740
11740570,11740
11740580,11740
11740590,11740
11740600,11740
11740610,11740
11740620,11740
11740640,11740
11740650,11740
11740660,11740
11740685,11740
11740690,11740
11740700,11740
