코드,2018월매출,2019월매출,2020월매출
11545690,58452970,49305887,58883880
11545700,98887392,68520676,78260756
11545710,76507807,67849329,60983634
11545,70099910.29,54617774.13,60602667.6
11560515,62285094,46557359,35127721
11560535,53931990,56079076,38669992
11560540,80805968,54434939,68299530
11560550,72642598,68698635,69775567
11560560,66802973,61349572,60732872
11560585,54897711,41730195,50881304
11560605,88865044,77481785,72672073
11560610,55036596,44228417,42759448
11560620,29682852,24689572,20637324
11560630,55755560,45550303,50767325
11560650,49757752,35364429,39736776
11560660,73570577,82076073,29272258
11560670,23904630,14644316,13008608
11560680,104000000,88171837,87800400
11560690,52407517,35705927,16583059
11560700,59051022,49413621,54484426
11560710,77244429,48414919,42385820
11560720,93676970,68132912,66999324
11560,66856741.66,54620355.95,53298515.83
11590510,69664467,55422041,49794444
11590520,59273848,57553088,57756581
11590530,85563504,76731905,64633821
11590540,45364900,40798454,44517034
11590550,49104746,41763163,55590963
11590560,45993057,43940557,35198602
11590605,75952356,50732573,44520289
11590620,55843880,53045285,48477888
11590630,41502331,18857144,56987626
11590640,39112200,27751957,37268264
11590650,39239063,37361375,51740000
11590651,56112305,69443463,43827968
11590660,54508653,40413518,39322820
11590670,65767452,41607918,31185359
11590680,66951518,69217908,63583977
11590,61134961.71,51144008.86,50688175.89
11620525,41224993,24395868,30572162
11620545,109000000,90845370,86117462
11620565,69902591,65243423,51278251
11620575,50959433,37166411,41533690
11620585,69252094,47211382,43513680
11620595,54935888,51006535,69142206
11620605,61942120,57479477,47855696
11620615,70954996,66967525,54300538
11620625,66230322,40883169,57539901
11620630,76561075,61293599,82018568
11620645,95251328,64880734,58465310
11620655,77780158,78108635,77052526
11620665,60213807,50271031,50000725
11620685,60928554,68248630,66507254
11620695,76886596,84535644,84735578
11620715,72696272,68644786,92881054
11620725,50428307,43485780,37691820
11620735,44896461,29604459,30671155
11620745,60162095,43582362,25540177
11620765,45006796,29408192,37691918
11620775,39418135,27230137,32854041
11620,61971668.07,51066065.8,53283474.06
11650510,72176627,60032255,53748768
11650520,85166789,68593992,78589052
11650530,65642910,61227717,57094747
11650531,96330336,1.06E+08,81152718
11650540,84470324,90478832,1.03E+08
11650550,35341248,22060329,40347565
11650560,72505271,59607436,64282744
11650570,125000000,38556660,89230406
11650580,24696334,25140160,17381379
11650581,175000000,2.80E+08,61724316
11650590,37903682,38856373,30262889
11650600,78185832,57299614,50703861
11650610,40369486,23814036,27118370
11650620,71590642,51991201,50678969
11650621,52920947,44316465,42047511
11650651,61421578,58479916,57741770
11650652,49656431,49328578,63535584
11650660,24869447,19506004,34596868
11650,74245042.41,75306604.22,59311081.14
11680510,63490563,54623856,60364935
11680521,80451883,77653987,79161470
11680531,66614871,59048123,68456754
11680545,36710837,32004295,32595676
11680565,78701016,65379803,71814794
11680580,77699116,70158173,44675155
11680590,79898284,61267138,67255870
11680600,45025997,40659295,49210076
11680610,55891642,42853404,53626165
11680630,70854879,65255135,62714421
11680640,82172086,66624506,75839843
11680650,80665610,78340835,79132273
11680655,70970328,58673309,61823820
11680656,52267047,38399238,34718995
11680660,0,0,42212118
11680670,31478843,22336448,27168028
11680690,47358255,33291550,48950366
11680700,50424661,23094627,28306253
11680720,320000000,2.50E+08,1.86E+08
11680730,98481903,62769486,86462159
11680740,77839841,62103062,43140898
11680750,116000000,97188214,86926004
11680,73582825.59,61730656.26,65021415.82
11710510,51980027,56826598,50751348
11710520,79850836,69056777,60724736
11710531,31661813,25314958,30966208
11710532,41565403,42475238,40935078
11710540,47899515,34498090,34949486
11710550,61346960,40603952,45013046
11710561,49691742,45251346,48958526
11710562,95377128,80389375,81609189
11710566,57351282,57436896,35959901
11710570,34235185,23423344,21827733
11710580,54375491,52780885,50722599
11710590,36501706,36294310,31916542
11710600,46560369,43040427,44254302
11710610,55322866,52432216,52684802
11710620,64876164,53983828,55154976
11710631,274000000,1.84E+08,1.38E+08
11710632,50846676,49211057,46345556
11710641,62381164,75540988,84171931
11710642,55685046,37666415,50628421
11710646,32461182,27723276,30816677
11710647,37598937,14681029,11478377
11710650,73602864,56952574,67297312
11710670,116000000,1.11E+08,64293564
11710680,23547860,20792533,68742781
11710690,82171476,47024290,28155010
11710710,57383964,55584780,34620199
11710720,203000000,80829767,0
11710,60325422.94,50871009.97,51191944.59
11740515,39822235,12591717,12238116
11740520,39206665,44173407,30790351
11740530,62627353,57476246,81473046
11740540,35802597,29002557,27915027
11740550,38497159,43661778,44457299
11740560,58020890,41491029,23933742
11740570,49705019,40598638,45042372
11740580,45905884,43316667,41761763
11740590,101000000,75578443,74244264
11740600,40378473,36530692,31019632
11740610,52537860,44631042,44942307
11740620,51282602,33548246,42010396
11740640,42181131,32657224,42903500
11740650,75887299,62775537,62013040
11740660,53451279,50129366,48987217
11740685,50669299,43496128,52442468
11740690,0,0,0
11740700,50568142,44515671,47691830
11740,50700242.44,41943245.11,44230200.88
11,65415602.42,53015248.11,51598172.78
