자치구,행정동,1인세대,2인세대,3인세대,4인세대,5인세대
강남구,청담동,4302,2334,2394,2333,566
강남구,대치2동,2450,2096,3252,4629,913
강남구,개포2동,1146,863,1104,1487,278
송파구,계,88247,54441,54376,55211,12419
송파구,풍납1동,2526,1617,1312,1108,230
송파구,풍납2동,3692,1979,2127,2022,411
송파구,거여1동,1679,1151,1063,1044,280
송파구,거여2동,2394,1734,1448,1293,281
송파구,마천1동,3549,2057,1624,1487,462
송파구,마천2동,2975,2023,1640,1430,368
송파구,방이1동,1677,1188,1315,1501,350
송파구,방이2동,6279,2465,1882,1437,352
송파구,오륜동,646,1025,1575,2175,484
송파구,오금동,3953,3247,3443,3374,783
송파구,송파1동,5417,2567,2018,1624,406
송파구,송파2동,1438,1448,1757,2038,490
송파구,석촌동,7744,3408,2592,2041,482
송파구,삼전동,7831,3200,2518,2057,462
송파구,가락본동,4112,2321,2282,2225,512
송파구,가락1동,133,57,61,81,21
송파구,가락2동,2711,2362,2923,3347,693
송파구,문정1동,2590,1780,1766,1775,418
송파구,문정2동,7875,2750,1959,1857,419
송파구,장지동,3565,3075,3007,2839,707
송파구,위례동,1065,1687,2332,2965,831
송파구,잠실본동,7233,2818,2106,1770,396
송파구,잠실4동,1757,2118,2871,2942,570
송파구,잠실6동,959,1282,1537,1645,370
송파구,잠실7동,491,793,881,1035,222
송파구,잠실2동,1888,1807,3085,4376,715
송파구,잠실3동,2068,2482,3252,3723,704
강동구,계,60501,37596,35039,33947,8194
강동구,강일동,2156,2433,2220,2986,1155
강동구,상일동,1137,884,917,959,209
강동구,명일1동,1992,1599,1939,2066,449
강동구,명일2동,982,1013,1314,2036,442
강동구,고덕1동,1524,1667,2236,2908,627
강동구,고덕2동,1507,793,608,479,129
강동구,암사2동,1783,1290,1275,1242,237
강동구,암사3동,1018,1239,1628,1855,420
강동구,천호1동,5018,2917,2478,1920,477
강동구,천호3동,6134,2855,2194,1666,401
강동구,성내1동,2276,1812,1821,1735,405
강동구,성내2동,5791,2728,1966,1435,338
강동구,성내3동,3670,2161,2027,1834,410
강동구,둔촌1동,140,24,14,16,5
강동구,둔촌2동,3327,2298,2374,2467,539
강동구,암사1동,6079,3617,3140,2718,589
강동구,천호2동,8182,3796,2842,2115,452
강동구,길동,7785,4470,4046,3510,910
