이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
면목7동,11260570,87874,1294,1488,3252,3429,3405,4154,3089,1697,581,4147,2284,1791,1444,17,0,75762724
면목3.8동,11260575,87998,1435,1926,4101,4073,4280,5052,3665,2131,678,5408,2830,2190,1665,20,1,59249315
상봉1동,11260580,92636,2053,2372,3871,3890,4019,4591,2846,1519,552,2942,2256,2206,2157,15,0,37499442
상봉2동,11260590,103275,919,1021,3278,3806,2792,3201,2240,1249,376,5361,2020,1327,963,35,2,79346012
중화1동,11260600,62236,1548,1522,3202,3520,2945,3726,2668,1365,454,2970,2071,1762,1505,18,1,21751974
중화2동,11260610,89193,1317,1731,4075,4339,4358,5839,3982,2273,700,7059,3109,2127,1501,15,1,95204660
묵1동,11260620,105330,2857,3361,5011,5805,6106,5708,4177,2360,790,4468,3127,3075,2866,23,1,50932611
묵2동,11260630,110387,1358,1444,3051,3454,3188,3421,2641,1423,411,3658,2096,1708,1276,13,0,41653836
망우본동,11260655,87497,1874,2289,4558,4666,4777,6151,4493,2343,798,6336,3116,2558,2027,31,2,67943131
망우3동,11260660,67218,1056,1499,2611,2615,2856,3503,2458,1358,470,3544,1967,1494,1137,11,0,37268307
신내1동,11260680,92915,4237,3930,5404,5841,6406,6903,4673,2635,1013,3147,3143,3143,3647,20,0,43758370
신내2동,11260690,121844,1699,2142,2807,3463,3684,3788,2867,1491,632,2546,2181,2016,1776,9,1,73737065
성북동,11290525,139088,1007,1486,2872,2766,2988,2817,1890,1377,643,3572,1700,1218,1044,18,0,33522341
삼선동,11290555,110147,1565,2398,4881,4049,4537,4008,2819,1939,725,5939,2425,1900,1765,36,2,53740643
동선동,11290575,157886,748,1152,4603,2882,2286,1916,1429,1056,391,5441,1431,973,743,41,0,56742466
돈암1동,11290580,129046,1039,1657,2293,2268,2709,2802,2060,1193,466,1751,1484,1411,1320,7,0,26051017
돈암2동,11290590,105655,2447,3015,3008,3389,4905,3950,2386,1399,607,1502,1719,2149,2363,4,0,43410743
안암동,11290600,131905,608,1240,5854,2487,2081,2179,1419,1010,386,5404,1372,913,778,49,1,60155861
보문동,11290610,96817,1157,1158,3030,3066,2855,2699,1780,1068,421,3647,1595,1309,1148,19,1,45184213
정릉1동,11290620,107330,1494,1906,2586,2736,3378,2748,1993,1338,482,1999,1486,1581,1464,11,1,1.35E+08
정릉2동,11290630,115222,1807,2202,3196,3427,4016,3913,3084,1871,683,2893,2211,2057,1857,15,0,51955946
정릉3동,11290640,101198,865,1325,3834,2234,2301,2493,2123,1514,565,3663,1464,1169,923,13,0,89724124
정릉4동,11290650,91713,2104,2566,3435,3952,4794,4203,3334,2116,709,3546,2487,2381,2002,15,1,73582733
길음1동,11290660,111214,4786,4860,3487,5810,8374,4567,3124,2023,699,2555,2380,3193,3842,6,1,1.89E+08
길음2동,11290685,86189,907,1085,1586,1641,2065,1953,1496,856,311,1905,973,888,924,7,0,70482544
종암동,11290705,83610,3322,4201,7129,6122,7094,6384,4293,2868,1174,6038,3421,3295,3175,28,1,62165481
월곡1동,11290715,111180,2560,2857,3140,4020,5126,4257,3262,2054,661,3077,2343,2246,2348,16,0,45799094
월곡2동,11290725,101334,1479,1710,3520,3121,3228,3173,2483,1506,586,3606,1761,1550,1415,25,2,56801081
장위1동,11290760,59940,1155,1886,3057,2695,3451,3962,2797,1633,521,3186,2101,1688,1480,11,0,70864825
장위2동,11290770,75714,832,1373,2286,2060,2674,3182,2463,1644,541,2771,1746,1385,1056,11,1,52152471
장위3동,11290780,93534,894,1126,1478,1550,2043,2112,1518,920,300,1722,1038,912,909,5,0,76146306
석관동,11290810,79588,2109,2473,5094,4881,5280,5913,4578,2873,885,5702,3286,2766,2223,24,0,65595667
삼양동,11305534,83920,1783,2504,3627,3884,4494,5073,3726,2351,750,4783,2851,2324,1842,14,3,33872968
미아동,11305535,100387,1073,1648,3824,3366,3517,4033,3086,1924,640,5285,2401,1710,1301,32,1,48664661
송중동,11305545,124516,1616,2260,4349,4308,4771,5133,4109,2604,787,5377,2821,2290,1916,25,1,67839638
송천동,11305555,88510,1498,2106,4013,4006,4529,5573,4235,2708,898,6049,3052,2253,1815,27,0,46934575
삼각산동,11305575,120304,3669,4353,3438,4703,7105,4802,3047,1859,662,2524,2387,2753,3319,8,0,83953971
번1동,11305590,95096,918,1308,3386,3119,3268,3270,2422,1666,508,5141,2109,1451,1048,33,0,70418436
번2동,11305600,74150,940,1394,2320,2265,2822,3023,2510,1862,524,2483,2051,1532,1096,7,0,49983180
번3동,11305606,78193,1183,1697,2225,2251,3140,2953,2690,2343,572,2069,2088,1658,1312,8,0,81271045
수유1동,11305610,88510,1256,1642,3329,3150,3418,3893,2963,1901,649,4452,2246,1760,1307,19,1,64579913
수유2동,11305620,73407,1321,1743,3124,2985,3548,3938,3050,2052,779,3204,2389,1892,1525,18,1,50180127
수유3동,11305630,101505,1103,1361,4239,3889,3638,4164,3081,2013,675,6199,2549,1845,1249,33,1,74710866
우이동,11305645,68861,1390,1681,2855,2879,3408,3691,3060,2111,711,3407,2276,1856,1392,15,3,84864169
인수동,11305660,63163,2032,2539,4453,4511,5022,5685,4597,2996,1075,5247,3459,2738,2091,28,0,37846162
창1동,11320511,107254,1981,2571,3605,3977,4706,4392,3106,1894,728,3368,2470,2347,2156,15,1,82524399
창2동,11320512,80417,2340,2732,4562,4834,5144,5394,3631,2137,728,3514,2955,2741,2369,19,0,63040542
창3동,11320513,74091,1017,1277,1991,2038,2492,2682,1984,1291,432,2439,1622,1259,1005,11,0,31772557
창4동,11320514,218012,2154,3152,3929,3757,5043,5022,3013,1640,811,2615,2206,2349,2642,17,0,59789489
창5동,11320515,139074,1915,2341,3764,3912,4037,4636,3254,1698,683,2454,2234,2362,2182,18,1,89857658
도봉1동,11320521,69514,1167,1493,2945,2917,3325,4175,3641,2531,811,3917,2679,1830,1354,23,0,61962294
도봉2동,11320522,88623,1971,2076,3566,4117,4180,4898,4601,2632,969,3793,3021,2525,2029,13,2,31337536
쌍문1동,11320660,88584,1367,2075,3176,2799,3632,3809,2916,1946,606,2929,2191,1895,1547,18,0,58834495
쌍문2동,11320670,94776,1251,1754,2830,3003,3181,3492,2651,1590,641,2853,2121,1792,1366,14,0,57167541
쌍문3동,11320680,108029,1025,1211,2587,2648,2697,2896,2258,1562,471,2895,1798,1426,1142,16,0,45824107
쌍문4동,11320681,144198,1395,2286,2892,2535,3360,3660,2401,1107,506,1502,1476,1733,1944,10,0,75750321
방학1동,11320690,88058,1886,2628,4329,3876,4833,5626,4203,2368,757,4353,2899,2452,2167,24,1,98309480
방학2동,11320700,101506,1222,1883,2999,2743,3508,4029,3020,1827,632,3548,2317,1843,1411,12,0,88851541
방학3동,11320710,58673,2288,3215,3991,3603,4883,5334,3662,1687,870,1717,2211,2621,2735,9,0,73209271
