이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
청구동,11140645,103145,811,939,2077,2277,2058,2416,1913,1173,591,2478,1531,1164,904,6,0,77566455
신당5동,11140650,129345,634,600,1763,1856,1642,1951,1327,840,330,2643,1188,761,578,7,0,50151971
동화동,11140665,118512,791,882,1525,1414,1686,1998,1395,771,407,1155,973,902,834,10,0,49268261
황학동,11140670,143028,845,570,2386,3087,1968,2001,1573,895,339,3787,1498,898,579,13,0,66455474
중림동,11140680,136658,1085,779,1551,2414,2111,2060,1445,933,417,2513,1299,1035,778,14,0,35637841
후암동,11170510,110670,1065,1347,2666,2975,2894,3037,2265,1354,589,4104,1772,1367,970,19,0,44619103
용산2가동,11170520,104591,487,650,1923,2255,1683,1622,1512,935,451,2844,1196,744,479,20,1,16518912
남영동,11170530,120790,245,290,1077,1158,1232,1808,1373,706,281,4217,609,301,244,33,3,42827723
청파동,11170555,133706,751,1250,4474,3334,2882,3212,2403,1560,661,6570,2031,1215,888,27,0,42032788
원효로1동,11170560,100664,1470,912,2513,3879,2765,2288,1660,849,361,3791,1693,1260,954,19,0,53390330
원효로2동,11170570,107100,970,1308,1917,2131,2413,2363,1716,1048,539,2144,1304,1189,1035,15,0,55655841
효창동,11170580,135502,797,801,1630,1898,1598,1586,1032,644,331,1519,998,849,708,9,0,35912843
용문동,11170590,101189,808,884,1868,2080,1905,2024,1531,956,373,1985,1313,1037,809,8,1,21991442
한강로동,11170625,142638,1148,1067,2937,4004,2982,3285,2351,1371,614,5719,1857,1227,925,47,4,63867253
이촌1동,11170630,301294,3001,3075,3050,3944,5305,4614,3013,1884,1180,2213,2314,2672,2417,16,0,42450245
이촌2동,11170640,70071,575,523,1019,1539,1257,1423,1327,779,370,1318,1046,804,495,6,0,85694440
이태원1동,11170650,199088,364,412,1731,1806,1304,1311,1103,652,372,2237,740,446,300,26,1,59929899
이태원2동,11170660,127369,602,608,1639,2148,1736,1458,1236,881,422,2674,1038,653,432,13,0,76459724
한남동,11170685,135270,1475,1411,3134,4821,4004,3694,2873,1664,702,6164,2365,1443,985,26,2,64423436
서빙고동,11170690,62635,914,1630,1870,1684,2715,2364,1438,833,601,1739,1131,955,1069,9,1,45095689
보광동,11170700,111432,593,851,2747,2698,2450,2703,2029,1268,564,4167,1686,997,662,10,0,93185622
왕십리2동,11200520,113212,1260,1264,2654,3064,2752,2867,2098,1187,439,2933,1751,1415,1178,10,1,15302530
왕십리도선동,11200535,125761,2463,1673,4596,4954,4130,4563,2989,1631,685,4519,2553,2370,1940,28,0,44020071
마장동,11200540,127874,1271,1752,4751,3375,3217,3890,2959,1739,698,4941,2329,1729,1449,19,1,57043998
사근동,11200550,140472,445,947,5805,1787,1169,1319,946,759,286,5510,992,567,471,34,2,57207452
행당1동,11200560,141291,1032,1058,2501,2431,2252,2411,1692,983,390,2767,1410,1229,950,17,1,46659716
행당2동,11200570,129507,1896,2217,3063,3803,4237,3958,2708,1741,698,2409,2420,2205,1930,8,1,55512354
응봉동,11200580,139653,1212,1733,1787,2306,3006,2451,1690,1196,494,1624,1421,1442,1292,4,1,0
금호1가동,11200590,125042,1352,1111,1866,2866,2636,2404,2044,1102,481,2173,1667,1464,1072,9,1,14872903
금호2.3가동,11200615,126159,1784,1559,3060,4307,3855,3774,2974,1767,715,3673,2589,2102,1568,15,0,31498366
금호4가동,11200620,121639,1412,990,1590,2831,2660,2179,1794,1068,433,2208,1619,1435,951,7,1,14542557
옥수동,11200645,164465,2707,1714,3086,5318,4535,4009,3123,1743,735,3269,2839,2607,1811,13,1,1.75E+08
성수1가1동,11200650,120978,1080,1192,2641,3051,2513,3109,2089,929,380,3148,1672,1297,1186,23,0,41927823
성수1가2동,11200660,124653,824,979,2302,2637,2201,2197,1717,892,353,3032,1414,1095,844,30,2,43976311
성수2가1동,11200670,93779,929,964,2493,2784,2552,3404,2635,1252,470,4174,1823,1285,954,22,0,51330766
성수2가3동,11200690,108298,616,560,2127,2082,1568,1929,1500,843,340,3009,1093,770,660,56,1,63179364
송정동,11200720,82140,587,645,1826,1768,1696,2130,1608,757,297,2829,1173,799,587,8,0,41011283
용답동,11200790,125259,523,791,2356,1847,1944,2503,1680,1036,415,4202,1207,741,579,15,3,44994326
화양동,11215710,157380,455,922,11394,4660,2311,2266,1727,1044,396,13187,1977,747,565,60,1,60226005
군자동,11215730,110375,1022,1253,5580,4026,2727,3069,2382,1368,508,6307,2051,1351,977,30,0,35202797
중곡1동,11215740,86663,845,793,2797,3076,2304,2707,2084,1152,377,4105,1848,1162,808,15,0,83985705
중곡2동,11215750,90423,1287,1454,4012,4088,3118,3717,2764,1483,488,4705,2472,1711,1320,27,0,35672981
중곡3동,11215760,94090,807,1044,2731,2819,2457,3068,2371,1301,453,4148,1942,1284,886,17,1,69082665
중곡4동,11215770,108720,1656,2087,4602,4678,4399,5477,4272,2282,737,4991,3177,2578,1936,20,0,34920187
능동,11215780,134995,627,566,2516,2802,1666,1518,1261,744,293,3691,1324,745,517,21,3,33783080
광장동,11215810,140039,3458,5617,4161,4098,7839,5364,2962,1481,803,2249,1972,3031,3923,20,1,51579789
자양1동,11215820,121920,1137,1560,4475,4029,3627,3991,2868,1535,562,5895,2441,1640,1298,22,0,72106884
자양2동,11215830,85428,1780,1987,3983,4213,4249,4456,3574,1672,588,4089,2620,2161,1878,20,1,44863911
자양3동,11215840,124891,2442,2669,4073,4485,4711,4745,3532,1602,820,2965,2509,2442,2561,28,1,68310189
자양4동,11215847,148193,938,1008,3682,3289,3166,4552,3401,1662,604,5088,2047,1317,893,30,0,1.02E+08
구의1동,11215850,108732,977,1266,4938,4475,3344,3473,2462,1438,557,6709,2419,1533,1096,28,0,51413319
구의2동,11215860,118544,1936,2476,3818,4092,4558,4584,3424,1911,703,4232,2619,2277,1936,18,0,56957760
구의3동,11215870,134399,1973,2603,4847,4801,4706,4937,3435,1673,709,4173,2608,2456,2342,32,1,53026409
용신동,11230536,103155,1397,1508,6457,5529,4448,5017,4124,2591,1120,10992,3174,1927,1387,51,2,61628909
제기동,11230545,137237,1115,1536,5792,3594,3276,4004,3919,2601,1124,7121,2656,1680,1262,30,1,43903531
전농1동,11230560,98157,1971,2039,4850,4559,4516,5072,4193,2551,1082,7485,3037,2378,1738,29,0,34583604
전농2동,11230570,122622,1314,1810,2599,2463,3148,3324,2670,1622,713,2278,1844,1701,1447,16,0,38319238
답십리1동,11230600,129713,2808,2029,4145,5546,4735,4409,3209,1869,760,5020,2706,2425,2036,33,0,34899171
답십리2동,11230610,98418,1903,2123,4092,4595,4536,5115,4146,2498,957,4658,3211,2465,2068,16,0,46352297
장안1동,11230650,97830,2667,2686,5356,6571,6532,6223,5369,2837,907,7722,3943,3113,2442,54,0,62552819
장안2동,11230660,114050,3018,2903,3998,5370,5870,5067,4205,2255,735,4778,3092,2890,2444,38,0,56861347
청량리동,11230705,88812,910,1224,2635,2566,2816,3892,3862,2494,1010,5089,2358,1522,1139,17,1,46437015
회기동,11230710,135466,482,815,5076,1609,1376,1239,973,703,336,4089,907,576,473,23,0,62387884
휘경1동,11230720,156739,812,895,4493,2324,1793,2067,1550,1002,413,3867,1276,944,780,18,1,39397407
휘경2동,11230730,108469,1348,2179,5661,3162,3634,3604,2947,1811,666,5716,2137,1806,1613,17,0,49230496
이문1동,11230740,141471,771,1476,6770,2514,2639,2703,2222,1526,674,6452,1713,1090,958,31,1,58004847
이문2동,11230750,86038,1370,1924,3092,2678,3345,3494,2726,1810,682,2999,1930,1667,1548,13,1,26836862
면목2동,11260520,89245,1389,1701,3520,3551,3914,5077,3614,2048,731,5696,2796,1893,1508,22,0,25457421
면목4동,11260540,71150,1150,1268,2575,2870,3074,3396,2873,1802,497,3919,2142,1598,1117,14,1,31184826
면목5동,11260550,71432,527,653,1272,1452,1463,1821,1403,794,258,1918,1088,791,569,7,0,18293788
면목본동,11260565,95040,1811,2140,5516,5699,5354,6619,4888,2811,948,8595,4046,2668,1920,30,1,63451141
면목7동,11260570,116040,1279,1331,3165,3579,3281,4062,3474,1901,654,4454,2569,1798,1379,18,0,92266590
면목3.8동,11260575,95767,1273,1626,3977,3871,3740,4805,3973,2298,816,5830,2994,2098,1478,20,1,41177967
상봉1동,11260580,96036,1953,2052,3702,3771,3680,4548,3241,1620,643,3244,2436,2219,1993,14,0,28418951
상봉2동,11260590,109255,836,878,3990,4156,2660,3209,2439,1342,446,6777,2258,1315,829,36,2,62500896
중화1동,11260600,79493,1349,1405,3015,3362,2907,3500,3019,1508,558,3343,2255,1768,1344,18,1,16273713
중화2동,11260610,103687,1154,1290,3963,3888,3753,5263,4119,2279,850,7372,3143,1896,1205,20,1,48189386
묵1동,11260620,119657,2560,3227,4996,5194,6011,5649,4586,2552,968,5009,3364,3051,2616,22,1,25849817
묵2동,11260630,84731,1177,1277,2856,3206,2984,3243,2935,1524,512,3998,2169,1627,1103,17,0,30059129
망우본동,11260655,84079,1554,1956,4303,4191,4250,5913,4959,2595,971,6986,3260,2342,1764,31,2,61550340
망우3동,11260660,68510,909,1265,2483,2333,2547,3424,2707,1465,541,3771,2032,1417,965,12,0,39763348
신내1동,11260680,99522,3611,3859,5098,5445,6154,6740,5429,2838,1206,3597,3508,3142,3334,20,0,28496496
신내2동,11260690,128149,1456,1805,2685,3040,3323,3646,3193,1629,735,2887,2317,1965,1518,10,1,40604686
성북동,11290525,139800,859,1299,2855,2665,2726,2830,2058,1417,670,3887,1779,1222,930,17,0,43178677
삼선동,11290555,116038,1238,2054,4627,3518,3861,3770,2683,1874,803,5852,2324,1639,1517,32,2,47024499
동선동,11290575,171469,594,1061,4959,2632,2104,1916,1486,1098,450,6046,1489,934,662,37,0,35996911
돈암1동,11290580,82975,876,1419,2158,2049,2300,2792,2154,1276,548,1782,1603,1342,1162,7,0,10356696
돈암2동,11290590,115874,2160,2880,3021,3144,4650,4053,2654,1475,668,1694,1862,2209,2233,5,0,26368464
안암동,11290600,134392,512,1026,6180,2325,1827,2171,1510,1034,448,6217,1449,881,682,47,1,38566944
보문동,11290610,90104,1041,1039,2920,2813,2546,2651,1891,1087,446,3825,1613,1283,964,17,1,29779052
정릉1동,11290620,99725,1511,1863,2537,2795,3369,2900,2186,1414,595,2249,1655,1707,1456,15,1,45237688
정릉2동,11290630,91397,1565,1950,3329,3198,3701,3789,3297,1993,797,3087,2388,2023,1699,16,0,31189796
정릉3동,11290640,80501,712,1155,4140,2081,2077,2400,2171,1501,673,4216,1614,1043,817,15,0,44078084
정릉4동,11290650,107430,1824,2269,3485,3502,4324,4225,3528,2172,830,3778,2614,2185,1831,18,1,54811950
길음1동,11290660,164501,4173,4886,3507,5008,8051,4895,3234,2089,796,2554,2480,3187,3704,7,1,14791038
길음2동,11290685,140956,1515,1428,2217,2612,3018,2757,2082,1148,439,2405,1519,1481,1338,8,0,93767196
종암동,11290705,96620,2852,3870,6949,5537,6683,6417,4653,2938,1420,6612,3648,3179,2954,27,1,51000855
월곡1동,11290715,97281,2197,2664,3107,3692,4737,4331,3508,2145,804,3289,2512,2273,2126,13,0,36652924
월곡2동,11290725,105170,1212,1552,3828,2978,2977,3094,2631,1618,684,4421,1941,1469,1286,24,2,29238883
장위1동,11290760,61785,1008,1648,3064,2509,3004,3909,2971,1665,681,3522,2186,1638,1319,12,0,61364084
장위2동,11290770,79768,622,976,1979,1764,2071,2563,2193,1444,549,2724,1638,1153,793,8,1,63039538
장위3동,11290780,95326,1810,1503,2411,2975,2842,2853,2137,1160,387,2453,1607,1585,1409,8,0,24601997
석관동,11290810,94920,2114,2384,5708,5240,5373,6167,5212,3226,1166,6783,3963,3008,2172,23,0,52163454
삼양동,11305534,84721,1393,2059,3236,3137,3875,4494,3749,2255,814,4625,2761,2017,1531,13,3,25767945
미아동,11305535,109104,886,1411,3966,3068,3215,3935,3315,2079,800,5981,2476,1655,1128,32,1,40868505
송중동,11305545,119842,1643,2160,4483,4359,4836,5351,4520,2801,969,5912,3228,2433,1889,28,1,47138367
송천동,11305555,90665,1203,1739,3849,3468,4132,5257,4560,2869,1061,6385,3280,2110,1584,23,0,40836763
삼각산동,11305575,127057,3140,4080,3459,4003,6749,4960,3269,1995,770,2623,2535,2775,3061,9,0,41722055
번1동,11305590,95557,770,1160,3509,2989,3030,3217,2567,1757,598,5640,2219,1413,899,30,0,62346889
번2동,11305600,70717,762,1151,2182,1949,2560,2888,2663,1972,667,2881,2103,1435,919,7,0,41826748
번3동,11305606,97154,1030,1398,2052,1846,2765,2848,2671,2510,708,2392,2194,1504,1161,11,0,54220023
수유1동,11305610,99017,1101,1388,3161,2899,3097,3752,3267,2008,803,4810,2373,1653,1167,23,1,46676774
수유2동,11305620,80314,1130,1482,3118,2580,3205,3844,3224,2164,924,3591,2537,1787,1302,17,1,50379957
수유3동,11305630,121017,899,1178,4417,3586,3389,4141,3361,2174,800,7165,2633,1752,1086,35,1,55166706
우이동,11305645,80774,1156,1441,2710,2693,3110,3626,3236,2171,904,3674,2492,1715,1248,17,3,34403649
인수동,11305660,65162,1721,2230,4217,4103,4632,5579,4935,3231,1304,5800,3725,2704,1793,27,0,30766683
창1동,11320511,100710,1633,2268,3442,3556,4267,4264,3453,1992,852,3692,2671,2232,1875,15,1,93716003
창2동,11320512,90065,1958,2372,4229,4394,4723,5253,4039,2285,916,3860,3171,2650,2108,22,0,52561478
창3동,11320513,79993,849,1114,1902,1787,2215,2689,2084,1370,514,2681,1663,1177,886,14,0,24032017
창4동,11320514,173094,1865,2724,3863,3506,4535,4980,3398,1739,875,2912,2437,2368,2338,18,0,44288387
창5동,11320515,132260,1603,2056,3760,3654,3683,4508,3569,1762,786,2912,2431,2255,2013,19,1,60776532
도봉1동,11320521,90325,923,1265,2711,2487,3060,3873,3870,2663,984,4316,2704,1758,1180,22,0,70912623
도봉2동,11320522,101683,1718,1804,3502,3793,3940,4615,4872,2825,1117,4134,3130,2502,1813,14,2,19615930
쌍문1동,11320660,70214,1259,1703,3212,2710,3357,3746,3262,2054,795,3239,2383,1886,1429,18,0,48306808
쌍문2동,11320670,94134,1115,1479,2668,2743,2884,3372,3007,1655,721,3133,2225,1698,1225,13,0,53082060
쌍문3동,11320680,121258,872,1050,2626,2463,2511,2884,2431,1618,579,3265,1928,1397,1018,14,0,25366072
쌍문4동,11320681,114171,1296,2095,2624,2419,3096,3500,2713,1178,548,1567,1656,1724,1794,11,0,56803029
방학1동,11320690,103418,1631,2307,4122,3529,4362,5550,4546,2585,890,4727,3024,2363,1992,25,1,88534446
방학2동,11320700,85839,1031,1523,2817,2377,3083,3900,3311,1933,731,3874,2386,1745,1182,16,0,54067449
방학3동,11320710,85367,2061,2827,3514,3317,4358,4973,4273,1883,956,1828,2493,2523,2499,11,0,50847544
월계1동,11350560,138209,1315,1830,4294,2962,3554,3681,3136,1980,712,4557,2239,1758,1574,33,2,34068342
월계2동,11350570,88552,1867,2263,3326,3481,4453,4659,4378,2459,977,4153,3155,2366,1867,18,0,18417152
월계3동,11350580,190722,2400,2248,3694,4872,4777,4911,4514,2597,1059,3955,3556,2834,2076,10,1,16012427
공릉1동,11350595,111611,2256,2877,7148,5649,5615,5942,5362,2699,1014,8430,3719,2930,2434,45,2,35403216
공릉2동,11350600,120824,3015,4655,7023,5407,6794,6130,4318,2237,916,5708,3177,3270,3384,38,1,29400680
하계1동,11350611,100393,1257,3382,5235,2850,4404,5012,3456,1821,905,4345,2398,2140,2304,20,0,47424127
하계2동,11350612,174586,1601,2895,3205,2635,4178,4002,2431,1344,674,1719,1802,1983,2262,5,1,0
중계본동,11350619,128484,1653,4519,3377,2002,5236,4632,2275,1118,539,1993,1415,1930,2665,15,0,57789384
중계1동,11350621,228056,2033,5833,3039,2088,6756,4479,1998,983,482,1423,1370,2397,3274,13,0,36937802
중계4동,11350624,152226,1228,2419,2654,2056,3638,3651,2613,1881,744,2610,1999,1665,1706,12,0,41389371
중계2.3동,11350625,176838,2237,3341,4441,4474,6101,5743,4794,3296,1495,5053,4088,3053,2604,10,1,94748961
상계1동,11350630,124155,2512,3448,5496,5084,5883,7158,5817,2889,1218,4477,3766,3343,3081,25,1,57404346
상계2동,11350640,151049,1052,1963,3381,2437,3259,4013,2798,1439,556,3219,1750,1634,1689,31,1,86706050
상계3.4동,11350665,90160,1493,2186,3300,3070,4119,4922,4256,2781,1164,4679,3025,2207,1726,17,1,30968757
상계5동,11350670,102078,1185,2150,3491,2765,3829,4588,3622,2303,924,4001,2665,2103,1663,17,1,27928994
상계6.7동,11350695,198330,2681,3163,4759,5060,5783,5663,3889,1983,985,4272,3351,3000,2703,28,0,55689127
상계8동,11350700,163237,2599,2191,2731,4910,4020,3062,2214,1167,529,2437,2285,2279,1915,5,1,30533888
상계9동,11350710,204162,1524,2248,2753,2927,3680,3644,2731,1360,647,2118,2202,2027,1739,9,0,14280563
상계10동,11350720,188675,1033,1435,2418,2532,2593,2919,2050,885,461,1796,1768,1487,1316,5,0,9079070
녹번동,11380510,104302,2624,2451,5150,6305,5923,6058,5028,3186,1219,6858,4228,3196,2289,31,2,44548866
불광1동,11380520,128478,2532,2778,5505,5660,6288,6853,5511,3535,1533,6772,4422,3463,2563,14,1,31842571
불광2동,11380530,144442,1250,1920,4388,4041,4167,5076,4304,2755,1026,6145,3341,2323,1567,29,1,49211422
갈현1동,11380551,109995,1064,1731,3844,3269,3552,4101,3436,2144,691,4815,2693,1933,1388,20,0,51703900
갈현2동,11380552,111055,1734,2625,4468,4154,4855,4926,3664,2269,881,4410,3070,2554,1992,33,0,39718673
구산동,11380560,103211,1974,2924,4520,4310,5306,5750,4584,2771,1108,4341,3205,2769,2259,23,1,47561115
대조동,11380570,123595,1272,1764,4821,4370,4261,4263,3535,2368,954,7179,3052,2041,1401,36,1,49000191
응암1동,11380580,114290,2053,2552,3782,4582,4917,4267,3318,2087,820,5234,2921,2240,1845,25,0,65676956
응암2동,11380590,94917,3253,2309,2796,5200,5184,3594,2823,1690,660,3013,2602,2548,2075,6,0,7373322
응암3동,11380600,109235,1065,1726,3723,3509,3768,4375,3749,2636,1101,6049,2928,1934,1371,34,0,74216029
역촌동,11380625,96218,2985,3679,6665,7113,7815,7761,6219,3836,1445,7702,5018,4014,3084,42,0,53787856
신사1동,11380631,93252,1714,2182,4045,4256,4334,4599,3801,2257,840,3903,2958,2403,1951,19,1,56673734
신사2동,11380632,84341,1191,1769,3040,2918,3321,3589,3105,1676,676,3203,2204,1750,1481,10,1,49395933
증산동,11380640,104629,794,1284,2147,2118,2333,2691,2400,1446,526,2537,1736,1230,1057,12,1,66736636
수색동,11380650,80087,458,561,1189,1190,1139,1601,1418,781,337,1385,899,715,580,1,1,0
진관동,11380690,124679,5031,7460,7211,7245,10994,8398,6134,3420,1444,6238,4226,4275,4956,39,1,20300684
천연동,11410520,133552,1353,1564,2370,2550,2963,3085,2185,1485,773,3314,1768,1502,1232,14,0,23695560
북아현동,11410555,134726,1510,1149,2547,3061,2825,2888,1814,1050,444,2860,1709,1517,1170,8,0,26678364
충현동,11410565,114423,782,1214,3243,2683,2626,3079,2431,1399,677,4851,1777,1209,1019,32,2,59060668
신촌동,11410585,187060,836,1125,10344,3713,2142,2074,1425,1022,480,9797,1506,797,583,85,2,44665684
연희동,11410615,94928,1883,2875,8916,6337,5815,5775,4437,3056,1399,10416,3737,2556,2077,41,0,59309545
홍제1동,11410620,156304,1640,1994,3212,3586,3896,4157,3260,2027,899,3586,2468,2074,1735,18,0,34566448
홍제3동,11410640,120613,799,1178,2217,2047,2290,2777,2328,1610,799,2723,1689,1309,1050,13,1,44689870
홍제2동,11410655,115926,868,1146,1916,1972,2155,2627,1937,1265,547,1821,1429,1263,1076,6,1,50828632
홍은1동,11410660,85653,1487,1858,3058,2991,3461,4095,3221,2001,933,3217,2275,1880,1683,12,0,14887698
홍은2동,11410685,100239,1422,2309,4525,3687,4204,4680,3705,2236,1047,4919,2851,2172,1767,23,0,34528665
남가좌1동,11410690,133985,2212,1472,1703,2626,3113,2205,1576,973,425,1425,1182,1483,1448,9,1,8602820
남가좌2동,11410700,117254,2731,2510,4768,4722,4985,4459,3272,2174,934,5004,2866,2503,2145,23,0,29745752
북가좌1동,11410710,111765,1499,1975,2214,2565,3366,3019,2168,1364,549,1620,1699,1618,1586,11,0,43071419
북가좌2동,11410720,100277,1783,2561,5001,4550,5203,5576,4561,2940,1109,5645,3589,2692,2140,31,0,73624124
아현동,11440555,159789,2716,1625,3160,5325,4083,3818,2614,1249,640,3211,2294,2424,1907,25,1,33754418
공덕동,11440565,98573,2400,2522,6773,6828,5970,6840,4530,2732,1247,8931,4030,3031,2458,28,1,29574652
도화동,11440585,151398,1560,1680,3116,3749,3370,3589,2679,1581,834,3644,2058,1789,1600,24,0,46339504
용강동,11440590,163062,2353,2000,2365,3933,4480,3013,2138,1295,627,3250,1958,1900,1629,28,1,43825046
대흥동,11440600,160796,686,972,4365,2516,2170,2111,1470,925,431,5153,1360,831,697,40,3,54872766
염리동,11440610,156230,963,1157,2301,2140,2232,1846,1193,847,375,2441,1200,962,830,9,1,49188461
신수동,11440630,112775,1734,1979,3771,3942,4016,3588,2430,1551,660,3923,2192,1958,1693,17,0,64053203
서강동,11440655,150010,1968,1835,5209,4381,4178,3711,2382,1427,660,5287,2222,1987,1749,34,2,58523844
서교동,11440660,167382,902,1368,6803,5471,3844,3158,2277,1564,733,9547,2466,1447,1030,125,2,51572967
합정동,11440680,136834,1233,1016,3727,3918,2733,2432,1937,1232,524,5232,2084,1248,862,29,1,63423430
망원1동,11440690,146018,1158,1365,3609,4119,3358,3078,2431,1618,621,5114,2457,1462,1197,26,0,54643402
망원2동,11440700,114986,1263,1663,2886,3058,3373,2837,2170,1455,523,3231,2040,1440,1399,18,0,58957043
연남동,11440710,134783,703,883,3568,3377,2538,2159,1818,1152,520,5144,1696,1020,700,25,0,55341606
성산1동,11440720,109252,1055,1517,3298,3585,3510,2882,2177,1358,526,4376,2070,1454,1154,28,0,47339793
성산2동,11440730,123196,2719,3599,6945,6984,6821,5801,4185,2905,1121,8317,3990,3164,2783,36,2,49690152
상암동,11440740,182696,2805,4344,4375,4243,6475,4531,2970,1759,786,4355,2541,2451,2580,51,1,60116673
목1동,11470510,167303,3080,5157,3536,3584,7071,4991,2804,1310,467,1606,1819,2962,3392,35,2,62554291
목2동,11470520,123602,1827,2651,5162,5503,4726,5086,3770,1667,666,4806,2978,2532,2236,27,1,33981282
목3동,11470530,129992,1454,1564,3672,4148,3333,3778,2966,1337,575,3731,2421,1972,1510,17,1,70285238
목4동,11470540,109560,1502,3492,4253,2997,4746,4897,2607,1437,524,3017,1929,2108,2421,19,0,31072473
목5동,11470550,225344,3529,7643,4685,4165,9391,6733,3939,1673,713,1670,2141,3725,5031,19,0,73467752
신월1동,11470560,83042,1106,1383,2739,2866,3273,4090,3529,1820,548,4445,2400,1742,1173,14,0,65513343
신월2동,11470570,85564,1557,1816,2708,3129,3424,3436,3294,1677,545,2443,2057,1855,1583,9,0,40564792
신월3동,11470580,83498,972,1187,2142,2163,2372,3116,2541,1331,460,4020,1815,1177,821,12,0,55192541
신월4동,11470590,84868,1576,1680,2186,2633,3076,2905,2696,1353,491,1583,1662,1656,1533,16,0,47269290
신월5동,11470600,82168,1050,1357,2163,2230,2388,2654,2078,1058,363,2227,1548,1269,1064,19,0,30514481
신월6동,11470610,86665,1301,1138,1467,2317,1981,1852,1491,690,207,1115,1156,1123,1058,10,0,23822591
신월7동,11470611,89006,1163,1458,2743,2764,3071,3724,3429,1827,761,3133,2637,1799,1307,16,1,33731568
신정1동,11470620,110205,1867,3098,2542,2179,4175,3579,2145,1101,437,1410,1263,1682,2301,10,0,69075696
신정2동,11470630,104776,1363,2985,2768,1934,3917,3688,2189,1084,468,1576,1305,1561,2152,13,0,32513120
신정3동,11470640,142228,3651,5393,6063,6009,8365,7993,5679,3034,1115,4637,4194,3872,3943,19,1,32659935
신정4동,11470650,106319,1892,2374,5450,5524,5455,5706,4818,2637,822,6991,3627,2709,2057,42,1,43320807
신정6동,11470670,204418,2142,3696,3251,2910,4775,4382,2564,964,432,1057,1506,2290,2758,12,0,28457197
신정7동,11470680,138659,2067,3496,3801,3403,5311,5341,3911,1988,900,3001,2630,2609,2723,9,0,68970693
염창동,11500510,103649,4280,4579,5591,7448,7747,6045,4066,1721,683,3931,3185,3802,3964,30,1,39713576
등촌1동,11500520,124093,1377,1428,4667,5781,3343,3073,2207,1116,639,6777,2379,1642,1323,36,1,65938426
등촌2동,11500530,86348,1429,1681,3380,3660,3144,3577,2864,1314,445,2769,2075,1825,1582,9,0,37957485
