CD,林芭牢备,流厘牢备
11740560,6516.372457,1272.89202
11740570,51773.18565,3366.541796
11740580,7441.586501000001,1292.169941
11740590,25743.84105,1628.047478
11740600,30858.13155,2855.604559
11740610,30617.84358,6544.160477
11740620,38401.94925,5887.716217
11740640,18081.69954,17010.556819999998
11740650,26991.70071,4017.0052130000004
11740660,26236.81993,6516.348818
11740685,66565.30437,14206.1099
11740690,134.31989130000002,330.1603435
11740700,17517.48899,4157.610454
