이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
이문1동,11230740,113825,911,1798,7134,2852,2898,2928,2303,1605,653,101,6397,1817,1160,1069,33,1,4206.630249,26407.64576,6.1,74197673
이문2동,11230750,197056,1469,2000,2998,2777,3521,3495,2667,1727,638,78,2724,1902,1662,1628,12,1,1664.55254,21278.61229,8.3,41790215
면목2동,11260520,74210,1548,1906,3580,3810,4164,5125,3438,1924,668,88,5379,2722,2014,1603,21,0,1690.647095,25645.57412,4.8,19660466
면목4동,11260540,67706,1271,1417,2791,3136,3218,3477,2767,1754,457,72,3942,2148,1648,1241,11,1,2026.324947,27399.55371,0,41296743
면목5동,11260550,72565,592,719,1327,1527,1540,1880,1363,774,248,30,1888,1093,811,616,6,0,1381.249831,10728.7526,16.7,33883656
면목본동,11260565,93715,1955,2313,5579,5995,5546,6739,4637,2665,856,97,8270,3930,2820,2016,30,1,2336.041839,42818.62602,0,61806498
면목7동,11260570,126737,1263,1343,3128,3272,3258,4069,3233,1779,621,75,4244,2303,1784,1352,17,0,994.6196996,15890.76768,0,74791589
면목3.8동,11260575,93461,1351,1799,4048,3968,3908,4950,3794,2237,704,98,5529,2895,2139,1560,21,1,4038.942837,27222.97853,0,44745322
상봉1동,11260580,114677,1995,2233,3804,3875,3794,4620,3034,1568,585,74,3029,2313,2225,2081,17,0,2257.540125,24598.476,0,24446068
상봉2동,11260590,91664,894,963,3635,3928,2748,3217,2341,1272,426,58,6002,2160,1309,879,37,2,5735.192134,19283.78384,0,64119884
중화1동,11260600,61484,1443,1491,3147,3481,2962,3650,2831,1401,505,67,3173,2192,1796,1392,20,1,1670.095683,22808.27798,0,11536094
중화2동,11260610,114209,1272,1527,4168,4260,4036,5792,4122,2345,783,103,7290,3200,2080,1404,15,1,1607.13951,28568.30786,0,46066636
묵1동,11260620,100885,2728,3274,4942,5550,6069,5737,4333,2490,873,104,4638,3281,3051,2736,22,1,3043.58435,36928.2831,4.5,27959874
묵2동,11260630,74118,1273,1370,2892,3449,3006,3365,2781,1472,459,62,3852,2081,1670,1210,14,0,2283.707598,20363.48707,7.1,32780086
망우본동,11260655,102718,1696,2134,4398,4462,4532,6121,4700,2455,881,138,6634,3224,2439,1891,29,2,3539.649629,29136.77721,0,62864446
망우3동,11260660,66933,999,1352,2578,2481,2657,3504,2565,1440,504,77,3681,1981,1467,1045,11,0,1294.66884,18513.25269,0,41509426
신내1동,11260680,90579,3956,3888,5298,5636,6254,6857,5028,2754,1117,203,3394,3279,3176,3504,22,0,4573.249427,43341.42079,0,29027705
신내2동,11260690,168207,1633,1984,2730,3270,3515,3752,3000,1572,674,93,2732,2237,2009,1651,9,1,3963.126677,23570.17445,0,51781286
성북동,11290525,123956,939,1380,2897,2757,2815,2842,1954,1387,639,113,3692,1720,1207,979,15,0,21337.67534,12250.63213,0,44527758
삼선동,11290555,124730,1423,2289,4890,3969,4276,4129,2847,1926,805,109,6178,2501,1800,1668,36,2,5596.596433,28470.38986,2.8,38182336
동선동,11290575,140172,653,1142,4775,2719,2168,1893,1435,1085,410,72,5686,1464,972,676,42,0,12527.62885,15823.10956,4.8,39791672
돈암1동,11290580,103208,945,1528,2252,2162,2465,2843,2087,1266,506,61,1789,1541,1364,1244,7,0,2698.964037,16810.65995,0,11124681
돈암2동,11290590,109228,2298,3015,3036,3245,4814,4026,2498,1402,662,97,1562,1759,2223,2283,5,0,3166.298723,21839.8176,20,20057909
안암동,11290600,125533,559,1153,6166,2433,1924,2181,1457,1029,426,51,5838,1405,898,719,49,1,5583.649282,15442.82552,6.1,51375222
보문동,11290610,94935,1101,1114,3031,2887,2643,2691,1812,1060,444,68,3764,1566,1284,1059,18,1,7233.023448,17091.43425,5.6,25901116
정릉1동,11290620,82374,1585,1987,2750,2870,3425,2828,2130,1365,533,66,2181,1615,1633,1509,14,1,1793.055883,19046.3614,0,1.11E+08
정릉2동,11290630,146211,1685,2153,3325,3221,3884,3834,3246,1918,721,89,3007,2291,1996,1799,14,0,2027.22151,24689.12814,7.1,40940917
정릉3동,11290640,98705,782,1282,4066,2173,2162,2479,2128,1512,611,105,3969,1501,1086,879,15,0,2895.965539,18135.92589,6.7,62812309
정릉4동,11290650,137973,1989,2436,3465,3794,4564,4244,3458,2144,766,118,3603,2568,2276,1931,15,1,1794.972655,22574.51995,6.7,65854507
길음1동,11290660,139858,4453,4869,3530,5458,8175,4724,3167,2043,750,114,2547,2439,3146,3759,6,1,2122.074322,35331.27732,0,33422962
길음2동,11290685,147536,1336,1409,2152,2523,2834,2597,1934,1027,387,55,2301,1399,1361,1260,5,0,594.1514838,10394.91294,0,1.12E+08
종암동,11290705,92412,3120,4111,7163,5752,6927,6524,4451,2877,1297,217,6296,3538,3264,3062,27,1,6371.664246,39904.22011,0,65717992
월곡1동,11290715,101653,2358,2780,3186,3786,4934,4312,3418,2077,741,88,3127,2427,2265,2244,16,0,2512.296621,26276.47852,0,26840574
월곡2동,11290725,97317,1320,1584,3653,3031,3097,3142,2530,1550,625,87,3929,1857,1524,1347,23,2,4967.74989,20683.79255,4.3,38112252
장위1동,11290760,53492,1080,1777,3067,2597,3237,4033,2876,1673,607,69,3342,2122,1666,1421,11,0,1274.025246,20440.2221,0,61299368
장위2동,11290770,84513,639,1044,1891,1698,2155,2671,2228,1428,522,71,2472,1570,1148,847,9,1,2228.344356,14924.70215,0,36981070
장위3동,11290780,114259,888,1102,1444,1488,1940,2099,1552,943,313,30,1673,1048,945,882,3,0,1319.495621,11442.48578,33.3,61744823
석관동,11290810,90949,2256,2490,5424,5271,5460,6253,4992,3111,1052,123,6284,3690,3022,2255,27,0,3849.596313,31983.73749,7.4,48700169
삼양동,11305534,93911,1537,2278,3325,3412,4073,4643,3639,2227,753,114,4593,2704,2124,1635,13,3,1185.573833,25442.41446,7.7,24351191
미아동,11305535,94767,997,1547,3906,3218,3347,4010,3190,2027,726,83,5614,2435,1654,1242,34,1,2132.731372,25356.79576,2.9,20119900
송중동,11305545,116732,1469,2091,4172,4013,4532,5013,4165,2662,857,107,5580,2821,2191,1789,26,1,2261.892145,27051.4854,3.8,41825233
송천동,11305555,90423,1335,1933,3962,3785,4280,5495,4346,2769,972,135,6203,3152,2233,1668,26,0,2098.026394,28375.71003,3.8,47183262
삼각산동,11305575,153338,3417,4232,3441,4365,6941,4911,3157,1913,707,101,2538,2470,2744,3184,8,0,1227.140716,34041.33569,0,65892797
번1동,11305590,92235,821,1244,3480,3090,3112,3259,2506,1728,541,72,5459,2121,1422,992,33,0,3041.253675,20866.79379,6.1,66693066
번2동,11305600,92725,894,1255,2221,2127,2725,2955,2604,1947,588,69,2655,2085,1505,1028,7,0,1161.476796,16775.3988,0,51679925
번3동,11305606,99483,1101,1593,2137,2072,2986,2930,2653,2460,650,84,2197,2144,1575,1251,8,0,1294.994936,19374.80181,0,56057730
수유1동,11305610,96451,1181,1551,3266,3019,3196,3923,3101,1933,735,102,4638,2311,1701,1257,18,1,2171.963248,21177.11923,0,47471404
수유2동,11305620,79360,1231,1618,3111,2782,3324,3876,3151,2091,855,99,3393,2447,1801,1412,19,1,2047.904191,21494.83312,5.3,40700592
수유3동,11305630,120010,1012,1283,4401,3804,3484,4233,3214,2128,705,89,6742,2575,1822,1174,35,1,3410.915149,23778.1002,2.9,54233706
우이동,11305645,82934,1259,1554,2768,2781,3190,3725,3078,2165,812,137,3544,2407,1755,1290,19,3,2999.257125,20850.41972,10.5,39903200
인수동,11305660,60844,1911,2430,4367,4398,4899,5666,4750,3182,1179,164,5583,3599,2734,1975,27,0,4481.619128,37130.8031,14.8,29923208
창1동,11320511,81261,1802,2454,3539,3773,4502,4346,3299,1954,784,115,3579,2536,2283,2031,13,1,1637.481945,21180.54223,0,58686748
