이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
창3동,11320513,74091,1017,1277,1991,2038,2492,2682,1984,1291,432,64,2439,1622,1259,1005,11,0,1003.292504,15894.43203,9.1,31772557
창4동,11320514,218012,2154,3152,3929,3757,5043,5022,3013,1640,811,119,2615,2206,2349,2642,17,0,3175.471703,23757.47885,5.9,59789489
창5동,11320515,139074,1915,2341,3764,3912,4037,4636,3254,1698,683,95,2454,2234,2362,2182,18,1,5305.694276,27079.72578,0,89857658
도봉1동,11320521,69514,1167,1493,2945,2917,3325,4175,3641,2531,811,98,3917,2679,1830,1354,23,0,3342.227855,23312.95748,0,61962294
도봉2동,11320522,88623,1971,2076,3566,4117,4180,4898,4601,2632,969,133,3793,3021,2525,2029,13,2,3540.311144,19672.60689,7.7,31337536
쌍문1동,11320660,88584,1367,2075,3176,2799,3632,3809,2916,1946,606,95,2929,2191,1895,1547,18,0,2537.922363,22794.94651,5.6,58834495
쌍문2동,11320670,94776,1251,1754,2830,3003,3181,3492,2651,1590,641,93,2853,2121,1792,1366,14,0,3018.443261,20024.84316,28.6,57167541
쌍문3동,11320680,108029,1025,1211,2587,2648,2697,2896,2258,1562,471,66,2895,1798,1426,1142,16,0,2135.21581,17057.95784,0,45824107
쌍문4동,11320681,144198,1395,2286,2892,2535,3360,3660,2401,1107,506,90,1502,1476,1733,1944,10,0,1148.470716,18050.40236,0,75750321
방학1동,11320690,88058,1886,2628,4329,3876,4833,5626,4203,2368,757,117,4353,2899,2452,2167,24,1,3465.283144,20067.11558,0,98309480
방학2동,11320700,101506,1222,1883,2999,2743,3508,4029,3020,1827,632,102,3548,2317,1843,1411,12,0,876.9729714,14523.77366,8.3,88851541
방학3동,11320710,58673,2288,3215,3991,3603,4883,5334,3662,1687,870,129,1717,2211,2621,2735,9,0,2624.677061,41844.12023,0,73209271
월계1동,11350560,103361,1611,1960,4195,3396,3737,3758,3003,1780,609,93,4264,2126,1766,1742,36,2,2660.816746,23865.50872,0,48718168
월계2동,11350570,88942,1888,2446,3236,3510,4439,4527,3814,2177,843,145,3636,2895,2217,1922,18,0,2143.544131,26179.4942,0,37449910
월계3동,11350580,128814,2938,2556,3938,5536,5187,5029,4284,2424,903,125,3466,3409,2963,2470,9,1,1683.986238,30501.61349,0,52182379
공릉1동,11350595,105489,2570,3296,7149,6357,5956,6250,4870,2452,872,133,7702,3666,3040,2732,48,2,10667.73305,43821.22638,2.1,46035129
공릉2동,11350600,97328,3504,5080,6757,5874,7283,6249,3976,2017,809,110,5087,2972,3223,3781,41,1,6121.341038,38260.9837,7.3,66374872
하계1동,11350611,87420,1394,4338,5658,3040,5001,5155,3044,1687,790,111,4620,2292,2228,2551,21,0,8096.625561,29553.84509,0,56591822
하계2동,11350612,128814,1733,3340,3384,2823,4582,4112,2138,1281,609,71,1545,1722,2048,2391,4,1,647.1061014,23844.66885,0,28263165
중계본동,11350619,152734,1724,4955,3780,2094,5850,4802,2097,1119,545,78,2127,1367,1947,2916,14,0,2342.971757,25128.39562,0,68108330
중계1동,11350621,210576,2034,6172,3354,2099,7210,4427,1722,1001,461,54,1391,1275,2253,3454,14,0,1562.622096,28709.27194,0,63248320
중계4동,11350624,143662,1402,2699,2764,2391,4017,3614,2573,1686,630,88,2338,1931,1702,1940,11,0,2399.047599,22978.55021,9.1,54384989
중계2.3동,11350625,208505,2698,3971,4687,5068,6829,5873,4557,3133,1316,154,4599,3880,3267,2977,9,1,2800.978276,37630.19106,0,1.21E+08
상계1동,11350630,117448,2860,3924,5924,5573,6580,7361,5104,2737,1076,174,4242,3499,3366,3431,27,1,6777.945733,45920.66669,14.8,54091082
상계2동,11350640,151481,1199,2229,3630,2614,3554,4076,2559,1339,520,84,3003,1675,1643,1891,25,1,4511.057003,20781.11044,4,1.30E+08
상계3.4동,11350665,82843,1488,2392,3285,3073,4331,4921,3923,2698,927,122,4541,2793,2074,1817,15,1,3413.983991,30358.46668,6.7,43406546
상계5동,11350670,94242,1430,2580,3762,3160,4351,4810,3369,2210,812,133,3812,2622,2202,1937,12,1,2086.637782,20474.32032,8.3,45182682
상계6.7동,11350695,158613,3139,3721,4881,5548,6448,5637,3504,1823,872,144,4021,3133,3136,3055,28,0,6852.535106,27259.97756,7.1,73827405
상계8동,11350700,185570,3049,2606,2653,5523,4321,2948,2050,1084,498,71,2107,2176,2365,2191,6,1,1147.821095,24800.34742,0,88389112
상계9동,11350710,156429,1800,2593,2860,3248,4090,3604,2540,1269,558,75,1965,2050,2040,2016,7,0,1269.25735,21921.41562,0,63105192
상계10동,11350720,128814,1235,1715,2501,2798,2956,2842,1892,813,410,54,1679,1622,1634,1420,5,0,1000.695204,17108.49918,0,32735135
녹번동,11380510,96273,2226,2447,4406,5223,5388,5453,4144,2746,954,148,5957,3332,2656,2140,26,2,6651.870495,29732.98249,0,54243217
불광1동,11380520,117929,3103,3185,5683,6363,6831,6995,4989,3393,1277,164,6079,4123,3680,2885,13,1,2793.943386,32204.65595,15.4,46448386
불광2동,11380530,104358,1558,2316,4376,4435,4726,5196,3965,2583,855,103,5506,3267,2424,1824,25,1,2812.485057,32122.03603,0,65003032
갈현1동,11380551,95771,1336,2115,3956,3631,4015,4347,3208,1989,624,87,4263,2622,2082,1607,21,0,2379.507379,25769.46792,4.8,55514444
갈현2동,11380552,109404,2010,3163,4467,4643,5241,4993,3410,2130,740,99,3971,2893,2677,2227,34,0,3136.811348,28480.13573,5.9,41367419
구산동,11380560,83293,2272,3186,4554,4621,5643,5701,4286,2587,915,131,3606,2990,2764,2512,24,1,4423.94045,35139.92509,0,59621074
대조동,11380570,102072,1901,2443,5275,5471,5249,5185,3906,2635,853,104,7258,3435,2477,1935,33,1,3504.550631,31913.25907,6.1,74305258
응암1동,11380580,115080,1883,2773,3404,4177,4641,3820,2873,1879,678,99,4411,2425,1993,1784,27,0,4138.783294,27439.5473,3.7,68752411
응암2동,11380590,85725,2362,1981,2319,3728,4063,2998,2166,1383,468,71,2432,1866,1871,1698,4,0,1376.771183,18958.05472,25,10179624
응암3동,11380600,93465,1311,2042,3672,3707,4172,4564,3514,2535,930,105,5511,2799,2060,1549,28,0,2043.733743,22724.80685,7.1,91070231
역촌동,11380625,92550,3665,4413,6910,8140,8593,8009,5749,3617,1193,166,7012,4730,4278,3613,41,0,4208.903192,50516.00581,4.9,59876717
