NM,CD,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울시 전체,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
11305535,미아동,,,,,,,,,1,,,,,,,,,,,,,,,,
11305545,송중동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11305555,송천동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11305575,삼각산동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11305590,번1동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11305600,번2동,,,,,,,,,1,1,1,,,,,,,,,,,,,,
11305606,번3동,,,,,,,,1,1,,1,,,,,,,,,,,,,,
11305610,수유1동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11305620,수유2동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11305630,수유3동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11305645,우이동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11305660,인수동,,,,,,,,1,1,,,,,,,,,,,,,,,,
11320,도봉구,,,,,,,,,2,2,2,,,,,,,,,,,,,,
11320511,창1동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11320512,창2동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11320513,창3동,,,,,,,,,1,1,1,,,,,,,,,,,,,,
11320514,창4동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11320515,창5동,,,,,,,,,,1,,,,,,,,,,,,,,,
11320521,도봉1동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11320522,도봉2동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11320660,쌍문1동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11320670,쌍문2동,,,,,,,,,,1,,,,,,,,,,,,,,,
11320680,쌍문3동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11320681,쌍문4동,,,,,,,,,,1,,,,,,,,,,,,,,,
11320690,방학1동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11320700,방학2동,,,,,,,,,,1,,,,,,,,,,,,,,,
11320710,방학3동,,,,,,,,,1,1,,,,,,,,,,,,,,,
11350,노원구,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,
11350560,월계1동,,,,,,,,1,,,1,,,,,,,,,,,,,,
11350570,월계2동,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
11350580,월계3동,,,,,,,,1,,,1,,,,,,,,,,,,,,
11350595,공릉1동,,,,,,,1,,,,1,,,,,,,,,,,,,,
11350600,공릉2동,,,,,,,1,,,,1,,,,,,,,,,,,,,
11350611,하계1동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350612,하계2동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350619,중계본동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350621,중계1동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350624,중계4동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350625,중계2.3동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350630,상계1동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11350640,상계2동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350665,상계3.4동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350670,상계5동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350695,상계6.7동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11350700,상계8동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11350710,상계9동,,,,,,,,,,,1,,,,,,,,,,,,,,
11350720,상계10동,,,,,,,,,,1,1,,,,,,,,,,,,,,
11380,은평구,2,,,,,,,,,,,2,2,2,,,,,,,,,,,
11380510,녹번동,,,,,,,,,,,,1,1,,,,,,,,,,,,
11380520,불광1동,1,,,,,,,,,,,1,,,,,,,,,,,,,
11380530,불광2동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380551,갈현1동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380552,갈현2동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380560,구산동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380570,대조동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380580,응암1동,,,,,,,,,,,,1,1,,,,,,,,,,,,
11380590,응암2동,,,,,,,,,,,,1,1,,,,,,,,,,,,
11380600,응암3동,,,,,,,,,,,,1,1,,,,,,,,,,,,
11380625,역촌동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380631,신사1동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380632,신사2동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380640,증산동,,,,,,,,,,,,1,,,,,,,,,,,,,
11380650,수색동,,,,,,,,,,,,1,1,1,,,,,,,,,,,
11380690,진관동,1,,,,,,,,,,,1,,,,,,,,,,,,,
11410,서대문구,2,2,,,,,,,,,,2,2,2,,,,,,,,,,,
11410520,천연동,1,,,,,,,,,,,,1,,,,,,,,,,,,
11410555,북아현동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11410565,충현동,,1,,,,,,,,,,,1,,,,,,,,,,,,
11410585,신촌동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11410615,연희동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11410620,홍제1동,,,,,,,,,,,,,1,,,,,,,,,,,,
11410640,홍제3동,1,,,,,,,,,,,,1,,,,,,,,,,,,
11410655,홍제2동,1,,,,,,,,,,,,1,,,,,,,,,,,,
11410660,홍은1동,1,,,,,,,,,,,1,1,,,,,,,,,,,,
11410685,홍은2동,,,,,,,,,,,,1,1,,,,,,,,,,,,
11410690,남가좌1동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11410700,남가좌2동,,,,,,,,,,,,,1,,,,,,,,,,,,
11410710,북가좌1동,,,,,,,,,,,,1,1,1,,,,,,,,,,,
11410720,북가좌2동,,,,,,,,,,,,1,1,,,,,,,,,,,,
11440,마포구,,2,2,,,,,,,,,2,2,2,,,,,,,,,,,
11440555,아현동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11440565,공덕동,,1,1,,,,,,,,,,,1,,,,,,,,,,,
11440585,도화동,,,1,,,,,,,,,,,1,,,,,,,,,,,
11440590,용강동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440600,대흥동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11440610,염리동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11440630,신수동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440655,서강동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440660,서교동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11440680,합정동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440690,망원1동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440700,망원2동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440710,연남동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11440720,성산1동,,,,,,,,,,,,,,1,,,,,,,,,,,
11440730,성산2동,,,,,,,,,,,,,1,1,,,,,,,,,,,
11440740,상암동,,,,,,,,,,,,1,,1,,,,,,,,,,,
