"NM","CD","GUBUN","TOT_FLPOP_CO_1","TOT_BDPOP_CO_1","TOT_REPOP_CO_1","TOT_WRC_POPLTN_CO_1","TOT_FLPOP_CO_2","TOT_BDPOP_CO_2","TOT_REPOP_CO_2","TOT_WRC_POPLTN_CO_2","TOT_FLPOP_CO_3","TOT_BDPOP_CO_3","TOT_REPOP_CO_3","TOT_WRC_POPLTN_CO_3"
"난곡동","11620775","dong","73145.3617755987514939519125638556277449","101742.79767564496983591470578055042584","304.236817083276493595603760177706470771","11.4731434784290650253386460672670300338","69563.2977499608060315954286598513276066","95037.3473725788816790085249426342826079","294.148187813424494092400035020065275773","12.1959413373185624670414356597922821477","68174.3856727212015954490203543949163896","93561.017882629844018186001339721101829","285.820742058894791172500290137168709164","15.0769525213428973403074843173225124046"
"서초구","11650","gu","21243.5724601076182669646813212206690316","54631.0466642887563214356036086362180909","92.582073030365747354784433200744910821","102.569086788065909635632420354157663005","20868.8811009179698517035295193245057081","53657.0901653696151287101639730646084951","90.8166738066884704689327271549183426846","105.618431782805779035092630511944805639","20414.7616648140354585435236227778648001","51912.7518084385621568779169505375775888","88.7725935557790875156980875855256135963","120.979439043820022801937472700687559985"
"서초1동","11650510","dong","58963.9823309548080190282025144410465511","121114.904605952819889966093362540756646","153.816123365215693929338278352527815733","283.593958979475278518807700927552576977","57763.6729057771415764779028491696850081","117816.206794340700255203475972556589383","154.314963020799444769774654607760209946","287.143673050368346093507131961162802467","53487.3952617462279769521619999855408795","109652.021457334750327137600219778630866","154.452324665090622537431048069345941686","342.579940862197352535045293194814959406"
"서초2동","11650520","dong","60011.929166609067305057332371627286322","159167.243256605562553313291466051478379","133.839231914545858172210977923316682374","482.753124799249283802761354053924386811","59666.5037621192445023781082309623267648","152215.374150544944171988170039820810419","145.426868191247228115427494330189898996","484.346933016956981001968678415852211694","56399.8067914119758424211573161895948718","140902.609291739275744271845133883956125","149.541495528798732109299464366595406092","551.799173659229166039850084447440514768"
"서초3동","11650530","dong","39095.717448160095445275861818388409688","93869.2345550478382450964394974853789966","99.1347959731712102484761324052169880436","249.206109078994045900669002151614503613","39985.7605002685389302175330487855632414","95473.3649017966674748158047546915039303","104.043145915400658102047435932160394042","261.949321782305761795068792869614275041","38417.2553273433407299898860245470346101","92431.6176679458324277438700126243024759","100.132320658604112840520906069508312816","225.387729917879275731017138266830586617"
"서초4동","11650531","dong","77590.2556724854718669642149144171188418","252608.173589949817053139549372996363719","329.802779886040531508773519716347406459","286.461932326653601730915187421412145859","74744.8712575189460448361407841227046683","251585.652548228870487216375726406651789","355.26807662244978873319211119544162126","302.536334492563181802734574124630424686","72826.8065294470813462170214212082422375","241969.539291095075727539449686781381334","352.345458046829865083770404522129206928","424.663275824960068874112169647813133659"
"잠원동","11650540","dong","35247.9368024893091819351249869624169941","86371.9721299933942912769877968223064354","189.620780168967075757048986545214337865","110.140414768974029134652157285401383722","35901.6955376699231651774849633209331433","88245.2303089038000208601328095122205611","185.416159649549768800194694572888780725","109.705828668775857872961791190070576783","35311.685151062128428884330563571254737","87402.0954655286305322810555227201613184","182.542459061989361332267148767513819838","88.5577825678823488509543510760351840907"
"반포본동","11650550","dong","6533.34352602892579717608686322475430239","31839.8199111626110467361915797605252993","85.4979400025749967812540234324707094116","10.0518754559890133470666495000214583065","6028.48321960430882794729839921033432042","29046.8130391399510750611561735547830565","84.1031500793957340886657225011802068581","11.3259624050469936912578859276425904468","6060.1006931033002875413072400326166259","29890.2126652289601304665035835371872452","81.03192996008754989056263679670400412","163.814053044933693832882708896613879233"
"반포1동","11650560","dong","65326.8255727605544556038734734630687752","158500.206286748575032307263312441469633","285.153450755535211169068181568318992873","77.8372673402302136127266130894139117624","67933.9842426507847191891651483335648729","163588.754673684147403075711434422502046","295.537749775373320047294035574469616181","85.5730204117939251351008296445251556895","71239.5195037924179625385663270864295502","169266.567754302887714644660081615193259","304.742696259753395385933122715629119613","73.2797694065957789173743614755499230922"
"반포2동","11650570","dong","17146.321688327173005842375104328126863","60276.7577600254361909304081713763363936","194.769683239934819760740829060848137991","16.9707086363817018401494376217161480068","14354.7633241922022177178967449624418743","54809.5594769683239934819760740829060848","144.040379953102022972059934024879774254","16.1678788601406939310838201979253606772","12865.6015261714558244902825801836175033","50136.8264377409482929931242796391240412","128.587893962879058860935574897659075553","78.3832121139859306068916179802074639323"
"반포3동","11650580","dong","23237.3183210830553752811023740887755256","69345.1765096518103747528563019756403097","141.637864678449069532275835006112561692","63.336704046364912386615753807144905444","20010.0819536049021235492098948035679249","60742.9266341669559442775857645229937969","147.169355690719471150218090164058137253","61.4048326969225893113180494136468599544","18763.6476145916657862565464781079734971","58272.2827022050500324494015726640204054","138.898531475919525484099793229394630001","65.1629261813846084187331149916235265708"
"반포4동","11650581","dong","38431.7145772790350316559616668020240042","144628.99488349264303445256196129250956","140.289052651650241348017838920060310522","223.099494705174063650905187481682621177","41079.7348879417798665965162552392117259","147371.178491601371464083813263371245158","138.318720625986490160698585103866158665","236.305662762490245444048573274811882726","40785.4280175564351820791593250023834662","132774.02572731028492131030610767617346","138.389341845544330705046945455701074502","667.744817285249698977051634704679715114"
"방배본동","11650590","dong","90477.9028235995936221079263371937214313","197911.961197270424501377051761702668861","327.994198062286042191230776917614604168","113.101447607684842134907164454349863506","85856.0507760394507539339469377063874307","191732.968542051178783561378353866721981","325.056891390814708941676293664047820564","121.565130233213065261200752798390234818","84783.7521518799519735218458398501670782","185431.236590967933392786035377890559587","322.755496472960880828623296475686216916","429.952049225626032410302376038845123692"
"방배1동","11650600","dong","80367.5846154959021433273294127008239115","167704.429736044501349073732485550805466","244.685083512365906411174526015783800988","158.300962797392996390413981178070499049","65261.9951823962153599097241813328703804","142337.959390348878424224011342346447921","252.121264729498057767843579783424838871","161.903315176898649479539651193912169151","64861.3673025035625673632661328240851255","139470.504112323951303140122827195590374","250.848144209833409286546154235657501646","274.921695854401307841988382775258060083"
"방배2동","11650610","dong","26925.7647661991087039398440889192706622","58541.8257108677647924910278825802889482","142.575819321931404382862927079362158041","71.3878189538445358818966990495471216922","29404.656298886537222784577160209809515","61789.8666736778451143041186291393340257","125.444004785129290512560964387595472532","83.739762583969816876782920769301555167","28502.5858102512192877519094506303487623","58090.8863794712695053175406538800299728","109.274474490265416924108375290854355914","88.3671403594105351720148812262551104918"
"방배3동","11650620","dong","17466.7185768967964919962054119317239504","38290.2046805447754758161349599644423216","96.6185377568146688691198811205975812818","39.7702018694316741961377462004365103058","18007.9283340298923318805102792206499891","40849.9941124179884702901002381568385509","90.6148625788604294783768185165283499512","40.2967673028572186730882772437492122249","16666.5878891608785930835008391877458687","37817.9773170537544530021692837383326368","91.8006713501966949933992742518624660842","73.839400030515918031590609057920539203"
"방배4동","11650621","dong","78999.2970355012786410889559143829050767","144577.260722303879714497935631080878632","273.244710218338049446376170865421584886","127.141239291839221228480224278151842427","72060.4088508573338264211983082755997984","128654.905613134854991309850198370086189","253.915805596267897570424785417729581815","130.022241335779216765546148938376937736","76513.6208538451948552636954979890605733","132981.818781828524853618905240176044939","248.960482080691105246671395002142417884","228.77251503097339106512217020121965912"
"양재1동","11650651","dong","13560.0495152651640499564902991751541224","34820.5092823613248660128830735882984293","83.7277220701863125659867947620273244423","60.6456944656010729474714473059878803159","13300.0593552860346992052694887566380746","34038.4915878326916309046691074120570021","81.0961292999753124031537091801091506941","66.8981347732680600276290977471254707715","13242.9784797693022864916823809348720184","33905.1744327543128881511791391557542236","79.5675993675773063205500606684560797147","58.471084871055456046447699938893820572"
"양재2동","11650652","dong","7898.54507557183401681053256412105222408","19182.5920845065700814452236903405288898","31.0524715197139692487143063533447191509","164.348484771890316210528892421052463538","7999.47292480438220055623594344198461238","19313.786195844753074184037842987997532","31.5673077153325668881304847681654031673","162.544562598094919830559026967572237372","7818.75211688138573150773571316253897523","19210.6351056558281452833155557423924638","30.352719998020474782737795122864926405","57.737482496234512011115140521014229966"
"내곡동","11650660","dong","244.449313190874486665236367109882637098","4994.28616048719136422527672884931895251","14.4730647554225663364595234070038686318","4.72908584905588857612668309742235254964","232.109568021736510013486764548686158668","5045.33323831696701693843621761072754992","14.1478358632704380583001218281654285478","5.03763633648226668617534613375625724468","213.964221789426043025735536601138225312","5200.77177801649797471098977992844964373","13.8089610036154232789592068963687322366","10.7734913435288926828047921605432914529"
"강남구","11680","gu","35828.0407142786142789804898541277458622","96183.3314883280747195740235117844043345","146.07157748472769867332263648810050082","206.788817175499236973486855907007549699","35460.6461947812857873036782743306580757","95159.1651412239918345438346568368692737","141.533178443572397535505452095170881841","214.231006865407563928647473380393174457","36379.9027134656261395043702036184773266","97047.934301246110971311563317598472796","142.086418441961069691498728463530890149","293.282855524055607551686741126056583765"
"신사동","11680510","dong","41244.0515050714049674322421378542470498","99262.5327433485665465741390010558470553","102.867367417504032829128943450581867295","136.154759314079380815362632225557486094","39268.8057644413279493193413448751118311","95502.8326522716831491645912421113717146","101.347500336788728113050476858296574427","179.931536896500506046653010891229330671","37831.5814562399179271776413735453317628","92109.3654900362350129015989692537798058","99.7124918105646881912084900696260320991","160.864113520253955972214066369832020145"
