NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11170660,이태원2동,dong,127369,137777,147170,148731,160846,191382,201095,218545,110835,112866,106336,112946,107017,105444,98666,97515,119752,126550,127919,131891,136922,148413,153412,161590
11170685,한남동,dong,135270,145118,148947,145054,147759,122788,124601,132154,95413,104895,112811,102231,110197,102510,104472,112795,114835,123994,130445,121458,126239,111230,112561,120638
11170690,서빙고동,dong,62635,73081,134308,127605,144110,131155,76989,81226,69923,85350,54214, ,63348,61875,59020,51102,65932,77375,114284, ,115843,107058,69288,67670
11170700,보광동,dong,111432,98935,103843,85741,86167,95243,90835,90437,68079,76795,76254,74637,54574,62483,60332,58387,94840,91398,93647,81358,75109,82423,79690,78844
11200,성동구,gu,121610,117770,120118,122760,125396,122685,125360,124268,83068,80425,85046,83661,87476,89189,85367,83982,102201,98700,102663,102726,106550,106527,106405,105564
11200520,왕십리2동,dong,113212,109989,101557,114195,118056,109410,112064,127257,74513,56384,54192,51935,52928,52321,50104,55295,96325,86250,80835,84622,80840,80865,83900,93525
11200535,왕십리도선동,dong,125761,132878,139592,131944,136197,146234,145825,147541,93288,99835,109963,111444,110053,97264,103510,99023,109525,116712,126004,122508,125226,122832,125052,124515
11200540,마장동,dong,127874,117459,118246,117542,131807,121371,127324,137297,59422,55906,70466,78845,104667,98770,81755,79827,106013,98021,103003,105159,122319,112938,109825,116591
11200550,사근동,dong,140472,139450,126690,144478,139365,137744,191002,186597,94008,74235,91869,119390,153950,147247,163082,136690,121290,109998,113899,134750,144640,141264,181497,171731
11200560,행당1동,dong,141291,139883,138901,169238,169283,173800,184064,161905,133789,157268,141371,129912,159151,176377,185423,213136,138091,148787,139979,153370,164714,174981,184770,189350
11200570,행당2동,dong,129507,167266,165365,186921,191129,154958,156394,139639,82133,81905,81257,90078,90911,88238,82110,70226,98499,108733,104912,118772,125602,117247,126680,109890
11200580,응봉동,dong,139653,92137,138940,157901,157901,127135,109458,101989,78170,71963,77438,73236,77923, ,65678,48519,105069,80609,102039,98137,106487, ,91216,73197
11200590,금호1가동,dong,125042,117966,137046, , ,163240,159104,135148,107456,66995,99597,132391,124464,89917,66081,64021,115935,89649,112704, , ,122505,112592,103264
