"CD","NM","GUBUN","FIRST_1Y","FIRST_1Y_MOL","FIRST_1Y_DEN","FIRST_3Y","FIRST_3Y_MOL","FIRST_3Y_DEN","FIRST_5Y","FIRST_5Y_MOL","FIRST_5Y_DEN","SECOND_1Y","SECOND_1Y_MOL","SECOND_1Y_DEN","SECOND_3Y","SECOND_3Y_MOL","SECOND_3Y_DEN","SECOND_5Y","SECOND_5Y_MOL","SECOND_5Y_DEN","THIRD_1Y","THIRD_1Y_MOL","THIRD_1Y_DEN","THIRD_3Y","THIRD_3Y_MOL","THIRD_3Y_DEN","THIRD_5Y","THIRD_5Y_MOL","THIRD_5Y_DEN"
"11200580","응봉동","dong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","1","1","0","0","1","0","0","1"
"11200590","금호1가동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","100","3","3","66.7","2","3","66.7","2","3"
"11200615","금호2.3가동","dong","80","4","5","60","3","5","40","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11200620","금호4가동","dong","0","0","0","0","0","0","0","0","0","100","2","2","100","2","2","50","1","2","100","1","1","0","0","1","0","0","1"
"11200645","옥수동","dong","0","0","0","0","0","0","0","0","0","100","3","3","66.7","2","3","0","0","3","100","5","5","60","3","5","40","2","5"
"11200650","성수1가1동","dong","50","1","2","50","1","2","50","1","2","0","0","0","0","0","0","0","0","0","100","2","2","50","1","2","50","1","2"
"11200660","성수1가2동","dong","80","4","5","80","4","5","60","3","5","83.3","5","6","16.7","1","6","16.7","1","6","100","4","4","25","1","4","25","1","4"
"11200670","성수2가1동","dong","100","2","2","100","2","2","100","2","2","75","3","4","50","2","4","25","1","4","100","4","4","50","2","4","25","1","4"
"11200690","성수2가3동","dong","85.7","6","7","71.4","5","7","28.6","2","7","100","9","9","66.7","6","9","44.4","4","9","87.5","7","8","50","4","8","50","4","8"
"11200720","송정동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","100","2","2","100","2","2","50","1","2"
"11200790","용답동","dong","0","0","1","0","0","1","0","0","1","80","4","5","80","4","5","60","3","5","100","4","4","50","2","4","50","2","4"
"11215","광진구","gu","90.9","40","44","56.8","25","44","36.4","16","44","89.7","35","39","46.2","18","39","30.8","12","39","90.9","60","66","62.1","41","66","48.5","32","66"
"11215710","화양동","dong","100","3","3","66.7","2","3","66.7","2","3","100","7","7","71.4","5","7","57.1","4","7","85.7","6","7","57.1","4","7","42.9","3","7"
"11215730","군자동","dong","100","3","3","100","3","3","66.7","2","3","66.7","2","3","0","0","3","0","0","3","70","7","10","50","5","10","40","4","10"
"11215740","중곡1동","dong","50","1","2","0","0","2","0","0","2","100","1","1","0","0","1","0","0","1","100","4","4","100","4","4","100","4","4"
"11215750","중곡2동","dong","80","4","5","40","2","5","40","2","5","100","2","2","0","0","2","0","0","2","100","6","6","66.7","4","6","66.7","4","6"
"11215760","중곡3동","dong","100","1","1","100","1","1","0","0","1","100","1","1","100","1","1","100","1","1","100","2","2","100","2","2","50","1","2"
"11215770","중곡4동","dong","100","1","1","100","1","1","0","0","1","100","1","1","100","1","1","0","0","1","100","1","1","0","0","1","0","0","1"
"11215780","능동","dong","100","2","2","100","2","2","0","0","2","50","1","2","50","1","2","0","0","2","100","2","2","100","2","2","50","1","2"
"11215810","광장동","dong","100","4","4","75","3","4","50","2","4","100","3","3","66.7","2","3","66.7","2","3","100","3","3","33.3","1","3","33.3","1","3"
"11215820","자양1동","dong","100","5","5","60","3","5","40","2","5","100","4","4","75","3","4","50","2","4","66.7","2","3","33.3","1","3","0","0","3"
"11215830","자양2동","dong","100","2","2","50","1","2","0","0","2","100","2","2","50","1","2","0","0","2","100","3","3","100","3","3","33.3","1","3"
"11215840","자양3동","dong","100","4","4","100","4","4","75","3","4","100","2","2","50","1","2","0","0","2","100","7","7","71.4","5","7","71.4","5","7"
"11215847","자양4동","dong","75","3","4","25","1","4","25","1","4","100","3","3","66.7","2","3","66.7","2","3","100","5","5","100","5","5","80","4","5"
"11215850","구의1동","dong","66.7","2","3","33.3","1","3","33.3","1","3","75","3","4","25","1","4","25","1","4","87.5","7","8","25","2","8","12.5","1","8"
"11215860","구의2동","dong","100","3","3","33.3","1","3","33.3","1","3","100","1","1","0","0","1","0","0","1","100","2","2","50","1","2","50","1","2"
"11215870","구의3동","dong","100","2","2","0","0","2","0","0","2","66.7","2","3","0","0","3","0","0","3","100","3","3","66.7","2","3","66.7","2","3"
"11230","동대문구","gu","84","42","50","48","24","50","20","10","50","83.1","49","59","61","36","59","35.6","21","59","83.1","69","83","61.4","51","83","45.8","38","83"
"11230536","용신동","dong","88.9","8","9","66.7","6","9","11.1","1","9","72.7","8","11","54.5","6","11","9.1","1","11","83.3","10","12","50","6","12","41.7","5","12"
"11230545","제기동","dong","66.7","2","3","66.7","2","3","33.3","1","3","100","3","3","100","3","3","100","3","3","100","5","5","100","5","5","100","5","5"
"11230560","전농1동","dong","100","5","5","80","4","5","40","2","5","33.3","1","3","33.3","1","3","0","0","3","50","3","6","50","3","6","33.3","2","6"
"11230570","전농2동","dong","100","1","1","0","0","1","0","0","1","66.7","2","3","33.3","1","3","0","0","3","100","3","3","33.3","1","3","0","0","3"
"11230600","답십리1동","dong","50","1","2","50","1","2","0","0","2","80","4","5","60","3","5","40","2","5","71.4","5","7","57.1","4","7","57.1","4","7"
"11230610","답십리2동","dong","75","3","4","25","1","4","25","1","4","66.7","2","3","66.7","2","3","66.7","2","3","100","5","5","80","4","5","40","2","5"
"11230650","장안1동","dong","85.7","6","7","42.9","3","7","14.3","1","7","90.9","10","11","45.5","5","11","27.3","3","11","87.5","14","16","56.3","9","16","37.5","6","16"
"11230660","장안2동","dong","100","4","4","75","3","4","50","2","4","100","2","2","100","2","2","100","2","2","100","6","6","66.7","4","6","50","3","6"
"11230705","청량리동","dong","100","2","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","71.4","5","7","71.4","5","7","71.4","5","7"
"11230710","회기동","dong","100","4","4","25","1","4","25","1","4","100","3","3","100","3","3","0","0","3","75","3","4","50","2","4","25","1","4"
"11230720","휘경1동","dong","0","0","1","0","0","1","0","0","1","100","6","6","50","3","6","33.3","2","6","100","2","2","50","1","2","0","0","2"
"11230730","휘경2동","dong","66.7","2","3","66.7","2","3","33.3","1","3","100","3","3","100","3","3","100","3","3","0","0","1","0","0","1","0","0","1"
"11230740","이문1동","dong","75","3","4","25","1","4","0","0","4","80","4","5","60","3","5","40","2","5","75","3","4","75","3","4","25","1","4"
"11230750","이문2동","dong","100","1","1","0","0","1","0","0","1","100","1","1","100","1","1","100","1","1","100","5","5","80","4","5","80","4","5"
"11260","중랑구","gu","96.8","30","31","54.8","17","31","41.9","13","31","93.5","29","31","74.2","23","31","54.8","17","31","92.1","58","63","63.5","40","63","47.6","30","63"
"11260520","면목2동","dong","100","2","2","0","0","2","0","0","2","50","1","2","50","1","2","50","1","2","72.7","8","11","36.4","4","11","27.3","3","11"
"11260540","면목4동","dong","100","2","2","50","1","2","50","1","2","100","1","1","100","1","1","100","1","1","100","4","4","25","1","4","25","1","4"
