NM,CD,GUBUN,2020년2분기개업수,2020년2분기폐업수,2020년2분기개업률,2020년2분기폐업률,2020년1분기개업수,2020년1분기폐업수,2020년1분기개업률,2020년1분기폐업률,2019년4분기개업수,2019년4분기폐업수,2019년4분기개업률,2019년4분기폐업률,2019년3분기개업수,2019년3분기폐업수,2019년3분기개업률,2019년3분기폐업률,2019년2분기개업수,2019년2분기폐업수,2019년2분기개업률,2019년2분기폐업률,2019년1분기개업수,2019년1분기폐업수,2019년1분기개업률,2019년1분기폐업률,2018년4분기개업수,2018년4분기폐업수,2018년4분기개업률,2018년4분기폐업률,2018년3분기개업수,2018년3분기폐업수,2018년3분기개업률,2018년3분기폐업률
용문동,11170590,dong,0,0,0,0,1,2,12.5,25,1,0,11.1,0,1,1,14.3,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한강로동,11170625,dong,1,1,2.1,2.1,0,1,0,2.1,0,1,0,2.1,2,0,4.3,0,0,1,0,2.2,3,2,6.5,4.3,0,1,0,2.2,0,0,0,0
이촌1동,11170630,dong,1,0,6.3,0,0,0,0,0,2,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,0,1,0,8.3,0
이촌2동,11170640,dong,1,0,16.7,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0
이태원1동,11170650,dong,0,0,0,0,2,1,7.7,3.8,0,0,0,0,0,0,0,0,0,1,0,4,1,0,3.8,0,0,0,0,0,0,0,0,0
이태원2동,11170660,dong,0,0,0,0,0,0,0,0,0,1,0,7.1,1,0,6.7,0,0,1,0,7.1,1,0,6.7,0,0,0,0,0,1,2,7.1,14.3
한남동,11170685,dong,1,0,3.8,0,0,1,0,4,3,1,12.5,4.2,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8.7
서빙고동,11170690,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.1,0
보광동,11170700,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
성동구,11200,gu,7,6,2.2,1.9,12,13,3.8,4.1,9,21,2.9,6.8,19,9,5.9,2.8,14,17,4.5,5.5,14,18,4.5,5.7,10,12,3.1,3.8,9,14,2.8,4.4
왕십리2동,11200520,dong,0,1,0,10,0,1,0,9.1,2,0,16.7,0,0,0,0,0,2,0,20,0,0,1,0,12.5,0,1,0,11.1,1,1,10,10
왕십리도선동,11200535,dong,1,1,3.6,3.6,1,2,3.6,7.1,0,4,0,14.3,1,1,3.1,3.1,2,3,6.3,9.4,0,0,0,0,0,1,0,3,0,1,0,2.9
마장동,11200540,dong,0,0,0,0,2,1,10.5,5.3,1,0,6.3,0,0,0,0,0,0,0,0,0,2,0,13.3,0,0,1,0,7.7,0,0,0,0
사근동,11200550,dong,0,1,0,2.9,1,1,2.9,2.9,0,5,0,14.7,5,0,12.8,0,0,0,0,0,2,2,5.9,5.9,2,3,5.9,8.8,1,0,2.9,0
행당1동,11200560,dong,0,0,0,0,0,1,0,5.9,1,3,6.3,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.6,1,0,5.3,0
행당2동,11200570,dong,1,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.3,2,2,25,25,0,0,0,0
응봉동,11200580,dong,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.3
금호1가동,11200590,dong,1,1,11.1,11.1,1,0,10,0,0,1,0,11.1,2,0,20,0,1,2,12.5,25,0,1,0,11.1,0,1,0,10,0,0,0,0
금호2.3가동,11200615,dong,1,0,6.7,0,1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,1,0,7.1,0,0,0,0,0
금호4가동,11200620,dong,0,0,0,0,0,1,0,14.3,2,3,25,37.5,0,0,0,0,0,0,0,0,1,0,11.1,0,0,0,0,0,0,0,0,0
옥수동,11200645,dong,0,0,0,0,0,0,0,0,0,1,0,9.1,2,1,16.7,8.3,1,4,9.1,36.4,0,1,0,7.1,0,0,0,0,0,2,0,13.3
성수1가1동,11200650,dong,1,0,4.3,0,0,1,0,4.5,0,1,0,4.3,4,2,16,8,2,0,8.7,0,1,2,4.8,9.5,1,0,4.5,0,1,1,4.8,4.8
성수1가2동,11200660,dong,0,0,0,0,2,1,6.7,3.3,2,1,7.1,3.6,1,3,3.7,11.1,2,2,6.9,6.9,2,0,6.9,0,1,2,3.7,7.4,0,1,0,3.6
성수2가1동,11200670,dong,0,1,0,4.5,2,2,8.7,8.7,1,2,4.2,8.3,1,0,3.8,0,1,1,4.3,4.3,1,4,4.3,17.4,3,0,11.5,0,0,3,0,13
성수2가3동,11200690,dong,1,1,1.8,1.8,1,0,1.8,0,0,0,0,0,2,2,3.8,3.8,2,4,3.8,7.5,4,4,7.3,7.3,0,0,0,0,4,2,7.3,3.6
송정동,11200720,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5,0,1,1,14.3,14.3,0,0,0,0,1,0,14.3,0
용답동,11200790,dong,1,0,6.7,0,0,2,0,14.3,0,0,0,0,1,0,6.3,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,2,0,12.5
광진구,11215,gu,13,17,3.4,4.4,18,18,4.6,4.6,7,11,1.8,2.9,10,18,2.6,4.6,14,17,3.5,4.3,14,25,3.5,6.3,20,10,4.9,2.4,9,18,2.3,4.5
화양동,11215710,dong,2,2,3.3,3.3,5,4,8.5,6.8,0,3,0,5.2,2,4,3.3,6.6,0,4,0,6.3,4,2,6,3,2,0,3.1,0,0,0,0,0
군자동,11215730,dong,1,0,3.3,0,2,3,6.9,10.3,2,0,7.4,0,0,2,0,8,0,0,0,0,2,1,7.4,3.7,0,3,0,11.5,2,1,6.9,3.4
중곡1동,11215740,dong,0,1,0,6.7,1,0,6.3,0,0,0,0,0,0,0,0,0,1,0,6.3,0,0,0,0,0,1,1,6.7,6.7,0,0,0,0
중곡2동,11215750,dong,2,1,7.4,3.7,2,2,7.7,7.7,0,0,0,0,1,1,4.2,4.2,0,1,0,4.2,0,0,0,0,0,0,0,0,0,1,0,4
중곡3동,11215760,dong,1,1,5.9,5.9,1,1,5.9,5.9,0,2,0,11.1,0,0,0,0,0,1,0,5,0,1,0,4.8,1,0,4.5,0,1,0,4.8,0
중곡4동,11215770,dong,0,1,0,5,1,1,5,5,0,2,0,10,2,2,9.1,9.1,2,2,9.1,9.1,0,2,0,9.1,1,0,4.2,0,0,2,0,8.7
능동,11215780,dong,1,1,4.8,4.8,2,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17.6,2,0,10,0,0,2,0,11.1
