NM,CD,GUBUN,2020년2분기개업수,2020년2분기폐업수,2020년2분기개업률,2020년2분기폐업률,2020년1분기개업수,2020년1분기폐업수,2020년1분기개업률,2020년1분기폐업률,2019년4분기개업수,2019년4분기폐업수,2019년4분기개업률,2019년4분기폐업률,2019년3분기개업수,2019년3분기폐업수,2019년3분기개업률,2019년3분기폐업률,2019년2분기개업수,2019년2분기폐업수,2019년2분기개업률,2019년2분기폐업률,2019년1분기개업수,2019년1분기폐업수,2019년1분기개업률,2019년1분기폐업률,2018년4분기개업수,2018년4분기폐업수,2018년4분기개업률,2018년4분기폐업률,2018년3분기개업수,2018년3분기폐업수,2018년3분기개업률,2018년3분기폐업률
방화1동,11500630,dong,3,0,8.8,0,0,2,0,6.5,2,3,6.3,9.4,3,2,9.1,6.1,1,2,3.1,6.3,0,3,0,9.1,2,1,5.6,2.8,3,4,8.6,11.4
방화2동,11500640,dong,1,1,3.7,3.7,0,1,0,3.7,0,1,0,3.6,3,1,10.3,3.4,0,1,0,3.7,2,0,7.1,0,0,1,0,3.8,0,0,0,0
방화3동,11500641,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.3,1,0,5,0,0,0,0,0,0,0,0,0,1,1,5.3,5.3
구로구,11530,gu,13,8,3.5,2.2,5,8,1.4,2.2,14,16,3.8,4.4,13,11,3.6,3.1,21,12,5.8,3.3,10,18,2.8,5.1,18,11,5,3.1,7,12,2,3.4
신도림동,11530510,dong,1,0,2.9,0,0,0,0,0,0,0,0,0,1,0,3.1,0,0,1,0,3.2,1,1,3.1,3.1,2,1,6.3,3.1,0,0,0,0
구로1동,11530520,dong,1,0,7.7,0,0,0,0,0,0,0,0,0,1,0,9.1,0,0,0,0,0,0,1,0,10,1,0,9.1,0,0,1,0,10
구로2동,11530530,dong,2,0,7.1,0,0,2,0,7.7,2,3,7.4,11.1,1,1,3.6,3.6,2,0,7.1,0,1,2,3.8,7.7,2,1,7.4,3.7,1,0,3.8,0
구로3동,11530540,dong,0,2,0,2.9,1,1,1.4,1.4,3,2,4.2,2.8,3,5,4.3,7.1,5,2,6.9,2.8,0,1,0,1.4,3,1,4.3,1.4,1,4,1.5,5.9
구로4동,11530550,dong,0,0,0,0,0,1,0,5,2,1,9.5,4.8,1,0,5,0,1,0,5.3,0,0,0,0,0,1,1,5.6,5.6,0,0,0,0
구로5동,11530560,dong,0,0,0,0,0,0,0,0,0,1,0,3.2,1,0,3.3,0,1,0,3.4,0,1,2,3.6,7.1,1,2,3.4,6.9,1,2,3.3,6.7
가리봉동,11530595,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14.3,1,3,6.3,18.8,1,0,5.6,0,0,0,0,0
고척1동,11530720,dong,0,1,0,7.1,1,0,6.7,0,1,1,7.1,7.1,0,1,0,7.1,3,1,20,6.7,0,0,0,0,1,1,7.7,7.7,1,0,7.7,0
고척2동,11530730,dong,0,0,0,0,0,0,0,0,0,2,0,8.7,2,0,8,0,1,0,4.3,0,2,2,9.1,9.1,0,1,0,4.5,0,0,0,0
개봉1동,11530740,dong,3,1,13.6,4.5,1,1,5,5,2,2,10,10,1,2,5.3,10.5,2,1,9.5,4.8,1,1,5,5,1,1,5,5,0,1,0,5
개봉2동,11530750,dong,0,1,0,8.3,0,0,0,0,1,0,7.7,0,0,0,0,0,1,0,8.3,0,0,0,0,0,0,0,0,0,1,1,9.1,9.1
개봉3동,11530760,dong,2,2,22.2,22.2,0,0,0,0,1,1,11.1,11.1,0,0,0,0,0,0,0,0,0,1,0,11.1,0,0,0,0,0,1,0,10
오류1동,11530770,dong,1,0,4.2,0,0,0,0,0,0,1,0,4.5,0,0,0,0,0,1,0,4.3,0,1,0,4.2,0,1,0,4,0,1,0,3.8
오류2동,11530780,dong,3,1,8.8,2.9,2,3,6.3,9.4,1,0,3,0,2,0,6.5,0,4,4,13.3,13.3,2,2,6.7,6.7,4,0,13.3,0,1,0,3.8,0
수궁동,11530790,dong,0,0,0,0,0,0,0,0,1,2,4.8,9.5,0,2,0,9.1,1,0,4.2,0,1,1,4.3,4.3,1,1,4.3,4.3,1,1,4.3,4.3
금천구,11545,gu,11,4,3.6,1.3,11,9,3.7,3,10,11,3.5,3.9,12,10,4.2,3.5,23,11,8.2,3.9,15,6,5.6,2.2,11,12,4.2,4.6,11,6,4.2,2.3
가산동,11545510,dong,4,1,3.2,0.8,8,5,6.6,4.1,4,6,3.4,5.2,7,2,5.9,1.7,6,4,5.4,3.6,4,0,3.6,0,6,7,5.7,6.6,6,3,5.6,2.8
독산1동,11545610,dong,2,0,4.4,0,0,0,0,0,0,0,0,0,0,2,0,5,5,1,11.9,2.4,4,1,10.5,2.6,2,0,5.7,0,1,1,3,3
독산2동,11545620,dong,0,0,0,0,0,1,0,6.7,0,1,0,6.7,0,0,0,0,1,0,6.7,0,1,1,7.1,7.1,1,0,7.1,0,0,1,0,7.7
독산3동,11545630,dong,1,1,4.3,4.3,1,0,4.3,0,2,1,9.1,4.5,1,0,5,0,1,0,5.3,0,0,0,0,0,1,0,5.6,0,1,1,5.9,5.9
독산4동,11545640,dong,0,0,0,0,0,1,0,6.7,0,1,0,7.1,1,0,6.7,0,0,0,0,0,1,1,7.1,7.1,0,0,0,0,1,0,7.1,0
시흥1동,11545670,dong,2,2,4.8,4.8,1,1,2.4,2.4,1,1,2.4,2.4,1,2,2.5,5,7,3,17.1,7.3,2,2,5.4,5.4,1,4,2.7,10.8,1,0,2.5,0
시흥2동,11545680,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.3,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
시흥3동,11545690,dong,0,0,0,0,1,1,11.1,11.1,2,1,22.2,11.1,1,2,12.5,25,1,1,11.1,11.1,0,0,0,0,0,1,0,11.1,1,0,10,0
시흥4동,11545700,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1,1,1,8.3,8.3,2,1,16.7,8.3,0,0,0,0,0,0,0,0
시흥5동,11545710,dong,2,0,12.5,0,0,0,0,0,1,0,7.1,0,1,0,7.7,0,0,1,0,8.3,1,0,7.7,0,0,0,0,0,0,0,0,0
영등포구,11560,gu,17,7,3.2,1.3,11,18,2.1,3.5,21,24,4.2,4.8,24,12,4.8,2.4,19,22,3.9,4.5,14,30,2.9,6.1,24,19,4.7,3.8,15,21,3,4.2
영등포본동,11560515,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,1,0,4.5,0,0,0,0,0,0,0,0
영등포동,11560535,dong,3,1,4.4,1.5,3,3,4.5,4.5,2,4,3.1,6.2,4,4,6,6,3,6,4.5,9,3,3,4.3,4.3,1,2,1.4,2.9,1,2,1.4,2.8
여의동,11560540,dong,5,2,4.6,1.9,0,4,0,3.8,2,5,2,5,6,2,5.9,2,7,1,7.2,1,4,9,4.4,9.9,6,4,6.3,4.2,3,5,3.2,5.3
당산1동,11560550,dong,1,0,2.7,0,1,1,2.8,2.8,2,1,5.9,2.9,0,0,0,0,1,1,3,3,1,3,3,9.1,3,1,8.6,2.9,0,0,0,0
당산2동,11560560,dong,1,0,2.4,0,0,1,0,2.4,1,2,2.4,4.9,3,0,7.3,0,0,1,0,2.6,0,0,0,0,0,0,0,0,0,1,0,2.6
도림동,11560585,dong,0,1,0,8.3,1,1,7.7,7.7,0,0,0,0,1,0,8.3,0,0,0,0,0,0,1,0,9.1,0,1,0,8.3,1,1,7.7,7.7
문래동,11560605,dong,2,0,4.4,0,0,0,0,0,5,4,12.8,10.3,1,2,2.6,5.3,1,1,2.6,2.6,0,0,0,0,2,2,5.1,5.1,2,3,5.1,7.7
양평1동,11560610,dong,0,0,0,0,0,2,0,9.1,4,3,19,14.3,2,0,10,0,1,2,5.6,11.1,0,1,0,5.3,1,2,5,10,1,0,4.8,0
양평2동,11560620,dong,0,0,0,0,1,2,2.6,5.3,2,2,5.4,5.4,2,2,5.4,5.4,2,3,5.4,8.1,4,4,10.5,10.5,2,2,5.3,5.3,1,2,2.6,5.3
신길1동,11560630,dong,1,1,5.9,5.9,0,1,0,5.9,0,0,0,0,2,1,11.8,5.9,3,4,18.8,25,1,2,5.9,11.8,1,0,5.6,0,1,2,5.9,11.8
신길3동,11560650,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,9.1,9.1,1,0,9.1,0
신길4동,11560660,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0
신길5동,11560670,dong,0,0,0,0,1,1,11.1,11.1,1,0,11.1,0,1,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신길6동,11560680,dong,1,0,6.7,0,1,0,7.1,0,0,0,0,0,1,1,7.7,7.7,0,0,0,0,0,0,0,0,2,1,15.4,7.7,0,0,0,0
신길7동,11560690,dong,1,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.7,7.7,1,1,7.7,7.7
대림1동,11560700,dong,0,0,0,0,0,1,0,7.1,1,1,6.7,6.7,0,0,0,0,0,1,0,6.7,0,0,0,0,0,1,0,6.3,1,1,5.9,5.9
대림2동,11560710,dong,1,1,5,5,1,0,5,0,0,0,0,0,0,0,0,0,1,0,5.3,0,0,1,0,5.6,1,0,5.3,0,0,1,0,5.6
대림3동,11560720,dong,1,1,3.3,3.3,2,1,6.7,3.3,1,2,3.4,6.9,1,0,3.3,0,0,0,0,0,1,3,3.4,10.3,3,1,9.7,3.2,2,2,6.9,6.9
동작구,11590,gu,9,9,2.6,2.6,7,10,2.1,2.9,10,17,3,5.1,10,7,2.9,2,15,18,4.4,5.3,11,18,3.2,5.2,14,13,4,3.7,16,11,4.6,3.2
노량진1동,11590510,dong,0,1,0,2.5,0,1,0,2.4,1,4,2.4,9.8,2,1,4.5,2.3,2,1,4.7,2.3,2,1,4.8,2.4,2,2,4.9,4.9,0,1,0,2.4
노량진2동,11590520,dong,0,1,0,5.6,0,1,0,5.3,0,0,0,0,1,1,5.3,5.3,1,1,5.3,5.3,0,1,0,5.3,1,2,5,10,0,1,0,4.8
상도1동,11590530,dong,3,1,6,2,1,1,2.1,2.1,1,1,2.1,2.1,0,0,0,0,2,3,4.2,6.3,0,1,0,2,1,0,2,0,2,0,4.1,0
상도2동,11590540,dong,0,0,0,0,0,1,0,6.3,0,1,0,5.9,0,0,0,0,0,1,0,5.3,0,1,0,5,0,0,0,0,1,2,4.8,9.5
상도3동,11590550,dong,0,0,0,0,0,0,0,0,2,1,16.7,8.3,0,1,0,9.1,2,1,16.7,8.3,0,1,0,9.1,0,0,0,0,0,0,0,0
상도4동,11590560,dong,0,1,0,7.1,1,2,6.7,13.3,2,0,12.5,0,0,0,0,0,0,1,0,7.1,2,1,13.3,6.7,0,0,0,0,0,0,0,0
흑석동,11590605,dong,1,1,3.4,3.4,2,1,6.9,3.4,1,3,3.7,11.1,2,2,7.1,7.1,2,1,7.1,3.6,1,2,3.7,7.4,1,0,3.6,0,1,1,3.7,3.7
사당1동,11590620,dong,0,1,0,3.7,0,1,0,3.6,2,2,7.1,7.1,1,0,3.4,0,2,1,7.1,3.6,1,2,3.7,7.4,0,1,0,3.6,0,1,0,3.4
사당2동,11590630,dong,0,0,0,0,0,0,0,0,0,1,0,3.8,1,1,3.7,3.7,3,4,11.1,14.8,2,1,7.1,3.6,2,1,7.4,3.7,5,2,19.2,7.7
사당3동,11590640,dong,0,0,0,0,0,0,0,0,0,1,0,7.7,1,0,7.1,0,0,0,0,0,0,1,0,7.7,3,3,21.4,21.4,1,0,7.1,0
사당4동,11590650,dong,1,1,11.1,11.1,1,0,11.1,0,0,1,0,12.5,0,0,0,0,0,1,0,11.1,0,1,0,10,0,1,0,9.1,2,0,16.7,0
사당5동,11590651,dong,3,1,33.3,11.1,1,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대방동,11590660,dong,0,1,0,2.8,1,1,2.7,2.7,1,2,2.9,5.7,1,1,2.8,2.8,0,1,0,2.8,1,1,2.7,2.7,2,1,5.4,2.7,2,2,5.6,5.6
신대방1동,11590670,dong,1,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,2,11.1,22.2,2,1,20,10
신대방2동,11590680,dong,0,0,0,0,0,1,0,3.3,0,0,0,0,1,0,3.4,0,0,2,0,7.1,2,4,6.7,13.3,1,0,3.1,0,0,0,0,0
관악구,11620,gu,10,12,2.2,2.6,14,22,3,4.8,11,19,2.4,4.1,8,14,1.7,3,17,8,3.6,1.7,15,21,3.2,4.5,22,21,4.7,4.4,15,15,3.2,3.2
보라매동,11620525,dong,0,1,0,5.9,0,1,0,5.6,0,1,0,5.3,1,2,5,10,2,0,9.5,0,0,1,0,5.3,2,0,10,0,2,0,11.1,0
청림동,11620545,dong,0,0,0,0,1,1,14.3,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.3,1,0,12.5,0,0,0,0,0
성현동,11620565,dong,0,1,0,11.1,0,1,0,10,0,2,0,20,2,0,16.7,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
행운동,11620575,dong,1,3,3.2,9.7,0,1,0,3,0,2,0,5.9,0,0,0,0,1,0,2.8,0,0,0,0,0,1,2,2.9,5.7,2,1,5.6,2.8
낙성대동,11620585,dong,2,0,7.1,0,1,0,3.8,0,1,1,4,4,1,2,4.2,8.3,3,0,11.5,0,2,0,8.7,0,1,3,4.8,14.3,1,1,4.3,4.3
청룡동,11620595,dong,1,0,2.3,0,2,3,4.8,7.1,1,1,2.4,2.4,2,2,4.8,4.8,0,1,0,2.4,1,0,2.3,0,1,1,2.4,2.4,0,1,0,2.4
은천동,11620605,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.2,4.2,0,1,0,4.2,0,1,0,4,2,0,7.7,0
중앙동,11620615,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.3,5.3,1,1,5.3,5.3,0,1,0,5.3,0,0,0,0
인헌동,11620625,dong,1,1,4.5,4.5,1,2,4.5,9.1,3,1,12.5,4.2,0,0,0,0,3,0,13.6,0,0,3,0,15.8,1,0,4.5,0,2,2,9.5,9.5
남현동,11620630,dong,1,0,5.3,0,1,3,5.6,16.7,0,0,0,0,0,1,0,5.3,0,0,0,0,1,1,5,5,1,1,5,5,0,2,0,10
서원동,11620645,dong,1,1,3.7,3.7,1,0,3.7,0,0,1,0,3.8,0,1,0,3.7,0,0,0,0,0,4,0,14.3,6,1,18.8,3.1,0,0,0,0
신원동,11620655,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서림동,11620665,dong,1,1,4.5,4.5,2,1,9.1,4.5,0,0,0,0,0,3,0,13.6,3,0,12,0,1,1,4.5,4.5,2,2,9.1,9.1,0,0,0,0
신사동,11620685,dong,0,2,0,8.3,1,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0
신림동,11620695,dong,0,1,0,2.7,0,4,0,10.5,2,0,4.8,0,0,0,0,0,0,4,0,10.3,2,2,4.7,4.7,1,1,2.3,2.3,0,1,0,2.3
난향동,11620715,dong,0,0,0,0,0,0,0,0,0,1,0,33.3,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,1,0,20,0
조원동,11620725,dong,0,0,0,0,2,1,8.3,4.2,0,2,0,9.1,1,0,4.3,0,0,0,0,0,0,1,0,4.5,1,1,4.3,4.3,1,1,4.3,4.3
대학동,11620735,dong,1,0,2.4,0,0,2,0,4.9,2,6,5,15,1,0,2.3,0,1,1,2.3,2.3,4,1,9.3,2.3,1,2,2.5,5,2,4,4.9,9.8
삼성동,11620745,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5,1,0,11.1,0,1,0,12.5,0,1,1,14.3,14.3,0,0,0,0
미성동,11620765,dong,0,0,0,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9.5,14.3,2,1,9.1,4.5,1,1,4.8,4.8
난곡동,11620775,dong,1,1,5.3,5.3,1,2,5.3,10.5,2,1,9.5,4.8,0,2,0,10,1,0,4.5,0,0,0,0,0,0,0,0,0,1,1,4.8,4.8
서초구,11650,gu,11,14,2.1,2.7,20,25,3.8,4.8,16,29,3.1,5.6,16,17,3.1,3.3,12,24,2.3,4.6,10,23,1.9,4.3,13,16,2.4,2.9,9,13,1.6,2.3
서초1동,11650510,dong,0,1,0,2.9,2,4,5.7,11.4,2,1,5.6,2.8,0,0,0,0,1,3,2.9,8.8,0,0,0,0,1,1,2.8,2.8,1,0,2.8,0
서초2동,11650520,dong,0,0,0,0,2,2,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,2,4.8,4.8,0,2,0,4.8
서초3동,11650530,dong,2,1,2.6,1.3,1,3,1.3,3.9,3,6,3.8,7.7,1,1,1.2,1.2,1,4,1.2,4.9,2,2,2.4,2.4,2,3,2.4,3.6,1,2,1.2,2.4
서초4동,11650531,dong,0,3,0,8.6,1,1,2.6,2.6,1,1,2.6,2.6,0,0,0,0,0,0,0,0,2,3,5.7,8.6,0,0,0,0,0,1,0,2.8
잠원동,11650540,dong,0,1,0,3.6,1,2,3.4,6.9,1,3,3.4,10.3,2,3,6.5,9.7,3,4,9.4,12.5,0,1,0,3,0,1,0,2.9,0,2,0,5.7
반포본동,11650550,dong,0,1,0,14.3,1,0,12.5,0,0,1,0,12.5,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5,0
반포1동,11650560,dong,0,1,0,3.7,0,0,0,0,0,2,0,7.4,2,1,6.9,3.4,1,1,3.4,3.4,0,0,0,0,1,0,3.4,0,1,1,3.6,3.6
반포2동,11650570,dong,0,0,0,0,0,0,0,0,0,2,0,28.6,2,0,22.2,0,0,1,0,14.3,0,2,0,25,1,0,10,0,1,1,11.1,11.1
반포3동,11650580,dong,0,0,0,0,0,1,0,10,1,0,9.1,0,1,0,10,0,2,0,22.2,0,0,1,0,14.3,0,0,0,0,0,0,0,0
반포4동,11650581,dong,3,0,6.7,0,3,1,7.1,2.4,2,2,5.4,5.4,1,3,2.7,8.1,0,1,0,2.5,1,2,2.4,4.9,0,0,0,0,1,1,2.4,2.4
방배본동,11650590,dong,1,0,4.8,0,0,0,0,0,0,1,0,4.8,2,0,9.1,0,0,1,0,5,1,3,4.8,14.3,0,1,0,4.3,0,0,0,0
방배1동,11650600,dong,2,0,9.5,0,3,2,15.8,10.5,0,0,0,0,0,1,0,5.9,0,0,0,0,0,0,0,0,2,1,11.1,5.6,0,0,0,0
방배2동,11650610,dong,0,0,0,0,0,1,0,4,1,2,4.2,8.3,0,1,0,4.2,2,3,8,12,1,1,3.8,3.8,0,1,0,3.8,0,0,0,0
방배3동,11650620,dong,0,0,0,0,0,0,0,0,1,1,5.3,5.3,0,0,0,0,0,0,0,0,1,0,5.6,0,0,1,0,5.9,1,0,5.6,0
방배4동,11650621,dong,2,1,9.1,4.5,1,2,4.8,9.5,0,1,0,4.3,1,2,4.3,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양재1동,11650651,dong,1,4,2.3,9.3,3,2,6.5,4.3,1,2,2.3,4.5,1,2,2.2,4.3,0,1,0,2.2,0,2,0,4.3,2,2,4.1,4.1,1,2,2,4.1
양재2동,11650652,dong,0,1,0,2.3,2,4,4.5,9.1,3,3,6.7,6.7,0,1,0,2.2,1,4,2.2,8.7,2,4,4.1,8.2,1,3,2,5.9,1,1,1.9,1.9
내곡동,11650660,dong,0,0,0,0,0,0,0,0,0,1,0,8.3,2,2,15.4,15.4,1,1,7.7,7.7,0,0,0,0,1,0,7.7,0,0,0,0,0
강남구,11680,gu,26,42,2.7,4.4,23,34,2.4,3.5,23,44,2.2,4.2,35,40,3.6,4.1,38,32,3.9,3.3,32,43,3.3,4.4,39,45,4,4.6,43,47,4.4,4.8
신사동,11680510,dong,0,3,0,7.1,1,1,2.2,2.2,1,1,2.3,2.3,1,1,2.3,2.3,1,3,2.3,6.8,1,4,2.2,8.7,1,1,2,2,3,4,6.1,8.2
논현1동,11680521,dong,0,1,0,1.3,3,3,3.8,3.8,1,4,1.3,5,4,2,4.9,2.4,2,1,2.5,1.3,1,4,1.3,5.1,3,2,3.7,2.4,1,3,1.2,3.7
논현2동,11680531,dong,4,5,5.4,6.8,1,3,1.4,4.1,1,4,1.3,5.3,5,3,6.4,3.8,4,4,5.2,5.2,3,3,3.9,3.9,3,6,3.9,7.8,4,2,5,2.5
압구정동,11680545,dong,0,0,0,0,2,4,3.6,7.3,1,3,1.8,5.5,1,4,1.9,7.4,3,2,5.3,3.5,3,0,5.4,0,1,1,1.9,1.9,0,3,0,5.7
청담동,11680565,dong,4,5,7.4,9.3,1,3,1.8,5.5,2,3,3.5,5.3,2,3,3.6,5.5,1,1,1.8,1.8,2,4,3.6,7.3,3,6,5.3,10.5,3,3,5,5
삼성1동,11680580,dong,6,6,10.3,10.3,2,1,3.4,1.7,1,1,1.8,1.8,0,1,0,1.9,3,3,5.5,5.5,3,1,5.5,1.8,1,4,1.9,7.5,0,1,0,1.8
삼성2동,11680590,dong,3,3,5.8,5.8,1,1,1.9,1.9,2,3,3.9,5.9,0,0,0,0,2,2,3.9,3.9,1,2,2,3.9,3,4,5.8,7.7,1,3,1.9,5.7
대치1동,11680600,dong,0,0,0,0,1,3,4.8,14.3,2,2,8.7,8.7,0,0,0,0,0,0,0,0,0,4,0,17.4,3,0,11.1,0,3,2,12.5,8.3
대치2동,11680610,dong,2,2,4.3,4.3,0,2,0,4.3,1,2,2,4,0,0,0,0,2,0,4.1,0,0,2,0,4.3,2,5,4.1,10.2,4,2,7.7,3.8
대치4동,11680630,dong,0,1,0,1.6,0,1,0,1.6,2,1,3.2,1.6,5,6,8.2,9.8,5,5,8.2,8.2,0,1,0,1.6,0,0,0,0,2,6,3.2,9.7
역삼1동,11680640,dong,5,9,2.6,4.7,6,6,3,3,2,8,0.9,3.4,9,10,4.5,5,7,5,3.5,2.5,8,5,4,2.5,9,8,4.6,4.1,10,7,5.2,3.6
역삼2동,11680650,dong,0,3,0,5.6,2,1,3.5,1.8,2,3,2.8,4.2,0,0,0,0,1,0,1.9,0,0,3,0,5.7,1,2,1.8,3.6,4,3,7,5.3
도곡1동,11680655,dong,1,3,3.8,11.5,0,1,0,3.6,2,4,4.7,9.3,2,2,7.1,7.1,2,0,6.9,0,0,2,0,7.4,1,0,3.4,0,0,0,0,0
도곡2동,11680656,dong,0,0,0,0,2,2,8.3,8.3,0,2,0,6.1,2,2,8,8,1,0,4,0,1,0,4.2,0,3,2,13,8.7,0,2,0,9.1
개포1동,11680660,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
개포2동,11680670,dong,0,1,0,10,1,0,9.1,0,0,0,0,0,0,1,0,10,0,1,0,9.1,2,1,16.7,8.3,0,0,0,0,0,1,0,9.1
개포4동,11680690,dong,0,0,0,0,0,2,0,7.4,0,2,0,5.7,0,1,0,3.2,1,1,3.1,3.1,1,1,3.1,3.1,2,0,6.3,0,3,2,10,6.7
세곡동,11680700,dong,0,0,0,0,0,0,0,0,1,0,4.3,0,3,2,13,8.7,1,2,4.5,9.1,3,1,13,4.3,0,1,0,4.8,1,1,4.5,4.5
일원본동,11680720,dong,1,0,8.3,0,0,0,0,0,1,0,9.1,0,0,0,0,0,0,1,0,10,0,0,0,0,1,2,9.1,18.2,1,0,8.3,0
일원1동,11680730,dong,0,0,0,0,0,0,0,0,1,1,8.3,8.3,1,1,8.3,8.3,1,1,8.3,8.3,0,2,0,16.7,2,1,14.3,7.1,2,1,15.4,7.7
일원2동,11680740,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.3,0,0,1,0,16.7,0,0,0,0,1,1,14.3,14.3
수서동,11680750,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.3,0,0,0,0,3,2,15,10,0,0,0,0,0,0,0,0
송파구,11710,gu,29,25,4.5,3.9,22,22,3.4,3.4,13,20,2.1,3.2,25,21,4,3.3,20,23,3.2,3.7,20,23,3.2,3.7,20,32,3.2,5.1,22,28,3.4,4.4
풍납1동,11710510,dong,0,1,0,12.5,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5,0,0,0,0
풍납2동,11710520,dong,0,0,0,0,1,1,4.8,4.8,2,1,9.5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11.1,11.1
거여1동,11710531,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3,0,1,0,7.7,0,0,0,0
거여2동,11710532,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.1,0,0,0,0,0,0,0,0
마천1동,11710540,dong,1,0,7.1,0,1,0,7.7,0,0,0,0,0,0,0,0,0,1,2,10,20,0,0,0,0,0,1,0,9.1,1,0,8.3,0
마천2동,11710550,dong,1,1,9.1,9.1,0,0,0,0,0,1,0,9.1,2,0,16.7,0,1,1,10,10,0,0,0,0,0,1,0,10,2,0,18.2,0
방이1동,11710561,dong,1,0,5,0,1,2,5.3,10.5,1,2,5,10,0,0,0,0,0,1,0,4.5,1,1,4.3,4.3,0,1,0,4.3,2,2,8.3,8.3
방이2동,11710562,dong,4,3,9.5,7.1,3,1,7.5,2.5,0,0,0,0,2,3,5.4,8.1,0,2,0,5.3,3,3,7.5,7.5,2,0,5,0,1,1,2.6,2.6
오륜동,11710566,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.7,1,0,6.3,0,2,0,13.3,0,0,0,0,0,0,0,0,0
오금동,11710570,dong,5,1,11.6,2.3,2,1,5.1,2.6,2,4,5.3,10.5,0,0,0,0,1,0,2.5,0,1,0,2.6,0,0,0,0,0,3,1,7.9,2.6
송파1동,11710580,dong,2,1,7.4,3.7,2,2,7.7,7.7,0,0,0,0,2,2,8.3,8.3,0,1,0,4.2,1,1,4,4,0,0,0,0,0,1,0,4
송파2동,11710590,dong,1,0,6.3,0,2,1,13.3,6.7,0,1,0,7.7,1,0,5.9,0,0,0,0,0,1,0,7.7,0,0,0,0,0,0,0,0,0
석촌동,11710600,dong,1,1,2.2,2.2,1,1,2.2,2.2,0,2,0,4.5,3,2,6.5,4.3,1,0,2.2,0,2,1,4.5,2.3,1,3,2.3,7,1,3,2.2,6.7
삼전동,11710610,dong,1,1,2.7,2.7,1,1,2.7,2.7,0,0,0,0,1,2,2.9,5.7,1,1,2.8,2.8,1,0,2.8,0,1,2,2.9,5.7,2,2,5.6,5.6
가락본동,11710620,dong,1,2,2.4,4.9,0,1,0,2.4,0,1,0,2.4,2,3,4.8,7.1,2,2,4.7,4.7,1,2,2.3,4.7,1,0,2.3,0,1,2,2.3,4.7
가락1동,11710631,dong,0,0,0,0,0,0,0,0,1,0,8.3,0,5,0,45.5,0,2,0,33.3,0,0,1,0,25,0,0,0,0,0,0,0,0
가락2동,11710632,dong,1,1,5,5,1,2,5,10,3,1,14.3,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.3,5.3
문정1동,11710641,dong,1,2,7.7,15.4,0,2,0,14.3,0,1,0,6.3,2,0,11.8,0,0,1,0,6.7,0,2,0,12.5,1,1,5.6,5.6,0,2,0,11.1
