NM,CD,GUBUN,2018년2분기30년기준,2018년2분기10년기준,2019년2분기30년기준,2019년2분기10년기준,2020년2분기30년기준,2020년2분기10년기준
길음1동,11290660,dong,4.125,2,4.458333333,2.366666667,4.225,2.466666667
길음2동,11290685,dong,6.3,4.591666667,6.591666667,4.891666667,5.583333333,3.675
종암동,11290705,dong,4.9,3.216666667,5.233333333,2.975,5.45,3.516666667
월곡1동,11290715,dong,3.375,2.583333333,3.441666667,2.741666667,3.6,2.933333333
월곡2동,11290725,dong,4.283333333,2.375,4.391666667,2.225,4.475,2.45
장위1동,11290760,dong,5.05,3.35,5.741666667,4.258333333,6.008333333,4.766666667
장위2동,11290770,dong,3.85,3.183333333,3.841666667,3.283333333,3.966666667,3.233333333
장위3동,11290780,dong,8.341666667,4.291666667,8.641666667,2.808333333,6.125,1.483333333
석관동,11290810,dong,4.983333333,4.175,4.85,3.516666667,5.183333333,3.825
강북구,11305,gu,4.575,3.275,4.566666667,3.15,4.691666667,3.275
삼양동,11305534,dong,3.8,2.6,4.075,2.608333333,4.158333333,2.883333333
미아동,11305535,dong,4.575,3.575,4.158333333,2.941666667,4.683333333,3.35
송중동,11305545,dong,4.058333333,3.108333333,3.975,2.608333333,4.058333333,2.791666667
송천동,11305555,dong,3.358333333,3.025,3.733333333,3.341666667,3.725,3.275
삼각산동,11305575,dong,3.625,2.391666667,3.925,2.766666667,4.533333333,2.825
번1동,11305590,dong,5.133333333,3.725,5.241666667,3.716666667,5.491666667,3.958333333
번2동,11305600,dong,5.391666667,4.275,6.091666667,5.275,6.183333333,5.5
번3동,11305606,dong,4.858333333,3.133333333,5.008333333,3.35,4.5,3.191666667
수유1동,11305610,dong,4.966666667,3.858333333,4.866666667,3.458333333,4.516666667,3.1
수유2동,11305620,dong,4.583333333,2.825,4.733333333,3.125,4.691666667,3.083333333
수유3동,11305630,dong,5.766666667,3.375,5.716666667,3.225,5.983333333,3.65
우이동,11305645,dong,3.8,3.383333333,3.45,2.733333333,3.716666667,2.55
인수동,11305660,dong,4.533333333,3.05,4.508333333,3.125,4.5,3.266666667
도봉구,11320,gu,4.891666667,3.433333333,4.983333333,3.375,5.033333333,3.316666667
창1동,11320511,dong,6.3,3.741666667,6.625,3.841666667,6.066666667,3.116666667
창2동,11320512,dong,5.266666667,2.975,5.5,3.25,5.325,3.1
창3동,11320513,dong,3.858333333,3.25,4.308333333,3.608333333,4.075,3.508333333
창4동,11320514,dong,5.208333333,2.966666667,5.066666667,2.541666667,5.233333333,2.616666667
창5동,11320515,dong,4.358333333,3.4,4.466666667,3,4.908333333,3.658333333
도봉1동,11320521,dong,5.875,3.725,6.166666667,3.875,5.558333333,3.625
도봉2동,11320522,dong,2.933333333,2.483333333,2.825,2.425,3.1,2.758333333
쌍문1동,11320660,dong,5.558333333,4.4,5.533333333,3.833333333,5.983333333,3.908333333
쌍문2동,11320670,dong,4.091666667,2.791666667,4.158333333,2.866666667,4.375,3.066666667
쌍문3동,11320680,dong,5.258333333,3.958333333,5.391666667,4.2,5.866666667,4.75
쌍문4동,11320681,dong,4.333333333,4.183333333,4.783333333,4.508333333,4.858333333,2.716666667
방학1동,11320690,dong,5.675,4.383333333,5.666666667,4.266666667,5.558333333,3.583333333
방학2동,11320700,dong,4.791666667,3.266666667,5.058333333,3.566666667,4.925,3.225
방학3동,11320710,dong,4.091666667,2.65,3.933333333,2.35,4.175,2.6
노원구,11350,gu,4.783333333,3.133333333,4.841666667,2.966666667,4.9,3.075
월계1동,11350560,dong,5.316666667,3.308333333,5.133333333,2.983333333,5.55,3.208333333
월계2동,11350570,dong,5.425,2.5,5.841666667,3.033333333,5.875,3.175
월계3동,11350580,dong,5.375,3.441666667,5.908333333,4.191666667,4.275,3.458333333
공릉1동,11350595,dong,4.291666667,2.858333333,4.475,2.933333333,4.466666667,3.133333333
공릉2동,11350600,dong,5.2,3.166666667,5.325,3.083333333,5.291666667,3.308333333
하계1동,11350611,dong,5.65,4.625,5.858333333,3.158333333,6.066666667,3.533333333
하계2동,11350612,dong,5.016666667,2.5,4.683333333,2.4,4.675,2.608333333
중계본동,11350619,dong,4.95,3.166666667,5.108333333,3.025,5.2,3.1
중계1동,11350621,dong,3.975,3.175,4.15,3.266666667,3.991666667,3.025
중계4동,11350624,dong,4.775,3.566666667,4.716666667,3.533333333,5.141666667,3.908333333
중계2.3동,11350625,dong,5.258333333,3.325,5.95,3.2,6.216666667,2.841666667
상계1동,11350630,dong,3.583333333,2.716666667,3.791666667,2.866666667,3.941666667,3.066666667
