NM,CD,GUBUN,20182분기소득분위,20182분위가구수,20192분기소득분위,20192분기가구수,20202분기소분분위,20202분기가구수
광진구,11215,gu,"7분위:2,983,559~3,741,082원",160030,"7분위:2,983,559~3,741,082원",162119,"7분위:2,983,559~3,741,082원",163696
화양동,11215710,dong,"6분위:2,440,600~2,983,558원",15105,"6분위:2,440,600~2,983,558원",15302,"6분위:2,440,600~2,983,558원",15939
군자동,11215730,dong,"6분위:2,440,600~2,983,558원",10272,"6분위:2,440,600~2,983,558원",10252,"6분위:2,440,600~2,983,558원",10539
중곡1동,11215740,dong,"6분위:2,440,600~2,983,558원",7735,"6분위:2,440,600~2,983,558원",7939,"6분위:2,440,600~2,983,558원",8349
중곡2동,11215750,dong,"6분위:2,440,600~2,983,558원",10195,"6분위:2,440,600~2,983,558원",10232,"6분위:2,440,600~2,983,558원",10327
중곡3동,11215760,dong,"6분위:2,440,600~2,983,558원",8347,"5분위:2,020,852~2,440,599원",8406,"5분위:2,020,852~2,440,599원",8436
중곡4동,11215770,dong,"6분위:2,440,600~2,983,558원",13129,"6분위:2,440,600~2,983,558원",13175,"6분위:2,440,600~2,983,558원",13053
능동,11215780,dong,"7분위:2,983,559~3,741,082원",6092,"6분위:2,440,600~2,983,558원",6120,"6분위:2,440,600~2,983,558원",6221
광장동,11215810,dong,"9분위:4,890,362~6,945,811원",11670,"9분위:4,890,362~6,945,811원",11643,"9분위:4,890,362~6,945,811원",12011
자양1동,11215820,dong,"6분위:2,440,600~2,983,558원",11051,"6분위:2,440,600~2,983,558원",11262,"6분위:2,440,600~2,983,558원",11499
자양2동,11215830,dong,"7분위:2,983,559~3,741,082원",11183,"6분위:2,440,600~2,983,558원",11302,"7분위:2,983,559~3,741,082원",11222
자양3동,11215840,dong,"8분위:3,741,083~4,890,361원",11881,"8분위:3,741,083~4,890,361원",11849,"8분위:3,741,083~4,890,361원",11789
자양4동,11215847,dong,"7분위:2,983,559~3,741,082원",9301,"7분위:2,983,559~3,741,082원",10194,"7분위:2,983,559~3,741,082원",8860
구의1동,11215850,dong,"6분위:2,440,600~2,983,558원",11487,"6분위:2,440,600~2,983,558원",11542,"6분위:2,440,600~2,983,558원",11676
구의2동,11215860,dong,"6분위:2,440,600~2,983,558원",10655,"6분위:2,440,600~2,983,558원",10614,"6분위:2,440,600~2,983,558원",11636
구의3동,11215870,dong,"8분위:3,741,083~4,890,361원",11927,"8분위:3,741,083~4,890,361원",12287,"8분위:3,741,083~4,890,361원",12139
동대문구,11230,gu,"7분위:2,983,559~3,741,082원",158664,"7분위:2,983,559~3,741,082원",159751,"7분위:2,983,559~3,741,082원",161656
용신동,11230536,dong,"7분위:2,983,559~3,741,082원",16257,"6분위:2,440,600~2,983,558원",16319,"6분위:2,440,600~2,983,558원",16973
제기동,11230545,dong,"6분위:2,440,600~2,983,558원",12288,"6분위:2,440,600~2,983,558원",12535,"6분위:2,440,600~2,983,558원",12900
전농1동,11230560,dong,"7분위:2,983,559~3,741,082원",13978,"7분위:2,983,559~3,741,082원",14700,"7분위:2,983,559~3,741,082원",15079
전농2동,11230570,dong,"7분위:2,983,559~3,741,082원",7590,"7분위:2,983,559~3,741,082원",7656,"7분위:2,983,559~3,741,082원",7734
답십리1동,11230600,dong,"7분위:2,983,559~3,741,082원",11536,"7분위:2,983,559~3,741,082원",11848,"7분위:2,983,559~3,741,082원",13154
답십리2동,11230610,dong,"7분위:2,983,559~3,741,082원",10933,"6분위:2,440,600~2,983,558원",11101,"7분위:2,983,559~3,741,082원",12018
장안1동,11230650,dong,"6분위:2,440,600~2,983,558원",16915,"6분위:2,440,600~2,983,558원",16814,"6분위:2,440,600~2,983,558원",17403
장안2동,11230660,dong,"7분위:2,983,559~3,741,082원",12301,"6분위:2,440,600~2,983,558원",12426,"6분위:2,440,600~2,983,558원",12984
청량리동,11230705,dong,"6분위:2,440,600~2,983,558원",10394,"6분위:2,440,600~2,983,558원",10413,"6분위:2,440,600~2,983,558원",10461
회기동,11230710,dong,"7분위:2,983,559~3,741,082원",5759,"7분위:2,983,559~3,741,082원",5834,"7분위:2,983,559~3,741,082원",5891
휘경1동,11230720,dong,"7분위:2,983,559~3,741,082원",6813,"7분위:2,983,559~3,741,082원",6909,"7분위:2,983,559~3,741,082원",6734
휘경2동,11230730,dong,"7분위:2,983,559~3,741,082원",11023,"7분위:2,983,559~3,741,082원",11135,"7분위:2,983,559~3,741,082원",11506
이문1동,11230740,dong,"6분위:2,440,600~2,983,558원",14185,"6분위:2,440,600~2,983,558원",13388,"6분위:2,440,600~2,983,558원",10404
이문2동,11230750,dong,"7분위:2,983,559~3,741,082원",8692,"7분위:2,983,559~3,741,082원",8673,"7분위:2,983,559~3,741,082원",8415
중랑구,11260,gu,"6분위:2,440,600~2,983,558원",177924,"6분위:2,440,600~2,983,558원",179738,"6분위:2,440,600~2,983,558원",180682
면목2동,11260520,dong,"5분위:2,020,852~2,440,599원",12088,"5분위:2,020,852~2,440,599원",12162,"5분위:2,020,852~2,440,599원",12228
면목4동,11260540,dong,"6분위:2,440,600~2,983,558원",9459,"6분위:2,440,600~2,983,558원",9414,"6분위:2,440,600~2,983,558원",9253
면목5동,11260550,dong,"5분위:2,020,852~2,440,599원",4572,"5분위:2,020,852~2,440,599원",4551,"5분위:2,020,852~2,440,599원",4549
면목본동,11260565,dong,"5분위:2,020,852~2,440,599원",17251,"5분위:2,020,852~2,440,599원",17389,"5분위:2,020,852~2,440,599원",17590
면목7동,11260570,dong,"6분위:2,440,600~2,983,558원",10073,"6분위:2,440,600~2,983,558원",10079,"6분위:2,440,600~2,983,558원",9958
면목3.8동,11260575,dong,"6분위:2,440,600~2,983,558원",12202,"5분위:2,020,852~2,440,599원",12283,"5분위:2,020,852~2,440,599원",12571
상봉1동,11260580,dong,"7분위:2,983,559~3,741,082원",10063,"7분위:2,983,559~3,741,082원",10491,"6분위:2,440,600~2,983,558원",10100
상봉2동,11260590,dong,"6분위:2,440,600~2,983,558원",9711,"6분위:2,440,600~2,983,558원",9983,"6분위:2,440,600~2,983,558원",10687
중화1동,11260600,dong,"6분위:2,440,600~2,983,558원",8728,"6분위:2,440,600~2,983,558원",9099,"6분위:2,440,600~2,983,558원",8970
중화2동,11260610,dong,"5분위:2,020,852~2,440,599원",14230,"5분위:2,020,852~2,440,599원",14288,"5분위:2,020,852~2,440,599원",14152
묵1동,11260620,dong,"7분위:2,983,559~3,741,082원",14407,"7분위:2,983,559~3,741,082원",14595,"7분위:2,983,559~3,741,082원",14574
묵2동,11260630,dong,"6분위:2,440,600~2,983,558원",9052,"6분위:2,440,600~2,983,558원",9010,"6분위:2,440,600~2,983,558원",9143
망우본동,11260655,dong,"6분위:2,440,600~2,983,558원",14495,"5분위:2,020,852~2,440,599원",14518,"6분위:2,440,600~2,983,558원",14662
망우3동,11260660,dong,"5분위:2,020,852~2,440,599원",8450,"5분위:2,020,852~2,440,599원",8467,"5분위:2,020,852~2,440,599원",8424
신내1동,11260680,dong,"6분위:2,440,600~2,983,558원",14150,"6분위:2,440,600~2,983,558원",14415,"6분위:2,440,600~2,983,558원",14769
신내2동,11260690,dong,"7분위:2,983,559~3,741,082원",8993,"7분위:2,983,559~3,741,082원",8994,"7분위:2,983,559~3,741,082원",9052
성북구,11290,gu,"7분위:2,983,559~3,741,082원",185478,"7분위:2,983,559~3,741,082원",185793,"7분위:2,983,559~3,741,082원",182262
성북동,11290525,dong,"8분위:3,741,083~4,890,361원",5818,"7분위:2,983,559~3,741,082원",6003,"7분위:2,983,559~3,741,082원",5960
삼선동,11290555,dong,"7분위:2,983,559~3,741,082원",16415,"7분위:2,983,559~3,741,082원",16571,"7분위:2,983,559~3,741,082원",16110
동선동,11290575,dong,"7분위:2,983,559~3,741,082원",8908,"7분위:2,983,559~3,741,082원",8932,"7분위:2,983,559~3,741,082원",9094
돈암1동,11290580,dong,"7분위:2,983,559~3,741,082원",6103,"7분위:2,983,559~3,741,082원",6109,"7분위:2,983,559~3,741,082원",6158
돈암2동,11290590,dong,"8분위:3,741,083~4,890,361원",6462,"8분위:3,741,083~4,890,361원",6498,"8분위:3,741,083~4,890,361원",6529
안암동,11290600,dong,"7분위:2,983,559~3,741,082원",8584,"6분위:2,440,600~2,983,558원",8660,"6분위:2,440,600~2,983,558원",3761
보문동,11290610,dong,"7분위:2,983,559~3,741,082원",7962,"7분위:2,983,559~3,741,082원",7966,"7분위:2,983,559~3,741,082원",7317
정릉1동,11290620,dong,"7분위:2,983,559~3,741,082원",7858,"7분위:2,983,559~3,741,082원",7874,"7분위:2,983,559~3,741,082원",7861
정릉2동,11290630,dong,"7분위:2,983,559~3,741,082원",9790,"6분위:2,440,600~2,983,558원",9865,"6분위:2,440,600~2,983,558원",9876
정릉3동,11290640,dong,"6분위:2,440,600~2,983,558원",7254,"6분위:2,440,600~2,983,558원",7346,"6분위:2,440,600~2,983,558원",7631
정릉4동,11290650,dong,"7분위:2,983,559~3,741,082원",10976,"7분위:2,983,559~3,741,082원",11020,"7분위:2,983,559~3,741,082원",10916
길음1동,11290660,dong,"8분위:3,741,083~4,890,361원",12111,"8분위:3,741,083~4,890,361원",12151,"8분위:3,741,083~4,890,361원",11993
길음2동,11290685,dong,"7분위:2,983,559~3,741,082원",3209,"7분위:2,983,559~3,741,082원",3176,"7분위:2,983,559~3,741,082원",5033
종암동,11290705,dong,"7분위:2,983,559~3,741,082원",16994,"7분위:2,983,559~3,741,082원",17097,"7분위:2,983,559~3,741,082원",17142
월곡1동,11290715,dong,"7분위:2,983,559~3,741,082원",12468,"7분위:2,983,559~3,741,082원",12449,"7분위:2,983,559~3,741,082원",12542
월곡2동,11290725,dong,"7분위:2,983,559~3,741,082원",8826,"7분위:2,983,559~3,741,082원",8922,"7분위:2,983,559~3,741,082원",9149
장위1동,11290760,dong,"5분위:2,020,852~2,440,599원",8840,"5분위:2,020,852~2,440,599원",8937,"5분위:2,020,852~2,440,599원",8963
장위2동,11290770,dong,"5분위:2,020,852~2,440,599원",7397,"5분위:2,020,852~2,440,599원",6731,"5분위:2,020,852~2,440,599원",6234
장위3동,11290780,dong,"7분위:2,983,559~3,741,082원",4867,"7분위:2,983,559~3,741,082원",4853,"7분위:2,983,559~3,741,082원",4948
석관동,11290810,dong,"6분위:2,440,600~2,983,558원",14636,"6분위:2,440,600~2,983,558원",14633,"6분위:2,440,600~2,983,558원",15045
강북구,11305,gu,"6분위:2,440,600~2,983,558원",142671,"6분위:2,440,600~2,983,558원",143242,"6분위:2,440,600~2,983,558원",144059
삼양동,11305534,dong,"6분위:2,440,600~2,983,558원",12461,"6분위:2,440,600~2,983,558원",11903,"6분위:2,440,600~2,983,558원",11550
미아동,11305535,dong,"5분위:2,020,852~2,440,599원",11119,"5분위:2,020,852~2,440,599원",11237,"5분위:2,020,852~2,440,599원",11399
송중동,11305545,dong,"6분위:2,440,600~2,983,558원",13067,"6분위:2,440,600~2,983,558원",13012,"6분위:2,440,600~2,983,558원",13724
송천동,11305555,dong,"6분위:2,440,600~2,983,558원",13588,"6분위:2,440,600~2,983,558원",13846,"6분위:2,440,600~2,983,558원",13677
삼각산동,11305575,dong,"8분위:3,741,083~4,890,361원",11782,"8분위:3,741,083~4,890,361원",11784,"7분위:2,983,559~3,741,082원",11657
번1동,11305590,dong,"5분위:2,020,852~2,440,599원",10065,"5분위:2,020,852~2,440,599원",10149,"5분위:2,020,852~2,440,599원",10240
번2동,11305600,dong,"5분위:2,020,852~2,440,599원",7520,"5분위:2,020,852~2,440,599원",7598,"5분위:2,020,852~2,440,599원",7586
번3동,11305606,dong,"6분위:2,440,600~2,983,558원",7611,"6분위:2,440,600~2,983,558원",7621,"6분위:2,440,600~2,983,558원",7592
수유1동,11305610,dong,"5분위:2,020,852~2,440,599원",10253,"5분위:2,020,852~2,440,599원",10359,"5분위:2,020,852~2,440,599원",10394
수유2동,11305620,dong,"6분위:2,440,600~2,983,558원",9514,"6분위:2,440,600~2,983,558원",9570,"6분위:2,440,600~2,983,558원",9743
수유3동,11305630,dong,"5분위:2,020,852~2,440,599원",12207,"5분위:2,020,852~2,440,599원",12377,"5분위:2,020,852~2,440,599원",12498
우이동,11305645,dong,"6분위:2,440,600~2,983,558원",9368,"6분위:2,440,600~2,983,558원",9450,"6분위:2,440,600~2,983,558원",9484
인수동,11305660,dong,"5분위:2,020,852~2,440,599원",14116,"5분위:2,020,852~2,440,599원",14336,"5분위:2,020,852~2,440,599원",14515
