NM,CD,GUBUN,20182분기1층,20192분기1층,20202분기1층,20182분기1층외,20192분기1층외,20202분기1층외,20182분기전체,20192분기전체,20202분기전체
11350600,공릉2동,dong,97328,140378,120824,60867,54931,82604,83761,111896,102934
11350611,하계1동,dong,87420,107662,100393,113816,100550,73784,103917,103217,85268
11350612,하계2동,dong, , ,174586,61140,57281,95067, , ,137477
11350619,중계본동,dong,152734,112986,128484,85299,68459,73800,117995,87687,96447
11350621,중계1동,dong,210576,171461,228056,96259,63694,91343,128921,105143,137506
11350624,중계4동,dong,143662,103525,152226,43532,89932,58390,103610,96934,106926
11350625,중계2.3동,dong,208505,245656,176838,79495,92311,83975,116949,137037,111834
11350630,상계1동,dong,117448,117979,124155,59231,49605,51611,94161,96816,90812
11350640,상계2동,dong,151481,185410,151049,78923,109631,85535,122719,147862,122898
11350665,상계3.4동,dong,82843,75983,90160,74155,41416,45947,80063,64101,78951
11350670,상계5동,dong,94242,88078,102078,29577,45144,39068,67173,68201,74431
11350695,상계6.7동,dong,158613,184853,198330,71650,91756,90704,118194,135855,133918
11350700,상계8동,dong,185570, ,163237,32774, ,59285,134638, ,113624
11350710,상계9동,dong,156429,132678,204162,66543,55209,55313,102498,104507,110323
11350720,상계10동,dong, , ,188675,65308,46341,57421, , ,93629
11380,은평구,gu,99553,106182,110909,63374,67408,72227,87871,92886,96220
11380510,녹번동,dong,96273,107256,104302,61135,61624,69272,83171,89636,89313
11380520,불광1동,dong,117929,133751,128478,64643,64281,59970,105067,108742,102572
11380530,불광2동,dong,104358,116847,144442,54959,58155,72285,86334,100360,115959
11380551,갈현1동,dong,95771,127468,109995,67983,60048,68262,84927,104742,94016
11380552,갈현2동,dong,109404,93562,111055,37957,43086,58262,92702,79706,92406
11380560,구산동,dong,83293,65642,103211,38843,67756,63846,72664,66480,88306
11380570,대조동,dong,102072,123953,123595,72457,62907,93626,92595,103757,110764
11380580,응암1동,dong,115080,104676,114290,49507,83387,50225,85824,97580,88946
11380590,응암2동,dong,85725,117947,94917,66462,120496,94853,76093,118758,94890
11380600,응암3동,dong,93465,101563,109235,46290,50450,52050,80924,83411,92026
11380625,역촌동,dong,92550,97973,96218,60755,67826,57278,84120,86925,83195
11380631,신사1동,dong,93935,90614,93252,55287,108219,76167,86643,95830,87728
11380632,신사2동,dong,75108,76533,84341,32848,69761,82759,59118,72931,83870
11380640,증산동,dong,63743,78440,104629,58446,57713,53881,61801,73356,90374
11380650,수색동,dong,73809,97136,80087, ,69722,37764, ,88569,65437
11380690,진관동,dong,131409,130484,124679,122189,91968,105591,127352,116270,115091
11410,서대문구,gu,134330,123256,130370,71227,82505,75707,112836,106692,107116
11410520,천연동,dong,99609,129935,133552,86592,75429,66379,93325,107492,107465
11410555,북아현동,dong,188282,105222,134726,86067,106678,96341,154210,105742,119372
11410565,충현동,dong,108396,118171,114423,89838,112716,72195,100532,115833,94509
11410585,신촌동,dong,217905,190797,187060,84050,94891,86988,162636,143103,137483
11410615,연희동,dong,105565,110370,94928,63951,87374,90252,88457,99523,92529
11410620,홍제1동,dong,119428,100415,156304,59652,42848,70565,98426,84224,125274
11410640,홍제3동,dong,104529,108586,120613,38681,80571,47664,92183,101725,104600
11410655,홍제2동,dong,121252,234712,115926,64262,69529,65592,102255,152120,92623
11410660,홍은1동,dong,102028,78321,85653,82854,53094,51487,97819,67284,70092
11410685,홍은2동,dong,107582,90499,100239,37952,55569,57959,83761,78273,84798
11410690,남가좌1동,dong,202508,137421,133985, ,77457,89429, ,116808,118024
11410700,남가좌2동,dong,84515,105295,117254,61085,70890,45491,79171,94196,93793
11410710,북가좌1동,dong, ,98704,111765, ,77985,82367, ,94200,101476
11410720,북가좌2동,dong,111716,83187,100277,33976,72144,55820,93341,78688,83858
11440,마포구,gu,149627,141500,146291,110291,99578,104173,127035,119977,122162
11440555,아현동,dong,206701,157396,159789,121530,101524,84704,160141,126868,114541
11440565,공덕동,dong,103366,93005,98573,73315,79996,84888,85270,87024,91588
11440585,도화동,dong,172000,202560,151398,102306,105870,114629,133358,150186,129337
11440590,용강동,dong,139479,165496,163062,88975,64738,101452,101601,93348,118205
11440600,대흥동,dong,131515,134605,160796,122616,77366,73029,127646,108439,118797
11440610,염리동,dong,120056,125407,156230,138982,91804,66743,129519,117406,123689
11440630,신수동,dong,132489,121770,112775,61326,63893,89761,102837,99409,100692
11440655,서강동,dong,155007,159598,150010,108110,95803,115409,130345,131018,130492
11440660,서교동,dong,174220,153770,167382,130971,119495,115290,146675,133860,133700
11440680,합정동,dong,137632,140609,136834,106725,89331,122209,120152,113084,128402
11440690,망원1동,dong,143486,130339,146018,79420,87732,91116,116306,115325,123169
11440700,망원2동,dong,105055,109939,114986,87004,59836,89898,98956,92433,104851
11440710,연남동,dong,124463,130961,134783,112797,104543,105063,116595,118288,120279
11440720,성산1동,dong,112213,105097,109252,63610,74309,67998,86676,90156,88766
11440730,성산2동,dong,141841,118071,123196,99760,78146,85165,121301,99644,104766
11440740,상암동,dong,179654,192119,182696,117969,122488,109340,140777,146708,134152
11470,양천구,gu,113300,121681,118804,64226,68869,70482,93040,98297,96310
11470510,목1동,dong,152416,200270,167303,85758,103119,112372,109938,141260,131652
11470520,목2동,dong,106250,101236,123602,75387,76329,79792,93023,89771,107215
11470530,목3동,dong,130152,119871,129992,53958,61293,59423,104364,91819,95349
11470540,목4동,dong,102755,93014,109560,49449,54743,46782,83371,80447,85557
11470550,목5동,dong,188222,179597,225344,78587,89721,83033,108488,131306,143385
11470560,신월1동,dong,92224,102844,83042,33829,63358,34027,82069,89682,68696
11470570,신월2동,dong,76263,96441,85564,54009,40876,50444,69045,62485,68004
11470580,신월3동,dong,87821,76592,83498,37942,51289,41133,68226,66953,68574
11470590,신월4동,dong,127282,78040,84868,65366,50679,45191,112221,71526,73160
11470600,신월5동,dong,70434,79424,82168,36737,30827,44604,58338,64342,71650
11470610,신월6동,dong,80162,98771,86665,69360,34666,43828,76874,78739,75446
11470611,신월7동,dong,77072,85517,89006,43236,47719,41271,68049,66989,70900
11470620,신정1동,dong,122610,119243,110205,47740,45840,63638,96043,90159,90200
11470630,신정2동,dong,110392,153387,104776,50785,67891,71340,90523,116535,87544
