NM,CD,GUBUN,2020년2분기전체점포,2020년2분기일반,2020년2분기프렌차이즈,2020년1분기전체점포,2020년1분기일반,2020년1분기프렌차이즈,2019년4분기전체점포,2019년4분기일반,2019년4분기프렌차이즈,2019년3분기전체점포,2019년3분기일반,2019년3분기프렌차이즈,2019년2분기전체점포,2019년2분기일반,2019년2분기프렌차이즈,2019년1분기전체점포,2019년1분기일반,2019년1분기프렌차이즈,2018년4분기전체점포,2018년4분기일반,2018년4분기프렌차이즈,2018년3분기전체점포,2018년3분기일반,2018년3분기프렌차이즈
강일동,11740515,dong,23,7,16,23,7,16,23,7,16,22,6,16,21,6,15,21,6,15,23,6,17,23,6,17
상일동,11740520,dong,15,1,14,11,0,11,11,0,11,11,0,11,11,0,11,11,0,11,11,0,11,11,0,11
명일1동,11740530,dong,17,1,16,17,1,16,19,2,17,19,2,17,18,1,17,19,1,18,19,1,18,19,1,18
명일2동,11740540,dong,17,3,14,17,3,14,16,3,13,17,4,13,18,4,14,15,3,12,14,3,11,17,3,14
고덕1동,11740550,dong,8,0,8,8,0,8,8,0,8,9,1,8,8,1,7,8,1,7,8,1,7,8,1,7
고덕2동,11740560,dong,8,3,5,7,2,5,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4
암사1동,11740570,dong,32,6,26,31,6,25,31,6,25,30,7,23,32,7,25,32,7,25,33,7,26,33,7,26
암사2동,11740580,dong,11,2,9,10,1,9,10,1,9,10,0,10,10,0,10,10,0,10,10,0,10,10,0,10
암사3동,11740590,dong,7,0,7,6,0,6,6,0,6,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7
천호1동,11740600,dong,25,4,21,25,4,21,24,4,20,23,6,17,23,6,17,23,6,17,25,7,18,24,7,17
천호2동,11740610,dong,49,7,42,48,7,41,49,7,42,47,11,36,48,11,37,50,11,39,51,12,39,52,12,40
천호3동,11740620,dong,27,8,19,27,8,19,26,8,18,29,9,20,29,9,20,30,9,21,30,10,20,30,9,21
성내1동,11740640,dong,21,2,19,22,3,19,21,2,19,22,4,18,23,4,19,23,5,18,23,4,19,23,4,19
성내2동,11740650,dong,25,4,21,25,4,21,26,3,23,25,4,21,26,4,22,25,4,21,25,4,21,24,4,20
성내3동,11740660,dong,31,6,25,31,6,25,34,6,28,32,5,27,31,5,26,33,6,27,35,6,29,35,6,29
길동,11740685,dong,58,10,48,60,10,50,59,10,49,61,14,47,62,14,48,65,14,51,62,13,49,62,13,49
둔촌1동,11740690,dong,5,1,4,5,1,4,5,1,4,4,1,3,4,1,3,4,1,3,4,1,3,3,1,2
둔촌2동,11740700,dong,20,3,17,20,3,17,20,3,17,20,5,15,22,5,17,21,6,15,23,7,16,23,7,16
