NM,CD,GUBUN,2020년2분기전체점포,2020년2분기일반,2020년2분기프렌차이즈,2020년1분기전체점포,2020년1분기일반,2020년1분기프렌차이즈,2019년4분기전체점포,2019년4분기일반,2019년4분기프렌차이즈,2019년3분기전체점포,2019년3분기일반,2019년3분기프렌차이즈,2019년2분기전체점포,2019년2분기일반,2019년2분기프렌차이즈,2019년1분기전체점포,2019년1분기일반,2019년1분기프렌차이즈,2018년4분기전체점포,2018년4분기일반,2018년4분기프렌차이즈,2018년3분기전체점포,2018년3분기일반,2018년3분기프렌차이즈
구의3동,11215870,dong,32,9,23,33,9,24,32,9,23,31,11,20,30,11,19,31,12,19,30,12,18,29,11,18
동대문구,11230,gu,386,64,322,392,59,333,381,57,324,376,75,301,379,69,310,379,71,308,392,73,319,392,75,317
용신동,11230536,dong,51,7,44,50,6,44,50,7,43,52,10,42,54,10,44,55,11,44,61,13,48,61,14,47
제기동,11230545,dong,30,3,27,31,3,28,31,3,28,28,4,24,27,3,24,27,3,24,27,3,24,27,3,24
전농1동,11230560,dong,29,5,24,31,5,26,27,4,23,27,5,22,29,5,24,30,5,25,30,5,25,30,5,25
전농2동,11230570,dong,16,2,14,16,2,14,16,3,13,16,4,12,16,4,12,15,4,11,15,4,11,15,4,11
답십리1동,11230600,dong,33,3,30,35,2,33,32,2,30,30,2,28,30,2,28,30,2,28,32,2,30,33,3,30
답십리2동,11230610,dong,16,2,14,16,2,14,17,2,15,17,1,16,17,1,16,17,1,16,16,1,15,17,1,16
장안1동,11230650,dong,54,15,39,55,14,41,55,14,41,52,16,36,56,15,41,53,15,38,54,14,40,52,13,39
장안2동,11230660,dong,38,4,34,38,4,34,35,4,31,35,5,30,34,5,29,32,4,28,32,4,28,33,4,29
청량리동,11230705,dong,17,4,13,16,3,13,16,3,13,16,4,12,16,4,12,18,5,13,17,5,12,17,5,12
회기동,11230710,dong,23,3,20,24,3,21,24,3,21,22,4,18,22,4,18,22,4,18,25,4,21,26,5,21
휘경1동,11230720,dong,18,4,14,19,4,15,17,3,14,18,6,12,16,5,11,17,6,11,18,6,12,17,6,11
휘경2동,11230730,dong,17,2,15,17,2,15,17,1,16,17,2,15,17,2,15,17,2,15,17,2,15,17,2,15
이문1동,11230740,dong,31,6,25,30,5,25,33,6,27,34,10,24,33,7,26,33,7,26,36,8,28,35,8,27
이문2동,11230750,dong,13,4,9,14,4,10,11,2,9,12,2,10,12,2,10,13,2,11,12,2,10,12,2,10
중랑구,11260,gu,311,45,266,311,43,268,304,39,265,298,59,239,302,59,243,295,56,239,298,57,241,298,56,242
면목2동,11260520,dong,22,3,19,22,3,19,23,3,20,21,6,15,21,6,15,21,6,15,21,6,15,21,6,15
면목4동,11260540,dong,14,2,12,13,1,12,12,1,11,11,1,10,11,1,10,11,1,10,11,1,10,13,1,12
면목5동,11260550,dong,7,0,7,7,0,7,7,0,7,7,1,6,6,1,5,7,1,6,6,1,5,6,1,5
면목본동,11260565,dong,30,4,26,30,3,27,28,2,26,28,4,24,30,4,26,29,4,25,30,4,26,29,3,26
면목7동,11260570,dong,18,6,12,18,6,12,17,6,11,17,6,11,17,6,11,17,6,11,17,6,11,17,6,11
면목3.8동,11260575,dong,20,2,18,21,2,19,21,2,19,21,4,17,21,4,17,20,4,16,21,4,17,20,4,16
상봉1동,11260580,dong,14,3,11,15,3,12,14,2,12,15,5,10,17,5,12,16,5,11,16,5,11,16,5,11
상봉2동,11260590,dong,36,7,29,34,7,27,34,7,27,35,8,27,37,9,28,36,9,27,36,9,27,37,9,28
중화1동,11260600,dong,18,2,16,20,2,18,19,1,18,18,2,16,20,2,18,18,1,17,18,1,17,19,1,18
중화2동,11260610,dong,20,1,19,18,1,17,16,0,16,15,2,13,15,2,13,13,1,12,14,1,13,13,1,12
묵1동,11260620,dong,22,4,18,23,4,19,24,3,21,23,4,19,22,3,19,23,3,20,24,4,20,23,4,19
묵2동,11260630,dong,17,1,16,17,1,16,16,1,15,15,2,13,14,2,12,15,2,13,14,2,12,13,1,12
망우본동,11260655,dong,31,2,29,31,2,29,31,2,29,29,4,25,29,4,25,28,3,25,29,3,26,30,4,26
망우3동,11260660,dong,12,1,11,11,1,10,11,1,10,12,1,11,11,1,10,11,1,10,11,1,10,11,1,10
신내1동,11260680,dong,20,4,16,21,4,17,21,5,16,22,7,15,22,7,15,21,7,14,21,7,14,21,7,14
신내2동,11260690,dong,10,3,7,10,3,7,10,3,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7
성북구,11290,gu,356,51,305,352,42,310,355,44,311,358,63,295,357,62,295,358,60,298,356,58,298,355,58,297
성북동,11290525,dong,17,5,12,17,5,12,15,5,10,15,7,8,15,7,8,15,7,8,15,7,8,16,7,9
삼선동,11290555,dong,32,4,28,32,4,28,34,4,30,36,7,29,36,7,29,37,7,30,34,6,28,37,6,31
동선동,11290575,dong,37,7,30,36,4,32,39,5,34,41,8,33,42,8,34,42,8,34,41,8,33,41,8,33
돈암1동,11290580,dong,7,1,6,6,0,6,6,0,6,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7
돈암2동,11290590,dong,5,1,4,5,0,5,5,0,5,5,1,4,5,1,4,6,1,5,6,1,5,4,0,4
안암동,11290600,dong,47,2,45,46,2,44,49,2,47,48,2,46,49,2,47,51,2,49,48,2,46,48,2,46
보문동,11290610,dong,17,3,14,17,3,14,17,4,13,18,5,13,18,5,13,19,5,14,21,5,16,19,5,14
정릉1동,11290620,dong,15,1,14,15,2,13,15,2,13,14,2,12,14,2,12,13,2,11,13,2,11,12,2,10
정릉2동,11290630,dong,16,4,12,16,4,12,14,4,10,15,4,11,14,4,10,15,4,11,15,4,11,15,4,11
정릉3동,11290640,dong,15,1,14,15,1,14,16,1,15,15,2,13,15,2,13,14,1,13,14,1,13,14,1,13
정릉4동,11290650,dong,18,4,14,16,2,14,16,2,14,16,2,14,15,2,13,14,1,13,14,1,13,15,2,13
길음1동,11290660,dong,7,1,6,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5
길음2동,11290685,dong,8,3,5,8,3,5,7,3,4,7,3,4,5,2,3,5,2,3,6,2,4,7,3,4
종암동,11290705,dong,27,2,25,27,2,25,27,2,25,27,3,24,27,3,24,26,2,24,27,2,25,27,2,25
월곡1동,11290715,dong,13,0,13,16,0,16,16,0,16,15,1,14,16,1,15,15,1,14,16,1,15,14,0,14
월곡2동,11290725,dong,24,5,19,24,4,20,22,4,18,23,7,16,23,7,16,24,8,16,24,8,16,24,8,16
장위1동,11290760,dong,12,1,11,11,0,11,11,0,11,11,1,10,11,1,10,11,1,10,11,1,10,11,1,10
장위2동,11290770,dong,8,1,7,8,1,7,8,1,7,9,2,7,9,2,7,9,2,7,9,2,7,10,2,8
장위3동,11290780,dong,8,3,5,7,2,5,7,2,5,4,1,3,3,1,2,4,1,3,4,1,3,4,1,3
석관동,11290810,dong,23,2,21,24,2,22,25,2,23,26,4,22,27,4,23,25,4,21,25,3,22,24,3,21
강북구,11305,gu,272,36,236,270,31,239,260,30,230,259,44,215,273,50,223,273,51,222,272,51,221,272,51,221
삼양동,11305534,dong,13,1,12,12,0,12,12,0,12,12,0,12,13,0,13,14,0,14,13,0,13,14,0,14
미아동,11305535,dong,32,9,23,34,10,24,31,9,22,33,14,19,34,15,19,32,15,17,33,15,18,35,15,20
송중동,11305545,dong,28,3,25,27,2,25,27,2,25,25,3,22,26,5,21,25,4,21,26,5,21,25,5,20
송천동,11305555,dong,23,4,19,24,3,21,23,4,19,24,4,20,26,4,22,26,5,21,26,5,21,27,5,22
삼각산동,11305575,dong,9,1,8,9,2,7,9,2,7,8,2,6,8,2,6,8,2,6,8,2,6,8,2,6
번1동,11305590,dong,30,2,28,31,2,29,31,2,29,33,5,28,33,5,28,34,6,28,32,5,27,33,6,27
번2동,11305600,dong,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7
