NM,CD,GUBUN,TOT_REPOP_CO_1,TOT_WRC_POPLTN_CO_1,TOT_REPOP_CO_2,TOT_WRC_POPLTN_CO_2,TOT_REPOP_CO_3,TOT_WRC_POPLTN_CO_3,,,,면적(km),,,,,,
응봉동,11200580,dong,306.1876524,7.740955497,297.8807309,8.471234317,295.0691574,30.81776622,,,,0.57,17452.69619,441.2344633,16979.20166,482.8603561,16818.94197,1756.612675
금호1가동,11200590,dong,305.9698449,21.63972464,364.4990687,22.47812235,359.2874073,52.20725191,,,,0.46,14074.61286,995.4273336,16766.95716,1033.993628,16527.22073,2401.533588
금호2.3가동,11200615,dong,389.9345252,18.51906978,379.6565982,19.61579981,376.2097324,10.9202975,,,,0.64,24955.80961,1185.220466,24298.02228,1255.411188,24077.42287,698.8990397
금호4가동,11200620,dong,153.5717761,9.419810257,160.8745348,10.76702489,158.3725647,14.16713801,,,,0.84,12900.02919,791.2640616,13513.46092,904.4300908,13303.29544,1190.039593
옥수동,11200645,dong,224.7585446,16.52743166,221.9985926,18.46424006,219.2951309,38.71195786,,,,1.95,43827.91619,3222.849174,43289.72555,3600.526812,42762.55052,7548.831782
성수1가1동,11200650,dong,76.38106564,30.57199518,75.11798059,36.35372252,74.93563381,16.00204228,,,,1.98,15123.451,6053.255046,14873.36016,7198.037059,14837.25549,3168.404372
성수1가2동,11200660,dong,164.6860273,172.1394459,155.2321679,181.0855793,144.1332761,63.49622201,,,,0.89,14657.05643,15320.41069,13815.66294,16116.61655,12827.86157,5651.163759
성수2가1동,11200670,dong,163.9092471,380.8213219,156.4693192,383.4759024,152.1545161,89.15484017,,,,1.18,19341.29116,44936.91598,18463.37966,45250.15648,17954.2329,10520.27114
성수2가3동,11200690,dong,112.5353428,465.5108914,106.2828506,480.8708951,108.0053789,227.0977492,,,,1.03,11591.1403,47947.62182,10947.13361,49529.70219,11124.55402,23391.06817
송정동,11200720,dong,198.2346463,32.40357585,192.5918073,32.16418268,187.3251575,21.32309187,,,,0.75,14867.59848,2430.268189,14444.38555,2412.313701,14049.38681,1599.23189
용답동,11200790,dong,66.719566,118.7629289,63.04631241,116.5942803,51.68192146,19.7868168,,,,2.32,15478.93931,27552.9995,14626.74448,27049.87303,11990.20578,4590.541498
광진구,11215,gu,200.9930461,45.53125858,200.5783459,45.76540902,197.9930994,45.95160093,,,,17.06,342894.1367,77676.32713,342186.6582,78075.78778,337776.2276,78393.43119
화양동,11215710,dong,180.6602062,53.82541072,190.7902694,54.7503682,194.0009392,23.63088504,,,,1.16,20956.58392,6243.747643,22131.67126,6351.042712,22504.10895,2741.182665
군자동,11215730,dong,280.3599387,90.91206651,267.9628387,94.75803152,269.0538926,32.22700468,,,,0.74,20746.63546,6727.492922,19829.25006,7012.094333,19909.98805,2384.798346
중곡1동,11215740,dong,262.2065833,70.20931733,267.7310877,67.80375235,273.7864754,91.17920796,,,,0.62,16256.80816,4352.977675,16599.32744,4203.832646,16974.76148,5653.110893
중곡2동,11215750,dong,415.3397442,72.02550628,410.1635992,73.86101867,403.9779225,51.65131872,,,,0.55,22843.68593,3961.402845,22558.99796,4062.356027,22218.78574,2840.82253
중곡3동,11215760,dong,294.012889,41.95904291,291.5329614,39.66219725,284.2596168,24.78263185,,,,0.6,17640.77334,2517.542575,17491.97768,2379.731835,17055.57701,1486.957911
중곡4동,11215770,dong,139.6493866,11.11322639,134.7309889,11.13500849,129.8256604,21.97378045,,,,2.32,32398.6577,2578.268524,31257.58943,2583.32197,30119.55322,5097.917065
능동,11215780,dong,104.2833876,30.09686199,104.7769286,30.98340788,104.557577,20.91151541,,,,1.1,11471.17264,3310.654819,11525.46215,3408.174867,11501.33347,2300.266695
광장동,11215810,dong,128.6748484,28.50904742,121.0544402,29.63722774,124.2071159,57.56142094,,,,2.39,30753.28877,6813.662333,28932.01122,7083.297429,29685.5007,13757.1796
자양1동,11215820,dong,354.2115102,156.9643794,372.5832762,159.9244538,369.896687,198.8397795,,,,0.57,20190.05608,8946.969624,21237.24674,9115.693864,21084.11116,11333.86743
자양2동,11215830,dong,167.5612505,33.80901402,166.8499981,31.3564196,162.4905115,30.68808763,,,,1.68,28150.29008,5679.914355,28030.79968,5267.878494,27298.40594,5155.598721
자양3동,11215840,dong,280.2003127,30.88313727,269.8302824,27.48756338,263.7199952,28.51758322,,,,1.2,33624.03752,3705.976472,32379.63389,3298.507606,31646.39943,3422.109987
자양4동,11215847,dong,178.1096936,25.50891593,187.1901711,25.04749186,152.3308881,10.92617389,,,,1.16,20660.72445,2959.034248,21714.05985,2905.509055,17670.38302,1267.436171
구의1동,11215850,dong,406.0062015,83.5841944,407.1633264,81.61346604,401.2149812,65.59451812,,,,0.56,22736.34728,4680.714886,22801.14628,4570.354098,22468.03894,3673.293015
구의2동,11215860,dong,190.2632937,23.77649653,184.5152909,24.72960925,201.5320187,30.82219902,,,,1.39,26446.59783,3304.933018,25647.62543,3437.415686,28012.9506,4284.285664
구의3동,11215870,dong,194.6806367,93.64698471,210.1486206,96.54250325,204.7496133,88.99764851,,,,1.02,19857.42494,9551.99244,21435.1593,9847.335332,20884.46056,9077.760148
동대문구,11230,gu,241.4585923,63.2313013,236.5588895,64.61891916,235.118246,55.33255347,,,,14.22,343354.1182,89914.91045,336386.7409,91888.10305,334338.1459,78682.89103
용신동,11230536,dong,195.3329549,176.3798812,190.1656492,178.2594729,190.5051073,150.2353261,,,,1.61,31448.60574,28397.16087,30616.66953,28699.77514,30671.32227,24187.88751
제기동,11230545,dong,215.2334509,49.83740599,206.6332279,52.48752377,209.6209403,46.24202327,,,,1.18,25397.54721,5880.813907,24382.72089,6193.527805,24735.27096,5456.558746
전농1동,11230560,dong,252.6194881,23.9984568,271.8217608,24.97172268,272.7073451,13.27499584,,,,1.19,30061.71909,2855.81636,32346.78954,2971.634999,32452.17407,1579.724504
전농2동,11230570,dong,206.0953396,34.34752909,201.5007603,34.43901408,198.9493458,40.79213798,,,,0.86,17724.1992,2953.887502,17329.06539,2961.755211,17109.64374,3508.123867
답십리1동,11230600,dong,311.2069829,60.22745169,323.5793814,61.18192795,354.7549621,94.40963257,,,,0.81,25207.76562,4878.423587,26209.92989,4955.736164,28735.15193,7647.180239
답십리2동,11230610,dong,353.6434974,45.47546153,331.5806588,46.29760291,354.6006172,32.61569799,,,,0.85,30059.69728,3865.41423,28184.356,3935.296247,30141.05246,2772.334329
장안1동,11230650,dong,286.0299615,100.9521835,276.561789,104.7600355,281.2076625,79.1562741,,,,1.25,35753.74518,12619.02294,34570.22363,13095.00444,35150.95781,9894.534262
장안2동,11230660,dong,271.7792321,60.39637747,270.9573911,62.638574,278.3450267,56.31397183,,,,1.09,29623.9363,6583.205144,29534.35563,6827.604566,30339.60791,6138.22293
청량리동,11230705,dong,188.8269062,48.45955899,180.4830421,49.47852938,177.4845964,41.00102983,,,,1.2,22659.22874,5815.147078,21657.96505,5937.423525,21298.15157,4920.123579
회기동,11230710,dong,121.721853,49.35907947,122.6863685,51.36044908,120.8417327,9.452251661,,,,0.76,9250.86083,3751.290039,9324.164006,3903.39413,9183.971682,718.3711263
휘경1동,11230720,dong,256.2450474,32.58118369,252.1291246,33.75441404,241.3200188,29.63849119,,,,0.63,16143.43799,2052.614573,15884.13485,2126.528084,15203.16118,1867.224945
휘경2동,11230730,dong,206.0393264,33.33098705,201.8160212,31.71619389,201.5675915,36.4529205,,,,1.05,21634.12927,3499.753641,21190.68223,3330.200359,21164.59711,3827.556652
이문1동,11230740,dong,281.2636188,59.83642279,253.9196708,56.16759063,190.1205039,40.09364643,,,,1.04,29251.41635,6222.98797,26407.64577,5841.429426,19772.53241,4169.739229
이문2동,11230750,dong,315.973634,13.9446452,308.3856854,22.16253672,295.5148065,31.64031406,,,,0.69,21802.18075,962.1805187,21278.61229,1529.215034,20390.52165,2183.18167
중랑구,11260,gu,223.8948872,28.41377286,220.3423454,28.82824518,216.6574787,21.50170869,,,,18.5,414205.5413,52565.47979,407633.339,53332.25359,400816.3355,39778.16107
면목2동,11260520,dong,369.5300536,34.98827893,351.3092345,36.09175542,345.0113443,20.07788929,,,,0.73,26975.69391,2554.144362,25645.57412,2634.698145,25185.82813,1465.685918
면목4동,11260540,dong,259.2586284,21.87661976,249.0868519,22.4728124,241.0321676,19.75952752,,,,1.1,28518.44912,2406.428173,27399.55371,2472.009364,26513.53844,2173.548028
면목5동,11260550,dong,177.3714881,16.84986885,167.6367594,18.42162191,164.2904464,18.25261621,,,,0.64,11351.77524,1078.391607,10728.7526,1178.983802,10514.58857,1168.167437
면목본동,11260565,dong,428.9412568,26.93443338,423.9467923,29.40788245,420.2128355,20.97675077,,,,1.01,43323.06693,2720.377772,42818.62602,2970.196128,42441.49639,2118.651828
면목7동,11260570,dong,179.6592892,12.0809398,182.6525021,12.68789686,177.5806692,11.72341715,,,,0.87,15630.35816,1051.041763,15890.76768,1103.847027,15449.51822,1019.937292
면목3.8동,11260575,dong,179.4852456,23.36821596,163.0118475,22.58885642,164.9413909,21.74036014,,,,1.67,29974.03601,3902.492065,27222.97854,3772.339021,27545.21228,3630.640143
상봉1동,11260580,dong,284.651104,34.8018356,289.3938353,33.48259309,273.4975082,27.19165977,,,,0.85,24195.34384,2958.156026,24598.476,2846.020412,23247.28819,2311.291081
상봉2동,11260590,dong,265.3905744,115.9348155,283.5850565,112.2777094,289.3514479,80.85087657,,,,0.68,18046.55906,7883.567454,19283.78385,7634.88424,19675.89846,5497.859607
중화1동,11260600,dong,336.184831,27.21242167,335.4158526,30.46096336,324.650154,30.75913868,,,,0.68,22860.56851,1850.444674,22808.27797,2071.345508,22076.21047,2091.62143
